Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Puthiya Tamilagam,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Part No,Location and Name of Building in which Polling Station Located,Polling Area,Polling Station Type,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Dravida Munnetra Kazhagam_Rank,Tamilaga Vettri Kazhagam_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Puthiya Tamilagam_Rank,Independent_Rank,Margin_Percentage,Total_Independent_Votes,AIADMK_share_pct,NTK_share_pct,DMK_share_pct,TVK_share_pct,NIP_share_pct,AIPTMK_share_pct,PT_share_pct,IND_share_pct,Cluster_ID
88,143,69,265,248,0,2,0,2,0,0,0,0,0,0,1,729,0,2,731,0,88,"Panchayat  Union Primary  School East Side Building, Pasuvanthanai","1.Pasuvanthanai (R.V) And (P) Pasuvanthanai Block 2 , 2.Pasuvanthanai (R.V) And (P) Pasuvanthanai Block 3 99.OVERSEAS
ELECTORS",General,Dravida Munnetra Kazhagam,265,248,17,Tamilaga Vettri Kazhagam,3,4,1,2,7,5,7,5,2.331961591220851,2,19.6159122085048,9.465020576131687,36.35116598079561,34.01920438957476,0.0,0.2743484224965706,0.0,0.2743484224965706,1
89,91,47,204,166,0,0,3,4,0,0,0,0,1,2,1,515,0,2,517,0,89,"Panchayat  Union Primary  School North
Side,Pasuvanthanai","1.Pasuvanthanai (R.V) And (P) Pasuvanthanai Block 4 99.OVERSEAS
ELECTORS",General,Dravida Munnetra Kazhagam,204,166,38,Tamilaga Vettri Kazhagam,3,4,1,2,7,7,6,5,7.378640776699029,4,17.66990291262136,9.12621359223301,39.6116504854369,32.23300970873787,0.0,0.0,0.5825242718446602,0.7766990291262136,3
90,322,63,256,214,0,15,0,5,1,0,0,1,2,1,0,875,0,4,879,0,90,"Panchayat  Union Primary  School,
Nagampatti","1.Nagampatti (R.V) And (P) Nagampatti Block 1 , 2.Nagampatti
(R.V)And (P) Nagampatti Block 2 99.OVERSEAS ELECTORS",General,All India Anna Dravida Munnetra Kazhagam,322,256,66,Dravida Munnetra Kazhagam,1,4,2,3,7,5,7,6,7.542857142857143,5,36.8,7.199999999999999,29.25714285714286,24.45714285714286,0.0,1.714285714285714,0.0,0.5714285714285714,2
91,322,23,173,132,0,4,1,1,0,0,0,0,0,0,0,656,0,1,657,0,91,"Panchayat  Union Primary  School West Side, Jampulingapuram","1.Kuthiraikulam (R.V) And (P) Kuthiraikulam block 1 ,
2.Kuthiraikulam (R.V) And (P) Kumareddyapuram Block 2 , 3.Kuthiraikulam (R.V) And (P) Jambulingapuram Block 3 99.OVERSEAS ELECTORS",General,All India Anna Dravida Munnetra Kazhagam,322,173,149,Dravida Munnetra Kazhagam,1,4,2,3,8,5,6,6,22.71341463414634,1,49.08536585365854,3.50609756097561,26.3719512195122,20.1219512195122,0.0,0.6097560975609756,0.1524390243902439,0.1524390243902439,2
92,103,22,124,94,0,2,11,3,0,0,0,0,1,2,0,359,0,0,359,0,92,"Muthukaruppan.Hr  Sec School South Building East  Side I  st Room,
Subbammalpuram","1.Subbammalpuram (R.V), Sillankulam (P) Sillankulam Block 1 , 2.Subbammalpuram (R.V), Silankulam(P) Subbammalpuram Block 2
99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,124,103,21,All India Anna Dravida Munnetra Kazhagam,2,4,1,3,8,7,5,6,5.849582172701949,3,28.6908077994429,6.128133704735376,34.54038997214484,26.18384401114206,0.0,0.5571030640668524,3.064066852367688,0.8356545961002786,1
93,228,30,337,93,0,4,28,8,0,0,1,2,1,2,1,728,0,3,731,0,93,"Muthukaruppan.Hr  Sec School South Building West Side I  st Room,
Subbammalpuram","1.Subbammalpuram (R.V), Sillankulam (P) O.Saravanapuram Block 3
, 2.Subbammalpuram (R.V), Sillankulam (P) Paraman pachiery  Block 4 99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,337,228,109,All India Anna Dravida Munnetra Kazhagam,2,4,1,3,8,7,5,6,14.97252747252747,8,31.31868131868132,4.12087912087912,46.2912087912088,12.77472527472527,0.0,0.5494505494505495,3.846153846153846,1.098901098901099,3
94,238,67,309,270,2,12,18,9,1,0,4,1,2,0,1,925,0,8,933,0,94,"Panchayat  Union Middle School, Keelamangalam","1.Keelamangalam (R.V) And (P) Keelamangalam Block 1 ,
2.Keelamangalam (R.V) And (P) Keelamangalam Block 2 , 3.Keelamangalam (R.V) And (P) Kuppanapuram Block 3 99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,309,270,39,Tamilaga Vettri Kazhagam,3,4,1,2,8,6,5,7,4.216216216216216,9,25.72972972972973,7.243243243243243,33.4054054054054,29.18918918918919,0.2162162162162162,1.297297297297297,1.945945945945946,0.9729729729729729,1
95,177,43,285,133,0,3,19,0,0,0,0,0,0,0,0,660,0,0,660,0,95,"Panchayat  Union Primary  School Main Building, Melamangalam","1.Keelamangalam (R.V) And (P) Melamangalam Block 5 ,
2.Keelamangalam (R.V) And (P) KappikulamBlock 6 99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,285,177,108,All India Anna Dravida Munnetra Kazhagam,2,4,1,3,7,6,5,7,16.36363636363636,0,26.81818181818182,6.515151515151516,43.18181818181818,20.15151515151515,0.0,0.4545454545454545,2.878787878787879,0.0,3
96,131,30,158,151,0,1,1,0,0,0,0,0,0,0,0,472,0,2,474,0,96,"St.  Joseph Primary  School,Main Building, West Room, Keelamudiman","1.KeelaMudiman (R.V) And (P) KeelaMudiman Block 1 ,
2.KeelaMudiman (R.V) And (P) KeelaMudimanBlock 2 , 999.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,158,151,7,Tamilaga Vettri Kazhagam,3,4,1,2,7,5,5,7,1.483050847457627,0,27.75423728813559,6.35593220338983,33.47457627118644,31.99152542372881,0.0,0.211864406779661,0.211864406779661,0.0,1
97,101,23,150,126,1,0,11,4,0,1,0,1,0,0,1,416,0,0,416,0,97,"St.  Joseph Primary  School,Main Building, South Room, Keelamudiman","1.KeelaMudiman (R.V) And (P) KeelaMudiman Block 3 , 2.KeelaMudiman (R.V) And (P) KeelaMudiman Block 5
999.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,150,126,24,Tamilaga Vettri Kazhagam,3,4,1,2,7,8,5,6,5.769230769230769,4,24.27884615384615,5.528846153846153,36.05769230769231,30.28846153846154,0.2403846153846154,0.0,2.644230769230769,0.9615384615384616,1
