Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
201,"Govt  Hr.Sec School West Building South
Portion, Vilathikulam","1.Villathikulam (S.P) Kamaraj Nagar, Door  No 1 to 25,
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,4,0.8113590263691683
202,"Govt  Hr.Sec School North West Building
Hall No:32, Vilathikulam","1.Villathikulam (S.P) Kamaraj Nagar, above Door  No: 26 ,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,8,1.727861771058316
203,"Govt  Hr.Sec School West Building North
Portion, Vilathikulam","1.Villathikulam (S.P) HighSchool Road Block 1 , 2.Villathikulam (S.P)
Bangala Street 99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,14,2.147239263803681
204,"Govt  Hr  Sec School Centre Building A
Block South Portion Vilathikulam",1.Villathikulam (s.p) Ettaiyapuram road 99.OVERSEAS ELECTORS,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,12,1.477832512315271
206,"Panchayat  Union Primary  School North Building, Vilatthikulam","1.Villathikulam (S.P) Rajiv Nagar, 2.Villathikulam (S.P) East  Car
Street , 3.Villathikulam (S.P) East  Car  Street 3 , 4.Villathikulam (T) East Car  Street 4 , 5.Villathikulam (S.P) East  Car  Street 5 , 6.Vilathikulam (S.P) V.O.C.  Street 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,2.97339593114241
207,"Panchayat  Union Primary  School Centre Building North Portion, Vilatthikulam","1.Villathikulam (S.P) Illathar 1 Street , 2.Villathikulam (S.P)
Mudaliyar  Street , 3.Villathikulam (S.P) MUdaliyar  1 Street , 4.Villathikulam (S.P) Mudaliyar  2 Street , 5.Villathikulam (S.P) Mudaliyar  3 Street , 6.Villathikulam (T) Nadar  1 Street , 7.Villathikulam (S.P) Nadar  2 Street 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,29,4.948805460750854
208,"Govt  Hr  Sec School, North New Building West  Portion, Hall No.1 Vilathikulam","1.Villathikulam (S.P) Ettaiyapuram Road , 2.Villathikulam (S.P) Neer
Thekka Road , 3.Villathikulam (S.P) Salayam Street 2 , 4.Villathikulam (S.P) Salayam Street 3 , 5.Villathikulam (S.P) Salayam Street 1 Sandu, 6.Villathikulam (S.P) Salayam Street 2 Sandu 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,9,1.461038961038961
210,"Panchayat  Union Primary  School South East New Building, Vilathikulam","1.Villathikulam (S.P) East  Car  Street 2 , 2.Villathikulam (S.P) East
Car  Street 1 , 3.Villathikulam (S.P) Keelarathaveethi Street 3 , 4.Villathikulam (S.P) Keelarathaveethi Street 6 , 5.Villathikulam (S.P) Pandianar  Street , 6.Villathikulam (S.P) K.V.K. Samy Nagar Mudaliyar  Street Block 8 , 99.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,10,1.628664495114007
214,"T.D.T.A Middle School New building
North East, Vilatthikulam","1.Vilathikulam(S.P) MeeranPalalayam street1 2.Vilathikulam(S.P)
MeeranPalayam street 2 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,44,4.949381327334083
216,Balamurugan Primary  School East  side New Building Lekkammpatti,"1.Manthikulam (R.V) And (P) Lekkampatti Block 3 , 2.Mutthaiyapuram (R.V) And (P) Ellanthaikulam Block 4
99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,28,3.728362183754994
221,"Panchayat  Union Middle School, Thathaneri","1.ThathaNeri (R.V) And (P) ThathaNeri Block 1 , 2.ThathaNeri (R.V)
And (P) ThathaNeri Block 2 , 3.ThathaNeri (R.V) And (P) Ramasamypuram Block 4 , 4.Kannimarkuttam (R.V), ThathaNeri (P) Kannimarkuttam Block 6 , 5.Kannimarkuttam (R.V), Thathanari (P)
Ucimaciyapuram Block 6 99.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,36,4.945054945054945
224,"St.  Thanislas Primery  School Eastern Portion, Soorangudi","1.Soorankudi (R.V) And (P) North Street Block 1 , 2.Soorankudi (R.V) And (P) Mela Street Block 1 , 3.Soorangudi (R.V) And (P) Pillaiyar Kovil Street Block 1 , 4.Soorangudi (R.V) And (P) Utchi natham Road West  Block 1 , 5.Soorangudi (R.V) And (P) Middle Street Block 2 6.Soorankudi (R.V) and (P) South Street Block 3 , 7.Soorangudi (R.V) And (P) Bharathiyar  Street Block 4 , 8.Soorangudi (R.V) And (P) Corner  Road Juntion Block 4 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,7,1.01010101010101
227,"St.Sebasthiyar  Middle School East Building, Vembar","1.Vembaor  (R.V) And (P) Ambalakarar  Street Block 3 , 2.Vembaor
(R.V) And (P) Rajapalayam Block 2 , 3.Vembaor  (R.V) And (P) Melaramarayapuram Block 5 , 4.Vembaor  (R.V) And (P) Siluvaipuram Block 5 , 5.Vembar (R.V) And (P) Rayappapuram Block 6 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,24,3.247631935047361
229,"Panchayat  Union Primary  School, New
Building, Keela Shunmugapuram","1.M. Shunmugapuram (R.V) And (P) KeelaShunmugapuram Block 2
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,8,1.284109149277689
232,"Hindu Nadar  Uravienmurai Committee Primary School North Eastern portion,
Valasamudiram Vembar","2.Vembar  (R.V), Vembar South (P) Valasamuthiram Block 2 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,11,1.447368421052632
233,"Hindu Nadar  Uravienmurai Committee Primary School South Western portion, Valasamudrapuram Vembar","1.Vembar  (R.V), Vembar South (P) Valasamuthiram Block1 ,
2.Vembar  (R.V), Vembar South (P) Pachiyapuram Block 3 , 3.Vembar (R.V), Vembar South (P) Pachiyapuram Block 3 , 4.Vembar (R.V), Vembar South (P) Matharachipuram Block 3 5.Vembar(R.V), Vembar South (P) Attrukku akkari Block 3 99.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,33,4.054054054054054
238,"Panchayat  Union primary  School New
Building, Melmanthai","1.Melmanthai (R.V) And (P) Melmanthai Block 1 99.OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,20,3.436426116838488
243,"Panchayat  Union Middle School New Building, Nedunkulam","1.Nedungulam (R.V) And (P) Nedungulam Block 1 , 2.Nedungulam (R.V) And (P) Nedungulam (Thuvaranthai) Block 2 99.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,26,3.886397608370702
250,"Hindu Nadar  Middle School West Block,
Kalaigarangam Near, Kulathur","1.Kulathur  (R.V), Kulathur  (P) Muthuramalingapuram Block 3, above
Door  No.4, 999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,6,1.690140845070422
253,"Govt  Higher  Secondary  School East  side
North Block, Kulathur","1.Kulathur  South (R.V),Kulathur  (P) Kulathur  South Block 8
99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,5,0.8347245409015025
254,"Govt  Higher  Secondary  School North Building Central Hall, Kulathur","1.Kulathur  South (R.V), Kulalthur  (P) Kulathur  South Block 9 ,
2.Kulathur  South (R.V),Kulathur  (P) Kulathur  South Block10 ,
3.Kulathur  South (R.V), Kulathur  (P) Kulathur  South Block 11 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,18,2.307692307692308
255,"Panchayat  Union Primary  School,Mullur","1.Mullur Muthukumarapuram (R.V), Mullur (P) Mullur Block 1 ,
2.Mullur Muthukumarapuram (R.V), Mullur (P) Muthukumarapuram
Block 2 , 3.Mullur Muthukumarapuram (R.V),Mullur (P) Ayyerpatti Block 3 99.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,1,0.1582278481012658
259,"Hindu Nadar  Primary  School, T.Duraisamy Puram","1.Therkkukalmaydu (R.V) And (P) Therkkukalmaydu Block 1 ,
2.Therkkukalmaydu (R.V) And (P) Melakalmaydu Block 2 , 3.Therkkukalmaydu (R.V) And (P) Pugadupatti duraisamypuram Block 3 , 4.Therkkukalmaydu (R.V) And (P) Duraisamypuram Block 4
, 5.Therkkukalmaydu (R.V) And (P) Sundareswarapuram Block 5
99.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,0.9857612267250823
264,"T.N.D.T.A .Middle School West Building, V.Kalukasalapuram Veppalodai","1.Veppalodai (R.V) And (P) V.Kalukachalapuram Block 3 , 2.Veppalodai (R.V) And (P) Malaiyan Block 4 , 3.Veppalodai (R.V) And
(P) Venkatachalapuram Block 7 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,17,2.364394993045897
266,"Hindu Nadar  Middle School South
Building, Panaiyur","1.Kulathur  South (R.V), Kulathur  (P) Mettupanaiur north street block
4 99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.646551724137931
271,"Panchayat  Union Primary  School South Building, Kalaiganapuram","1.Vaippar Part  1 (R.V), Vaippar  (P) Kalaignnapuram Block 1 ,
2.Vaippar Part  1(R.V), Vaippar  (P) Thulukkankulam Block 5 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,18,2.639296187683284
273,"St.Louis R.C.  Higher  Secondary  School North Building East  Side, Keelavaippar","1.Vaippar Part  2 (R.V), KeelaVaippar  (P) Church Street Block 1 ,
2.Vaippar Part  2 (R.V), KeelaVaippar  (P) West Street Block 2 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,24,3.2
