Location and Name of Building in which Polling Station located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Palaniyappa Vidyalayam, South side, West Portion Palanichettipatti,",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele School, South facing North Side Building, Eastern Portion, Pulikuthi",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele School, South facing North Side Building, Pulikuthi",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele School, South facing North Side Building, Western Portion, Pulikuthi",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School , North Block, Western Side, Kodangipatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School , North Side, Sadaiyalpatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School ,Western Block,North Building Sillamarathupatti",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School, East facing West Side building, Vadamalairajapuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, Eastern Building, Jangalpatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, Eastern Building, South Side, Sillamarathupatti",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School, Eastern Side, Middle Building, Sillamarathupatti",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School, Eastern Side,East Block, Boothipuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, Kanthasamypuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, Kottakudi",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, Kozhukkumalai",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, Muthuvarkudi",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, New Building
Kuppanasaripatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, New Building
Western Side, Athipatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, New Building North Side, Veerapandi",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School, New Building South Side, Veerapandi",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School, New Building, West Side, Uppukottai",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, North Building, South Facing, Middle Portion Class Room, Kutchanur",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, North Building, Veerapandi",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, North Side,
S.Dharmathupatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, Poolananthapuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, South Building, Veerapandi",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, South New Building Eastern Side, Jangalpatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, South Side, Kodangipatti",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School, West Block, North Side, Silamalai",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School, West Block, South Side, Silamalai",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School,Main Building, East Side, Uppukottai",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School,North Building South Facing East Side, Kutchanur",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School,North Building South Facing West Side, Kutchanur",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School,North Side, West Block,  Boothipuram",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School,Northern Side,
New Building, East Room Sillamarathupatti",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School,West Block, Middle Building,Sillamarathupatti",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele. School,West Building, North Side, Kottur",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School,West Building,South Side, Kottur",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School,West Face South Building, North Side, Silamalai",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School,West Face South Building, South Side, Silamalai",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele. School,West Facing, East Side,New Building,  Kutchanur",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele.School  , B.Mallingapuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele.School ,West Building, North Side, Ellappatti",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Ele.School ,West Building, South Side, Ellappatti",1,All India Anna Dravida Munnetra Kazhagam,1
"Panchayat Union Ele.School, East Side North Block, South Room, Silamalai",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Ele.School, Eastern Side, Rasingapuram",1,All India Anna Dravida Munnetra Kazhagam,1
