Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
124,"Govt.Higher Sec. School, South Building East Room, Melachokkanathapuram","1.Melachokkanathapuram (R.V) And (T.P), Ward-6 South Raja Veethi
2.Melachokkanathapuram (R.V) And (T.P), Ward-6 Kodikeppanan  Street
3.Melachokkanathapuram (R.V) And (T.P), Ward-6 S.M.K.Kanthasamy  Street
4.Melachokkanathapuram (R.V) And (T.P), Ward-6 Thilagar Street
5.Melachokkanathapuram (R.V) And (T.P), Ward-6 Alagarsamy Street
6.Melachokkanathapuram (R.V) And (T.P), Ward-6 Gandhiji Street
7.Melachokkanathapuram (R.V) And (T.P), Ward-4 North Ratha Veethi
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,44,4.777415852334419
129,"SICSM Matric Higher Sec. School ,Eastern Building, North Side 2nd Room Melechokkanathapuram","1.Melachokkanathapuram (R.V), And (TP), Ward-2 Vinobaji Colony Block 1
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,7,1.313320825515948
130,"Govt.Higher Sec. School, North East (RMSA) Building West Side, Melachokkanathapuram","1.Melachokkanathapuram (R.V) And (T.P), Ward-4 Indragandhi Street
2.Melachokkanathapuram (R.V) And (T.P), Ward-5 Javagarlal Nehru Street
3.Melachokkanathapuram (R.V) And (T.P), Ward-5 East  Street
4.Melachokkanathapuram (R.V) And (T.P), Ward-5 West Street
5.Melachokkanathapuram (R.V) And (T.P), Ward-7 Middle Street
6.Melachokkanathapuram (R.V) And (T.P), Ward-8 Kamarajar  Street
7.Melachokkanathapuram (R.V) And (T.P), Ward-8 School Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,32,3.902439024390244
135,"Panchayat Union Middle School,South Building,East Side, B.Dharmathupatti","1.Melachokkanathapuram (R.V) And (T.P), Ward-9 Kakkan Street
2.Melachokkanathapuram (R.V) And (T.P), Ward-9 Kambar Street
3.Melachokkanathapuram (R.V) And (T.P), Ward-9 Elengo  Street
4.Melachokkanathapuram (R.V) And (T.P), Ward-9 KaliammanKovil  Street
5.Melachokkanathapuram (R.V) And (T.P), Ward-9 V.M. Street
6.Melachokkanathapuram (R.V) And (T.P), Ward-9 Mariamman  Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,17,3.165735567970205
136,"Panchayat Union Middle School,Western Building, South Room, Karattupatti","1.Melachokkanathapuram (R.V) And (T.P), Ward-12 Karatupatti South Street
2.Melachokkanathapuram (R.V) And (T.P), Ward-12 Kattapomman West Street
3.Melachokkanathapuram (R.V) And (T.P), Ward-12 Jakkamal Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,24,2.666666666666667
151,"Panchayat Union Middle School,East Side Building, Gundalnaickanpatti","1.Uppukottai (R.V) And (P), Ward-5 Gundal Nayaickan Patti
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,20,2.777777777777778
157,"Sriram Solai Middle School, North  Portion, Kamarajapuram.","1.Uppukottai (R.V), Kamarajapuram (P), Ward-1 Main Road
2.Uppukottai (R.V), Kamarajapuram (P), Ward-1 North Street ( North)
3.Uppukottai (R.V), Kamarajapuram (P), Ward-1 North Street (South)
4.Uppukottai (R.V), Kamarajapuram (P), Ward-2 Middle Street-1
5.Uppukottai (R.V), Kamarajapuram (P), Ward-2 Middle Street-2
6.Uppukottai (R.V), Kamarajapuram (P), Ward-2 West Street
7.Uppukottai (R.V), Kamarajapuram (P), Ward-3 Vadakathi Mariamman Kovil Street
8.Uppukottai (R.V), Kamarajapuram (P), Ward-3 Kaliamman Kovil Street (North)
9.Uppukottai (R.V), Kamarajapuram (P), Ward-4 Kaliamman Kovil  South Street
10.Uppukottai (R.V), Kamarajapuram (P), Ward-4 East Colony
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,12,1.643835616438356
159,"Suruli Kathirveluchamy Middle School, South Side, Dombuchery","1.Dombuchery (R.V) And (P), Ward-2 S.K.S. School Street
2.Dombuchery (R.V) And (P), Ward-2 Renganathar Kovil Street
3.Dombuchery (R.V) And (P), Ward-2 T.G.House West Street
4.Dombuchery (R.V) And (P), Ward-2 Renganathar Kovil West Street
5.Dombuchery (R.V) And (P), Ward-3 Perumal  Kovil  Street
6.Dombuchery (R.V) And (P), Ward-3 Mail Veethi West Part
7.Dombuchery (R.V) And (P), Ward-3 Sowdamman Kovil Street
8.Dombuchery (R.V) And (P), Ward-3 Balamman Kovil Street
9.Dombuchery (R.V) And (P), Ward-3 Library Street
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.666666666666667
161,"Thirupathi Chettiyar Middle School, East Side, Dombuchery","1.Dombuchery (R.V) And (P), Ward-2 Pillaimar Savadi Street
2.Dombuchery (R.V) And (P), Ward-2 East Mottu Kinatru Street
3.Dombuchery (R.V) And (P), Ward-2 East Odai Street
4.Dombuchery (R.V) And (P), Ward-2 East Old Colony Street
5.Dombuchery (R.V) And (P), Ward-2 V.O.C.Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,7,1.431492842535787
167,"Panchayat Union Middle School,       SSA Building West Side, B.Ammapatti","1.B.Ammapatti (R.V) And (P), Ward-1 West Street
2.B.Ammapatti (R.V) And (P), Ward-1 Main Street
3.B.Ammapatti (R.V) And (P), Ward-1 Akkamma Paatti Kovil Street
4.B.Ammapatti (R.V) And (P), Ward-1 East Street
5.B.Ammapatti (R.V) And (P), Ward-1 Karruppasamy Kovil Street
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,1,0.1461988304093567
