serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
179,625012,"Community Hall, South Building West Portion, TNHB
Colony Villapuram","1 - Madurai (C) Avaniyapuram (TP), Villapuram Housing Board Ward 84 (S.No.1 to 991)",tamilaga vettri kazhagam,21.25181950509461
180,-625012,"Community Hall, South Building East Portion, TNHB Colony
Villapuram","1 - Madurai (C) Avaniyapuram (TP), Villapuram Housing Board Ward 84 (Part No 153.S.No.992 to
1495) (Part No 163 S.No.1030 to 1543)",tamilaga vettri kazhagam,13.35078534031414
181,"4 std Class Room
Avaniyapuram-625012","My Madurai Play School, South Side",1.Madurai(C) Avaniapuram (Tp) Villapuram Housing Board Ward 84,tamilaga vettri kazhagam,20.20497803806735
182,Avaniyapuram - 625012,"My Madurai Play School, New LKG Class room","1.Madurai(C) Avaniapuram (Tp) Nalla Thambi Thoppu Villapuram Ward 90,
2 - Madurai (C) Avaniyapuram (TP), Avaniyapuram Housing Board Villlapuram Kudiyiruppu Ward 84(Part 160 S.No.935 to 1134), (Part No 162 S.No.972 to 1271)",tamilaga vettri kazhagam,21.28440366972477
183,"South Portion Room No 1
Karpagam Nagar Avaniyapuram-625012",Vani Nursury and Primary School,"1 - Madurai (C) Avaniyapuram (TP), Avaniyapuram Housing Board Villapuram Kudiyiruppu Ward
84(S.No.1 to 1095)",tamilaga vettri kazhagam,21.59244264507423
184,"West Center Portion
Karpagam Nagar Avaniyapuram-625012",Vani Nursury and Primary School,"1 - Madurai (C) Avaniyapuram (TP), Avaniyapuram Housing Board Villapuram Kudiyiruppu Ward
84(S.No.1 to 1093)",tamilaga vettri kazhagam,14.04011461318052
185,Avaniyapuram - 625012,"Vani Nursey and Primary School, South Side II Std Class Room, Karpagam Nagar","1 - Madurai (C) Avaniyapuram (TP), Avaniyapuram Housing Board Villapuram Kudiyiruppu  Ward 84(Part No 155,S.No.1096 to 1495), (Part No 156.S.No.1094 to 1513)
2.Madurai (C) Avaniyapuram (Tp) Jawahar Nagar Ward 92,",tamilaga vettri kazhagam,22.97297297297298
186,Villapuram -625012,"Guhan Nursery and Primary School, North Portion","1 - Madurai (C) Avaniyapuram (TP), Avaniyapuram Housing Board Villapuram Kudiyiruppu Ward
84(S.No.1 to 1081)",tamilaga vettri kazhagam,11.92411924119241
187,(Near Avaniyapuram Out Post Police Station) -625012,"Community Hall, North Side TNHB Colony Villapuram","1.Madurai (C) Avaniapuram (TP) Avaniyapuram Housing Board Villapuram Kudiyiruppu Ward
84,",tamilaga vettri kazhagam,23.71541501976284
188,(Near Avaniyapuram Out Post Police Station) -625012,"Community Hall, South Side TNHB Colony Villapuram","1 - Madurai (C) Avaniyapuram (TP), Avaniyapuram Housing Board Villapuram Kudiyiruppu Ward 84(S.No.1 to 692)
2.Madurai(C) Avaniapuram (Tp) Mahalingam Salai Villapuram 90,",tamilaga vettri kazhagam,24.24242424242424
