serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
60,Thanakkankulam-625006,"Kallar Reclamation Primary School, Middle Building","1 - Thanakkankulam (R.V) Thanakkankulam (P), Nethaji Nagar (Sl.No.1 to 997)
2.Thanakankulam (R.V) Thanakankulam (P) Nethaji Nagar Kanmaikarai",tamilaga vettri kazhagam,3.421633554083885
67,Vilacheri-625006,"Kallar Reclamation Elementary School, New Building, Northern Portion","1.Vilacheri (R.V) Vilacheri (P) Pallivasal North Muslim Street Ward 1 2.Vilacheri (R.V) Vilacheri (P) Vilacheri Main Road Ward 2
3.Vilacheri (R.V) Vilacheri (P) South Muslim Street Ward 2",dravida munnetra kazhagam,52.05314009661836
70,625006,Seventhday Adventist Matriculation School (East Portion) Vilachery,1.Vilacheri (R.V) Vilacheri (P) Gandhi Street Ward 12 2.Vilacheri (R.V) Vilacheri (P) Chetti Street Ward 5 3.Vilacheri (R.V) Vilacheri (P) Nadu Street Ward 5 4.Vilacheri (R.V) Vilacheri (P) Yathavar Street Ward 3 5.Vilacheri (R.V) Vilacheri (P) Nethaji Street Ward 3,dravida munnetra kazhagam,0.308641975308642
71,625006,"Seventhday Adventist Matriculation School (North Portion)
Vilachery","1.Vilacheri (R.V) Vilacheri (P) Pasumpon Street Ward 3
2.Vilacheri (R.V) Vilacheri (P) Velar Street Ward 3",dravida munnetra kazhagam,8.047945205479452
73,Vilacheri-625006,"Panchayat Union Middle School,Additional Building South Portion","1.Vilacheri (R.V) Vilacheri (P) Sevukar Street Ward 4 2.Vilacheri (R.V) Vilacheri (P) Agraharam Ward 4
3.Vilacheri (R.V) Vilacheri (P) Anna Street Ward 5",dravida munnetra kazhagam,8.674101610904584
74,Vilacheri-625006,"Panchayat Union Middle School, Southern Building Southern Portion","1.Vilacheri (R.V) Vilacheri (P) Main Road Ward 5 2.Vilacheri (R.V) Vilacheri (P) Kottaram Ward 4 3.Vilacheri (R.V) Vilacheri (P) Kalaingar Nagar Ward 3
4.Vilacheri (R.V) Vilacheri (P) Thirunagar Main Road Ward 3",tamilaga vettri kazhagam,0.966183574879227
75,Thirunagar-625006,"Seethalakshmi Higher Secondary School, Southern Building, Eastern Portion","1.Madurai (C) Thirunagar (TP) Gandhiji 1st Cross Street Ward 94
2.Madurai (C) Thirunagar (TP) Gandhiji 2nd Cross Street Ward 94
3.Madurai (C) Thirunagar (TP) Gandhiji 3rdcross Street Ward 94
4.Madurai (C) Thirunagar (TP) Gandhiji 4thcross Street Ward 94
5.Madurai (C) Thirunagar (TP) Gandhiji 5thcross Street Ward 94
6.Madurai (C) Thirunagar (TP) Gandhiji 6thcross Street Ward 94
7.Madurai (C) Thirunagar (TP) Gandhiji 7th Cross Street Ward 94
8.Madurai (C) Thirunagar (TP) Gandhiji Street Ward 94
9.Madurai (C) Thirunagar (TP) Bharathiyar Street Ward 94
10.Madurai (C) Thirunagar (TP) Bharathiyar East Street Ward 94",dravida munnetra kazhagam,1.345291479820628
77,Thirunagar-625006,"Seethalakshmi Higher Secondary School, Southern Building, Middle Portion","1.Madurai (C) Thirunagar(Tp) Kamarajar Street Ward 94
2.Madurai (C) Thirunagar(Tp) Nellaiyappar Street Ward 94
3.Madurai (C) Thirunagar(Tp) Vengaram Street Ward 94
4.Madurai (C) Thirunagar(Tp) Govindasamy Street Ward 94
5.Madurai (C) Thirunagar(Tp) Sundar Nagar Second Street Ward 95
6.Madurai (C) Thirunagar(Tp) Bdo Officers Quarters Ward 94
7.Madurai (C) Thirunagar(Tp) Renganathan Street Ward 94
8.Madurai (C) Thirunagar(Tp) Poonga Street Ward 94
9.Madurai (C) Thirunagar(Tp) Officers Quarters Ward 94
10.Madurai (C) Thirunagar(Tp) Gst Main Road Ward 94",tamilaga vettri kazhagam,9.461426491994178
93,Thirunagar-625006,"MM Higher Secondary School, West Building, Centre Portion, Room no 6, Thirupaparankundram","1.Madurai (C) Thirupparankundram (Tp) Middle Street Pandian Nagar Ward 95,
2.Madurai (C) Thirupparankundram (Tp) E.S.I. Quarters Ward 95,
3.Madurai (C) Thirupparankundram (Tp) Kalyana Vinayagar Kovil Street Ward95
4.Madurai (C) Thirupparankundram (Tp) East Street Ward 95,
5.Madurai (C) Thirupparankundram (Tp) Nellaiyappapuram 5th Street ward95",tamilaga vettri kazhagam,9.70873786407767
96,Thirunagar-625006,"MM Higher Secondary School, South Building, Centre Portion, Room no 8, Thirupaparankundram","1.Madurai (C) Thirupparankundram (TP) Chandrapalayam 1st Street Ward97
2.Madurai (C) Thirupparankundram (TP) Chandrapalayam 2nd Street Ward97
3.Madurai (C) Thirupparankundram (TP) Chandrapalayam 3rd Street, Ward97
4.Madurai (C) Thirupparankundram (TP) East Street, Chandrapalayam Ward97",tamilaga vettri kazhagam,13.12101910828025
