serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
154,"Periyar Matric Higher Sec School, 5th Street, Periyar Nagar, Chennai-82","1 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 13th Street
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 14th Street
3 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 15th Street
4 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 15th 1st Cross Street
5 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 15th 2nd Cross Street
6 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 15th 3rd Cross Street
7 - Periyar Nagar [ Ward No.68] Periyar Nagar 15th 4th Cross
Street",tamilaga vettri kazhagam,4.129793510324483
160,"Chennai Middle School, No.4, SRP Koil Street, North Gopalapuram, TVK Nagar, Ch-82, South Block, North Facing, Room 7","1 - Sembium [ Ward No.67 ] Gopalapuram 3rd Street
2 - Sembium [ Ward No.67 ] Gurumoorthy Nagar
3 - Perambur [ Ward No.67] Gopalapuram 1st Cross Street
4 - Perambur [ Ward No.67] Apparao Garden 1st Street
5 - Perambur [ Ward No.67 ] Anbazhagan Nagar 2nd Street
6 - Perambur [ Ward No.67] Apparao Garden 2nd Street
7 - Perambur [ Ward No.67 ] Apparao Garden 7th Street",tamilaga vettri kazhagam,0.2666666666666667
162,"Chennai Middle School, SRP Koil Street North, Gopalapuram, TVK Nagar, Ch-82",1 - Perambur [ Ward No.68 ] Gopalapuram 1st Street,dravida munnetra kazhagam,4.499274310595065
163,"Chennai Middle School, SRP Koil Street North, Gopalapuram, TVK Nagar, Ch-82","1 - Sembium [ Ward No.67 ] Anbazhagan 3rd Street
2 - Sembium [ Ward No.67 ] Anbazhagan 4th Street
3 - Sembium [ Ward No.67 ] Pallavan Street
4 - Perambur [ Ward No.67 ] Anbazhagan Nagar Cheran Street",dravida munnetra kazhagam,3.484848484848485
164,ICDS Building T.V.K Nagar main Street Chennai- 82 (Centre No.213),1 - Sembium [ Ward No.67 ] T V K Nagar T.N.H.B Door no. 1 to 249 999 - Overseas Elector,tamilaga vettri kazhagam,9.186351706036746
165,ICDS Building T.V.K Nagar 4th Street Chennai- 82 (Centre No.211),1 - Sembium [ Ward No.67 ] T V K Nagar T.N.H.B Door No 250-746,tamilaga vettri kazhagam,9.95260663507109
169,"Chennai Primary School, Thiru Vi Ka Nagar,Sembium, Chennai-11","1 - Sembium [ Ward No.67 ] Thiruvalluvar Cross Street
2 - Sembium [ Ward No.67 ] Prakasam Street
3 - Sembium [ Ward No.67 ] Ayyavoo Grammani Street
4 - Sembium [ Ward No.67] Sivapatham Street 999 - Overseas Elector",tamilaga vettri kazhagam,5.555555555555555
171,"St.Marys Girls Matric Hr Sec School, No.37,Madurai Samy Madam Street, Sembium, Chennai-11","1 - Sembium [ Ward No.67 ] Samundeeswari Nagar 1st Street
2 - Sembium [ Ward No.67 ] Samundeeswari Nagar 2nd Street
3 - Sembium [ Ward No.67 ] Kennedy Square Main Road
4 - Sembium [ Ward No.67] Kennedy Square 3rd Street
5 - Sembium [ Ward No.67 ] Gandhi Street",tamilaga vettri kazhagam,4.682779456193353
172,"St Mary Girls Matriculation Higher Secondary School, No.37, Madurai Samy Madam Street, Sembium, Chennai-11, West Block, East Facing, Room 2","1 - Sembium [ Ward No.67 ] Thillaiyadi Valliyamman Street
2 - Sembium [ Ward No.67 ] Ponnusamy Nagar 3rd Street
3 - Sembium [ Ward No.67 ] K.K.R Avenue (Don Bosco Street)",tamilaga vettri kazhagam,3.78657487091222
173,"St.Marys Girls Matric Hr Sec School, No.37,Madurai Samy Madam Street, Sembium, Chennai-11","1 - Sembium [ Ward No.67 ] Ponnusamy Nagar Bharathi Street
2 - Sembium [ Ward No.67 ] Ponnusamy Nagar 1st Street
3 - Sembium [ Ward No.67 ] Ponnusamy Nagar 2nd Street",tamilaga vettri kazhagam,6.866952789699571
174,"Smt Chandabai Pagaria Jain Matric.Hr Sec School, Papermills Road, Perambur, Chennai-11","1 - Sembium [ Ward No.67 ] George Colony Thirunavukarasu Street
2 - Sembium [ Ward No.67 ] George Colony Raghavan Street
3 - Sembium [ Ward No.67 ] George Colony Patham Street
4 - Sembium [ Ward No.67 ] Elumalai Street
5 - Sembium [ Ward No.67 ] E S I Colony Gurusamy Salai 999 - Overseas Elector",tamilaga vettri kazhagam,2.291666666666667
