serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
27,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Akbar Square 1st Street
2 - Kolathur [ Ward No.64] Akbar Square 2nd Street
3 - Kolathur [ Ward No.64 ] Akbar Square 3rd Street
4 - Kolathur [ Ward No.64] Akbar Square 4th Street
5 - Kolathur [ Ward No.64 ] East Railway Gate Kolathur Main Road
6 - Kolathur [ Ward No.64 ] East Railway Gate Cross Lane
7 - Kolathur [ Ward No.64] Kalaignar Karunanidhi Nagar 1st Street
8 - Kolathur [ Ward No.64 ] Kalaignar Karunanidhi Nagar 2nd Street
9 - Kolathur [ Ward No.64 ] Kalaignar Karunanidhi Nagar 3rd Street
10 - Kolathur [ Ward No.64 ] Kalaignar Karunanidhi Nagar Extension
11 - Kolathur [ Ward No.64] K.K.Nagar
12 - Kolathur [ Ward No.64 ] East Railway Gate Avvai Nagar 1st Street",dravida munnetra kazhagam,11.97604790419162
29,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64] Rajaji Nagar 4th Street
2 - Kolathur [ Ward No.64 ] Rajaji Nagar 6th Street",tamilaga vettri kazhagam,7.171314741035857
30,"Don Bosco Matriculation Hr Sec School, No.5, Srinivasa Nagar, Kolathur, Chennai-99, East Block, West Facing, Room 11","1 - Kolathur [ Ward No.64 ] Rajaji Nagar 7th Street
2 - Kolathur [ Ward No.64 ] Rajaji Nagar 8th Street
3 - Kolathur [ Ward No.64 ] Rajaji Nagar 9th Street
4 - Kolathur [ Ward No.64] Rajaji Nagar Subramania Street
5 - Kolathur [ Ward No.64 ] Rajaji Nagar Cauvery Street",tamilaga vettri kazhagam,8.450704225352112
31,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Rajaji Nagar Balaji Street
2 - Kolathur [ Ward No.64 ] Rajaji Nagar Murali Street
3 - Kolathur [ Ward No.64 ] Rajaji Nagar Parthiban Street
4 - Kolathur [ Ward No.64 ] Rajaji Nagar Ponni Street
5 - Kolathur [ Ward No.64 ] Pazhani Street Rajaji Nagar
6 - Kolathur [ Ward No.65] Arjun Nagar
7 - Kolathur [ Ward No.64 ] Muthamil Nagar",tamilaga vettri kazhagam,3.561253561253561
33,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Jagannathan Street
2 - Kolathur [ Ward No.64] Vegavathi Street
3 - Kolathur [ Ward No.64] Vegavathi Street Ext
4 - Kolathur [ Ward No.64] Rajaji Nagar Muthu Street
5 - Kolathur [ Ward No.64 ] Rajaji Nagar Rathinam Avenue",tamilaga vettri kazhagam,8.090614886731391
34,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Rajai Nagar Ganga Street
2 - Kolathur [ Ward No.64 ] Rajaji Nagar Venkataragava Street
3 - Kolathur [ Ward No.64 ] Rajaji Nagar Kamarajar Street
4 - Kolathur [ Ward No.64 ] Rajaji Nagar Rohini Street
5 - Kolathur [ Ward No.64 ] Rajaji Nagar Kalamegam Street
6 - Kolathur [ Ward No.64 ] Rajaji Nagar Subash Street
7 - Kolathur [ Ward No.64] Rajaji Nagar Peter Street",tamilaga vettri kazhagam,1.799100449775112
35,"Don Bosco Matriculation Hr Sec School, No 5,Srinivasa Nagar Kolathur Chennai - 99 East Block, West Facing Room 16","1 - Kolathur [ Ward No.64 ] Rajaji Nagar Bharathi Street
2 - Kolathur [ Ward No.64 ] Sivan Street
3 - Kolathur [ Ward No.64 ] Sashtri Avenue
4 - Kolathur [ Ward No.64 ] Rajaji Nagar Vaigai Street
5 - Kolathur [ Ward No.64 ] Rajaji Nagar Gokul 1st Street
6 - Kolathur [ Ward No.64 ] Rajaji Nagar Gokul 2nd Street",tamilaga vettri kazhagam,12.95731707317073
36,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Thanthai Periyar Kudil
2 - (Kolathur [ Ward No.64] V.V. Nagar 1st Street
3 - Kolathur [ Ward No.64 ] V.V. Nagar Ext
4 - Kolathur [ Ward No.64] V.V. Nagar 2nd Street
5 - Kolathur [ Ward No.64 ] V.V. Nagar 3rd Street
6 - Kolathur [ Ward No.64] V.V. Nagar 4th Street
7 - Kolathur [ Ward No.64 ] V.V. Nagar 5th Street
8 - Kolathur [ Ward No.64 ] V.V. Nagar 6th Street",tamilaga vettri kazhagam,7.473841554559043
38,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School, 2nd Street V V Nagar, Kolathur, Ch-99","1 - G K M Colony [ Ward No.68 ] Sathiyavanimuthu Street
2 - Kolathur Ward No.68 Kennedy Street G K M Colony 26th Street Door Number 1 to 36",tamilaga vettri kazhagam,10.53215077605321
40,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School, 2nd Street V V Nagar, Kolathur, Ch-99","1 - Kolathur [ Ward No.68 ] G K M Colony 30th Street ( MGR Street)
2 - Kolathur [ Ward No.68 ] G K M Colony 29th Street(Sivaji street)",tamilaga vettri kazhagam,8.647140864714087
