serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
168,"Chennai Primary School, Thiru Vi Ka Nagar,Sembium, Chennai-11","1 - Sembium [ Ward No.67 ] Thiruvalluvar Street Anbazhagan Nagar
2 - Sembium Ward No.67 Seethapathy Street",tamilaga vettri kazhagam,3.716216216216216
176,"St Mary Girls Matriculation Higher Secondary School, No.37, Madurai Samy Madam Street, Sembium, Chennai-11, West Block, East Facing, Room 4","1 - Sembium Ward No.67 Madurai Samy Madam Street Door No 55 to 60
2 - Sembium [ Ward No.67] Madurai Samy Madam 2nd Street",tamilaga vettri kazhagam,10.896309314587
178,"Chennai Urudu Primary School, Maduraisamy Madam Street, Sembium, Ch-11","1 - Sembium [ Ward No.67 ] Madurai Samy Madam Street Dr No: 101 to End
2 - Sembium [Ward No:67] Madurai Samy Madam Street ( Door
No- 61 to End )",tamilaga vettri kazhagam,3.478260869565217
203,"St.Marys Girls Matric Hr Sec School, No.37,Madurai Samy Madam Street, Sembium, Chennai-11","1 - Sembium [ Ward No.67 ] Kennedy Square 1st Cross Street
2 - Sembium [ Ward No.67] Kennedy Square 1st North Street
3 - Sembium [ Ward No.67 ] Kennedy Square 2nd North Street",dravida munnetra kazhagam,4.328358208955224
204,"St.Marys Girls Matric Hr Sec School, No.37,Madurai Samy Madam Street, Sembium, Chennai-11","1 - Sembium [ Ward No.67] Kennedy Square Kamarajar Street
2 - Sembium [ Ward No.67 ] Kennedy Square Kamarajar 1st Street
3 - Sembium [ Ward No.67 ] Kennedy Square Kamarajar 2nd Street
4 - Sembium [ Ward No.67 ] Kennedy Square Kamarajar 3rd Street
5 - Sembium [ Ward No.67 ] Sathiyanarayana Street",tamilaga vettri kazhagam,1.528384279475983
211,"Don Bosco Hr Sec School, No.130, Madharam High Road, Perambur, Chennai-11","1 - Perambur [ Ward No.70 ] Somasundaram Vinayagar Koil 3rd Street
2 - Perambur [ Ward No.70 ] Santhi Nagar 2nd Street
999 - Overseas Elector",dravida munnetra kazhagam,3.768506056527591
212,"Don Bosco Hr Sec School, No.130, Madharam High Road, Perambur, Chennai-11","1 - Perambur [ Ward No.70 ] Santhi Nagar Ist Street
2 - Perambur [ Ward No.70] Nithyananda Sagar Apartment
3 - Perambur [ Ward No.70 ] Ananda Apartments
4 - Perambur [ Ward No.70 ] K.K.R Apartments",dravida munnetra kazhagam,8.09968847352025
220,"Chennai Middle School, Maduma Nagar, Kabilar Street, Ch-11","1 - Sembium [ Ward No.70 ] Elango Street
2 - Sembium [ Ward No.70 ] Jawahar Street
3 - Sembium [ Ward No.70 ] Kambar Street
4 - Sembium [ Ward No.70 ] Raja Street
5 - Perambur [ Ward No.70] Ashok Street",dravida munnetra kazhagam,5.186385737439222
225,"St.Marys Boys Matric Hr Sec School,
No.34-117,Raghan Street, Perambur, Chennai-11",1 - Perambur [ Ward No.70 ] Muniyappa Street,tamilaga vettri kazhagam,12.23832528180354
226,"St.Marys Boys Matric Hr Sec School,
No.34-117,Raghan Street, Perambur, Chennai-11","1 - Sembium [ Ward No.70 ] Appulinga Vathiyar Street
2 - Perambur [ Ward No.70 ] Akash Flats
3 - Perambur [ Ward No.70 ] Nataraja Koil Street
4 - Perambur [ Ward No.70 ] Lakshmi Amman Koil Street
5 - Perambur [ Ward No.70] Srinivasa Raghavan Street",tamilaga vettri kazhagam,13.85991058122206
227,"St.Marys Boys Matric Hr Sec School,
No.34-117,Raghan Street, Perambur, Chennai-11",1 - Perambur [ Ward No.70 ] Raghavan Street,tamilaga vettri kazhagam,14.01050788091068
231,"Chennai Hr Sec School, No.38-42, Bunder Garden , Perambur, Chennai-11","1 - Perambur [ Ward No.70 ] Sundara Vinayakar Koil 1st Street
2 - Perambur [ Ward No.70 ] Bundher Garden Main Road
3 - Perarmbur [ Ward No.70 ] E Block Police Quarters",tamilaga vettri kazhagam,8.24891461649783
232,"Chennai Hr Sec School, No.38-42, Bunder Garden , Perambur, Chennai-11","1 - Perambur [ Ward No.70] Carpentor Street
2 - Perambur [ Ward No.70 ] Sundara Vinayagar Koil 2nd Street
3 - Perambur [ Ward No.70 ] A Block Police Quarters
4 - Perambur [ Ward No.70 ] B Block Police Quarters
5 - Perambur [ Ward No.70 ] C Block Police Quarters",tamilaga vettri kazhagam,13.47962382445141
246,"Regional Transport Office, Anderson Road, Aynaram, Ch-23","1 - Ayanavaram [ Ward No.70 ] Ponnuvelpuram 3rd Street
2 - Ayanavaram [ Ward No.70 ] Kasi Viswanathar Koil Street
3 - Nagammaiyaar Nagar [ Ward No.70] Phipps Road
4 - Nagammiyaar Nagar [ Ward No.70 ] Trivedhi Avenue
5 - Nagammiyaar Nagar [ Ward No.70 ] Anderson Road
6 - Nagammaiyaar Nagar [ Ward No.70] Railway Quartres Bramhaputra Apartment
7 - Nagammaiyaar Nagar [ Ward No.70 ] Annai Sathya Nagar",tamilaga vettri kazhagam,7.370184254606365
248,"Regional Transport Office, Anderson Road, Aynaram, Ch-23","1 - Nagammiyaar Nagar [ Ward No.70 ] Bangaru Street
2 - Nagammaiyaar nagar [Ward No 70 ] Bangaru cross Street",tamilaga vettri kazhagam,15.05376344086022
251,"Govt Model Hr Sec School, Jambulingam Main Road, GKM Colony, Ch-82","1 - Annai Anjugam Nagar [ Ward No.69 ] Karunanidhi Street
2 - Annai Anjugam Nagar [ Ward No.69 ] Muthukumarappa Street",tamilaga vettri kazhagam,10.37924151696607
252,"Govt Model Hr Sec School, Jambulingam Main Road, GKM Colony, Ch-82","1 - Agaram [ Ward No.69 ] Gandhi Nagar Kasthuribai Street
2 - Agaram [ Ward No.69 ] Kambar Street
3 - Agaram [ Ward No.69 ] Kalaivanar Street
4 - Agaram [ Ward No.69 ] Chitharanjan Avenue
5 - Agaram G K M Colony [ Ward No.69 ] Bharathiyar Street Venkatesan Nagar
6 - Agaram G K M Colony [ Ward No.69 ] M G R Street Venkatesan Nagar
7 - Agaram G K M Colony [ Ward No.69] V O C Street Venkatesan
Nagar",tamilaga vettri kazhagam,5.93900481540931
254,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82","1 - Jawahar Nagar [ Ward No.69 ] Kumaran Nagar 1st Street
2 - Jawahar Nagar [ Ward No.69 ] Kumaran Nagar 2nd Street
3 - Jawahar Nagar [ Ward No.69 ] Kumaran Nagar west extension
4 - Jawahar Nagar [ Ward No.69 ] Kumaran Nagar 3rd Street
5 - Kumaran Nagar [ Ward No.69 ] Radhakrishnan Nagar",dravida munnetra kazhagam,3.665689149560118
258,"Government primary school 12th Papammal St, GKM Colony Ch-82 North facing Room 3","1 - G K M.Colony [ Ward No.69 ] Kattabomman Street 7th Street
2 - G K M Colony [ Ward No.69 ] Karnal Sridhar Street 8th Street
3 - G K M Colony [ Ward No.69 ] Karunanidhi Street 9th Street
4 - G K M Colony [ Ward No.69] Kamarajar Street 10th Street",tamilaga vettri kazhagam,5.577689243027888
260,"Government primary school 12th Papammal St, GKM Colony Ch-82 North facing Room 4","1 - Agaram [ Ward No.69 ] Jambulingam 13th Street
2 - Agaram [ Ward No.69 ] Anna 14th Street
3 - Agaram [ Ward No.69] General Coacher 15th Street
4 - Agaram [ Ward No.69 ] General Choudhry 16th Street",dravida munnetra kazhagam,5.793742757821553
261,"Sacred Heart Nursery & Primary School, SRP Koil Street South, Jawahar Nagar, Chennai-82","1 - Agaram [ Ward No.69 ] Gopal Colony 1st Cross Street
2 - Agaram [ Ward No.69 ] Gopal Colony 2nd Cross Street
3 - Agaram [ Ward No.69] Gopal Colony 3rd Cross Street
4 - Agaram [ Ward No.69 ] Gopal Colony West Street
5 - Agaram [ Ward No.69 ] Gopal Reddy East Main Road",dravida munnetra kazhagam,12.83783783783784
264,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82","1 - Jawahar Nagar [ Ward No.69] 23rd Street Arulappan Street
2 - Agaram [ Ward No.69 ] Swarna Singh 17th Street 999 - Overseas Elector",tamilaga vettri kazhagam,3.59375
276,"Chennai High School, Somaiah Raja Street, Agaram, Ch-82","1 - Agaram [ Ward No.69 ] Sambasivam Street
2 - Agaram [ Ward No.69 ] Amirthammal Colony
3 - Agaram [ Ward No.69 ] Narayanan Street
4 - Agaram [ Ward No.69 ] Kanakar Street
5 - Agaram [ Ward No.69 ] Akshaya Apartments
6 - Agaram [ Ward No.69 ] Ganesh Apartments
7 - Agaram [ Ward No.69] Baburaja Street",tamilaga vettri kazhagam,6.95364238410596
277,"Sacred Heart Nursery & Primary School, SRP Koil Street South, Jawahar Nagar, Chennai-82","1 - Agaram [ Ward No.69 ] Sundaraj Perumal Koil Street ( North )
2 - Agaram [ Ward No.69 ] Viswam Appartments
3 - Agaram [ Ward No.69 ] R.C. Windsor Castle
4 - Agaram [ Ward No.69 ] Kanagalakshimi Apartments
5 - Agaram [ Ward No.69 ] Sundaraja Perumal Koil Street RCV Vincer
6 - Agaram [ Ward No.69 ] Sundarraja Perumal Koil Street
Kanagalakshmi",tamilaga vettri kazhagam,1.624548736462094
279,"Chennai High School, Somaiah Raja Street, Agaram, Ch-82","1 - Agaram [ Ward No.69 ] Loco Works 1st Street
2 - Agaram [ Ward No.69 ] Loco Works 2nd Street
3 - Agaram [ Ward No.69 ] Loco Works Road 1st Lane
4 - Agaram [ Ward No.69 ] Loco Works Road 2nd Lane
5 - Agaram [ Ward No.69 ] Loco Works Road 3rd Lane
6 - Agaram [ Ward No.69] Loco Scheme 1st Street",tamilaga vettri kazhagam,15.15679442508711
281,"Chennai High School, Somaiah Raja Street, Agaram, Ch-82","1 - Agaram [ Ward No.69 ] Loco Scheme 2nd Street
2 - Agaram [ Ward No.69 ] Somasundaram 1st Street
3 - Agaram [ Ward No.69 ] Somasundaram 2nd Street",dravida munnetra kazhagam,2.1484375
