Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Winner_Party,Margin_Percentage
39,Jambulingapuram,"T.N.D.T.A.  Primary  School  ,North  Building, Jambulingapuram","1.Jampulingapuram  (R.V)  And  (P)  Jampulingapuram  Block  1, 2.Jampulingapuram  (R.V)  And  (P)  MelaVeerapandiapuram  Block  2, 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,4.086845466155811
40,Puthupatcheri,"Anganwadi  Centre,  North  Portion, Puthupatcheri","1.Jampulingapuram  (R.V)  And  (P)  Pudhuchery  Block  3, 2.Jampulingapuram  (R.V)  And  (P)  Pudur  4, 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,2.142857142857143
47,Lakshmipuram,"Panchayat  Union  Primary  School  ,Main Building,  Lakshmipuram","1.Ottapidaram  (R.V)  And  (P)  Therku  Avarankadu  Block  3, 2.Ottapidaram  (R.V)  And  (P)  MelaMeenachipuram  Main  Street  Block  4, 3.Ottapidaram  (R.V)  And  (P)  Melameenachipuram  Colony  Street  Block  4, 4.Ottapidaram  (R.V)  And  (P)  Subramaniapuram  Block  5,
5.Ottapidaram  (R.V)  And  (P)  MelaLakshmipuram  Colony  Street  Block6, 6.Ottapidaram  (R.V)  And  (P)  MelaLakshmipuram  Main  Street  Block  6,
999.OVERSEAS  ELECTORS",Puthiya Tamilagam,18.25775656324582
51,Governagiri,"T.N.D.T.A.Primary  School,  West  Building, Gavernagiri","1.Pachalamkurichi  (R.V),  Governagri  (P)  Governagri  Block  2,
2.Pachalamkurichi  (R.V),  Governagri  (P)  Veeran  Sundaranar  Nagar  Block 3,
9999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,2.955665024630542
53,"Vadakku
Avarankadu","T.N.D.T.A  Primary  School,  South  Facing, Vadakku  Avarankadu","1.Panchalankurchi  (R.V),  Ahilandapuram  (P)  Ahilandapuram  Block  1,
2.Panchalankuruchi  (R.V),  Ahilandapuram  (P)  North  Avarankadu  Block  2, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,2.884615384615385
55,Sinthalakattai,"TNDTA  Primary  School,  Sinthalakattai","1.Sinthalakattai  (R.V),  Kurukkusalai  (P)  Sinthalakkattai  block  4,
2.Sinthalakattai  (R.V),  Kurukkusalai  (P)  Sinthalakkatti  Pachery  Block  5, 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,0.823045267489712
63,Puthiamputhur,"T.N.D.T.A.  Primary  School  ,New  Building, West  Block  North  Portion,  Ist  Room, Puthiamputhur","1.Puthiamputhur  (R.V)  And  (P)  Puthiamputhur  East  street  Block  2, 2.Puthiampuththur  (R.V)  And  (P)  Vallinayakepuram  Block  7, 3.Puthiampuththur  (R.V)  And  (P)  Kalukasapuram  Block  8, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,8.345534407027818
66,Saminattham,"Hindu  Middle  School,  Main  Building,  North Portion,  Saminattham","1.Samynatham  (R.V)  And  (P)  Samynatham  Block  2, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,0.1481481481481481
67,Puthiyamputhur,"T.N.D.T.A.  Primary  School,  South  side Building,  west  1st  Room,  Puthiyamputhur","1.Samynatham  (R.V)  And  (P)  Naduvakurichi  Block  4, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,8.801498127340825
84,AnanthamadanPach ery,"Panchayat  Union  Middle  School  Main Building,  AnanthamadanPachery","1.Tharuvaikulam  (R.V)  And  (P)  And  (P)  Ananthamadan  pachery  Block  7  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,0.5524861878453038
88,Pudur Pandiyapuram,"T.N.D.A  Middle  School,  North  Building, Pudur  pandiapuram","1.Pudur  pandyapuram  (R.V)  And  (P)  Pudur  pandyapuram  Block  1,
2.Pudur  Pandyapuram  (R.V)  And  (P)  Pudur  Pandyapuram  Block  2, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.6887417218543
161,Savalaperi,"Panchayat  Union  Primary  School  ,West  Side Savalaperi","1.Alantha  (R.V)  And  (P)  Savalaperi  South  Street  Block  3,
2.Alantha  (R.V)  And  (P)  Savalaperi  Harijan  Street  Block  4,
3.Alantha  (R.V)  And  (P)  Savalaperi  Harijan  North  Street  Block  5,
4.Alantha  (R.V)  And  (P)  Savalaperi  Harijan  Keelastreet  Harijancolony Block,  999.OVERSEAS  ELECTORS",Puthiya Tamilagam,31.58522050059594
162,MelaPoovani,"T.N.D.T.A.  Primary  School,  North  Side  Mela poovani,","1.Poovani  (R.V)  And  (P)  South  Street  Block  1,
2.Poovani  (R.V)  And  (P)  West  Street  Block  1,
3.Poovani  (R.V)  And  (P)  Middle  Street  Block  1,
4.Poovani  (R.V)  And  (P)  East  Street  Block  1,
5.Poovani  (R.V)  And  (P)  Colony  Block  1, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,12.35194585448393
163,Lakshmi  puram,Panchayat  union  primary  school  North Building  Lakshmi  puram,"1.Poovani  (R.V)  And  (P)  Middle  Street  Block  2,
2.Poovani  (R.V)  And  (P)  East  Street  Block  2,
3.Poovani  (R.V)  And  (P)  South  Street  Block  2,
4.Poovani  (R.V)  And  (P)  West  Street  Block  2,
5.Poovani  (R.V)  And  (P)  North  Street  Block  2,
6.Poovani  (R.V)  And  (P)  North  Street  Colony  Block  2, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,2.0
208,Kasilingapuram,"Panchayat  Union  Primary  School  ,North Building  Facing  south,  Kasilingapuram","1.Singathakurichi  (R.V)  And  (P)  Kasilingapuram  Block  5, 2.Singathakurichi  (R.V)  And  (P)  Kasilingapuram  Block  6, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,3.961456102783726
210,Alantha,"Panchayat  Union  primary  school,  North Building  Facing  West,  Alantha","1.Alantha  (R.V)  And  (P)  South  Street  Block  1,
2.Alantha  (R.V)  And  (P)  West  Street  Block  2,
3.Alantha  (R.V)  And  (P)  Middle  Street  Block  2,
4.Alantha  (R.V)  And  (P)  East  Street  Block  2,
5.Alantha  (R.V)  And  (P)  North  Street  Block  2, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,26.06451612903226
211,Ulakkudi,"Govt.  Adi  Dravidar  Welfare  Primary  School, Ulakudi","1.Ulakkudi  (R.V),  Kaliyavoor  (P)  Ulakkudi  block  8, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,23.61111111111111
234,Vittilapuram,"Panchayat  Union  Primary  School  North building  North  portion,  Vittilapuram","1.Vettilapuram  (R.V)  And  (P)  Gollikulam  Block  3, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,6.818181818181817
235,Nattarkulam,"R.C.  primary  School  ,  North  Building  1st Room,  Nattarkulam.","1.Vettilapuram  (R.V)  And  (P)  Nattar  Kulam  Block  4, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,13.12741312741313
245,Manakkarai,"Panchayat  Union  Primar  School  Main Building,  Manakkarai","1.Manakkarai  (R.V)  And  (P)  North  Street  Block  5,
2.Manakkarai  (R.V)  And  (P)  Manakkarai  Keelur  Block  6, 3.Manakkarai  (R.V)  And  (P)  Manakkarai  Therhur  Block  6,
4.Manakkarai  (R.V)  And  (P)  Manakkarai  Vadakkur  Block  6,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,2.957486136783734
