Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Winner_Party,Margin_Percentage
170,Sekkarakudi  1,"Govt  Higher  secondary  School,  ,Eastern Wing  Sekkarakudi","1.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Mela  Street  Block  10,
2.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Middle  Street  Block  10, 3.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Keela  Street  Block  10, 4.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  North  street  Block  12, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,3.982300884955752
171,Sekkarakudi  1,"Govt  Higher  secondary  School,  Center building  Middle  Portion,  Sekkarakudi","1.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Main  street  Block  11, 2.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  North  street  Block  11,
3.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Middle  Street  Block  12,
4.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  South  Street  Block  12, 999.OVERSEAS  ELECTORS",Amma Makkal Munnettra Kazagam,8.99854862119013
172,Umerikottai,"Panchayat  Union  Primary  School  ,East Building,Umerikottai","1.Umarikottai  (R.V)  And  (P)  Complete  Umarikottai  Block  1,  2.Umarikottai (R.V)  And  (P)  Complete  Umarikottai  Block  2,  3.Umarikottai  (R.V)  And  (P) Complete  Varatharajapuram  Block  4,999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,1.065719360568384
175,Melathattapparai,"Panchayat  Union  Primary  School  ,  North Building,  Campthattapparai","1.Melathattaparai  (R.V)  And  (P)  Melathattaparai  Kasbha  Block  1, 2.Melathattaparai  (R.V)  And  (P)  Melathattaparai  Kasbha  Block  2, 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,1.182033096926714
178,Therkusilukkanpatt i,"Panchayat  Union  Primary  School  ,  East Block  Therkusilukkanpatti","1.Therkusilukanpatti  (R.V)  And  (P)  Middle  Street  Block  1, 2.Therkusilukanpatti  (R.V)  And  (P)  Thoppu  Street  Block  2, 3.Therkusilukanpatti  (R.V)  And  (P)  West  Street  Block  2,
4.Therkusilukanpatti  (R.V)  And  (P)  Adidravider  Street  Block  2,
5.Therkusilukanpatti  (R.V)  And  (P)  East  Street  Block  5,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,10.59245960502693
205,Deivaseyelpuram,"Panchayat  Union  Primary  School,  North Building,  Eastern  side,Deivaseyelpuram","1.Deivaseyalpuram  (R.V),Ellainayakkanpatti  (P)  Deivaseyalpuram  North Street  Block  1,  2.Deivaseyalpuram  (R.V),  Ellainayakkanpatti  (P) Deivaseyalpuram  Middle  Street  Block  1,  3.Deivaseyalpuram  (R.V),
Ellainayakkanpatti  (P)  Deivaseyalpuram  JothiStreet  Block  2, 4.Deivaseyalpuram  (R,V),  Ellainayakkanpatti  (P)  Deivaseyalpuram
SouthStreet  Block  2,  5.Deivaseyalpuram  (R.V)  Ellainayakkanpatti  (P) Deivaseyalpuram  East  Street  Block  2,
6.Keelavallanadu  (R.V)  And  (P)  Thoothukudi  Water  Works  Block  1, 7.Keelavallanadu  (R.V)  And  (P)  Thiruvenkadapuram,  Pandarapuram
Block  2,
8.Keelavallanadu  (R.V)  And  (P)  Piramiyarkulam  Block  2, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,6.724782067247821
209,Singathakurichi,"Panchayat  Union  Primary  School,  New Building,  West  Facing,  Singatthakurichi","1.Singathakurichi  (R.V)  And  (P)  Singhathakurichi  kasbha  block  1, 2.Singathakurichi  (R.V)  And  (P)  Singhathakurichi  Kasbha  block  2, 3.Singathakurichi  (R.V)  And  (P)  Singhathakurichi  Kasbha  BLock  3, 4.Singathakurichi  (R.V)  And  (P)  Singhathakurichi  Block  4, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,8.439897698209718
214,Kaliyavur,"Panchayat  Union  Primary  School,  New Building  South  Side,  Kaliavur","1.Kaliyavoor  (R.V)  And  (P)  Christen,  velalar,  harijanstreet  block  5, 2.Kaliyavoor  (R.V)  And  (P)  Harijancolony  CenterStreet  Block  6, 3.Kaliyavoor  (R.V)  And  (P)  Kalangarai  Block  7,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,4.159733777038269
216,Vallanadu,"Panchayat  Union  Primary  School  ,Main Building,West  sideVallanadu","1.Vadavallanadu  (R.V)  And  (P)  Vadavallanadu  (P)  Block  1, 2.Vadavallanadu  (R.V)  And  (P)  Vadavallanadu  (P)  Block  2, 3.Vadavallanadu  (R.V)  And  (P)  Thiruvenkadam  Block  3,
Paraikadu  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.24691358024691
218,Vallanadukasba,Panchayat  Union  Primary  School  East Building  North  Portion  Facing  North Vallanadu,"1.Vallanadukasba  (R.V)  And  (P)  Vadavallanadu  Kasbha  Block  2, 2.Vallanadukasba  (R.V)  And  (P)  Vadavallanadu  Kasbha  Block  3, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,0.7614213197969544
219,Vallanadukasba,"Desapandu  V.D.V  Deivanayagampillai  Govt Hr  Sec  School  ,  North  Building,  East  Portion, Vallandu  kusba","1.Vallanadukasba  (R.V)  And  (P)  North  muthuramamman  kovil  street block  6,
2.Vallanadukasba  (R.V)  And  (P)  MayandiKovil  Street  Block  7, 3.Vallanadukasba  (R.V)  And  (P)  Kaniyar  Street  Block  6,
999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,0.4431314623338257
224,Agaram,"Panchayat  Union  Primary  School,  Agaram","1.Vallanadukasba  (R.V)  And  (P)  Agaram  block  12, 2.Vallanadukasba  (R.V)  And  (P)  Agaram  Block  13, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.67415730337079
225,Murappanadu,"Panchayat  Union  Middle  School  ,Main Building,  South  Portion  Murappanadu","1.MurappanaduKovilpathu  (R.V)  And  (P)  Murappanadu  kasbha  Block  1, 2.MurappanaduKovilpathu  (R.V)  And  (P)  Puducolony  padukaiur  Block  2, 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,3.338391502276176
230,Anavarathanallur,"Govt  High  School  ,New  South  Building  from West  1st  Room,  Anavarathanallur","1.Vasavappuram  (R.V)  And  (P)  Anavarathanallur  Block  4, 2.Vasavappuram  (R.V)  And  (P)  Anavarathanallur  Block  5, 3.Vasavappuram  (R.V)  And  (P)  Anawarathanallur  Block  6, 4.Vasavappuram  (R.V)  And  (P)  Anavarathanallur  Block  7, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.31518624641834
232,Anavarathanallur,"Govt  High  School  west  Building  ,(South Portion)Anavarathanallur","1.Vasavappuram  (R.V)  And  (P)  Vasavappuram  Block  1, 2.Vasavappuram  (R.V)  And  (P)  Vasavappuram  Block  2, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,3.516819571865443
236,Vittilapuram,"Panchayat  Union  Primary  School  Main  Hall
,South  building  North  portion,  Vittilapuram","1.Vettilapuram  (R.V)  And  (P)  Vettilapuram  Kasbha  Block  1, 2.Vettilapuram  (R.V)  And  (P)  Vettilapuram  Kasbha  Block  2, 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,0.3846153846153846
238,Vittilapuram,"Panchayat  Union  Primary  School,  North Building,South  Portion,Vittilapuram","1.Aallikudi  (R.V)  And  (P)  Aallikudi  Block  1, 2.Aallikudi  (R.V)  And  (P)  Aallikudi  Block  2, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,0.9025270758122744
243,Ananthanambi-kur uchi,"Panchayat  Union  Primary  School, Ananthanambikuruchi","1.Manakkarai  (R.V)  And  (P)  East  Street  Block  7,
2.Manakkarai  (R.V)  And  (P)  Pattamuthu  Street  Block  7, 3.Manakkarai  (R.V)  And  (P)  West  Street  Block  7,
4.Manakkarai  (R.V)  And  (P)  South  Street  Block  7, 5.Manakkarai  (R.V)  And  (P)  North  Street  Block  8, 6.Manakkarai  (R.V)  And  (P)  New  Colony  Block  8, 7.Manakkarai  (R.V)  And  (P)  Vadakkoor  Block  8,
8.Manakkarai  (R.V)  And  (P)  Killikulam  Howsing  Board  Block  8,
999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,3.270223752151463
252,Mudivaithanandal,"Govt  Hr  Sec,  School  ,  North  West  Building, South  Portion,  Mudivaithanenthal","1.Mudivaithanendal  (R.V)  And  (P)  Mudivaithanendal  yadavar  street  block 4,
2.Mudivaithanendal  (R.V)  And  (P)  Keelastreet  Block  5,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,13.54330708661417
254,Mudivaithanandal,"Hindu  Middle  School  ,North  Building  ,Noth Room,Mudivaithanandal","1.Mudivaithanendal  (R.V)  And  (P)  Part  Melastreet  block  10, 2.Mudivaithanendal  (R.V)  And  (P)  Part  MelaStreet  Block  11, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,25.87155963302752
281,Kootampuli,"T.N.D.T.A  Middle  School,  North  Building from  East  Portion  1'st  Room,  Kootampuli","1.Kumaragiri  (R.V)  And  (P)  North  Street  Block  7,  2.Kumaragiri  (R.V)  And
(P)  Ramasamyapuram  North  Street  Block  7,  3.Kumaragiri  (R.V)  And  (P) School  Street  Block  7,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,1.179245283018868
283,Atthimarapatti,"T.N.D.T.A.  Primary  School  ,  North  Building East  Side  Atthimarapatti","1.(Thoothukudi  Corporation)  Athimarappatti  Block  4, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,15.06591337099812
293,Podammalpuram,Hindu  Primary  School  Podammalpuram,"1.Kulaiyankarisal  (R.V)  And  (P)  Diraviapuram  South  Street  Block  10,
2.Kulaiyankarisal  (R.V)  And  (P)  Podammalpuram  South  Street  Block  10, 3.Kulaiankarisal  (R.V)  And  (P)  Podammalpuram  North  Street  Block 11,999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,0.2188183807439825
296,Kulaiyankarisal,"T.N.D.T.A.  Abiseganathar  Hr.  Sec  School  , New  Building  South  Room-1  Kulaiankarisel","1.Kulaiyankarisal  (R.V)  And  (P)  East  Street  Block  7,
2.Kulaiyankarisal  (R.V)  And  (P)  East  Street  Continues  West  Block  7, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.27309236947791
