Location and name of building in which Polling Station located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Govt.Hr.Sec. School,    New Building,Southern Side, Eastern Portion    Ayikudi",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec. School,   Eastern Building   Northern Portion Ayikudi.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec. School,   Nabard Building 12 th Maths Class Room Hall no 2   North Building East portion Sambavarvadakarai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec. School, West Building, North Portion, East facing, Sambavarvadakarai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec. School, Western building, Central   Portion East Facing Ayikudi.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec. School,Nabard Building 11th Computer Science Class Room West Building,East Facing, Sambavarvadakarai",1,Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec. School,West Building, South Portion, East facing, Sambavarvadakarai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec.School,     East Building,West Facing South Side,   Kandukondan Manikkam Urmelalagian,",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec.School,    East Building, West Facing North Side,   Urmelalagian,",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec.School, Central Building South portion,west Facing, Sambavarvadakarai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec.School, North New Building, East Portion, Urmelalagian",1,Tamilaga Vettri Kazhagam,1
"Govt.Hr.Sec.School, North New Building, West portion, Urmelalagian",1,Dravida Munnetra Kazhagam,1
Govt.Middle School    North New Building    Poolankudiyiruppu,1,Dravida Munnetra Kazhagam,1
Govt.Middle School    Northern Portion Main Building Poolankudiyiruppu,1,Dravida Munnetra Kazhagam,1
Govt.Middle School   Old Building. Western Portion Karkudi,1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Middle School ,    New Building   Kambili",1,Dravida Munnetra Kazhagam,1
"Govt.Middle School New Building, Western Portion, East Facing, Kambili",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Middle School,   East Building,Middle Portion Katcheri Compound, Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Middle School,   North East Building East Portion,    Katcheri Compound,    Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Middle School, Anganwadi centre, East building,East Facing Katcheri Compound, Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
Govt.Middle school   South New Building North Facing Karkudi,1,All India Anna Dravida Munnetra Kazhagam,1
Govt.Primary School    Main Building    Kesavapuram,1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School    Northern Building, Western Side, Kattalaikudiyiruppu.",1,All India Anna Dravida Munnetra Kazhagam,1
Govt.Primary School    South Portion    Kattalai Kudiyiruppu,1,All India Anna Dravida Munnetra Kazhagam,1
Govt.Primary School    Western New Building Sambavarvadakarai,1,All India Anna Dravida Munnetra Kazhagam,1
Govt.Primary School   Main Building    Eastern portion Agarakattu,1,Dravida Munnetra Kazhagam,1
Govt.Primary School   Main Building   Western Portion Agarakattu,1,Tamilaga Vettri Kazhagam,1
Govt.Primary School   Mattu Chinan Poigai,1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School , Northern Wing, West Section Sambavar vadakarai Keelur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School ,Eestern Wing, Urmelalagian",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School Middle Portion, East Facing, Sambavarvadakarai Keelur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Primary School South Building West Section,South Facing, Sambavarvadakarai Keelur",1,All India Anna Dravida Munnetra Kazhagam,1
