Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
59,"Panchayat Union Middle School ,New Building, Western Block, Northern Portion, Piranthankulam.","1.Tirunelveli (C) Palayamkottai Ward No.7 Kamarajar Street,. , 2.Tirunelveli (C) Palayamkottai Ward No.7 Piranthankulam North Portion, 3.Tirunelveli (C) Palayamkottai Ward No.7 V.O.C. Street. , 999.Overseas Electors",Tamilaga Vettri Kazhagam,13.27300150829563
60,"Panchayat Union Middle School ,South Building, Western Portion Piranthankulam.","1.Tirunelveli (C) Palayamkottai Ward No.7 Kennady Street, , 2.Tirunelveli (C) Palayamkottai Ward No.7 Mariamman Koil Street, , 3.Tirunelveli (C) Palayamkottai Ward No.7 Josiyar Street, , 4.Tirunelveli (C) Palayamkottai Ward No.7 Kasthuribai Street, , 5.Tirunelveli (C) Palayamkottai Ward No.7 Sanjai Gandhi Street, , 6.Tirunelveli (C) Palayamkottai Ward No.7 Karai Street, , 7.Tirunelveli (C) Palayamkottai Ward No.7 Sweeper Colony Street, , 999.Overseas Electors",Tamilaga Vettri Kazhagam,18.9358372456964
62,"Panchayat Union Middle School , New Building Western Block, South Portion, IInd Room Piranthankulam, Manakavalampillai Nagar.","1.Tirunelveli (C) Palayamkottai Ward No.7 Esakki Amman Koil Street, , 2.Tirunelveli (C) Palayamkottai Ward No.7 Santhanamariamman Koil St , 3.Tirunelveli (C) Palayamkottai Ward No.7 Indira Gandhi Street, , 4.Tirunelveli
(C) Palayamkottai Ward No.7 Nehru Main Street, , 5.Tirunelveli (C) Palayamkottai Ward No.7 Veda Koil Street, , 6.Tirunelveli (C) Palayamkottai Ward No.7 Asath Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,13.79310344827586
63,"Young Men Christrian Association Boys Hostel ,Main Building, West Portion, Palayamkottai","1.Tirunelveli (C) Palayamkottai Anna Street, Anna East Street, Ward No 6 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,25.0
66,"Corporation Vadakkupadai Primary School, Main Hall, Eyarpagainayanar Street, Palayamkottai.","1.Tirunelveli (C) Palayamkottai Moorthy Nayanar Street, Ward No 10 , 2.Tirunelveli (C) Palayamkottai Ilayankudinayanar Street, Ward No 10 , 3.Tirunelveli (C) Palayamkottai Murugan Nayanar Street, Ward No 10 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,6.122448979591836
68,"Corporation Vadkkupadai Primary School
,New Building, Southern Portion Eyarpagainayanar Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Pugal Chola Nayanar Street, Ward 10 , 2.Tirunelveli (C) Palayamkottai Kungaliya Nayanar Street, Ward 10 , 3.Tirunelveli (C) Palayamkottai Maikanda Nayanar Street, Ward 10 , 4.Tirunelveli (C) Palayamkottai Siruthunai Nayanar Street, Ward 10 , 5.Tirunelveli (C) Palayamkottai Nabigal Nayagam Street, Ward 10 , 6.Tirunelveli
(C) Palayamkottai Visalatchi Amman Koil Street, Ward 10 , 7.Tirunelveli (C) Palayamkottai Pugal Thunai Nayanar Street, Ward No 10 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,9.195402298850574
70,"C.M.S, Mary Arden School, Arden Hall, South Portion, Palayamkottai","1.Tirunelveli (C) Palayamkottai Uruthira Pasupathi Nayanar Street, Ward No 4 2.Tirunelveli (C) Palayamkottai Narasingamunaiyaduvar Nayanar Street, Ward No 10 , 3.Tirunelveli (C) Palayamkottai Thirunavukarasu Nayanar Street, Ward No 10 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,13.96825396825397
80,"TDTA Primary School, Western Building Christhu Koil Street. Samathanapuram","1.Tirunelveli (C) Palayamkottai Munaiyaduvar Nayanar Street, Ward No 9 , 2.Tirunelveli (C) Palayamkottai Seevalaperi Road, Ward No 8, 3.Tirunelveli (C) Palayamkottai Parathavar Street, Ward No 8, 4.Tirunelveli (C) Palayamkottai Gnana Ananthar Street, Ward No. 8 , 999.Overseas Electors
Page 18 of 78",Tamilaga Vettri Kazhagam,1.610017889087657
81,"TDTA Primary School, ,Eastren Block, Backside room, Christhu Koil Street. Samathanapuram","1.Tirunelveli (C) Palayamkottai Aputhiran Street, Ward No 8 , 2.Tirunelveli (C) Palayamkottai. Sakthi Nagar, Ward No 8 , 3.Tirunelveli (C) Palayamkottai Pothu Nala Street, Ward No 8 , 4.Tirunelveli (C) Palayamkottai Nalvali Street, Ward No 8 , 5.Tirunelveli (C) Palayamkottai Kapilar Street, Ward No 8 , 6.Tirunelveli (C) Palayamkottai Kaliamman Koil Street, Ward No. 8 , 7.Tirunelveli (C) Palayamkottai Kananathanayanar Street Ward No 8, 999.Overseas Electors",Tamilaga Vettri Kazhagam,7.664233576642336
82,"TDTA Primary School ,Additional Building Christhu Koil Street Samathanapuram","1.Tirunelveli (C) Palayamkottai Parichutha Aavi Street, Ward No 8 2.Tirunelveli
(C) Palayamkottai Thiruchendur Road, Ward No. 8 , 3.Tirunelveli (C) Palayamkottai Thalavai Amman Koil Street, Ward No 8 , 4.Tirunelveli (C) Palayamkottai Anthoniar Koil Street, Ward No 8 , 5.Tirunelveli (C) Palayamkottai Sevadi Street, Ward No 8 , 6.Tirunelveli (C) Palayamkottai Veeramamunivar Street, Ward No. 8 , 999.Overseas Electors",Dravida Munnetra Kazhagam,3.292894280762565
