Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
35,"Corporation Old Primary School, ,Main Southern Hall. Salai Street, Vannarpettai","1.Tirunelveli (C) Vannarpettai. Ettuthogai Street. Ward No 11 , , 2.Tirunelveli
(C) Vannarpettai Thiruneelakanda Nayanar Street, Ward No 11 , 3.Tirunelveli
(C) Vannarpettai Patthu Pattu Street, Ward No 11 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,18.88544891640867
36,"Corporation New Middle school, East building North portion, Salai Street, Vannarpettai.","1.Tirunelveli Vannarpettai Indira Colony, Ward No 11. , 2.Tirunelveli (C) Vannarpettai. Kundalakesi Street, Ward No. 11 , 3.Tirunelveli (C) Vannarpettai. Appar Swamigal Street, Ward No 11. , 4.Tirunelveli (C) Vannarpettai Chinthamani Street, Ward No 11. , 999.Overseas Electors",Tamilaga Vettri Kazhagam,29.21810699588477
37,"Corporation New Middle School, East Building,South Portion, Salai Street, Vannarpettai.","1.Tirunelveli (C) Vannarpettai Kuravanchi Street, Ward No 11, 2.Tirnelveli (C) Vannarpettai Vetri Veladi Vinayagar Koil Street, Ward No 11 , 3.Tirunelveli (C) Vannarpettai Salai Street -II, Ward No 11 999.Overseas Electors",Tamilaga Vettri Kazhagam,21.99687987519501
38,"Corporation New Middle School, New South Building,East Portion, Salai Street, Vannarpettai.","1.Tirunelveli (C) Vannarpettai Kamparamayana Street, Ward No 11 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,18.86792452830189
39,"Corporation New Middle School, South Building,East Portion, Salai Street, Vannarpettai.","1.Tirunelveli (C) Vannarpettai. Peratchi Amman Kovil Street,  Ward No 11 , 2.Tirunelveli (C) Vannarpettai. Balaji Nagar, Ward No 11 , 3.Tiruneveli (C) Vannarpettai. Indira Colony, Ward No 11 , 4.Tirunelveli (C) Vannarpettai Ramalingar Street, Ward No 11 , 5.Tirunelveli (C) Vannarpettai Bye Pass Road, Ward No 11 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,22.55489021956088
41,"Corporation New Middle School, North Building, East Portion, Salai Street, Vannarpettai","1.Tirunelveli (C) Vannarpettai Salai Street, Ward No 11 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,29.3103448275862
44,"Francis Xavier School (CBSE), west Building, Ground floor, Middle Portion, Barani Nagar
,Vannarpettai, Ward No.10.","1.Tirunelveli (C) Vellakovil Barani Nagar, Sowdampikai Street,  Wno 10 , 2.Tirunelveli (C) Vellakovil Ward No. 10 Barani Nagar Tulasi Ram Street, , 3.Tirunelveli (C) Vellakovil Ward No. 10 Barani Nagar Xaviers Street, , 4.Tirunelveli (C) Vellakovil Ward No. 10 Barani Nagar Pilliyarkoil Street, , 5.Tirunelveli (C) Vellakovil Ward No. 10 Barani Nagar Brindavanam Street, , 6.Tirunelveli (C) Vellakovil Ward No. 10 Barani Nagar V.O.C. Street, , 7.Tirunelveli (C) Vellakovil Ward No. 10 Barani Nagar Balaji Street, , 8.Tirunelveli (C) Vellakovil Ward No. 10 Barani Nagar Rojavana Street, , 9.Tirunelveli (C) Vellakovil Ward No. 10 Barani Nagar Parijatham Street, , 10.Tirunelveli (C) Vellakovil Ward No. 10 Barani Nagar Muthamil Street, , 11.Tirunelveli (C) Vellakovil Ward No.10 Barani Nagar Aravindar Street , 12.Tirunelveli (C) Vellakovil Ward No. 10 Vellakoil Barani Nagar Main Street, , 13.Tirunelveli (C) Vellkovil Ward No. 10 Venkatesh Bye Pass Road North,.
999.Overseas Electors",Tamilaga Vettri Kazhagam,10.75471698113208
61,"Panchayat Union Middle School , New Building Western Block, South Portion, 1st Room Piranthankulam, Manakavalampillai Nagar.","1.Tirunelveli (C) Palayamkottai Ward No.7 Bharathiyar Street, , 2.Tirunelveli (C) Palayamkottai Ward No 7 Manakavalampillai Nagar, Gandhi North Street, , 3.Tirunelveli (C) Palayamkottai Ward No 7 Manakavalampillai Gandhi  Street, 4.Tirunelveli (C) Palayamkottai Ward No 7 Ulagamman Koil Street, , 999.Overseas Electors",Tamilaga Vettri Kazhagam,15.09121061359867
67,"Corporation Vadkkupadai Primary School , New Building, Northern Portion Eyarpagainayanar Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Enathi Nayanar Street, Ward 10 , 2.Tirunelveli
(C) Palayamkottai Ulgamman Koil Street, Ward No. 10 , 3.Tirunelveli (C) Palayamkottai Kaligama Nayanar Street, Ward 10 , 4.Tirunelveli (C) Palayamkottai Thirugnana Sampantha Nayanar Street, Ward 4 , 5.Tirunelveli (C) Palayamkottai Thiruneelakanda Nayanar Street, Ward 10 , 6.Tirunelveli (C) Palayamkottai Athipaktha Nayanar Street, Ward 10 , 7.Tirunelveli (C) Palayamkottai Amarneethi Nayanar Street, Ward 10 , 8.Tirunelveli (C) Palayamkottai Kotpuli Nayanar Street, Ward 10 , 9.Tirunelveli (C) Palayamkottai Kootruva Nayanar Street. Ward No 10 ,
999.Overseas Electors",Tamilaga Vettri Kazhagam,26.69491525423729
69,"C.M.S. Mary Arden Middle School, ,Arden Hall ,Northern Side,Palayamkottai","1.Tirunelveli (C) Palayamkottai Nedumaran Nayanar Street, Ward No 10 , 2.Tirunelveli (C) Palayamkottai Cheraman Peruman Nayanar Street, Ward No 4
, 3.Tirunelveli (C) Palayamkottai Kottur Road Ward 10, , 4.Tirunelveli (C) Palayamkottai Siruthondar Nayanar Street, Ward No 10 , 5.Tirunelveli (C) Palayamkottai Kottur Road Ward No.4 , 6.Tirunelveli (C) Palayamkottai Sakthi Nayanar Street Ward No 9 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,25.0
