Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Margin_Percentage
50,PANCHAYAT UNION PRIMARY SCHOOL L.ENDATHUR SOUTH FACING EAST SIDE,"1.L. Endathur (P) And (R.V), Ward 2 bharathi nagar mgr nagar
2.L. Endathur (P) And (R.V), Ward 1 Perumal Koil st
3.L. Endathur (P) And (R.V), Ward 1 Mariyamman Koil St
4.L. Endathur (P) And (R.V), Ward 1 Nethaji St
5.L. Endathur (P) And (R.V), Ward 1 Annai Therasa St
6.L. Endathur (P) And (R.V), Ward 1 Bazar St
7.L. Endathur (P) And (R.V), Ward 1 Mettu St
8.L. Endathur (P) And (R.V), Ward 1 Varasakthi Vinayagar Koil St
9.L. Endathur (P) And (R.V), Ward 1 Kanniamman Koil St
10.L. Endathur (P) And (R.V), Ward 1 Osuramman Koil Kurukku St
11.L. Endathur (P) And (R.V), Ward 1 Thropathiamman Koil St
12.L. Endathur (P) And (R.V), Ward 1 Thurkaiamman Koil St
13.L. Endathur (P) And (R.V), Ward 2 Mariamman Koil St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,4.134929270946682
51,PANCHAYAT UNION PRIMARY SCHOOL L.ENDATHUR SOUTH FACING EAST SIDE,"1.L. Endathur (P) And (R.V), Ward 2 Nethaji Suba Chandra Bose St
2.L. Endathur (P) And (R.V), Ward 2 Annai Indira St
3.L. Endathur (P) And (R.V), Ward 2 Kamarajar St
4.L. Endathur (P) And (R.V), Ward 2 Thiruvalluvar St
5.L. Endathur (P) And (R.V), Ward 2 Annal ambedkar nagar
6.L. Endathur (P) And (R.V), Ward 3 Janakirama Reddiyar St
7.L. Endathur (P) And (R.V), Ward 3 Kullathamman Koil St
8.L. Endathur (P) And (R.V), Ward 3 Palla St
9.L. Endathur (P) And (R.V), Ward Magatma Gandhi St
10.L. Endathur (P) And (R.V), Ward 3 Nehru St
11.L. Endathur (P) And (R.V), Ward 3 Thanthai periyar st
12.L. Endathur (P) And (R.V), Ward 3 Kumaran st
13.L. Endathur (P) And (R.V), Ward 3 Pudu Nagar 999.Overseas Electors",Dravida Munnetra Kazhagam,8.333333333333332
57,Panchayat Union Middle School Puthupattu East Facing,"1.Puthupatu (P) Pillanthikuppam (P) And (R.V), Ward 1 pillanthikuppam village st
2.Puthupatu (P) Pillanthikuppam (R.V), Ward 1 Pillanthikuppam Colony St
3.Puthupatu (P) Sathamai and (R.V), Ward 2 Sathamai main Road
4.Puthupatu (P) Sathamai (R.V), Ward 2 East St
5.Puthupatu (P) Sathamai And (R.V), Ward 2 Sathamai Colony Main Road
6.Puthupatu (P) Sathamai (R.V), Ward 2 Sathamai 1st St
7.Puthupatu (P) Sathamai (R.V), Ward 2 Sathamai 2nd St
8.Pudupattu (P) Sathamai (R.V), Ward 2 Malai Mettu Colony St
9.Puthupattu (p) Sathamai (R.V), Ward 2 Village St
10.Puthupattu (P) Sathamai (R.V), Ward 2 Kulakkarai St
11.Puthupattu (P) Sathamai (R.V), Ward 2 Sathamai Mettu St
12.Puthupattu (P) And (R.V), Ward 3 Puthupattu Colony St
13.Puthupattu (P) And (R.V), Ward 3 Puthupattu Mettu Colony
14.Puthupattu (P) And (R.V), Ward 3 Puthupattu Malai Mettu Colony
15.Puthupattu (P) And (R.V), Ward 3 puthupattu old colony Street
16.Puthupattu (P) And (R.V), Ward 3 Millai Nagar St
17.Puthupattu (P) And (R.V), Ward 3 Rankadas Nagar 1st St
18.Puthupattu (P) And (R.V), Ward 3 Rangadas Nagar 2nd St
19.Puthupattu (P) And (R.V), Ward 3 Rangadas Nagar 3rd St 999.Overseas Electors",Tamilaga Vettri Kazhagam,2.5974025974025974
59,"Panchayat Union Primary School, Melavalampettai west facing North side","1.Melavallam village, Ward1 melavallam pettai china
2.Melavallam village, Ward1 Melavallam Pettai Perriya Street
3.Melavallam village, Ward1 kollu muthali street
4.Melavallam Village, Ward1 Thirukazukundram Bazar Street
5.Melavallam village, Ward2 Melavallam G.S.T. Salai 999.Overseas Electors",Dravida Munnetra Kazhagam,0.17452006980802792
60,"Panchayat Union Primary School, Melavalampettai North facing East side","1.Melavallam village, Ward1 malavi pettai
2.Melavallam Village, Ward14 Gannakirresvaran Pettai
3.Melavallam village, Ward15 palla pettai 999.Overseas Electors",Dravida Munnetra Kazhagam,2.2941970310391366
61,"Panchayat Union Primary School, Melavalampettai West Facing North Side Room 3","1.Karukuzhi village, Ward14 athivasi nagar
2.Karukuzhi Village, Ward14 Annai Abirami Street
3.Karukuzhi Village, Ward14 Athivasi Nagar Kuruku Street
4.Karukuzhi village, Ward14 sriram street
5.Karukuzhi Village, Ward1 Uthramerur Salai
6.Karukuzhi Village, Ward14 Eswaran Koil Kullakarai Street
7.Karukuzhi Village, WArd14 Kalvai Pettai
8.Karukuzhi Village, Ward14 Valluvar Street 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,12.703101920236337
62,Govt.Higher Secondary School Melavalam South Facing Room No 1,"1.Karukuzhi, Ward3 magalakshmi nagar
2.Karukuzhi, Ward3 Thirukazikundaram Arisi Aalai Street
3.Karukuzhi, Ward3 thirukazikundram salai
4.Karukuzhi, Ward3 amothagarpaga vinayagar koil street
5.Karunkuzhi, Ward 3 Melavalam Hr.Sec.School Salai
6.Karukuzhi, Ward5 nesavallar street
7.Karukuzhi, Ward3 Seshama Nagar 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,1.864406779661017
64,Govt.High School Malaipalayam West facing South side I St Standard (Room no.1),"1.Karukuzhi, Ward11 adisan thoppu
2.Karukuzhi, Ward11 Adisan Thoppu Kurukku Street
3.Karukuzhi, Ward11 anumantha kuppam
4.Karukuzhi, Ward11 Mettu Street Anamatha Kuttai
5.Karukuzhi, Ward11 Malaiyadivaram Anumantha Kuppam
6.Karukuzhi, Ward12 eari colony 1st street
7.Karukuzhi, Ward12 Bajanai Koil Kuruku Street
8.Karukuzhi, Ward12 bajanai koil street
9.Karukuzhi, Ward12 1st Quartares Street
10.Karukuzhi, Ward12 2nd Quarters Street
11.Karukuzhi, Ward12 Quarters Cross Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,3.303684879288437
66,Govt.High School Malaipalayam West facing South side III rd Standard (Room no.3),"1.Karukuzhi, Ward9 1st kavangkari street
2.Karukuzhi, Ward9 2nd Kavangarai Street
3.Karukuzhi, Ward9 Darga Street
4.Karukuzhi, Ward9 cross street
5.Karukuzhi, Ward9 pillaiyar koil East Street
6.Karunkuzhi, Ward 9 Pillaiyar Koil South Street
7.Karukuzhi, Ward9 Pillaiyar Koil Street South
8.Karukuzhi, Ward9 Pillaiyar Koil North Street
9.Karunkuzhi, Ward 9 Melnilai Nirthekka thotti Street
10.Karungkuzhi, Ward9 Mettu Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,6.919642857142858
67,Govt.High School Malaipalayam West facing North Side,"1.Karungkuzhi, Ward9 Malaiyadivaram
2.Karungkuzhi, Ward10 valluvar street
3.Karungkuzhi, Ward10 Pallikuda Street
4.Karungkuzhi, Ward10 Ellammal Koil Street
5.Karungkuzhi, Ward10 Mettu Street Bangala Colony
6.Karungkuzhi, Ward10 Bangala Thoppu
7.Karungkuzhi, Ward10 Thedeel Nagar
8.Karungkuzhi, Ward10 Lane Street 999.Overseas Electors",Dravida Munnetra Kazhagam,0.3115264797507788
