Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Margin_Percentage
134,"Government Higher Secondary SChool,Morapakkam West Facing Room 1","1.Morappakkam (P) And (R.V), Ward 4 pillaiyar koil st, karunakara valagam
2.Morappakkam (P) And (R.V), Ward 4 Mariamman Koil st, Karunakara Valagam
3.Morappakkam (P) And (R.V), Ward 1 Pillaiyar Koil st Puthur
4.Morappakkam (P) And (R.V), Ward 1 mariamman koil st, puthur
5.Morappakkam (P) And (R.V), Ward 1 Achari St, Puthur
6.Morappakkam (P) And (R.V), Ward 1 pal society st, puthur
7.Morappakkam (P) And (R.V), Ward 1 Mocheri Salai, Puthur
8.Morappakkam (P) And (R.V), Ward 4 Maduranthagam Salai, Chinna Karunakara Valagam
9.Morappakkam (P) And (R.V), Ward 1 tank st, chinna karunakara valagam
10.Morappakkam (P) And (R.V), Ward 1 Vanniyar St, Chinna Karunakara Valagam 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,20.48780487804878
138,"Panchayat Union Middle School, Mathur South Facing East side","1.Mathur (P) And (R.V), Ward 1 kulakarai st
2.Mathur (P) And (R.V), Ward 1 Vinayagar koil st
3.Mathur (P) And (R.V), Ward 1 Nadu St
4.Mathur (P) And (R.V), Ward 1 perumal koil st
5.Mathur (P) And (R.V), Ward 1 Acharai st
6.Mathur (P) And (R.V), Ward 1 Thropathi amman koil st
7.Mathur (P) And (R.V), Ward 1 Pallikooda st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,39.04923599320883
140,Panchayat Union Primary School Sempoondi West Facing North Side,"1.Chempoondi (P) And (R.V), Ward 1 Keizhandai Main Road
2.Chempoondi (P) And (R.V), Ward 1 Andi St
3.Chempoondi (P) And (R.V), Ward 1 Bajanai koil st
4.Chempoondi (P) And (R.V), Ward 1 Manambathan st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,27.819548872180448
141,Panchayat Union Primary School Sempoondi West Facing,"1.Chempoondi (P) And (R.V), Ward 1 Erikarai St
2.Chempoondi (P) And (R.V), Ward 1 Mariamman Koil st
3.Chempoondi (P) And (R.V), Ward 2 Mellandai Main Road
4.Chempoondi (P) And (R.V), Ward 2 Acharai st
5.Chempoondi (P) And (R.V), Ward 2 Gangaiamman koil st
6.Chempoondi (P) And (R.V), Ward s MGR Nagar
7.Chempoondi (P) And (R.V), Ward 1 Perumal Koil st
8.Chempoondi (P) And (R.V), Ward 1 Kanniamman Koil st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,42.00792602377807
142,Panchayat Union Middle School Kiliyanagar West Facing Room no 1,"1.Kiliya nagar (P) And (R.V), Ward 4 kill vada st
2.Kiliya nagar (P) And (R.V), Ward 4 Brammanar St
3.Kiliya nagar (P) And (R.V), Ward 3 Kottai medu St
4.Kiliya nagar (P) And (R.V), Ward 3 mariamman Koil St
5.Kiliya nagar (P) And (R.V), Ward 3 Reddiyar St
6.Kiliya nagar (P) And (R.V), Ward 3 Pillaiyar Koil St
7.Kiliya nagar (P) And (R.V), Ward 3 Thropathiamman Koil St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,14.322916666666666
143,Panchayat Union Middle School Kiliyanagar West Facing Room no 2,"1.Kiliya nagar (P) And (R.V), Ward 2 Keizh colony st
2.Kiliya nagar (P) And (R.V), Ward 2 Vinayagapuram
3.Kiliya nagar (P) And (R.V), Ward 2 Eswaran Koil st
4.Kiliya nagar (P) And (R.V), Ward 2 Kullakarai st
5.Kiliya nagar (P) And (R.V), Ward 2 Room Nagar
6.Kiliya nagar (P) And (R.V), Ward 4 Keaivadai Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,19.52941176470588
144,Panchayat Union Primary schoolWest Side Ottakoil,"1.Killiya nagar (P) And (R.V), Ward 1 ottakkoil salai
2.Killiya nagar (P) And (R.V), Ward 1 Mettupalayam
3.Killiya nagar (P) And (R.V), Ward 1 Ullunda salai
4.Killiya nagar (P) And (R.V), Ward 1 Sunayamparai Ambedkar Nagar
5.Killiya nagar (P) And (R.V), Ward 1 Sunayamparai 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,24.177071509648126
146,"PANCHAYAT UNION MIDDLE SCHOOL
Pathiri East Facing","1.Bathiri (P) And (R.V), Ward 1 Periya st
2.Bathiri (P) And (R.V), Ward 2 Mariamman Koil st
3.Bathiri (P) And (R.V), Ward 2 Palayam st
4.Bathiri (P) And (R.V), Ward 3 Anna Nagar
5.Bathiri (P) And (R.V), Ward 3 Mariamman koil st
6.Bathiri (P) And (R.V), Ward 3 Pillaiyar st
7.Bathiri (P) And (R.V), Ward 3 Mettu st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,14.426229508196723
147,"Panchayat Union Primary School, Velamur South Facing","1.Velamur (P) And (R.V), Ward 1 madakoil st
2.Velamur (P) And (R.V), Ward 1 Battai st
3.Velamur (P) And (R.V), Ward 1 Cross st
4.Velamur (P) And (R.V), Ward 1 North st
5.Velamur (P) And (R.V), Ward 1 Pillaiyar koil st
6.Velamur (P) And (R.V), Ward 1 Muthumariamman koil st
7.Velamur (P) And (R.V), Ward 1 Brammanar st
8.Velamur (P) And (R.V), Ward 1 Ratinakinaru st
9.Velamur (P) And (R.V), Ward 1 mariamman koil st
10.Velamur (P) And (R.V), Ward 1 Tank st
11.Velamur (P) And (R.V), Ward 1 2nd street
12.Velamur (P) And (R.V), Ward 1 1st street
13.Velamur (P) And (R.V), Ward 2 Chunnambu battai st
14.Velamur (P) And (R.V), Ward 2 Mariamman koil st
15.Velamur (P) And (R.V), Ward 2 Chilliamman koil st
16.Velamur (P) And (R.V), Ward 2 Melvadakku st
17.Velamur (P) And (R.V), Ward 1 Bathiri road 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,12.758620689655173
148,PANCHAYAT UNION PRIMARY SCHOOL RAMAPURAM EAST FACING SOUTH SIDE,"1.Velamur (P) And (R.V), Ward 4 new st
2.Velamur (P) And (R.V), Ward 4 Reddiyar st
3.Velamur (P) And (R.V), Ward 4 Nadu st
4.Velamur (P) And (R.V), Ward 4 Periya Palayathamman st
5.Velamur (P) And (R.V), Ward 4 Kullakarai st
6.Velamur (P) And (R.V), Ward 4 Erular st
7.Velamur (P) And (R.V), Ward 4 Battai st
8.Velamur (P) And (R.V), Ward 4 Pudu st
9.Velamur (P) And (R.V), Ward 4 Mariamman koil st
10.Velamur (P) And (R.V), Ward 4 Kangu reddiyar st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,24.30453879941435
149,PANCHAYAT UNION PRIMARY SCHOOL RAMAPURAM EAST FACING,"1.Velamur (P) And (R.V), Ward 4 Murugan koil st
2.Velamur (P) And (R.V), Ward 3 Elappakkam st road
3.Velamur (P) And (R.V), Ward 3 Balanaickan palayam st
4.Velamur (P) And (R.V), Ward 3 Pillaiyar Koil st
5.Velamur (P) And (R.V), Ward Nadu st
6.Velamur (P) And (R.V), Ward 3 Mel St
7.Velamur (P) And (R.V), Ward 3 Vandavashi Road 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,20.96177558569667
155,Panchayat Union Primary School Kattukarani East Facing North Side,"1.Kattukaranai (P) And (R.V), Ward 3 Kulakarai st
2.Kattukaranai (P) And (R.V), Ward 3 Boovadaiamman st
3.Kattukaranai (P) And (R.V), Ward 3 Mariamman koil st colony
4.Kattukaranai (P) And (R.V), Ward 3 Vanniar st
5.Kattukaranai (P) And (R.V), Ward 3 Pillaiyar koil st
6.Kattukaranai (P) And (R.V), Ward 3 Anna nagar west
7.Kattukaranai (P) And (R.V), Ward 3 Anna nagar west 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,11.78756476683938
