Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Margin_Percentage
174,Panchayat Union Middle School Thinnalur East Facing,"1.Thinnalur (P) And (R.V), Ward 3 thalayari salai
2.Thinnalur (P) And (R.V), Ward 4 Siruvan Kundram
3.Thinnalur (P) And (R.V), Ward 4 Siruvan Kundram colony
4.Thinnalur (P) And (R.V), Ward 1 Mettu Mariamman koil st
5.Thinnalur (P) And (R.V), Ward 1 Pullianthoppur st
6.Thinnalur (P) And (R.V), Ward 1 Maligaikara st
7.Thinnalur (P) And (R.V), Ward 1 Ottapalayam st
8.Thinnalur (P) And (R.V), Ward 3 Ottapalayam colony
9.Thinnalur (P) And (R.V), Thindivan Salai 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,3.802281368821293
175,Panchayat Union Middle School Thinnalur South Facing,"1.Thinnalur (P) And (R.V), Ward 3 Thinnalur main road
2.Thinnalur (P) And (R.V), Ward 3 Thinnalur mariamman koil st
3.Thinnalur (P) And (R.V), Ward 2 Pulliyanthoppu st
4.Thinnalur (P) And (R.V), Ward 2 Wannarapettai
5.Thinnalur (P) And (R.V), Ward 2 Malaikara st
6.Thinnalur (P) And (R.V), Ward 2 Kannabiran koil st
7.Thinnalur (P) And (R.V), Ward Palla st
8.Thinnalur (P) And (R.V), Ward 2 Poolachiamman koil st
9.Thinnalur (P) And (R.V), Ward 2 Kula st
10.Thinnalur (P) And (R.V), Ward 2 Erular st
11.Thinnalur (P) And (R.V), Ward 2 Vanniyapettai 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,5.263157894736842
176,Panchayat Union Primary School Ananthamangalam South Facing West Side,"1.Ananthamangalam (P) And (R.V), Ward 1 vinayagar st
2.Ananthamangalam (P) And (R.V), Ward 1 Busstand st
3.Ananthamangalam (P) And (R.V), Ward 1 Pallikooda st
4.Ananthamangalam (P) And (R.V), Ward 2 Mandi st
5.Ananthamangalam (P) And (R.V), Ward 2 Ricemill st
6.Ananthamangalam (P) And (R.V), Ward 2 Eswaran koil st
7.Ananthamangalam (P) And (R.V), Ward 2 Chilliamman koil st
8.Ananthamangalam (P) And (R.V), Ward 2 Nadu st
9.Ananthamangalam (P) And (R.V), Ward 2 Post Office st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,0.12345679012345678
178,Panchayat Union Primary School Siruthamur North Facing,"1.Siruthamur (P) And (R.V), Ward 1 vinayagar koil st
2.Siruthamur (P) And (R.V), Ward 1 kulakarai st
3.Siruthamur (P) And (R.V), Ward 1 Naidu st
4.Siruthamur (P) And (R.V), Ward 1 Vanniar st
5.Siruthamur (P) And (R.V), Ward 1 Cross st
6.Siruthamur (P) And (R.V), Ward 1 mariamman koil st
7.Siruthamur (P) And (R.V), Ward 1 Cement salai
8.Siruthamur (P) And (R.V), Ward 1 Pillaiyar koil st
9.Siruthamur (P) And (R.V), Ward 1 J.J. Nagar
10.Siruthamur (P) And (R.V), Ward 2 Kamban st
11.Siruthamur (P) And (R.V), Ward 2 Valluvar st
12.Siruthamur (P) And (R.V), Ward 2 Ambedkar st
13.Siruthamur (P) And (R.V), Ward 2 Munieswaran koil st
14.Siruthamur (P) And (R.V), Ward 2 Mariamman koil st
15.Siruthamur (P) And (R.V), Ward 2 Kuppan st
16.Siruthamur (P) And (R.V), Ward 2 1st cross st
17.Siruthamur (P) And (R.V), Ward 3 2nd cross st
18.Siruthamur (P) And (R.V), Ward 3 3rd cross st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,7.418397626112759
184,Panchayat Union Primary School Nedunkal West Facing,"1.Nendunkal And (R.V), Ward 1 voc st
2.Nendunkal (P) And (R.V), Ward 1 APJ Abdul kalam st
3.Nendunkal (P) And (R.V), Ward 1 Bharathiyar st
4.Nendunkal (P) And (R.V), Ward 1 thiruvallur st
5.Nendunkal (P) And (R.V), Ward 1 Vivekandandar st
6.Nendunkal (P) And (R.V), Ward 2 Ambedkar st
7.Nendunkal (P) And (R.V), Ward 2 Nethaji st
8.Nendunkal (P) And (R.V), Ward 2 Kamarajar st
9.Nendunkal (P) And (R.V), Ward 1 Gandhiadikal st
10.Nendunkal (P) And Karasankal (R.V), Ward 2 Erular Quarters 999.Overseas Electors",Dravida Munnetra Kazhagam,1.4684287812041115
185,Panchayat Union Primary School Karasangal South Facing,"1.Nendunkal (P) And Karasankal (R.V), Ward 1 Cement road
2.Nendunkal And Karasankal (P) (R.V), Ward 1 Mettu st
3.Nendunkal And Karasankal (P) (R.V), Ward 1 Kulakarai st
4.Nendunkal, And Karasankal (P) (R.V), Ward 1 Padasalai st
5.Nendunkal, And Karasankal (P) (R.V), Ward 1 Cross st
6.Nendunkal (P) And Karasankal (R.V), Ward 1 Tar salai
7.Nendunkal (P) And Karasankal (R.V), Ward 1 Reddi st
8.Nendunkal (P) And Karasankal (R.V), Ward 1 Mariamman koil st
9.Nendunkal (P) And Karasankal (R.V), Ward 2 Mada koil st
10.Nendunkal (P) And Karasankal (R.V), Ward 1 colony cross st
11.Nendunkal (P) And Karasankal (R.V), Ward 2 Thulukanam st
12.Nendunkal (P) And Karasankal (R.V), Ward 2 Thalayari st
13.Nendunkal (P) And Karasankal (R.V), Ward 2 Mattukaran st
14.Nendunkal (P) And Karasankal (R.V), Ward 2 Ratinakinaru st
15.Nendunkal (P) And Karasankal (R.V), Ward 2 Colony tar sslai 999.Overseas Electors",Dravida Munnetra Kazhagam,0.6915629322268326
186,Panchayat Union Middle School Kalathur South Facing,"1.Kalathur (P) And (R.V), Ward 1 mettu st kattupillaiyar koil
2.Kalathur (P) And (R.V), Ward 2 Palla st kattu pillaiyar koil
3.Kalathur (P) And (R.V), Ward 1 ammakollamedu Mariamman koil
4.Kalathur (P) And (R.V), Ward 1 Nadu st kalathur
5.Kalathur (P) And (R.V), Ward 1 Palla st Kalathur
6.Kalathur (P) And (R.V), Ward 2 Thropathi amman koil st
7.Kalathur (P) And (R.V), Ward 2 Kalathur colonymariamman koil st
8.Kalathur (P) And (R.V), Ward 2 Muthallamman koil st
9.Kalathur (P) And (R.V), Ward 2 colony mariamman koil st
10.Kalathur (P) And (R.V), Ward 2 colony vinayagar koil st
11.Kalathur (P) And (R.V), Ward 2 J.J.Nagar
12.Kalathur (P) And (R.V), Mariammankoil Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,12.610837438423644
192,Panchayat Union Middle School Athur West Facing,"1.Athur (P) And (R.V), Ward 1 New colony
2.Athur (P) And (R.V), Ward 1 ICW colony
3.Athur (P) And (R.V), Ward 2 Palvadi st
4.Athur (P) And (R.V), Ward 2 Mettu st
5.Athur (P) And (R.V), Wad 2 Nadu st
6.Athur (P) And (R.V), Ward 2 East st
7.Athur (P) And (R.V), Ward 2 Road St 999.Overseas Electors",Dravida Munnetra Kazhagam,9.078014184397164
194,Govt. Higher secondary school Thozhupedu South Facing East Side,"1.Thozhupedu (P) And (R.V), Ward 2 Theradi st
2.Thozhupedu (P) And (R.V), Ward 2 East Kulakarai st
3.Thozhupedu (P) And (R.V), Ward 2 Ramar st
4.Thozhupedu (P) And (R.V), Ward 2 Chumanpedu salai
5.Thozhupedu (P) And (R.V), Ward 2 Erular st
6.Thozhupedu (P) And (R.V), Ward 2 Veeranam Salai
7.Thozhupedu (P) And (R.V), Ward 2 Arunthathiyar colony
8.Thozhupedu (P) And (R.V), Ward 2 Cross st
9.Thozhupedu (P) And (R.V), Ward 2 Poolamma kulam
10.Thozhupedu (P) And (R.V), Ward 2 Bharathiyar st
11.Thozhupedu (P) And (R.V), Ward 1 Pallikooda st
12.Thozhupedu (P) And (R.V), Ward 2 west kulakarai st 999.Overseas Electors",Tamilaga Vettri Kazhagam,7.142857142857142
211,Panchayat union Primary schoolJVVD Building Acharapakkam South side,"1.Acharapakkam, Ward 9 Railway Quarters
2.Acharapakkam, Ward 10 Vadakku colony st
3.Acharapakkam, Ward 10 Vadakku colony east st
4.Acharapakkam, Ward 10 Vadakku colony south st
5.Acharapakkam, Ward 12 Nadu st 999.Overseas Electors",Dravida Munnetra Kazhagam,0.6012024048096193
