Location and Name of Building in which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"K.K.R T.N.D.T.A. High School, South Building WestRoom, Paramankuruchi",1,Dravida Munnetra Kazhagam,1
"K.K.R. T.N.D.T.A High School, North Building West Room, Paramankuruchi",1,Bharatiya Janata Party,1
"KAHigher Secondary School, North
Building Western Side South Facing Class VIA Peiyanvillai Arumuganeri",1,Tamilaga Vettri Kazhagam,1
"Kalaivani Primaryschool, East Portion, Subramaniapuram, Kayamozhi",1,Tamilaga Vettri Kazhagam,1
"Kalaivani Primaryschool, West Portion, Subramaniyapuram, Kayamozhi",1,Tamilaga Vettri Kazhagam,1
"Kamaraj Somasundari Nursery &
Primary School, East Building East Portion, Somasundariamman Kovil street, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Kamaraj Somasundari Nursery & Primary School, New Building North West Portion, Somasundariamman Kovil Street, Arumuganeri",1,Bharatiya Janata Party,1
Kamaraj Somasundari Nursery and Primary School North Building West Side South Facing SomasunariammanKovil street Arumuganeri,1,Tamilaga Vettri Kazhagam,1
"L.K Matriculation Hr Sec School North
Building South Facing Class Room XI  C, Sivankovil street, Kayalpattanam",1,Dravida Munnetra Kazhagam,1
"L.K Matriculation Hr Sec School, South
Building West Side Class Room 1stB, Kayalpattanam",1,Dravida Munnetra Kazhagam,1
"L.K. Hr. Sec School, South building
Class XID, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"L.K. Hr. Sec School, Southeren South
Building West Side Class XI  A, Kayalpattanam",1,Dravida Munnetra Kazhagam,1
"L.K. Primary School , Middle Portion, North Building Class IIIA, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"L.K. Primary School , West Building
Ground Floor Southern Portion, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"L.K. Primary School, North building
West portion Ground Floor, Lebaithambi street, kayalpattinam",1,Dravida Munnetra Kazhagam,1
"L.K. Primary School, West building
Ground floor, Northern Portion, kayalpattinam",1,Dravida Munnetra Kazhagam,1
"LK Hr. Sec School, South building North facing XII A Class, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"LK Matriculation Higher Secondary
School North Building Middle portion South Facing class room XI  A Kayalpattanam",1,Dravida Munnetra Kazhagam,1
"Margochis Higher Secondary School
Class Room XIA Standard, Nazareth.",1,Dravida Munnetra Kazhagam,1
"Margochis Higher Secondary School Class Room XIIB Standard, Nazareth.",1,Dravida Munnetra Kazhagam,1
"Margochis Higher Secondary School Room No 6 Standard XI  B, Nazareth",1,Dravida Munnetra Kazhagam,1
"Margochis Higher Secondary School, XII A Standard, Nazareth",1,Dravida Munnetra Kazhagam,1
"Mary Ann Best Girls Hr,sec School, Main Building , Middle Room ,XIthStd D.D.M Room, Pandarachittivillai",1,Bharatiya Janata Party,1
"Mary Ann Best Girls Hr.Sec School,
SouthPortion Main Building, Pandarachittiviilai",1,Dravida Munnetra Kazhagam,1
"Mary Ann Best Girls Hr.Sec School, East Building, Middle room 10B, Pandarachittiviilai",1,Tamilaga Vettri Kazhagam,1
"Mary Ann Best Girls Hr.sec.School, Middle Building, North side, PanarachittivillaiNorth Building Class VIIIth C, Pandarachittivillai",1,Bharatiya Janata Party,1
"Muhyiddeen Matriculation Hr. Sec.
School, North Building, Ground Floor Room No.13, Keela Nainar Street, Kayalpattanam",1,Dravida Munnetra Kazhagam,1
"Muhyiddeen Matriculation Hr. Sec.
School, North Building, Ground Floor Room No14, Keela nainar street, Kayalapattanam",1,Dravida Munnetra Kazhagam,1
Municipality Middle School West Building Odakkarai Kayalpattanam,1,Tamilaga Vettri Kazhagam,1
"Municipality Middle School, East
Building South portion, Thaikka street, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Municipality Middle School, New Building East portion, Odakarai, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Municipality Middle School, North
Building West Side, Ground Floor, Thaikka Street, Kayalpattanam",1,Tamilaga Vettri Kazhagam,1
"Municipality Middle School, West
Building East Facing, Odakarai, kayalpattinam.",1,Bharatiya Janata Party,1
"Municipality Middle School, West Building East Portion, Odakarai, kayalpattinam.",1,Tamilaga Vettri Kazhagam,1
"Municipality Middle School,Eastern
Building, North Side, Thaikka street, kayalpattinam",1,Tamilaga Vettri Kazhagam,1
"Municipality Middle School,West
building, East facing, South side,Thaikka street,Kayalpattinam",1,Bharatiya Janata Party,1
"Municipality Middle school,North
Building,South Facing,East side,Thaikka street,Kayalpattinam",1,Dravida Munnetra Kazhagam,1
"Municipality Primary School East side Old Building South portion, T.B.Road, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
Municipality Primary School Middle Building West Side South Facing Theevu Street Kayalpattanam,1,Dravida Munnetra Kazhagam,1
"Municipality Primary School North
Building West Portion T.B. Road, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Municipality Primary School West
Building South Side, T.B.Road, Tiruchendur.",1,Tamilaga Vettri Kazhagam,1
"Municipality Primary School West Building North Side, T.B.Road, Tiruchendur.",1,Tamilaga Vettri Kazhagam,1
"Municipality Primary School, Fathima
Hall east portion, Theevu street, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Municipality Primary School, South Side, Middle Portion, Theevu street, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Municipality Primary School, West
Building, K.T.M. Street, Kayalpattanam",1,Dravida Munnetra Kazhagam,1
"Najath Nursery and Primary School East Building North Side , Udankudi",1,Dravida Munnetra Kazhagam,1
"Najath Nursery and Primary School, west Building South side, Udankudi",1,Dravida Munnetra Kazhagam,1
"National Primary School Eastern
Building, Arunachalapuram, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"National Primary School New East
Building, North side West facing Arunachalapuram, kayalpattinam.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School ,S.S.A Building, Avaraiuoor",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School West Building,Puraiyoor",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School,
Northwestern Building, South Room, N.Muthaiahpuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School,
Selvarajapuram, West Side Building, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School, , West
Building, East facing north side Selvarajapuram, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School, East Building, North Room, N.Muthaiahpuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, East Side, Kanam",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle School, Naina Pillai Street, East Building South Portion, VIIIth Std, Kalankudiyiruppu",1,Bharatiya Janata Party,1
"Panchayat Union Middle School, Naina Pillai Street, East Building, North Side Room, Kalankudiyiruppu",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle school
Pallivasal north Building South facing East side,South Authoor.",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Middle school
Pallivasal north Building South facing West side,South Authoor.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle school Central Hall, Idachivillai, Udankudi",1,Bharatiya Janata Party,1
"Panchayat Union Primary School (West portion), Vannimanagaram, Arumuganeri.",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School , Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School ,South
Building, Thalaivanvadali.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School Eastern Portion, Nainarpathu",1,Bharatiya Janata Party,1
"Panchayat Union Primary School Eluvillai, Kuthiraimozhi",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School New
Building, South Side, Chettiyapathu",1,Bharatiya Janata Party,1
"Panchayat Union Primary School New Building Middle Room, Thenthiruperai.",1,Bharatiya Janata Party,1
"Panchayat Union Primary School New Building North Portion Ist Room, Thenthiruperai.",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School West
Building, Periya Street, Kalankudiyiruppu",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School,
Sankivillai, Tiruchendur",1,Bharatiya Janata Party,1
"Panchayat Union Primary School,
Selvanputhiyanoor.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, East Building, Nathankinaru.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, Keelakalamparai",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, Kudieruppuvillai",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, Mela kadamba",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School, Middle Building, North portion Ammanpuram",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School, Middle Building, South portion Ammanpuram.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, New Building, Semmarikulam",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, North
Side, East West Portion, Nadunalumoolaikinaru.",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School, North Building East Side, Nallur",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, North Building, Shanmugapuram.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, Piraikudieruppu",1,Bharatiya Janata Party,1
"Panchayat Union Primary School, Seerudaiyarpuram, Paramankuruchi",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School, South
Building West Portion, Pitchivillai, Paramankuruchi",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School, South
Side, East Portion, Nadu Nalumoolaikinaru.",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School, South Building, Shanmugapuram.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, Therikudieruppu, Kayamozhi",1,Bharatiya Janata Party,1
"Panchayat Union Primary School, Uthiramadankudieruppu",1,Bharatiya Janata Party,1
"Panchayat Union Primary School, Valavilai, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School,North Building West Side , Nallur",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary school,
Kallamozhi.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary school, East Building, Sethukuvaithan.",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary school, western portion, Nainarpathu",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primaryschool Eastern South side Building, Mela Authoor",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primery School West Side, Gnaniyakudieruppu",1,Bharatiya Janata Party,1
"Panchayat Union middle School,
Keelanalumoolaikinaru",1,Dravida Munnetra Kazhagam,1
Pandarasivan SenthilArumugam Memory Middle School K.S Ananathakumar Memoriyal Block North Portion Kulasekaranpattanam,1,Bharatiya Janata Party,1
Pandarasivan SenthilArumugam Memory Middle School K.S Ananathakumar Memoriyal Block South Portion Kulasekaranpattanam,1,Bharatiya Janata Party,1
"PandarasivanSenthilArumugam Memorial Middle School, West End Building Kulasekaranpattanam",1,Tamilaga Vettri Kazhagam,1
"Pothu Nala Ikiya Sanga Primary School ,
West Side, Thalavaipuram, MelaTiruchendur",1,Tamilaga Vettri Kazhagam,1
"Punitha Susai Primary School South
Building Middle Portion, North Facing Adaikkalapuram, Veerapandiyanpattanam.",1,Tamilaga Vettri Kazhagam,1
"Punitha Susai Primary School(Study
Hall Western wing)Southern Portion,
Adaikkalapuram, Veerapandiyanpattanam.",1,Dravida Munnetra Kazhagam,1
"R,C. Primary school West Side, Koluvainallur, Mela Authoor.",1,Tamilaga Vettri Kazhagam,1
"R.C Primary School South Building West
Portion Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"R.C Primary School, East Building
Eastern portion, Amalinagar, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"R.C. Primaryschool East Side,
KoluvaiNallur, Mela Authoor.",1,Dravida Munnetra Kazhagam,1
"R.M.V. Middle School, Sirunadarkudieruppu.",1,Bharatiya Janata Party,1
"RC Primary School south Building East
Portion Tiruchendur.",1,Tamilaga Vettri Kazhagam,1
"S.R.B.M Senthilmurugan Middle School North Side, South car street, Tiruchendur",1,Bharatiya Janata Party,1
"S.R.B.M Senthilmurugan Middle School South Portion, South car street, Tiruchendur",1,Bharatiya Janata Party,1
"Santhanasama Middle School ,East portion, Madathuvillai, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Santhanasama Middle School ,Northern Building, East Protion, Madathuvillai, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
