Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
163,"Municipality Middle School, West Building East Portion, Odakarai, kayalpattinam.","1.kayalpattinam (Municipality) Odaikarai north street ward 12,
2.kayalpattinam (Municipality) Vandimalachiammankovilstreet ward 12, 3.kayalpattinam (Municipality) Vaneyakudi street ward 12, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,18,3.53634577603143
164,Municipality Middle School West Building Odakkarai Kayalpattanam,"1.kayalpattinam (Municipality) Kadipichaithottam(rajakovil street
)ward 12, 2.kayalpattinam (Municipality) Poonthottam ward 12,
3.kayalpattinam (Municipality) PuduSouthvadi (thaikkapuram ) Ward 12, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,29,4.93197278911565
165,"Municipality Middle School, West
Building East Facing, Odakarai, kayalpattinam.","1.Kayalpatanam (Municipality.) Odakkarai ward 12, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Dravida Munnetra Kazhagam,17,3.68763557483731
168,"StThomas Hr.Sec School, North
Building, East Side, Veerapandiyanpattanam","1.Veerapandianpattinam (R.V) And (P) Kurunchinagar Block 1,
2.Veerapandianpattinam (R.V) And (P) Kurinchinagar, Santhinagar Extension Block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,17,3.81165919282511
170,"St. Thomas Hr.Sec School , North Building West Side Class Room XII A Standard, Veerapandiyanpattanam","1N.aVgeaerraBploacnkdi1a,n9p9a9tt.iOnVaEmR(SRE.VA)SAEnLdE(CP)TROaRjSKannanagar, Main Road
Block 2, 2.Veerapandianpattinam (R.V) And (P) Petter Street South Block 2, 3.Veerapandianpattinam (R.V) And (P) Rajkanna Nagar Extend Block 2, 4.Veerapandianpattinam (R.V) And (P) M.M. Street 2 Block 3, 5.Veerapandianpattinam (R.V) And (P) Johnveethi Block 3, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,27,4.49251247920133
177,"T.N.D.T.A Middle Scholl, Sonanganvillai","1.kannam(T.P) Kurathanvillai Waed2, 2.Kannam(T.P) Theeri Vadali
Neelpuram Ward3, 3.Kannam (T.P) Sonaganvillai North Ward4,
4.Kannam(T.P) Sonaganvillai South Ward5, 5.Kannam(T.P) Moolaipoli Ward5, , 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,4,0.56657223796034
180,"Panchayat Union Primary School, East Building, Nathankinaru.",", 1.Pallipathu (R.V) And (P) Nathankennru Keelastreet poochikadu
Block 4, 2.Pallipathu (R.V) And (P) Nathankinaru Melastreet chettyaavilai block-5, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,17,3.9906103286385
186,"Si .Pa.Adithanar.Govt Hr.Sec School, East Block, Std XIth D, Ramanathapuram, Kayamozhi","1) Kayamozhi (R.V) And (P) Kayamozhi Kasbha Valluvar nagar
Block 3 2) Kayamozhi (R.V) And (P) Mela arasoor Block 4 3) Kayamozhi (R.V) And (P) SavukkaiStreet, VadappooStreet block 5, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,11,2.15264187866928
193,"St. Antony Middle School, Pitchivillai.","1.Mela Tiruchendur (R.V), Pichivilai (P) Pichiviali
Pudukenathanvilai pudur Block 1, 2, 3, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,2.88461538461538
203,"Panchayat Union Primary School , Tiruchendur","1.Tiruchendur (Municipality )Theppakulam Street Ward 18,
2.Tiruchendur (Municipality )East CarStreet Anantharaman Sandhu(South) Ward-18, 3.Tiruchendur (Municipality )West carStreet Anantharaman Sanduku North Ward 1, 4.Tiruchendur (Municipality )Vadikal Street Ward 18, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,23,3.85259631490787
207,"Senthil Murugan Govt Girls High Sec School, Old Building North Portion South Facing East Side Tiruchendur","1.Tiruchendur (Municiplaity) Mutharamkmankovil keelaStreet
Ward 9, 2.Tiruchendur (Municipality) KeelapuduStreet Ward 9,
3.Tiruchendur (Municipality)South PuduStreet 1st Sandu Thachiar Street Ward 9, 4. Tiruchendur (Municipality) Veerakaliammankovil Street Ward 9, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,20,3.6563071297989
209,"Senthil murugan Govt,Girls Hr,Sec School New Building South Portion North Facing West Room","1.Tiruchendur (Municipality )Otthamada Street Ward 21,
2.Tiruchendur (Municipality )North Mada Street Ward 21,
3.Tiruchendur (Municipality )Frist SanthikurukuStreet Ward 21,
4.Tiruchendur (Municipality) Tiruchendur (Municipality
)Palayamkottai Road Ward 21, 6.Tiruchendur (Municipality )Noth CarStreet Ward 21, 7.Tiruchendur (Municipality )East car street Ward 21, 8.Tiruchendur (Municipality )North ratha veethi Ward 21, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,2,0.256410256410256
212,"Hindu Primary School, SouthSide NewBuilding, V.O.C Street, Tiruchendur","1.Tiruchendur (Municipality )Santhanamariamman kovil Street Ward 3, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,4,0.576368876080692
218,"Panchayat Union Primary School,
Sankivillai, Tiruchendur","1.Tiruchendur (Municipality )Sankilivilai @ Ramasamypuram ward
19, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,4,1.17302052785924
233,"Duraisivan Primary School, East portion, Paramankuruchi","1.Paramankuruchi (R.V) And (P) Sasthankovilvilai West Bhadai
Street Block 3, 2.Paramankuruchi (R.V) And (P) Karisanvilai Ramanpuram Block 8, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Dravida Munnetra Kazhagam,8,1.62932790224033
234,"Panchayat Union Primary School, Seerudaiyarpuram, Paramankuruchi","1.Paramankuruchi (R.V) And (P) Gurunathapuram Block 4,
2.Paramankuruchi (R.V) And (P) Colony Musleem Pudustreet Block 5, 3.Paramankuruchi (R.V) And (P) Musleem Center Street Mela Street Block 6, 4.Paramankuruchi (R.V) And (P) Sherudaiyarpuram Samathuvapuram Block 6, 5.Paramankuruchi (R.V) And (P) Veerappa Nadar Kudiruppu Block 7, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,14,2.08643815201192
237,"K.K.R T.N.D.T.A. High School, South Building WestRoom, Paramankuruchi","1.Paramankuruchi (R.V) And (P) Thotttharvilai Block 12,
2.Paramankuruchi (R.V) And (P) Mudrithottam Block 13,
3.Paramankuruchi (R.V) And (P) Paramankuruchi yathar street, Singharayarpuram blo, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,29,3.23660714285714
239,"T.N.D.T.A. Bishop Azaria Memorial
Hr.Sec School,West Building Middle Room,Class XIIth A std, Vellalanvillai","1.Paramankuruchi (R.V) And (P) Velalanvilai north street block 21,
2.Paramankuruchi (R.V) And (P) Vattanvilai Manadu Block 22, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,1,0.178890876565295
243,"T.N.D.T.A. Primary School, Immanualpuram, Seemarikulam","1.Semmarikulam (R.V) And (P) Kumaralakshmipuram Block 1,
2.Semmarikulam (R.V) And (P) Valliammalpuram, Immanualpuram Block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,22,3.62438220757825
