Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
52,"Resource Room and Day Care for Children with Disabilities,East Building, North Room, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K.Nagar 2nd Street
2.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K.Nagar 3rd Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,193,150,9.071729957805907
92,"Nadar Hr.Sec,School, West Block,North Side,Room No:13, Bodinayakanur","1.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-16 Ottagoothar Street
2.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-14 Bose Bazar
3.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-15 Ambigavathi Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,281,226,8.620689655172415
103,"Nadar Hr. Sec. School ,South Block, West Side, Thirumalapuram, Bodinayakanur","1.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-16 Pakthaseva Street
2.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Aringar Anna Lane
3.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Pugalenthi Street
4.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-16 Kalaivanar Lane
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,265,215,8.431703204047219
134,"ICDS Centre, B.Renganathapuram","1.Melachokkanathapuram (R.V) And (T.P), Ward-14 Dr.Ambethkar Street
2.Melachokkanathapuram (R.V) And (T.P), Ward-14 Sarojini Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,269,218,9.07473309608541
137,"Panchayat Union Middle School, North Side Building, B.Dharmathupatti","1.Melachokkanathapuram (R.V) And (T.P), Ward-9 Barathiyar Street
2.Melachokkanathapuram (R.V) And (T.P), Ward-9 Subashchandrabose Street
3.Melachokkanathapuram (R.V) And (T.P), Ward-10 Barathidasan Street
4.Melachokkanathapuram (R.V) And (T.P), Ward-10 Periyar Street
5.Melachokkanathapuram (R.V) And (T.P), Ward-10  Padel Street
6.Melachokkanathapuram (R.V) And (T.P), Ward-10 Muthuramalingam Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,199,161,7.9831932773109235
143,"S.K.L. Middle School , New Building Eastern Side, Kodangipatti","1.KodangipattI (R.V) And (P), Ward-3 Thoppu Street
2.KodangipattI (R.V) And (P), Ward-3 Rice Mile Street
3.KodangipattI (R.V) And (P), Ward-3 Mulaipariamman  Kovil Street
4.KodangipattI (R.V) And (P), Ward-3 Pandiyan Hospital Street
5.KodangipattI (R.V) And (P), Ward-3 Main Bazar
6.KodangipattI (R.V) And (P), Ward-3 Nayakkar Street
7.KodangipattI (R.V) And (P), Sadayandi  Kovil Street  West
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,273,200,10.977443609022556
161,"Thirupathi Chettiyar Middle School, East Side, Dombuchery","1.Dombuchery (R.V) And (P), Ward-2 Pillaimar Savadi Street
2.Dombuchery (R.V) And (P), Ward-2 East Mottu Kinatru Street
3.Dombuchery (R.V) And (P), Ward-2 East Odai Street
4.Dombuchery (R.V) And (P), Ward-2 East Old Colony Street
5.Dombuchery (R.V) And (P), Ward-2 V.O.C.Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,169,162,1.4373716632443532
166,"Panchayat Union Middle School,Western Side, Centre Portion SSA Building, B.Ammapatti","1.B.Ammapatti (R.V) And (P), Ward-1 Adidravidar Colony
2.B.Ammapatti (R.V) And (P), Ward-1 Main Street-1
3.B.Ammapatti (R.V) And (P), Ward-1 Adidravidar Colony-2
4.B.Ammapatti (R.V) And (P), Ward-1 Mani Teacher Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,271,203,11.05691056910569
183,"Panchayat Union Ele. School, West Block, South Side, Silamalai","1.Silamalai (R.V) And (P), Ward-1 Thevaram Road
2.Silamalai (R.V) And (P), Ward-1 Mariamman Kovil Street
3.Silamalai (R.V) And (P), Ward-1 Suplapuram Road
4.Silamalai (R.V) And (P), Ward-1 Old Colony Street
5.Silamalai (R.V) And (P), Ward-1 Pattalamman Kovil Street
6.Silamalai (R.V) And (P), Ward-1 Old Colony
7.Silamalai (R.V) And (P), Ward-1 Thevar Street
8.Silamalai (R.V) And (P), Ward-1 Thevar Silai Street
9.Silamalai (R.V) And (P), Ward-1 Thevar Silai North Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,308,243,9.002770083102494
184,"Panchayat Union Ele.School,South Building, North Facing, Silamalai","1.Silamalai (R.V) And (P), Ward-2 Sulapuram Road
2.Silamalai (R.V) And (P), Ward-2 Water Tank Street
3.Silamalai (R.V) And (P), Ward-2 Muniappan Kovil Street-1
4.Silamalai (R.V) And (P), Ward-2 Muniappan Kovil Street-2
5.Silamalai (R.V) And (P), Ward-2 Anjalaga Asari Street 1
6.Silamalai (R.V) And (P), Ward-2 Asariar Middle Street
7.Silamalai (R.V) And (P), Ward-2 West Street
8.Silamalai (R.V) And (P), Ward-2 Water Tank Street
9.Silamalai (R.V) And (P), Ward-2  Assari West Street
10.Silamalai (R.V) And (P), Ward-2 Asariar Middle Street
11.Silamalai (R.V) And (P), Ward-2  Post Office Street
12.Silamalai (R.V) And (P), Ward-2 Pillaimar Savadi Street
13.Silamalai (R.V) And (P), Ward-2 Post Office South Street
14.Silamalai (R.V) And (P), Ward-2 Gurusikku Kovil Street
15.Silamalai (R.V) And (P), Ward-2 Korakkar West Street
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,204,199,0.7911392405063291
