Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
66,"SCISM Play School, North Block East Side, Subburaj Nagar, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-5
2.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-6
3.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-7
4.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-8
5.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-9
6.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-10
7.Bodinayakanur (R.V) And (M), Ward-30 Asainhusain Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,318,239,11.91553544494721
67,"Kamaraj Vidhyalayam Ele. South  West Side, Subburajnagar, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-1
2.Bodinayakanur (R.V) And (M), Ward-1 Kurangani Road
3.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-2
4.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-5
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,358,252,14.002642007926024
68,"Kamaraj Vidhyalayam Ele. School, Western Side, 6th Std Class Room, Subburajnagar, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-33 New Colony
2.Bodinayakanur (R.V) And (M), Ward-33 Subburajnagar Street-1
3.Bodinayakanur (R.V) And (M), Ward-33 Sivanagar
4.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-2
5.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-3
6.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-4
7.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-5
8.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-6
9.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-7
10.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-8
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,291,268,3.3873343151693667
69,"Kamaraj Vidhyalayam Ele. School , East Side Room, Subburaj Nagar, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-11
2.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-13
3.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-14
4.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-15
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,237,185,10.196078431372548
70,"Kamaraj Vidhyalayam Ele. School,East Side,South Room, Subburaj Nagar, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-9
2.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-10
3.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-12
4.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-16
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,217,183,6.995884773662551
71,"7th Municipal Higher Secondary School, North Side, Additional Building, Paramasivan Kovil Street, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-30 EIlangovadikal Street
2.Bodinayakanur (R.V) And (M), Ward-30 Zameen Manager Lane
3.Bodinayakanur (R.V) And (M), Ward-30 Vennimalai Street
4.Bodinayakanur (R.V) And (M), Ward-30 Kulasekarapandian North Street
5.Bodinayakanur (R.V) And (M), Ward-30 Pasumpon Muthuramalingam Lane
6.Bodinayakanur (R.V) And (M), Ward-28 Sevuga Periyasami Lane
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,253,210,7.465277777777778
72,"7th Municipal Higher Secondary School, Class Room 11th Std C Sec Western Side North Building  Paramasivan Kovil Street, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-30 Kulasekarapandiyan South Street
2.Bodinayakanur (R.V) And (M), Ward-30 Angalaeswari Lane
3.Bodinayakanur (R.V) And (M), Ward-28 Seenivasan Street
4.Bodinayakanur (R.V) And (M), Ward-33 Vellaiyappan Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,228,176,10.276679841897234
73,"7th Municipal Higher Secondary School, East Side Building Paramasivan Kovil Street, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-28 Thillai Ambalam Street
2.Bodinayakanur (R.V) And (M), Ward-1 Valasadurai Road
3.Bodinayakanur (R.V) And (M), Ward-27 Subramaniaswami Kovil North Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,165,142,5.943152454780361
74,"7th Municipal Higher Secondary School, South Side, East Building Paramasivan Kovil Street, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-28 Thangamuthamman Kovil Street
2.Bodinayakanur (R.V) And (M), Ward-32 Railway Station Road
3.Bodinayakanur (R.V) And (M), Ward-30 Vanjiodai Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,285,238,7.3899371069182385
75,"Soudambikai Middle School, Main Block, North Side, Chinnasowdamman Kovil Street, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-26 Appar Lane
2.Bodinayakanur (R.V) And (M), Ward-26 Rengasami Lane
3.Bodinayakanur (R.V) And (M), Ward-26 Thiyagi Muthuchamy Lane
4.Bodinayakanur (R.V) And (M), Ward-26 Kattapomman Lane
5.Bodinayakanur (R.V) And (M), Ward-26 Kalludaipor Lane
6.Bodinayakanur (R.V) And (M), Ward-26 Chinna Sowdamman Kovil Lane
7.Bodinayakanur (R.V) And (M), Ward-26 Karuppanan Street
8.Bodinayakanur (R.V) And (M), Ward-26 Rajaian Lane
9.Bodinayakanur (R.V) And (M), Ward-26 Sowdamman Kovil Street
10.Bodinayakanur (R.V) And (M), Ward-26 Gurusamy Lane
11.Bodinayakanur (R.V) And (M), Ward-26 Sundranayanar Lane
12.Bodinayakanur (R.V) And (M), Ward-26 Arunagirinathar Street
13.Bodinayakanur (R.V) And (M), Ward-29 Thiruvalluvar Lane
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,298,251,7.164634146341463
76,"Soudambigai Middle School, South Side, Chinnasowdamman Kovil Street, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-27 Nanthavanam Street-4
2.Bodinayakanur (R.V) And (M), Ward-27 Nanthavanam Street-1
3.Bodinayakanur (R.V) And (M), Ward-26 Karuppanan Street
4.Bodinayakanur (R.V) And (M), Ward-27 Nanthavanam Street-2
5.Bodinayakanur (R.V) And (M), Ward-27 Nanthavanam Street-3
6.Bodinayakanur (R.V) And (M), Ward-27 Nanthavanam Street-5
7.Bodinayakanur (R.V) And (M), Ward-27 Nanthavanam Street-6
8.Bodinayakanur (R.V) And (M), Ward-27 Nanthavanam Street-7
9.Bodinayakanur (R.V) And (M), Ward-27 Nanthavanam Street-8
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,347,271,9.547738693467336
