Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
124,"Govt.Higher Sec. School, South Building East Room, Melachokkanathapuram","1.Melachokkanathapuram (R.V) And (T.P), Ward-6 South Raja Veethi
2.Melachokkanathapuram (R.V) And (T.P), Ward-6 Kodikeppanan  Street
3.Melachokkanathapuram (R.V) And (T.P), Ward-6 S.M.K.Kanthasamy  Street
4.Melachokkanathapuram (R.V) And (T.P), Ward-6 Thilagar Street
5.Melachokkanathapuram (R.V) And (T.P), Ward-6 Alagarsamy Street
6.Melachokkanathapuram (R.V) And (T.P), Ward-6 Gandhiji Street
7.Melachokkanathapuram (R.V) And (T.P), Ward-4 North Ratha Veethi
999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,328,284,4.787812840043525
130,"Govt.Higher Sec. School, North East (RMSA) Building West Side, Melachokkanathapuram","1.Melachokkanathapuram (R.V) And (T.P), Ward-4 Indragandhi Street
2.Melachokkanathapuram (R.V) And (T.P), Ward-5 Javagarlal Nehru Street
3.Melachokkanathapuram (R.V) And (T.P), Ward-5 East  Street
4.Melachokkanathapuram (R.V) And (T.P), Ward-5 West Street
5.Melachokkanathapuram (R.V) And (T.P), Ward-7 Middle Street
6.Melachokkanathapuram (R.V) And (T.P), Ward-8 Kamarajar  Street
7.Melachokkanathapuram (R.V) And (T.P), Ward-8 School Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,283,251,3.9119804400977993
133,"Thiru. Vengadasalam Middle School, Western Side North Block, B.Renganathapuram","1.Melachokkanathapuram (R.V) And (T.P), Ward-13 Gandhi Nagar
2.Melachokkanathapuram (R.V) And (T.P), Ward-13 B.Renganathapuram Thevaram Salai
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,319,270,5.64516129032258
135,"Panchayat Union Middle School,South Building,East Side, B.Dharmathupatti","1.Melachokkanathapuram (R.V) And (T.P), Ward-9 Kakkan Street
2.Melachokkanathapuram (R.V) And (T.P), Ward-9 Kambar Street
3.Melachokkanathapuram (R.V) And (T.P), Ward-9 Elengo  Street
4.Melachokkanathapuram (R.V) And (T.P), Ward-9 KaliammanKovil  Street
5.Melachokkanathapuram (R.V) And (T.P), Ward-9 V.M. Street
6.Melachokkanathapuram (R.V) And (T.P), Ward-9 Mariamman  Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,191,174,3.171641791044776
136,"Panchayat Union Middle School,Western Building, South Room, Karattupatti","1.Melachokkanathapuram (R.V) And (T.P), Ward-12 Karatupatti South Street
2.Melachokkanathapuram (R.V) And (T.P), Ward-12 Kattapomman West Street
3.Melachokkanathapuram (R.V) And (T.P), Ward-12 Jakkamal Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,305,281,2.6607538802660753
138,"Panchayat Union Middle School, South Side
Building B.Dharmathupatti","1.Melachokkanathapuram (R.V) And (T.P), Ward-10 Karuppasamy Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,348,222,15.929203539823009
146,"Panchayat Union Ele. School , North Side, Sadaiyalpatti","1.Kodangipatti (R.V) And (P), Ward-1 Saralikalam
2.Kodangipatti (R.V) And (P), Ward-1 Pannai Thoppu
3.Kodangipatti (R.V) And (P), Ward-5 Sadayal Patti
4.Kodangipatti (R.V) And (P), Ward-5 Vadipatti
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,384,279,11.254019292604502
150,"Pachaiyappa High School,New Building, Middle Room Uppukottai","1.Uppukottai (R.V) And (P), Ward-4 Bodi Road
2.Uppukottai (R.V) And (P), Ward-4 Rajappan Street
3.Uppukottai (R.V) And (P), Ward-4 Neppoliyan Street
4.Uppukottai (R.V) And (P), Ward-4 Karuppathevar Street
5.Uppukottai (R.V) And (P), Ward-4 Muthuthevar Street
6.Uppukottai (R.V) And (P), Ward-4 Dr. Baskaran Street
7.Uppukottai (R.V) And (P), Ward-4 B.Seeni Street
8.Uppukottai (R.V) And (P), Ward-4 Maravar Savadi Backside
9.Uppukottai (R.V) And (P), Ward-4 Rasamani Street
10.Uppukottai (R.V) And (P), Ward-4 Kallar School Street
11.Uppukottai (R.V) And (P), Ward-4 Perumal Kovil Street
12.Uppukottai (R.V) And (P), Ward-4 Main Road
13.Uppukottai (R.V) And (P), Ward-4 Nayaikkar  Street
14.Uppukottai (R.V) And (P), Ward-4 Kamarajapuram Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,377,242,15.254237288135593
151,"Panchayat Union Middle School,East Side Building, Gundalnaickanpatti","1.Uppukottai (R.V) And (P), Ward-5 Gundal Nayaickan Patti
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,271,251,2.7662517289073305
157,"Sriram Solai Middle School, North  Portion, Kamarajapuram.","1.Uppukottai (R.V), Kamarajapuram (P), Ward-1 Main Road
2.Uppukottai (R.V), Kamarajapuram (P), Ward-1 North Street ( North)
3.Uppukottai (R.V), Kamarajapuram (P), Ward-1 North Street (South)
4.Uppukottai (R.V), Kamarajapuram (P), Ward-2 Middle Street-1
5.Uppukottai (R.V), Kamarajapuram (P), Ward-2 Middle Street-2
6.Uppukottai (R.V), Kamarajapuram (P), Ward-2 West Street
7.Uppukottai (R.V), Kamarajapuram (P), Ward-3 Vadakathi Mariamman Kovil Street
8.Uppukottai (R.V), Kamarajapuram (P), Ward-3 Kaliamman Kovil Street (North)
9.Uppukottai (R.V), Kamarajapuram (P), Ward-4 Kaliamman Kovil  South Street
10.Uppukottai (R.V), Kamarajapuram (P), Ward-4 East Colony
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,257,245,1.6371077762619373
