Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
149,"Panchayat Union Ele. School, New Building, West Side, Uppukottai","1.Uppukottai (R.V) And (P), Ward-2 Harijana Cross Street
2.Uppukottai (R.V) And (P), Ward-2 Indira Colony
3.Uppukottai (R.V) And (P), Ward-2 Sundaram  Street
4.Uppukottai (R.V) And (P), Ward-2 Thangam Street
5.Uppukottai (R.V) And (P), Ward-2 Santhanam Street
6.Uppukottai (R.V) And (P), Ward-2 Fair Price Shop Street
7.Uppukottai (R.V) And (P), Ward-2 Thalaiyari Street
8.Uppukottai (R.V) And (P), Ward-2 West Colony
9.Uppukottai (R.V) And (P), Ward-2 Pagavathimuthu Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,348,137,36.7595818815331
152,"Govt. Kallar Middle School,New Building,
West Side, Palarpatti","1.Uppukottai (R.V) And (P), Ward-6 North Street
2.Uppukottai (R.V) And (P), Ward-6 1st Cross Street
3.Uppukottai (R.V) And (P), Ward-6 2nd Cross Street
4.Uppukottai (R.V) And (P), Ward-6 Dheivam Street
5.Uppukottai (R.V) And (P), Ward-6 Karuthakkanan Street
6.Uppukottai (R.V) And (P), Ward-6 Lakshmanan Street
7.Uppukottai (R.V) And (P), Ward-6 Rajangam Street
8.Uppukottai (R.V) And (P), Ward-6 Prakasam Street
9.Uppukottai (R.V) And (P), Ward-6 Niraikulam Street-1
10.Uppukottai (R.V) And (P), Ward-6 North Street  South Side
11.Uppukottai (R.V) And (P), Ward-6 Niraikulam Street-2
12.Uppukottai (R.V) And (P), Ward-6 Nayakker Street
13.Uppukottai (R.V) And (P), Ward-6 Nayakker 1st Cross Street
14.Uppukottai (R.V) And (P), Ward-6 Nayakker 2nd Cross Street
15.Uppukottai (R.V) And (P), Ward-6  Nayakker Main Street
16.Uppukottai (R.V) And (P), Ward-6 Thangaraj Street
17.Uppukottai (R.V) And (P), Ward-6 Subbanayakker Street
18.Uppukottai (R.V) And (P), Ward-6 Pagavathi Kovil Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,282,137,24.046434494195687
153,"Govt. Kallar Middle School,New Building, South Side, Palarpatti","1.Uppukottai (R.V) And (P), Ward-6 Kasimayan Street
2.Uppukottai (R.V) And (P), Ward-6 Mokkamayan Street
3.Uppukottai (R.V) And (P), Ward-6 Gopi Street
4.Uppukottai (R.V) And (P), Ward-6 Aasari Street
5.Uppukottai (R.V) And (P), Ward-6 Pagavathi Kovil Street
6.Uppukottai (R.V) And (P), Ward-6 Chinnapalli  Street
7.Uppukottai (R.V) And (P), Ward-6 Palayam Main Road  West Side
8.Uppukottai (R.V) And (P), Ward-6 Veeruchinnamal Kovil Street
9.Uppukottai (R.V) And (P), Ward-6 Veeruchinnamal North Side
10.Uppukottai (R.V) And (P), Ward-6 Chinnadurai Street
11.Uppukottai (R.V) And (P), Ward-6 Sathunavu  Koodam  Street
12.Uppukottai (R.V) And (P), Ward-6 Harijana  Street
13.Uppukottai (R.V) And (P), Ward-6 Colony Street
14.Uppukottai (R.V) And (P), Ward-6 Seenithevar  Street
15.Uppukottai (R.V) And (P), Ward-6 Uppukottai Road East Side
16.Uppukottai (R.V) And (P), Ward-6 Otha Veedu
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,256,159,15.47049441786284
154,"Hindu Ele. School ,  East Building, Bodendrapuram","1.Uppukottai (R.V) And (P), Ward-1 Duraisamy Teacher Street
2.Uppukottai (R.V) And (P), Ward-1 Chandra Kulasekaran Street
3.Uppukottai (R.V) And (P), Ward-1 Mini Bank Street
4.Uppukottai (R.V) And (P), Ward-1 Muthulakshmi Street
5.Uppukottai (R.V) And (P), Ward-1 Pillaiyar Kovil Street
6.Uppukottai (R.V) And (P), Ward-1 Shanmugavel Thevar Street
7.Uppukottai (R.V) And (P), Ward-1 Main Street
8.Uppukottai (R.V) And (P), Ward-1 Nagaraj Street
9.Uppukottai (R.V) And (P), Ward-1 Main Street (South Side)
10.Uppukottai (R.V) And (P), Ward-1 Sivanammal Street
11.Uppukottai (R.V) And (P), Ward-1 Chettiar Street
12.Uppukottai (R.V) And (P), Ward-1 Kumar Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,329,135,32.93718166383701
155,"Anganwadi Centre, East Side Facing, Bodendrapuram.","1.Uppukottai (R.V) And (P), Ward-1 Chandraraj  Street
2.Uppukottai (R.V) And (P), Ward-1 Karuppaiah Street
3.Uppukottai (R.V) And (P), Ward-1 Pandi Kadai Street
4.Uppukottai (R.V) And (P), Ward-1 Vairamuthu Lane
5.Uppukottai (R.V) And (P), Ward-1 Palanichami Lane
6.Uppukottai (R.V) And (P), Ward-1 Kaliappan Street
7.Uppukottai (R.V) And (P), Ward-1 Periyasami Street
8.Uppukottai (R.V) And (P), Ward-1 Kodangipatti Road
9.Uppukottai (R.V) And (P), Ward-1 Mathivanan Street
10.Uppukottai (R.V) And (P), Ward-1 Karuppasami Street
11.Uppukottai (R.V) And (P), Ward-1 Kodangipatti Road (Starting)
12.Uppukottai (R.V) And (P), Ward-1 Bodi Road (South Side)
13.Uppukottai (R.V) And (P), Ward-1 A.T. Colony
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,315,170,24.701873935264054
156,"Savari Nayagam Ele.School,South Building,
Manicakapuram","1.Uppukottai (R.V), Kamarajapuram (P), Ward-5 Manikkapuram Main Road  (Middle Street)
2.Uppukottai (R.V), Kamarajapuram (P), Ward-5 Manikkapuram  South Street
3.Uppukottai (R.V), Kamarajapuram (P), Ward-5 Manikkapuram East Street
4.Uppukottai (R.V), Kamarajapuram (P), Ward-5 Manikkapuram North Street
5.Uppukottai (R.V), Kamarajapuram (P), Ward-5 Manikkapuram Colony
6.Uppukottai (R.V), Kamarajapuram (P), Ward-5 Manikkapuram Singarakottai
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,330,167,24.73444613050076
160,"Thirupathi Chettiyar Middle School, North Side, Dombuchery","1.Dombuchery (R.V) And (P), Ward-4 Petchiamman Kovil Street
2.Dombuchery (R.V) And (P), Ward-4 Pattalamman Kovil Street
3.Dombuchery (R.V) And (P), Ward-4 North Ambethkar Colony Street
4.Dombuchery (R.V) And (P), Ward-4 North Rice Mill East Street
5.Dombuchery (R.V) And (P), Ward-4 Ambethkar Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,405,226,23.52168199737188
162,"Kaligadevi High School, North Block, West Side, Pathrakalipuram","1.Dombuchery (R.V) And (P), Ward-5 Dombuchery Road East Street
2.Dombuchery (R.V) And (P), Ward-5 Main Road East
3.Dombuchery (R.V) And (P), Ward-5 Ayyappan House Main Road
4.Dombuchery (R.V) And (P), Ward-5 Dombuchery Road West Street
5.Dombuchery (R.V) And (P), Ward-5 School Sourth Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,495,266,24.570815450643778
163,"Kaligadevi High School , North Block, East Side,Pathrakalipuram","1.Dombuchery (R.V) And (P), Ward-5 Vinayagar Kovil Stret
2.Dombuchery (R.V) And (P), Ward-5 School West Street
3.Dombuchery (R.V) And (P), Ward-5 Church Street West Side
4.Dombuchery (R.V) And (P), Ward-5 Middle Street West - East Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,416,187,28.660826032540676
164,"Kaligadevi Ele. School, Western Block,
Western Portion, Pathirakalipuram","1.Dombuchery (R.V) And (P), Ward-5 O.H.T. Pathai West Street
2.Dombuchery (R.V) And (P), Ward-5 Rice Mill Front East Street
3.Dombuchery (R.V) And (P), Ward-5 School West - Amarnath Street
4.Dombuchery (R.V) And (P), Ward-5 Chruch East Street - Pillaimar Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,303,191,17.151607963246555
