Serial No. Of Polling Station,Building in which it will be located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
172,"Shakthi Nursery and Primary School, West building east facing North Portion,Eraniya Nagar, Sirkazhi","1. Sirkali (M), Eraniyan Nagar Ward:6, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,221,118,25.121951219512194
173,"Municipal Elementary School, New building south portion, Pallivasal Street
Kovilpathu","1. Sirkali (M), Kovilpathu Ward:23, 2. Sirkali (M), Iveli Ward:22, 3. Sirkali (M), Thuraiyur ward:22, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,438,214,28.28282828282828
192,"Sirkali Panchayat Union Elementary School, South facing building Western portion, Semmangudi","1. Semmangudi (R.V) And (P), South Street, Colony Street, New Street ward:1, 2. Semmangudi (R.V) And (P), North Street, Valluvar Street, Vilwarayanatham, Dalithi ward:2, 3. Semmangudi (R.V) And (P), Kallar Street, Amberdkar Colony, Vandiyankalam ward:2, 4. Semmangudi (R.V) And (P), Kulathur Elupidari ward:2, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,342,156,30.14586709886548
195,"Sirkali Panchayat Union Elementary School, Eastern Side North Portion, Puthuthurai","1. Puthuthurai (R.V) And (P), Thenpathi Street ward:2, 2. Puthuthurai (R.V) And (P), Vadapathi Street ward:2, 3. Puthuthurai (R.V) And (P), Thoppu Street ward:2, 4. Puthuthurai (R.V) And (P), Manthoppu Street ward:2, 5. Puthuthurai (R.V) And (P), Mandapam East Street ward:2, 6. Puthuthurai (R.V) And (P), Mandapam West Street ward:2, 999. OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,434,130,45.37313432835821
215,"Sirkali Panchayat Union Middle School, Eastern Building Facing North, Punganur","1. Punganur (R.V) And (P), Punganur West Street ward:4, 2. Punganur (R.V) And (P), Mallukkudi East Street, West Street ward:4, 3. Punganur (R.V) And (P), East Street Adidravidar ward:3, 4. Punganur (R.V) And (P), West Street Adidravidar Colony ward:3, 5. Punganur (R.V) And (P), Pallivasal Street ward:3, 6. Punganur (R.V) And (P), Middle Street ward:3, 7. Punganur (R.V) And (P), North Street ward:3, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,368,230,19.54674220963173
216,"Sirkali Panchayat Union Middle School North Building East Side South Facing , Punganoor","1. Punganur (R.V) And (P), Mallukudi Muslim Street, Makkathamma Street ward:4, 2. Punganur (R.V) And (P), Absar Street ward:4, 3. Punganur (R.V) And (P), New Street, Jinna Street ward:4, 4. Punganur (R.V) And (P), Pattakal Street ward:4, 999. OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,303,101,46.65127020785219
217,"Sirkali Panchayat Union Middle School, south facing west Portion, North building , Punganoor","1. Punganur (R.V) And (P), Kodangudi ward:1, 2. Punganur (R.V) And (P), Mela Varavukudi ward:1, 3. Punganur (R.V) And (P), Kadakudi West Street ward:2, 4. Punganur (R.V) And (P), Kadakudi East Street ward:2, 5. Punganur (R.V) And (P), Punganur East Street ward:3, 6. Punganur (R.V) and (P), Punganur Middle Street ward:3, 7. Punganur (R.V) And (P), Punganur Pallivasal West Street ward:3, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,453,207,27.922814982973893
238,"Government High School,North facing South building West portion,Melasalai Karaimedu","1. Karaimedu (R.V) And (P), Pallivasal Street ward:5, 2. Karaimedu (R.V) And (P), Jinna Street ward:5, 3. Karaimedu (R.V) And (P), N.P.K. Street ward:5, 4. Karaimedu (R.V) And (P), Nagai Main Road South ward:5, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,252,38,68.58974358974359
242,"Sirkali Panchayat Union Elementary School, North Building East Side, Thiruvali","1. Thiruvali (R.V) And (P), Melpathi Street ward:2, 2. Thiruvali (R.V) And (P), Valluvar Street ward:2, 3. Thiruvali (R.V) And (P), Thideerkuppam Jeeva Nagar ward:2, 4. Thiruvali (R.V) And (P), Melpathi ward:2, 5. Thiruvali (R.V) And (P), Agraharam ward:2, 6. Thiruvali (R.V) And (P), Mariyammankovil Street ward:2, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,302,158,23.376623376623375
263,"Panchayat Union Elementary School, Middle Building North Side Facing West, Perumthottam","1. Perunthottam II (R.V) And (P), Puthu Street ward:3, 2. Perunthottam II (R.V) And (P), Valliammi Nagar ward:3, 3. Agaraperunthottam (R.V), Perunthottam (P), Solaigramam ward:5, 4. Agaraperunthottam (R.V), Perunthottam (P), Main Road ward:5, 5. Agaraperunthottam (R.V), Perunthottam (P), Sullan Street ward:5, 999. OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,327,153,28.064516129032256
278,"Government Higher Secondary School, Middle Building South Facing West Portion Room No.24, Nangur","1. Nangur (R.V) And (P), West Street ward:6, 2. Nangur (R.V) And (P), Saaval Koil Street ward:6, 3. Nangur (R.V) And (P), Odai Street ward:6, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,375,187,26.038781163434905
302,"Panchayat Union Middle School, Middle building North Room, Manikramam","1. Manigramam (R.V) And (P), Babujinagar ward:1, 2. Manigramam (R.V) And (P), Seppanthottam ward:1, 3. Manigramam (R.V) And (P), Mainroad ward:1, 4. Manigramam (R.V) And (P), Vadamanigramam ward:1, 5. Manigramam (R.V) And (P), Pallivasal Street
ward:1, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,332,181,24.673202614379086
