Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
126,Room Ist Std A,tamilaga vettri kazhagam,284,76
127,Chennai-82,tamilaga vettri kazhagam,267,35
128,Chennai-82,tamilaga vettri kazhagam,341,119
129,Ch-82,tamilaga vettri kazhagam,319,51
130,Ch-82,tamilaga vettri kazhagam,384,100
131,Ch-82,tamilaga vettri kazhagam,319,65
132,Ch-82,tamilaga vettri kazhagam,362,113
133,Chennai-11,tamilaga vettri kazhagam,252,75
134,Chennai-11,tamilaga vettri kazhagam,308,136
135,Room 3,tamilaga vettri kazhagam,366,133
136,Chennai-11,tamilaga vettri kazhagam,389,84
137,Chennai-11,tamilaga vettri kazhagam,432,168
138,Chennai-82,tamilaga vettri kazhagam,279,39
139,Chennai-82,tamilaga vettri kazhagam,305,30
140,Chennai-82,dravida munnetra kazhagam,290,103
141,Chennai-82,tamilaga vettri kazhagam,223,9
142,Chennai-82,dravida munnetra kazhagam,235,42
143,Room 5,dravida munnetra kazhagam,177,26
144,Chennai-82,dravida munnetra kazhagam,341,133
145,Chennai-82,tamilaga vettri kazhagam,270,28
146,Chennai-82,dravida munnetra kazhagam,273,81
147,Chennai-82,dravida munnetra kazhagam,157,6
148,Chennai-82,dravida munnetra kazhagam,235,28
149,Room 2,dravida munnetra kazhagam,201,15
150,Chennai-82,dravida munnetra kazhagam,289,52
151,Chennai-82,dravida munnetra kazhagam,302,58
152,Chennai-82,tamilaga vettri kazhagam,217,13
153,Chennai-82,dravida munnetra kazhagam,268,24
154,Chennai-82,tamilaga vettri kazhagam,303,28
155,Chennai-82,dravida munnetra kazhagam,294,37
156,Chennai-82,dravida munnetra kazhagam,257,46
157,Perambur-Ch-11,tamilaga vettri kazhagam,350,99
158,Perambur-Ch-11,dravida munnetra kazhagam,383,161
159,Ch-82,dravida munnetra kazhagam,298,56
160,Room 7,tamilaga vettri kazhagam,341,2
161,ICDS Building T.V.K Nagar 4th Street Chennai- 82 (Centre No.212),tamilaga vettri kazhagam,285,13
162,Ch-82,dravida munnetra kazhagam,327,31
163,Ch-82,dravida munnetra kazhagam,298,23
164,ICDS Building T.V.K Nagar main Street Chennai- 82 (Centre No.213),tamilaga vettri kazhagam,366,70
165,ICDS Building T.V.K Nagar 4th Street Chennai- 82 (Centre No.211),tamilaga vettri kazhagam,302,63
166,Room 1,tamilaga vettri kazhagam,313,88
167,Chennai-11,tamilaga vettri kazhagam,309,26
168,Chennai-11,tamilaga vettri kazhagam,257,22
169,Chennai-11,tamilaga vettri kazhagam,294,35
170,Chennai-11,tamilaga vettri kazhagam,329,109
171,Chennai-11,tamilaga vettri kazhagam,299,31
172,Room 2,tamilaga vettri kazhagam,274,22
173,Chennai-11,tamilaga vettri kazhagam,229,32
174,Chennai-11,tamilaga vettri kazhagam,214,11
175,Chennai-11,tamilaga vettri kazhagam,351,95
176,Room 4,tamilaga vettri kazhagam,275,62
177,Ch-11,tamilaga vettri kazhagam,301,48
178,Ch-11,tamilaga vettri kazhagam,206,16
179,Chennai-11,dravida munnetra kazhagam,387,100
180,Room 4,tamilaga vettri kazhagam,148,44
181,Chennai-11,dravida munnetra kazhagam,313,17
182,Chennai-11,tamilaga vettri kazhagam,394,19
183,Chennai-11,dravida munnetra kazhagam,326,36
184,Chennai-11,tamilaga vettri kazhagam,366,79
185,ICDS Building Teeds Garden 1st Street Perambur Chennai -11,tamilaga vettri kazhagam,336,130
186,Chennai-600011.,dravida munnetra kazhagam,384,155
187,Chennai-600011.,dravida munnetra kazhagam,365,143
188,Room 3,dravida munnetra kazhagam,386,100
189,Chennai-600011.,tamilaga vettri kazhagam,391,34
190,Ch-11,dravida munnetra kazhagam,385,150
191,Ch-11,dravida munnetra kazhagam,294,80
192,ICDS Building Teeds Garden 1st Street Perambur Chennai -11,dravida munnetra kazhagam,368,100
193,Ch-11,dravida munnetra kazhagam,380,196
194,Ch-11,dravida munnetra kazhagam,303,15
195,ICDS Building Teeds Garden 1st Street Perambur Chennai -11,dravida munnetra kazhagam,306,14
196,Chennai-11,tamilaga vettri kazhagam,369,29
197,Chennai-11,tamilaga vettri kazhagam,325,27
198,Chennai-11,tamilaga vettri kazhagam,243,27
199,Chennai-11,dravida munnetra kazhagam,495,275
200,Chennai-11,dravida munnetra kazhagam,519,308
201,Chennai-11,dravida munnetra kazhagam,395,223
202,Chennai-11,dravida munnetra kazhagam,485,271
203,Chennai-11,dravida munnetra kazhagam,304,29
204,Chennai-11,tamilaga vettri kazhagam,197,7
205,Room 6,tamilaga vettri kazhagam,281,90
206,Chennai-11,dravida munnetra kazhagam,244,25
207,Chennai-11,tamilaga vettri kazhagam,306,65
208,Chennai-11,tamilaga vettri kazhagam,404,142
209,Chennai-11,tamilaga vettri kazhagam,268,34
210,Room 3,tamilaga vettri kazhagam,336,75
211,Chennai-11,dravida munnetra kazhagam,343,28
212,Chennai-11,dravida munnetra kazhagam,149,26
213,Ch-11,tamilaga vettri kazhagam,308,55
214,Ch-11,tamilaga vettri kazhagam,334,7
215,Ch-11,dravida munnetra kazhagam,334,129
216,Room 4,dravida munnetra kazhagam,333,15
217,Ch-11,tamilaga vettri kazhagam,340,58
218,Ch-11,tamilaga vettri kazhagam,394,19
219,Ch-11,tamilaga vettri kazhagam,307,69
220,Ch-11,dravida munnetra kazhagam,273,32
221,Perambur-Ch-11,tamilaga vettri kazhagam,301,98
222,Perambur-Ch-11,tamilaga vettri kazhagam,332,137
223,Chennai-11,tamilaga vettri kazhagam,362,181
224,Chennai-11,tamilaga vettri kazhagam,293,123
225,Chennai-11,tamilaga vettri kazhagam,311,76
226,Chennai-11,tamilaga vettri kazhagam,318,93
227,Chennai-11,tamilaga vettri kazhagam,265,80
