Polling_Station_No,location_clean,polling area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
55,Chennai-82,"1 - Kolathur [ Ward No.65] Poombugar Nagar 2nd Street
2 - Kolathur [ Ward No.65] Poombugar Nagar 3rd Street
3 - Kolathur [ Ward No.65] Poombugar Nagar 3rd Cross Street
4 - Kolathur [ Ward No.65] Poombugar Nagar 4th Street
5 - Kolathur [ Ward No.65 ] Poombugar Nagar 5th Street
6 - Kolathur [ Ward No.65] Poombugar Nagar 6th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,5,0.8960573476702508
57,Chennai-82,"1 - Kolathur [ Ward No.65 ] Poombugar Nagar 14th Street
2 - Kolathur [ Ward No.65 ] Poombugar Nagar 15th Street
3 - Kolathur [ Ward No.65 ] Poombugar Nagar 16th Street
4 - Kolathur [ Ward No.65 ] Poombugar Nagar 18th Street
5 - Kolathur [ Ward No.65 ] Poombugar Nagar 19th Street
6 - Kolathur [ Ward No.65] Poombugar Nagar Ganapathi Nagar
7 - Kolathur [ Ward No.65 ] Poombugar Nagar 10th Street
8 - Kolathur [ Ward No.65 ] Poombugar Nagar Extn",dravida munnetra kazhagam,tamilaga vettri kazhagam,0,0.0
62,Room 2,"1 - Kolathur [ Ward No.65 ] Haridas 1st Cross Street
2 - Kolathur [ Ward No.65 ] Haridas 3rd Street
3 - Kolathur [ Ward No.65 ] Bagavathiammal Street
4 - Kolathur [ Ward No.65 ] Haridas Main Road",dravida munnetra kazhagam,tamilaga vettri kazhagam,0,0.0
63,Chennai-99,"1 - Kolathur [ Ward No.65 ] East Street
2 - Kolathur [ Ward No.65 ] Lakewiew Vinayakar Koil Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,20,3.164556962025316
65,Chennai-99,"1 - Kolathur [ Ward No.65 ] Sarojini Nagar 1st Street
2 - Kolathur [ Ward No.65 ] Sarojini Nagar 2nd Street
3 - Kolathur [ Ward No.65 ] Sarojini Nagar Extension
4 - Kolathur [ Ward No.65] Sarojini Nagar 3rd Street
5 - Kolathur [ Ward No.65 ] Bhajanai Koil Street 999 - Overseas Elector",tamilaga vettri kazhagam,dravida munnetra kazhagam,21,3.215926493108729
67,Chennai-99,"1 - Kolathur [ Ward No.65] Anjugam Nagar Cross Road
2 - Kolathur [ Ward No.65 ] Anjagam Nagar 1st Street
3 - Kolathur [ Ward No.65 ] Anjugam Nagar 2nd Street
4 - Kolathur [ Ward No.65 ] Anjugam Nagar 3rd Street
5 - Kolathur [ Ward No.65 ] Anjugam Nagar 3rd Cross Street
6 - Kolathur [ Ward No.65 ] Anjugam Nagar 4th Street
7 - Kolathur [ Ward No.65 ] Anjugam Nagar 5th Cross Street
8 - Kolathur [ Ward No.65 ] Anjugam Nagar Cross Street Vetrivel Nagar
9 - Kolathur [ Ward No.65] Anjugam Nagar Vetrivel Nagar Main Road
999 - Overseas Elector",dravida munnetra kazhagam,tamilaga vettri kazhagam,33,4.596100278551532
68,Chennai-99,"1 - Kolathur [ Ward No.65 ] Vetrivel Nagar Extn 1st Street
2 - Kolathur [ Ward No.65] Vetrivel Nagar Extn 2nd Street
3 - Kolathur [ Ward No.65 ] Vetrivel Nagar Extn 3rd Street
4 - Kolathur [ Ward No.65 ] TNHB MIG Flats
5 - Kolathur [ Ward No.65 ] TNHB HIG Flats
6 - Kolathur [ Ward No.65] Anjugam Nagar 6th Street
7 - Kolathur [ Ward No.65 ] Anjugam Nagar 7th Street
8 - Kolathur [ Ward No.65 ] Anjugam Nagar 8th Street 999 - Overseas Elector",dravida munnetra kazhagam,tamilaga vettri kazhagam,24,4.225352112676056
69,Chennai-99,"1 - Kolathur [ Ward No.65 ] Anjugam Nagar 11th Street
2 - Kolathur [ Ward No.65 ] Anjugam Nagar 12th Street
3 - Kolathur [ Ward No.65 ] Anjugam Nagar 13th Street
4 - Kolathur [ Ward No.65 ] Anjugam Nagar 14th Street
5 - Kolathur [ Ward No.65 ] Anjugam Nagar 15th Street
6 - Kolathur [ Ward No.65 ] Anjugam Nagar 16th Street
7 - Kolathur [ Ward No.65 ] Anjugam Nagar 17th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,26,4.333333333333334
70,Chennai-99,"1 - Kolathur [ Ward No.65 ] Thulasi Nagar
2 - Kolathur [ Ward No.65 Pasumpon Nagar
3 - Kolathur [ Ward No.65 ] Poombugar Nagar 20th Street
4 - Kolathur [ Ward No.65] Poombugar Nagar 21st Street
5 - Kolathur [ Ward No.65 ] Poombugar Nagar 22nd Street
6 - Kolathur [ Ward No.65] Poombugar Nagar 23rd Street
7 - Kolathur [ Ward No.65] Poombugar Nagar 24th Street
8 - Kolathur [ Ward No.65] Anjugam Nagar 18th Street
9 - Kolathur [ Ward No.65 ] Anjugam Nagar 19th Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,15,2.235469448584203
71,Ch-99,"1 - Kolathur [ Ward No.65] Shanthi Nagar Main Road
2 - Kolathur [ Ward No.65 ] Shanthi Nagar 1st Cross Street
3 - Kolathur [ Ward No.65] Shanthi Nagar 2nd Cross Street
4 - Kolathur [ Ward No.65 ] Shanthi Nagar 3rd Cross Street
5 - Kolathur [ Ward No.65] Shanthi Nagar 4th Cross Street
6 - Kolathur [ Ward No.65] Shanthi Nagar 5th Cross Street
7 - Kolathur [ Ward No.65] Shanthi Nagar 6th Cross Street
8 - Kolathur [ Ward No.65 ] Shanthi Nagar Extension
9 - Kolathur [ Ward No.65 ] Thearter Street
10 - Kolathur [ Ward No.65 ] Ambedhkar Salai
11 - Kolathur [ Ward No.65 ] Vijaya Nagar",dravida munnetra kazhagam,tamilaga vettri kazhagam,28,4.0
72,Ch-99,"1 - Kolathur [ Ward No.65 ] Poombugar Nagar 17th Street
2 - Kolathur [ Ward No.65 ] Poombugar Nagar 4th Cross Street
3 - Kolathur [ Ward No.65 ] Poombugar Nagar 5th Cross Street
4 - Kolathur [ Ward No.65] Poombugar Nagar 6th Cross Street
5 - .Kolathur [ Ward No.65 ] South Poombugar Nagar 1st Street
6 - Kolathur [ Ward No.65 ] South Poombugar Nagar 2nd Street
7 - Kolathur [ Ward No.65] West Poombugar Nagar 2nd Street
8 - Kolathur [ Ward No.65] Poombugar Nagar 7th Cross Street
9 - Kolathur [ Ward No.65] Poombugar Nagar 30th Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,30,4.815409309791333
74,Room 3,"1 - Kolathur [ Ward No.65 ] Poombugar Nagar 8th Cross Street
2 - Kolathur [ Ward No.65 ] Poombugar Nagar 27th Street
3 - Kolathur [ Ward No.65] Poombugar Nagar 28th Street
4 - Kolathur [ Ward No.65 ] Poombugar Nagar 29th Street Bashyam Street
5 - Kolathur [ Ward No.65] Poombugar Nagar 25th Street
6 - Kolathur [ Ward No.65 ] Poombugar Nagar 26th Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,4,0.5633802816901409
81,Ch-99,"1 - Kolathur [ Ward No.65] Jayaram Nagar 3rd Main Road
2 - Kolathur [ Ward No.65] Thiruvalluar Street Thanigai Nagar
3 - Kolathur [ Ward No.65 ] Veeramamuni Street Thanigai Nagar
4 - Kolathur [ Ward No.65 ] Kalamegam Street Thanigai Nagar
5 - Kolathur [ Ward No.65 ] Valmiki Street
6 - Kolathur [ Ward No.65 ] Jayaram Nagar 1st Main Road
7 - Kolathur [ Ward No.65 ] Jayaram Nagar 4th Main Road
8 - Kolathur [ Ward No.65 ] Jayaram Nagar 2nd Main Road 999 - Overseas Elector",dravida munnetra kazhagam,tamilaga vettri kazhagam,19,3.209459459459459
88,Chennai - 99,"1 - Kolathur [ Ward No.66 ] Balaji Nagar 1st Cross Street
2 - Kolathur [ Ward No.66 ] Balaji Nagar 2nd Cross Street
3 - Kolathur [ Ward No.66 ] Vivekanandhar Street Ramakrishna Nagar
4 - Kolathur [ Ward No.66 ] Saradhambal Street Ramakrishna
Nagar",dravida munnetra kazhagam,tamilaga vettri kazhagam,12,2.73972602739726
101,Chennai - 99,"1 - Kolathur [ Ward No.66 ] Nermai Nagar
2 - Kolathur [ Ward No.65] Samudharia Colony
3 - Kolathur [ Ward No.65 ] Girija Nagar East",dravida munnetra kazhagam,tamilaga vettri kazhagam,21,2.861035422343324
107,Chennai - 99,"1 - Kolathur [ Ward No.66 ] United Colony Main Road
2 - Kolathur [ Ward No.66 ] United Colony 1st Street
3 - Kolathur [ Ward No.66] United Colony 1st Cross Street
4 - Kolathur [ Ward No.66 ] United Colony 2nd Street
5 - Kolathur [ Ward No.66 ] United Colony 2nd Cross Street 999 - Overseas Elector",tamilaga vettri kazhagam,dravida munnetra kazhagam,19,3.544776119402985
109,Ch-82,"1 - Perambur [ Ward No.66 ] Krishna Nagar 1st Street
2 - Perambur [ Ward No.66 ] Krishna Nagar 2nd Street
3 - Perambur [ Ward No.66] Krishna Nagar 3rd Street
4 - Perambur [ Ward No.66 ] Sarojas Krishna Nagar 3rd Street
5 - Perambur [ Ward No.66 ] Andal Flats
6 - Perambur [ Ward No.66 ] Andal Avenue 1st Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,10,2.032520325203252
110,Ch-82,"1 - Perambur [ Ward No.66 ] Andal Avenue 2nd Street
2 - Perambur [ Ward No.66 ] A S Venus Court Andal Avenue 3rd Street
3 - Perambur [ Ward No.66 ] A S Venus Court Andal Avenue 2nd Street
4 - Perambur [ Ward No.66 ] A S Venus Court Andal Avenue 3rd cross Street
5 - Perambur [ Ward No.66 ] Bashyam Street
6 - Peravallur [ Ward No.66 ] Balaraman Street 999 - Overseas Elector",tamilaga vettri kazhagam,dravida munnetra kazhagam,10,2.109704641350211
114,Ch-82,"1 - Peravallur [ Ward No.68 ] Lakshmanan Nagar East Main Road
2 - Peravallur [ Ward No.68 ] Lakshman Nagar 1st Cross Street
3 - Peravallur [ Ward No.68 ] Lakshman Nagar 2nd Cross Street
4 - Peravallur [ Ward No.68 ] Lakshman Nagar Main Road
5 - Peravallur [ Ward No.68 ] Lakshman Nagar West",tamilaga vettri kazhagam,dravida munnetra kazhagam,4,0.6884681583476765
116,Chennai-99,"1 - Peravallur [ Ward No.66 ] Sakthivel Nagar 1st Cross Street
2 - Peravallur [ Ward No.66 ] Sakthivel Nagar Main Road
3 - Peravallur [ Ward No.66 ] Sakthivel Nagar 2nd Cross Street
4 - Peravallur [ Ward No.66 ] Sakthivel Nagar 3rd Cross Street
5 - Peravallur [ Ward No.66 ] Sakthivel Nagar 4th Cross Street
6 - Peravallur [ Ward No.66 ] Sakthivel Nagar 5th Cross Street
7 - Peravallur [ Ward No.66 ] Sakthivel Nagar 6th Cross Street
8 - Peravallur [ Ward No.66 ] Sakthivel Nagar 7th Cross Street
9 - Peravallur [ Ward No.66 ] Sakthivel Nagar 8th Cross Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,11,1.710730948678072
117,Chennai-99,"1 - Peravallur [ Ward No.66 ] Sakthivel Nagar School Road
2 - Peravallur [ Ward No.66 ] Kumaran Nagar 1st Main Road
3 - Peravallur [ Ward No.66 ] Kumaran Nagar 2nd Main Road
4 - Peravallur [ Ward No.66 ] Kumaran Nagar 3rd Main Road
5 - Peravallur [ Ward No.66 ] Kumaran Nagar 4th Main Road",tamilaga vettri kazhagam,dravida munnetra kazhagam,24,4.928131416837783
120,Ch-82,"1 - Peravallur [ Ward No.68 ] Chelliamman Colony 1st Street
2 - Peravallur [ Ward No.68 ] Chelliamman Colony 2nd Street
3 - Peravallur [ Ward No.68 ] Ram Nagar 1st Main Road
4 - Peravallur [ Ward No.68 ] Ram Nagar 1st Main Road Extension
5 - Peravallur [ Ward No.68 ] Ram Nagar 1st Cross Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,18,2.479338842975207
139,Chennai-82,"1 - Jawahar Nagar [ Ward No.68 ] Raja Thottam
2 - Jawahar Nagar [ Ward No.68 ] Markandeyan Street
3 - Jawahar Nagar [ Ward No.68 ] A Block & B Block Raja Thottam T.N.S.C.B
4 - Agaram [ Ward No.68 ] C Block Raja Thottam T.N.S.C.B
5 - Agaram [ Ward No.68 ] D Block Raja Thottam T.N.S.C.B
6 - Agaram [ Ward No.68 ] E Block Raja Thottam T.N.S.C.B
7 - Agaram [ Ward No.68 ] S R P Colony 10th Street
8 - Agaram [ Ward No.68 ] S R P Colony 11th Street
9 - Agaram [ Ward No.68 ] S R P Colony 12th Street
10 - Agaram [ Ward No.68 ] S R P Colony 13th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,30,4.444444444444445
141,Chennai-82,"1 - Agaram [ Ward No.68 ] S R P Colony 3rd Street
2 - Agaram [ Ward No.68 ] S R P Colony 4th Street
3 - Agaram [ Ward No.68 ] S R P Colony 5th Street
4 - Agaram [ Ward No.68] S R P Colony 6th Street
5 - Agaram [ Ward No.68 ] S R P Colony 7th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,9,1.612903225806452
145,Chennai-82,"1 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar (Jawahar Campus)
2 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 4th Main Road
3 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 70 Feet Road",tamilaga vettri kazhagam,dravida munnetra kazhagam,28,4.545454545454546
