Location and Name of Building in Which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"COMMUNITY HALL ,EASTERN PORTION KALLIDAIKURICHI",1,Indian National Congress,1
"COMMUNITY HALL ,JAWAHARPURAM ,MANNARKOVIL",1,Tamilaga Vettri Kazhagam,1
"COMMUNITY HALL WEST SIDE ,VEERAVANALLUR",1,Tamilaga Vettri Kazhagam,1
"COMMUNITY HALL, 10th WARD, MELAPALAYAM STREET, AMBASAMUDRAM.",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMUNITY HALL, EASTERN PORTION, PONMA NAGAR KALLIDAIKURICHI.",1,Tamilaga Vettri Kazhagam,1
"COMMUNITY HALL, KELA SEVAL",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMUNITY HALL, SAMATHUVAPURAM , EASTERN PORTION, AYAN SINGAMPATTI",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMUNITY HALL, SAMATHUVAPURAM , WESTERN PORTION, AYAN SINGAMPATTI",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMUNITY HALL, WESTERN PORTION, KALLIDAIKURCHI",1,Indian National Congress,1
"COMMUNITY HALL,PUDUKUDI",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMUNITY HALL,WESTERN PORTION ,PONMA NAGAR KALLIDAIKURICHI.",1,All India Anna Dravida Munnetra Kazhagam,1
"GAJENDRAVARADAN MIDDLE SCHOOL, EASTERN PORTION, ATHALANALLUR",1,All India Anna Dravida Munnetra Kazhagam,1
"GANAPATHY PRIMARY SCHOOL, MAIN BUILDING, PUDUKUDI",1,All India Anna Dravida Munnetra Kazhagam,1
"GANDHI PRIMARY SCHOOL , CHETTIMETTU",1,All India Anna Dravida Munnetra Kazhagam,1
"GOPALAN PRIMARY SCHOOL, NORTHERN BUILDING, EAST BLOCK, ARUMUGAMPSTTI, SIVANTHIPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"GOPALAN PRIMARY SCHOOL, WEST BLOCK, NORTHERN BUILDING, ARUM GAMPATTI, SIVANTHIPURAM",1,Indian National Congress,1
"GOPALAN PRIMARY SCHOOL,NORTH BLOCK WESTERN BUILDING ARUMGAMPATTI, SIVANTHIPURAM",1,Indian National Congress,1
"GOV.GIRLS HR SEC. SCHOOL, , COMPUTER ROOM, PATHAMADAI",1,Indian National Congress,1
"GOV.GIRLS HR SEC. SCHOOL, ROOM NO.7, XII B CLASS ROOM, PATHAMADAI",1,Indian National Congress,1
GOVERNMENT HIGH SCHOOL EASTERN BUILDING MANNARKOVIL,1,All India Anna Dravida Munnetra Kazhagam,1
"GOVERNMENT PRIMARY SCHOOL, NORTHERN BUILDING, MOOLACHI, KALLIDAIKURICHI",1,All India Anna Dravida Munnetra Kazhagam,1
"GOVERNMENT PRIMARY SCHOOL, SOUTHER PORTION MOOLACHI KALLIDAIKURICHI",1,Indian National Congress,1
"GOVT. GIRLS. HR SEC. SCHOOL, CENTRAL BUILDING NORTHERN PORTION PATHAMADAI",1,Indian National Congress,1
