Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
85,"GOPALAN PRIMARY SCHOOL, NORTHERN BUILDING, EAST BLOCK, ARUMUGAMPSTTI, SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 2 Arumugampatti",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.6521739130434783
87,"GOPALAN PRIMARY SCHOOL, WEST BLOCK, NORTHERN BUILDING, ARUM GAMPATTI, SIVANTHIPURAM","1 - Sivanthipuram (R.V),Sivanthipuram (P), Block No 3 Gopalan Palli Street, Sivathipuram",Indian National Congress,Tamilaga Vettri Kazhagam,8,1.547388781431335
88,"KAMARAJAR MIDDLE SCHOOL, WESTERN PORTION, SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 4 Uthiramuthanpatti",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,13,2.342342342342342
98,"MURUGADASA PRIMARY SCHOOL, EAST BLOCK, KEELA ERMALPURAM","1 - Manimuthar (T.P), Mela Eruammalpuram",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,27,4.199066874027993
100,"SARASWATHI ISAC PRIMARY SCHOOL, SOUTH BUILDING, CASHKEEPER THOPPU, ALADIYUR","Manimutharu (M), Block No 8 Adivaram Cash Keeper Thoppu",Tamilaga Vettri Kazhagam,Indian National Congress,11,3.293413173652695
101,"SARASWATHI ISAC PRIMARY SCHOOL, SOUTH BUILDING WESTERN PORTION, CASHKEEPER THOPPU, ALADIYUR","Manimutharu (M), Block No 10 Adiyamadai Thirupathiyapuram",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,19,3.822937625754527
103,"GANDHI PRIMARY SCHOOL , CHETTIMETTU","1Manimuthar (T.P), Block no 12 Chettimettu Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,25,3.43878954607978
105,"PANCHAYAT UNION PRIMARY SCHOOL, MANIMUTHAR","1 - Manimuthar (T.P), Block No 1 Manimuthar",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,9,1.792828685258964
119,"GRAMA SEVAI CENTRE, WESTERN PORTION DOOR NO.289 ABOVE VAIRAVIKULAM","1 - Vairavikulam (R.V),Vairavikulam (P), Block No 5 Door No. 289 above",Indian National Congress,Tamilaga Vettri Kazhagam,4,0.7380073800738007
122,"T.D.T.A PRIMARY SCHOOL , SOUTH BUDILING WEST PORTION, THERKKU PAPPANKULAM","1 - Therkku Pappankulam (R.V), Therkku Pappankulam (P), Block No 2",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,34,4.722222222222222
123,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, GOLDEN JUBLIE BUILDING, ROOM NO. 29, EASTERN PORTION, AMBASAMUDRAM","1 - Ambasamudram (M), R.S. New Colony",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.5649717514124294
126,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, NORTHERN BUILDING EAST PORTION AMBASAMUDRAM","1 - Ambasamudram (M), Papanasam Road, New Colony",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,5,0.7800312012480499
127,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, OLD NABORAD BUDILING, HALL NO. 1 AMBASAMUDRAM.","1 - Ambasamudram (M), Subramaniapuram Pothai door no 1-200",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,11,1.646706586826348
128,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, OLD NABORAD BUDILING, HALL NO. 3 AMBASAMUDRAM.","1 - Ambasamudram (M), Subramaniapuram Pothai door no 200 to 269",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,17,2.533532041728763
139,"MUNICIPALITY MIDDLE SCHOOL, MIDDLE PORTION, CENTRAL BUILDING, AMBASAMUDRAM","1 - Ambasamudram (M), Adappu Mudukku Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,14,3.655352480417755
143,"S.T.C BRANCH MIDDLE SCHOOL, SOUTHERN BUILDING, WEST PORTION, AMBASAMUDRAM.","1 - Ambasamudram (M), Ramalinger Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,16,2.133333333333333
144,"S.T.C BRANCH MIDDLE SCHOOL, SOUTHERN BUILDING,
EASTERN PORTION, (BABY CLASS ROOM )","1 - Ambasamudram (M), Main Road",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,4,0.7246376811594203
146,"MUNCIPALITY MARRIAGE HALL MAIN BULIDING, WEST PORTION MAIN ROAD, AMBASAMUDRAM","1 - Ambasamudram (M), Yadhavar Mela Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,25,4.355400696864112
150,"THEERTHAPATHI HR.SEC. SCHOOL, S S K BLOCK EAST CLASS ROOM 3 AMBASAMUDRAM","1 - Ambasamudram (M), Mudapalam South Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,1,0.1406469760900141
151,"THEERTHAPATHI HR.SEC. SCHOOL, ROOM NO.15 AMBASAMUDRAM.","1 - Ambasamudram (M), Kovilkulam Road",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,14,2.681992337164751
