Serial No. Of Polling Station,Locality,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
288,Subbiahpuram  2nd Street,"1.Thoothukudi  Corporation  Subbiahpuram  1st  Street  -  Ward  44  ,
2.Thoothukudi  Corporation  Subbaiahpuram  2nd  Street  -  Ward  44  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.62748643761302
290,Subbiahpuram  2nd Street,"1.Thoothukudi  Corporation  Masilamanipuram  1st  street  -  ward  44  , 2.Thoothukudi  Corporation  Masilamanipuram  2nd  Street  -  ward  44  , 3.Thoothukudi  Corporation  Masilamanipuram  3rd  Street  -  ward  44  , 4.Thoothukudi  Corporation  Masilamanipuram  4th  Street  -  ward  44  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,10,2.352941176470588
304,Doovipuram  2nd Street,"1.Thoothukudi  Corporation  Doovipuram  2nd  Street  -  Ward  41  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,20,3.663003663003663
306,Chidambara  nagar,"1.Thoothukudi  Corporation  Chidambara  nagar  east  -  Ward  42  , 2.Thoothukudi  Corporation  Chidambara  Nagar  West  -  Ward  42  ,
3.Thoothukudi  Corporation  Chidambara  Nagar  South  -  Ward  42  , 4.Thoothukudi  Corporation  Chidambara  Nagar  North  -  Ward  42  ,
5.Thoothukudi  Corporation  Chidambara  Nagar  Main  Road  -  Ward  42  ,
6.Thoothukudi  Corporation  Chidambara  Nagar  1st  Street  -  Ward  42  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,11,3.013698630136986
308,Chidambara  nagar,"1.Thoothukudi  Corporation  Bryant  nagar  1st  street  -  Ward  73  ,
2.Thoothukudi  Corporation  Bryant  Nagar  2nd  Street  -  Ward  43  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.4754358161648178
314,Bryant  Nagar  7th Street,"1.Thoothukudi  Corporation  Bryant  Nagar  7th  Street  -  Ward  43  (Door  No. After  30)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,7,2.140672782874617
327,"J.S.  Nagar, Muthiahpuram","1.Thoothukudi  Corporation  Sundar  Nagar  Block  4  -  ward  54  (Door  No. From  4-210-5  to  Last)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,26,4.850746268656716
330,Pottalkadu,"1.Mullakkadu  Part  2  (R.V)  And  (P)  Pottalkadu  North  Street  ,  2.Mullakkadu Part  2  (R.V)  And  (P)  Pottalkadu  South  Street  ,  3.Mullakkadu  Part  2  (R.V)
And  (P)  Pottalkadu  Amman  Kovil  Street  ,  4.Mullakkadu  Part  2  (R.V)  And
(P)  Pottalkadu  Nesamani  Nagar  ,  5.Mullakkadu  Part  2  (R.V)  And  (P) Mullakadu  West  Street  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,34,4.023668639053255
338,Muthiapuram,"1.Thoothukudi  Corporation  Ayyan  kovil  street  -  ward  52  (Door  No.  After 4-75B)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,4.398148148148148
342,Muthiapuram,"1.Thoothukudi  Corporation  East  Street  -  ward  52  (Door  No.  After  1-79-14)
,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,13,2.376599634369287
345,Muthiapuram,"1.Thoothukudi  Corporation  Kaliamman  Koil  Street  -  ward  52  (Door  No. After  3-500)  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,4,0.847457627118644
358,New  Harbour,"1.Thoothukudi  Corporation  Bharathi  Nagar  Type  1,  2,  3,  4  -  Ward  60  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,10,4.672897196261682
