Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
247,Pettai.,487,5,tamilaga vettri kazhagam,56,1.026694045174538,No
324,Tirunelveli  Town.,391,4,tamilaga vettri kazhagam,36,1.023017902813299,No
333,Intergrated Child Development  Centre  Karuvelangundru Street  Tirunelveli  Town,587,6,tamilaga vettri kazhagam,83,1.022146507666099,No
182,South Portion Hall  No.  4 Suthamalli.,881,9,tamilaga vettri kazhagam,35,1.021566401816118,No
94,Thalaiyuthu.,687,7,tamilaga vettri kazhagam,50,1.018922852983988,No
274,Tirunelveli  Town,393,4,dravida munnetra kazhagam,25,1.017811704834606,No
264,Palaiyapettai.,594,6,dravida munnetra kazhagam,184,1.01010101010101,No
379,Tirunelveli  Corporation Child Care  Center  Center  No -18 Udaiyarpatti.,595,6,dravida munnetra kazhagam,41,1.008403361344538,No
377,Senthimangalam.,698,7,tamilaga vettri kazhagam,72,1.002865329512894,No
355,West  Side  3rd Portion from   South Chathirampudukulam,399,4,tamilaga vettri kazhagam,66,1.00250626566416,No
105,Alavanthankulam.,599,6,dravida munnetra kazhagam,62,1.001669449081803,No
258,Palaiyapettai.,604,6,tamilaga vettri kazhagam,151,0.9933774834437087,No
242,Pettai.,606,6,tamilaga vettri kazhagam,35,0.9900990099009901,No
221,Pettai.,810,8,tamilaga vettri kazhagam,114,0.9876543209876543,No
275,Tirunelveli  Town.,509,5,tamilaga vettri kazhagam,116,0.9823182711198428,No
125,Therkkupatti.,408,4,dravida munnetra kazhagam,82,0.9803921568627451,No
374,Karaieruppu.,306,3,tamilaga vettri kazhagam,17,0.9803921568627451,No
224,Noble  Kids Nursery & Primary School  South Side  Middle Portion Room Pettai,512,5,tamilaga vettri kazhagam,42,0.9765625,No
177,"North Side  Kondanagaram.
South Building North Facing.",822,8,tamilaga vettri kazhagam,55,0.9732360097323601,No
294,Tirunelveli  Town.,724,7,dravida munnetra kazhagam,200,0.9668508287292817,No
62,Naranammalpuram.,518,5,tamilaga vettri kazhagam,62,0.9652509652509652,No
49,Pathinalamperi.,829,8,tamilaga vettri kazhagam,6,0.9650180940892641,Yes
24,Keelapillaiyarkulam.,418,4,all india anna dravida munnetra kazhagam,81,0.9569377990430622,No
344,Chathirampudukulam,527,5,tamilaga vettri kazhagam,26,0.9487666034155597,No
338,Tirunelveli  Town.,429,4,dravida munnetra kazhagam,52,0.9324009324009324,No
155,Panchayat  Union Middle  School  East  Portion Thiruppanikarisalkulam.,756,7,tamilaga vettri kazhagam,27,0.9259259259259258,No
88,Sankar  Nagar.,435,4,tamilaga vettri kazhagam,5,0.9195402298850575,No
346,Thachanallur.,549,5,tamilaga vettri kazhagam,86,0.9107468123861567,No
263,Little  Angel  Nursery & Primary School  New Building East Side  West  Portion New Building West  Mount  Road Tirunelveli  Town.,551,5,all india anna dravida munnetra kazhagam,28,0.9074410163339384,No
199,Narasinganallur.,554,5,tamilaga vettri kazhagam,136,0.9025270758122743,No
195,Narasinganallur.,556,5,tamilaga vettri kazhagam,174,0.8992805755395683,No
