Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Whether  for  all Voters  or  men  olny or  women  only,Indian National Congress,Naam Tamilar Katchi,All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,Puthiya Makkal Tamil Desam Katchi,Naam Indiar Party,Vishwa Tamil Kazhagam,All India Forward Bloc,Puthiya Tamilagam,Tamizhaga Vaazhvurimai Katchi,Independent,Independent.1,Independent.2,Independent.3,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Indian National Congress_Share_%,Naam Tamilar Katchi_Share_%,All India Anna Dravida Munnetra Kazhagam_Share_%,Tamilaga Vettri Kazhagam_Share_%,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Share_%,Puthiya Makkal Tamil Desam Katchi_Share_%,Naam Indiar Party_Share_%,Vishwa Tamil Kazhagam_Share_%,All India Forward Bloc_Share_%,Puthiya Tamilagam_Share_%,Tamizhaga Vaazhvurimai Katchi_Share_%,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Naam Tamilar Katchi_Rank,Indian National Congress_Rank,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Indiar Party_Rank,Tamizhaga Vaazhvurimai Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Vishwa Tamil Kazhagam_Rank,Puthiya Tamilagam_Rank,All India Forward Bloc_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Margin_Percentage,Total_Independent_Votes
160,Cambellabath,"Panchayat  Union  Middle  School  West  side Building,  Facing  north,  Camelapath","1.Tirukkaloor  (R.V),  Camebalapath  (P)  Camebalapath  Block  2  , 2.Tirukkaloor  (R.V),  Camebalapath  (P)  Sriniyapuram  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,272,26,23,98,0,0,0,0,1,0,6,0,0,0,0,426,0,1,427,0,63.84976525821596,6.103286384976526,5.39906103286385,23.00469483568075,0.0,0.0,0.0,0.0,0.2347417840375587,0.0,1.408450704225352,Indian National Congress,272,98,174,Tamilaga Vettri Kazhagam,3,1,7,7,4,7,5,2,7,7,6,7,7,7,7,40.84507042253522,0
161,Kadayanodai,"T.  N.  D.  T.  A.  Middle  School  West  Blcok, West  Portion,  Kadaiyanodai","1.Kadaiyanodai  (R.V)  And  (P)  Kadaiyanodai  Kasbha  Block  1  ,
2.Kadaiyanodai  (R.V)  And  (P)  Thadiyancolony  Block  2  ,  3.Kadaiyanodai (R.V)  And  (P)  Murugan  colony  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,127,23,65,129,1,0,0,0,0,2,0,0,2,1,1,351,0,4,355,0,36.18233618233619,6.552706552706552,18.51851851851852,36.75213675213676,0.2849002849002849,0.0,0.0,0.0,0.0,0.5698005698005698,0.0,Tamilaga Vettri Kazhagam,129,127,2,Indian National Congress,4,2,7,10,3,10,10,1,10,5,10,10,5,7,7,0.5698005698005698,4
162,Kadayanodai,"T.  N.  D.  T.  A.  Middle  School,  West  Block, East  Portion,  Kadaiyanodai","1.Cambalapath  (R.V)  And  (P)  Kadaiyanodai  Block  4  ,  2.Kadaiyanodai  (R.V) And  (P)  Kulathukudiruppu  Block  4  ,  3.Kadaiyanodai  (R.V)  And  (P)
Kadaiyanodai  Block  5  ,  4.Kadaiyanodai  (R.V)  And  (P)  Kadaiyanodai
kasbha  Block  6  ,  999.OVERSEAS  ELECTORS",All  Voters,189,46,108,206,3,2,0,0,0,0,0,0,1,0,0,555,0,4,559,0,34.05405405405406,8.288288288288289,19.45945945945946,37.11711711711712,0.5405405405405406,0.3603603603603603,0.0,0.0,0.0,0.0,0.0,Tamilaga Vettri Kazhagam,206,189,17,Indian National Congress,4,2,5,6,3,8,8,1,8,8,8,8,7,8,8,3.063063063063063,1
163,Themangulam,"T.  N.  D.  T.  A.  Middle  School,
South  Block,North  facing  West  side Themangulam","1.Themaangkulam  (R.V)  And  (p)  Muttharammenkovil  street  block  1  , 2.Themaangkulam  (R.V)  And  (P)  Yathaver  South  Street  Block  2  , 3.Themaangkulam  (R.V)  And  (P)  Maniyam  Colony  Block  3  , 4.Themaangkulam  (R.V)  And  (P)  Maraiaya  colony  Block  4  , 999.OVERSEAS  ELECTORS",All  Voters,71,30,178,97,0,2,1,0,0,3,1,3,1,1,0,388,0,5,393,0,18.29896907216495,7.731958762886598,45.87628865979381,25.0,0.0,0.5154639175257731,0.2577319587628866,0.0,0.0,0.7731958762886598,0.2577319587628866,All India Anna Dravida Munnetra Kazhagam,178,97,81,Tamilaga Vettri Kazhagam,4,3,12,7,1,8,8,2,12,5,12,5,8,8,12,20.87628865979381,5
164,Themangulam,"T.  N.  D.  T.  A.  Middle  School,  North  Portion South  Facing  Building,  Themangulam","1.Themangkulam  (R.V)  And  (P)  Thangaiyapuram  Block  5  , 2.Themaangkulam  (R.V)  And  (P)  Naduvoor  Mulakkarai  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,131,29,101,176,0,0,0,0,0,21,1,0,0,0,0,459,0,2,461,0,28.54030501089325,6.318082788671024,22.00435729847494,38.34422657952069,0.0,0.0,0.0,0.0,0.0,4.57516339869281,0.2178649237472767,Tamilaga Vettri Kazhagam,176,131,45,Indian National Congress,4,2,7,7,3,7,6,1,7,5,7,7,7,7,7,9.803921568627452,0
165,Sembur,Government  Community  Hall  Sembur,"1.Alahiyamanavalapuram  (R.V)  And  (p)  Semboor  Block  1  , 2.Alahiyamanavalapuram  (R.V)  And  (P)  Semboor  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,116,35,226,192,0,1,0,0,0,17,7,0,0,1,0,595,0,2,597,0,19.49579831932773,5.88235294117647,37.98319327731092,32.26890756302521,0.0,0.1680672268907563,0.0,0.0,0.0,2.857142857142857,1.176470588235294,All India Anna Dravida Munnetra Kazhagam,226,192,34,Tamilaga Vettri Kazhagam,4,3,9,7,1,9,6,2,9,5,9,9,9,7,9,5.714285714285714,1
166,Sembur,"T.  N.  D.  T.  A.  Primary  School,  South Facing  Building,  Sembur.","1.Alahiyamanavalapuram  (R.V)  And  (P)  Manattoor  block  no  3  , 2.Alahiyamanavalapuram  (R.V)  And  (P)  Subramaniyapuram, thattankulam  block  4  ,  3.Alagiamanavalapuram  (R.V)  And  (P) Gomanthanagar  Block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,53,36,93,105,3,0,2,0,1,6,0,0,0,0,0,299,0,2,301,0,17.7257525083612,12.04013377926421,31.10367892976589,35.11705685618729,1.003344481605351,0.0,0.6688963210702341,0.0,0.3344481605351171,2.006688963210702,0.0,Tamilaga Vettri Kazhagam,105,93,12,All India Anna Dravida Munnetra Kazhagam,4,3,6,9,2,7,9,1,9,5,8,9,9,9,9,4.013377926421405,0
167,Alwarthirunagari,"Hindu  Higher  Secondary  School  North  Side East  Building  Therkurathaveethi  Dr.
Sivanthi  Athithanar  Valagam Alwarthirunagari","1.Alwarthiruneri  (SGTP)  Therukku  Ratha  Veethi  ,  2.Alwarthiruneri  (SGTP) Naryanaswamy  kovil  Street  ,  3.Alwarthiruneri  (SGTP)  Yadavar  Street  3rd street  ,  4.Alwarthiruneri  (SGTP)  Yadavar  4  th  Street  ,  5.Alwarthiruneri
(SGTP)  Yadavar  5th  street  ,  6.Alwarthiruneri  (SGTP)  Yadavar  6  th  Street  , 7.Alwarthiruneri  (SGTP)  Yadavar  7th  Street  ,  8.Alwarthiruneri  (SGTP) Yadavar  Street  8  ,  9.Alwarthiruneri  (SGTP)  Yadavar  9th  Street  ,
10.Alwarthiruneri  (SGTP)  Yadavar  10th  Street  ,  11.Alwarthiruneri  (SGTP) Yadavar  11  street  ,  12.Alwarthiruneri  (SGTP)  Yadavar  12  th  Street  ,
13.Alwarthiruneri  (SGTP)  Yadavar  13  th  Street  ,  999.OVERSEAS
ELECTORS",All  Voters,71,31,240,138,1,0,0,0,2,3,1,1,0,1,2,491,0,4,495,0,14.46028513238289,6.313645621181263,48.87983706720978,28.10590631364562,0.2036659877800407,0.0,0.0,0.0,0.4073319755600814,0.6109979633401221,0.2036659877800407,All India Anna Dravida Munnetra Kazhagam,240,138,102,Tamilaga Vettri Kazhagam,4,3,8,12,1,12,8,2,12,5,6,8,12,8,6,20.77393075356416,4
168,Alwarthirunagari,"Hindu  Higher  Secondary School,Dr.Sadaiyappan  Valagam  Engineering Block,Middle  building  Alwarthirunagari","1.Alwarthiruneri  (SGTP)  Akilandamman  Kovil  Street  ward  9  ,
2.Alwarthiruneri  (SGTP)  Mutharammankovil  Melamudukku  ward14  , 3.Alwarthiruneri  (SGTP)  MutharammamkovilMelastreet  ward14  ,
4.Alwarthiruneri  (SGTP)  Mutharamman  Kovil  Keela  Sanathi  Street ward14  ,  5.Alwarthiruneri  (SGTP)  MachiStreet  ward  14  ,  6.Alwarthiruneri (SGTP)  KeelasanathiStreet  ward14  ,  7.Alwarthiruneri  (SGTP)
VadamPokkistreet  ward  14  ,  8.Alwarthiruneri  (SGTP)  Mundanmudukku Ward  -  8  ,  9.Alwarthiruneri  (SGTP)  Kundu  Street  Ward  -  7  ,
999.OVERSEAS  ELECTORS",All  Voters,106,25,249,208,1,0,0,0,2,1,0,1,1,0,0,594,0,4,598,0,17.84511784511784,4.208754208754209,41.91919191919192,35.01683501683502,0.1683501683501683,0.0,0.0,0.0,0.3367003367003367,0.1683501683501683,0.0,All India Anna Dravida Munnetra Kazhagam,249,208,41,Tamilaga Vettri Kazhagam,4,3,6,10,1,10,10,2,10,6,5,6,6,10,10,6.902356902356903,2
169,Alwarthirunagari,"HIndu  Higher  Secondary  School  East Building  south  Portion  South  car  Street  Dr Sivanthi  Aditanar  Valagam  Alwar
Thirunagari","1.Alwarthiruneri  (SGTP)  Muppdariammankovil  KeelaStreet  , 2.Alwarthiruneri  (SGTP)  Muppdariamman  Kovil  MelaStreet  ,
3.Alwarthiruneri  (SGTP)  VaikkaraiStreet  ,  4.Alwarthiruneri  (SGTP) Yadavar  Street  1  ,  5.Alwarthiruneri  (SGTP)  Yadavar  Street  2  ,
6.Alwarthiruneri  (SGTP)  OathaStreet  ,  7.Alwarthiruneri  (SGTP)  Yadavar North  Street  1  ,  8.Alwarthiruneri  (SGTP)  Yadavar  North  Street  2  ,
9.Alwarthiruneri  (SGTP)  Yadavar  North  Street  3  ,  10.Alwarthiruneri
(SGTP)  Udayavar  MelamadaVeethi  ,  11.Alwarthiruneri  (SGTP)  Udaiyawar
therkkumadaveethi  ,  12.Alwarthiruneri  (SGTP)  Udaivarnorth  Madaveethi  , 13.Alwarthiruneri  (SGTP)  Udaivar  sanathiStreet  ,  999.OVERSEAS ELECTORS",All  Voters,82,38,287,184,1,0,0,1,2,4,2,0,0,0,1,602,0,5,607,0,13.62126245847176,6.312292358803987,47.67441860465117,30.56478405315615,0.1661129568106312,0.0,0.0,0.1661129568106312,0.3322259136212625,0.6644518272425249,0.3322259136212625,All India Anna Dravida Munnetra Kazhagam,287,184,103,Tamilaga Vettri Kazhagam,4,3,8,11,1,11,6,2,8,5,6,11,11,11,8,17.10963455149502,1
170,Alwarthirunagari,"Hindu  Higher  Secondary  School,  New building  Sadaiyappan  Valagam  Binding Room  Alwarthirunagari","1.Alwarthiruneri  (SGTP)  Melarathaveethi  ward  11  ,  2.Alwarthiruneri (SGTP)  MelamadaStreet  ward  11  ,  3.Alwarthiruneri  (SGTP)  Therukku
Madaveethi  ward  11  ,  4.Alwarthiruneri  (SGTP)  Sannathi  Street  Ward  13  , 5.Alwarthiruneri  (SGTP)  Melamadaveethi  ,  6.Alwarthiruneri  (SGTP)
Chitrai  Street  ward  13  ,  7.Alwarthiruneri  (SGTP)  Keelamadaveethai ward13  ,  8.Alwarthiruneri  (SGTP)  North  Madaveethi  ward  13  ,
999.OVERSEAS  ELECTORS",All  Voters,49,26,289,131,1,0,0,0,0,2,0,0,0,0,0,498,0,2,500,0,9.839357429718875,5.220883534136546,58.03212851405623,26.30522088353414,0.2008032128514056,0.0,0.0,0.0,0.0,0.4016064257028112,0.0,All India Anna Dravida Munnetra Kazhagam,289,131,158,Tamilaga Vettri Kazhagam,4,3,6,7,1,7,7,2,7,5,7,7,7,7,7,31.72690763052209,0
171,Alwarthirunagari,"Sri  Subramaniya  Vidhyalayah  Primary School
South  Car  street,  North  facing Alwarthirunagari","1.Alwarthiruneri  (SGTP)  Kuilnintor  Street  Block7  ,  2.Alwarthiruneri
(SGTP)  Mutharammankovil  Keela  Street  ward  7  ,  3.Alwarthiruneri  (SGTP) Keela  Pudu  Street  ward  7  ,  4.Alwarthiruneri  (SGTP)  Mela  Pudu  Street ward  7  ,  5.Alwarthiruneri  (SGTP)  Pathavasal  STreet  ward  10  ,
6.Alwarthiruneri  (SGTP)  Pilladi  colony  ward  10  ,  7.Alwarthiruneri  (SGTP)
Velavan  colony  ward  10  ,  999.OVERSEAS  ELECTORS",All  Voters,99,28,181,220,1,0,0,0,2,5,0,0,0,0,0,536,0,3,539,0,18.47014925373134,5.223880597014925,33.76865671641791,41.04477611940299,0.1865671641791045,0.0,0.0,0.0,0.3731343283582089,0.9328358208955223,0.0,Tamilaga Vettri Kazhagam,220,181,39,All India Anna Dravida Munnetra Kazhagam,4,3,7,8,2,8,8,1,8,5,6,8,8,8,8,7.276119402985075,0
172,Alwarthirunagari,"Hindu  Higher  Secondary  School,  East Building  South  Corner  Class  Room Dr.Sivanthi  Aditanar  Valagam
Alwarthirunagari.","1.Alwarthiruneri  (SGTP)  Melananthavanam  colony  ward  10  ,
2.Alwarthiruneri  (SGTP)  Theppakkulam  colony  ward  12  ,  3.Alwarthiruneri (SGTP)  North  ratha  veethi  ward  12  ,  999.OVERSEAS  ELECTORS",All  Voters,99,23,229,128,0,0,0,0,1,17,8,0,0,0,0,505,0,2,507,0,19.6039603960396,4.554455445544554,45.34653465346535,25.34653465346535,0.0,0.0,0.0,0.0,0.198019801980198,3.366336633663367,1.584158415841584,All India Anna Dravida Munnetra Kazhagam,229,128,101,Tamilaga Vettri Kazhagam,4,3,8,8,1,8,6,2,8,5,7,8,8,8,8,20.0,0
173,Alwarthirunagari,"TNDTA  Middle  School,New Building,Alwarthirunagari","1.Alwarthiruneri  (SGTP)  Kullar  Street  ward  1  ,  2.Alwarthiruneri  (SGTP) Parather  Street  ward  1  ,  3.Alwarthiruneri  (SGTP)  Bharathaiar  Street  ward 5  ,  999.OVERSEAS  ELECTORS",All  Voters,112,28,119,228,3,0,0,1,3,4,0,1,2,0,0,501,0,2,503,0,22.35528942115769,5.588822355289421,23.75249500998004,45.50898203592814,0.5988023952095809,0.0,0.0,0.1996007984031936,0.5988023952095809,0.7984031936127743,0.0,Tamilaga Vettri Kazhagam,228,119,109,All India Anna Dravida Munnetra Kazhagam,4,3,6,11,2,11,11,1,9,5,6,9,8,11,11,21.7564870259481,3
174,Alwarthirunagari,"T.N.D.T.A  Middle  School,  North  Facing Building  West  Side,  Alwarthirunagari.","1.Alwarthiruneri  (SGTP)  kasu  Kadai  Street  ward  5  ,  2.Alwarthiruneri
(SGTP)  Vannakkudi  Street  ward  5  ,  3.Alwarthiruneri  (SGTP)  MathaKovil Street  ward  5  ,  4.Alwarthiruneri  (SGTP)  Nazareth  Road  ward  15  ,
5.Alwarthiruneri  (SGTP)  Mettu  Street  ward  15  ,  999.OVERSEAS
ELECTORS",All  Voters,52,17,131,159,1,0,0,0,12,1,1,2,0,0,2,378,0,3,381,0,13.75661375661376,4.497354497354497,34.65608465608466,42.06349206349206,0.2645502645502645,0.0,0.0,0.0,3.174603174603174,0.2645502645502645,0.2645502645502645,Tamilaga Vettri Kazhagam,159,131,28,All India Anna Dravida Munnetra Kazhagam,4,3,8,11,2,11,8,1,11,8,5,6,11,11,6,7.407407407407407,4
175,Alwarthirunagari,"Meerania  Middle  School,  Facing  west, Alwarthirunagari","1.Alwarthirunagari  (SGTP)  Mohitheen  Street  ward  2  ,  2.Alwarthirunagari (SGTP)  ThaikkaStreet  ward  2  ,  3.Alwarthirunagari  (SGTP)  PallivasalStreet ward  3  ,  999.OVERSEAS  ELECTORS",All  Voters,432,4,21,59,0,0,0,0,0,0,1,0,0,0,1,518,0,3,521,0,83.3976833976834,0.7722007722007722,4.054054054054054,11.38996138996139,0.0,0.0,0.0,0.0,0.0,0.0,0.1930501930501931,Indian National Congress,432,59,373,Tamilaga Vettri Kazhagam,4,1,7,7,3,7,5,2,7,7,7,7,7,7,5,72.00772200772201,1
176,Alwarthirunagari,"Meerania  Middle  School,  East  portion, Alwarthirunagari","1.Alwarthiruneri  (SGTP)  Yusuf  Street  ward  3  ,  2.Alwarthiruneri  (SGTP) Agbar  Street  ward  3  ,  3.Alwarthiruneri  (SGTP)  Therkku  Musilim
MelaStreet  ward4  ,  4.Alwarthiruneri  (SGTP)  South  Musilem  center  Street ward  4  ,  5.Alwarthiruneri  (SGTP)  South  musiiem  Keela  Street  ward  4  ,
6.Alwarthiruneri  (SGTP)  Maravar  North  Street  ward  4  ,  7.Alwarthiruneri
(SGTP)  Maravar  South  Street  ward  4  ,  8.AlwarThirunagari  (SGTP)  Akbar Street  Ward  4  ,  999.OVERSEAS  ELECTORS",All  Voters,348,20,51,171,0,0,0,0,8,0,1,0,2,1,1,603,0,0,603,0,57.71144278606965,3.316749585406302,8.45771144278607,28.35820895522388,0.0,0.0,0.0,0.0,1.326699834162521,0.0,0.1658374792703151,Indian National Congress,348,171,177,Tamilaga Vettri Kazhagam,4,1,10,10,3,10,7,2,10,10,5,10,6,7,7,29.35323383084577,4
177,Athinathapuram,I.  C.  D.  S.  Buildings  Athinathapuram,"1.Aathinathapuram  (R.V)  And  (P)  Aathinathapuram  Block  2  , 2.Aathinathapuram  (R.V)  And  (P)  Puducolony,  karadiuoor,  vannakkudi, Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,171,36,186,161,0,0,0,0,2,44,7,0,2,0,0,609,0,5,614,0,28.07881773399015,5.911330049261084,30.54187192118227,26.4367816091954,0.0,0.0,0.0,0.0,0.3284072249589491,7.224958949096879,1.149425287356322,All India Anna Dravida Munnetra Kazhagam,186,171,15,Indian National Congress,5,2,9,9,1,9,6,3,9,4,7,9,7,9,9,2.463054187192118,2
178,Nava lakshmipuram,"Panchayat  Union  Primary  School,  New Building,  Navalakshmipuram.","1.Aathinathapuram  (R.V)  And  (P)  Thamba  pillaithoppu  Block  1  , 999.OVERSEAS  ELECTORS",All  Voters,64,39,118,101,1,1,0,0,0,0,0,0,1,0,2,327,0,2,329,0,19.57186544342508,11.92660550458716,36.08562691131498,30.8868501529052,0.3058103975535168,0.3058103975535168,0.0,0.0,0.0,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,118,101,17,Tamilaga Vettri Kazhagam,4,3,6,6,1,9,9,2,9,9,9,9,6,9,5,5.198776758409786,3
179,Malavarayanatham,T.  N.  D.  T.  A.  Primary  School Malavarayanattham,"1.Malavarayanatham  (R.V)  And  (P)  Malavarayanatham  North  Street  Block 1  ,  2.Malarayanatham  (R.V)  And  (P)  MalarayanathamMelakcolony  Block  2
,  3.Malarayanatham  (R.V)  And  (P)  MalarayanathamKeelakcolony  Block  2  ,
999.OVERSEAS  ELECTORS",All  Voters,139,52,232,234,1,3,0,1,8,8,6,0,4,0,0,688,0,1,689,0,20.20348837209302,7.55813953488372,33.72093023255814,34.01162790697674,0.1453488372093023,0.436046511627907,0.0,0.1453488372093023,1.162790697674419,1.162790697674419,0.872093023255814,Tamilaga Vettri Kazhagam,234,232,2,All India Anna Dravida Munnetra Kazhagam,4,3,10,9,2,12,7,1,10,5,5,12,8,12,12,0.2906976744186047,4
180,Udayarkulam,T.  N.  D.  T.  A.  St.Paul’s  Middle  School West  Side  Udaiarkulam,"1.Udaiyarkulam  (R.V)  And  (p)  Senkulam  block  1  ,  2.Udaiyarkulam  (R.V) And  (P)  Udaiyarkulam  Block  2  ,  3.Udaiyarkulam  (R.V)  And  (P) Udaiyarkulam  Block  3  ,  4.Udaiyarkulam  (R.V)  And  (P)  Udaiyarkulam Block  4  ,  5.Udaiyarkulam  (R.V)  And  (P)  Udaiyarkulam  Block  5  , 6.Udaiyarkulam  (R.V)  And  (P)  Chinamathicoodal  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,189,76,162,356,2,4,1,0,8,45,0,2,1,2,2,850,0,5,855,0,22.23529411764706,8.941176470588236,19.05882352941176,41.88235294117647,0.2352941176470588,0.4705882352941176,0.1176470588235294,0.0,0.9411764705882352,5.294117647058823,0.0,Tamilaga Vettri Kazhagam,356,189,167,Indian National Congress,4,2,8,7,3,12,14,1,14,5,6,8,12,8,8,19.64705882352941,7
181,Keelavellamadam,"T.  N.  D.  T.  A.  Primary  School  New  Building North  Portion,  Facing  west  Keelavellamadam","1.Vellamadam  (R.V)  And  (P)  VellamadamKasbha  Block  1  ,  2.Vellamadam (R.V)  And  (P)  Velamadam  kasbha  Block  2  ,  3.Vellamadam  (R.V)  And  (P) East  Vellamadam  Kasbha  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,150,84,281,272,2,5,1,0,1,17,0,2,2,1,0,818,0,1,819,0,18.33740831295844,10.26894865525672,34.3520782396088,33.25183374083129,0.2444987775061125,0.6112469437652812,0.1222493887530562,0.0,0.1222493887530562,2.078239608801956,0.0,All India Anna Dravida Munnetra Kazhagam,281,272,9,Tamilaga Vettri Kazhagam,4,3,7,6,1,10,13,2,13,5,10,7,7,10,13,1.100244498777506,5
182,KeelaVellamadam,"TNTDA  Primary  School,New  Building  North Side,Keelavellamadam","1.Vellamadam  (R.V)  And  (P)  Muthalaimozhi  MainRoad  Keelapudukulam Block  4  ,  2.Themangkulam  (A.V)  And  (P)  Nochikulam  Kilaputhukulam Block  4  ,  3.Vellamadam  (R.V)  And  (P)  Pillaiyanmanai
Vadakur(Pudukulam)  Block  4  ,  4.Thamaankulam(R.V)  And  (P) Sornampudur  Block  8  ,  5.Thamaankulam  (A.V)  And  (P)  Government Nagar  Block  8  ,  6.Thamaankulam  (R.V)  And  (P)  Subramaniapuram  Block 8  ,  7.Vallamadam  (R.V)  And  (P)  Kuppapuram  Block  9  ,  999.OVERSEAS
ELECTORS",All  Voters,79,42,97,218,0,1,1,0,1,7,2,0,2,0,1,451,0,0,451,0,17.51662971175166,9.312638580931264,21.50776053215078,48.33702882483371,0.0,0.221729490022173,0.221729490022173,0.0,0.221729490022173,1.552106430155211,0.4434589800443459,Tamilaga Vettri Kazhagam,218,97,121,All India Anna Dravida Munnetra Kazhagam,4,3,12,8,2,8,6,1,12,5,8,12,6,12,8,26.82926829268293,3
183,Pillaiyanmanai,"G.  V.  Gnanamuthu  T.  N.  D.  T.  A.  Middle School
North  portion  Facing  east,  Pillainmanai.","1.Velamadam  (R.V)  And  (P)  Pillaiyanmanai  Block  6  ,  2.Velamadam  (R.V) And  (P)  Thiruvenkadam  Block  7  ,  3.Velamadam  (R.V)  And  (P)  Vedapuram Block  7  ,  4.Vellamadam  (R.V)  And  (P)  Kovil  Kudiyeruppu  Block  7  , 5.Vellamadam  (R.V)  And  (P)  Walasubramaniapuram  Block  8  ,
6.Vellamadam(R.V)  And  (P)  Vaithilingapuram  Block  8  ,  999.OVERSEAS
ELECTORS",All  Voters,209,82,143,208,4,0,1,0,40,1,0,0,1,1,0,690,0,1,691,0,30.28985507246377,11.88405797101449,20.72463768115942,30.14492753623189,0.5797101449275363,0.0,0.1449275362318841,0.0,5.797101449275362,0.1449275362318841,0.0,Indian National Congress,209,208,1,Tamilaga Vettri Kazhagam,4,1,6,11,3,7,11,2,11,7,5,11,7,7,11,0.1449275362318841,2
184,Pillaiyanmanai,"G.  V.  Gnanamuthu  T.  N.  D.  T.  A.  Middle School
South  portion  facing  East  Pillaianmanai.","1.Velamadam(R.V)  And  (P)  Pillaianmanai  Block  5  ,  2.Vellamadam  (R.V), Themankulam  (P)  Mudalaimoli  Block  7  ,  999.OVERSEAS  ELECTORS",All  Voters,134,23,101,154,1,0,1,3,0,12,0,0,1,0,1,431,0,2,433,0,31.09048723897912,5.336426914153132,23.4338747099768,35.7308584686775,0.2320185614849188,0.0,0.2320185614849188,0.6960556844547563,0.0,2.784222737819025,0.0,Tamilaga Vettri Kazhagam,154,134,20,Indian National Congress,4,2,7,11,3,7,11,1,6,5,11,11,7,11,7,4.640371229698376,2
185,Kurippankulam,T.  N.  D.  T.  A.  Primary  School  Kurippankulam,"1.Kurippankulam  (R.V)  And  (p)  Veppankulam  block  1  ,  2.Kurippankulam (R.V)  (P)  Vakaikulam  Block  2  ,  3.Kurippankulam  (R.V)  And  (P) Kurippankulam  colony  Block  3  ,  4.Kurippankulam  (R.V)  And  (P)
Marakkudi  Block  4  ,  5.Kurippankulam  (R.V)  And  (P)  Kurippankulam
Block  6  ,  999.OVERSEAS  ELECTORS",All  Voters,65,32,92,160,0,3,0,1,5,5,0,0,0,0,1,364,0,5,369,0,17.85714285714286,8.791208791208792,25.27472527472527,43.95604395604396,0.0,0.8241758241758242,0.0,0.2747252747252747,1.373626373626374,1.373626373626374,0.0,Tamilaga Vettri Kazhagam,160,92,68,All India Anna Dravida Munnetra Kazhagam,4,3,10,7,2,10,10,1,8,5,5,10,10,10,8,18.68131868131868,1
186,Sinnamadan kudieruppu,T.  N.  D.  T.  A.  Middle  School  Cinnamadan Kudieruppu,"1.Kurippankulam  (R.V)  And  (p)  Pudupacherry  block  6  ,  2.Kurippankulam (R.V)  And  (P)  Chinamadan  kudiruppu  Block  7  ,  3.Kurippankulam  (R.V) And  (P)  Chinamadan  kudiruppu  Block  8  ,  999.OVERSEAS  ELECTORS",All  Voters,64,97,153,184,2,0,0,1,30,0,1,0,0,2,0,534,0,2,536,0,11.98501872659176,18.16479400749064,28.65168539325843,34.45692883895131,0.3745318352059925,0.0,0.0,0.1872659176029963,5.617977528089887,0.0,0.1872659176029963,Tamilaga Vettri Kazhagam,184,153,31,All India Anna Dravida Munnetra Kazhagam,3,4,6,10,2,10,8,1,8,10,5,10,10,6,10,5.805243445692884,2
187,Therkkankulam,Panchayat  Union  Primary  School  New Building  Therkkankulam,"1.Meerankulam  1(R.V)  And  (p)  Vasavappaneri  block  1  ,  2.Meerankulam  1 (R.V)  And  (P)  Therkkankulam  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,93,108,316,184,7,5,2,3,9,0,2,5,2,10,6,752,0,6,758,0,12.36702127659574,14.36170212765958,42.02127659574468,24.46808510638298,0.9308510638297872,0.6648936170212766,0.2659574468085106,0.398936170212766,1.196808510638298,0.0,0.2659574468085106,All India Anna Dravida Munnetra Kazhagam,316,184,132,Tamilaga Vettri Kazhagam,3,4,7,9,1,12,12,2,11,15,6,9,12,5,8,17.5531914893617,23
188,Meerankulam,"T.N.D.T.A  MiddleSchool,  west  Building south  portion,  Meerankulam","1.Meerankulam  2  (R.V)  And  (P)  Meerankulam  Nadar  Natham  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,224,107,115,150,1,0,0,0,2,0,1,0,0,1,0,601,0,2,603,0,37.2712146422629,17.8036605657238,19.13477537437604,24.95840266222962,0.1663893510815308,0.0,0.0,0.0,0.3327787021630615,0.0,0.1663893510815308,Indian National Congress,224,150,74,Tamilaga Vettri Kazhagam,4,1,6,9,3,9,6,2,9,9,5,9,9,6,9,12.31281198003328,1
