Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Whether  for  all Voters  or  men  olny or  women  only,Indian National Congress,Naam Tamilar Katchi,All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,Puthiya Makkal Tamil Desam Katchi,Naam Indiar Party,Vishwa Tamil Kazhagam,All India Forward Bloc,Puthiya Tamilagam,Tamizhaga Vaazhvurimai Katchi,Independent,Independent.1,Independent.2,Independent.3,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Indian National Congress_Share_%,Naam Tamilar Katchi_Share_%,All India Anna Dravida Munnetra Kazhagam_Share_%,Tamilaga Vettri Kazhagam_Share_%,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Share_%,Puthiya Makkal Tamil Desam Katchi_Share_%,Naam Indiar Party_Share_%,Vishwa Tamil Kazhagam_Share_%,All India Forward Bloc_Share_%,Puthiya Tamilagam_Share_%,Tamizhaga Vaazhvurimai Katchi_Share_%,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Naam Tamilar Katchi_Rank,Indian National Congress_Rank,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Indiar Party_Rank,Tamizhaga Vaazhvurimai Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Vishwa Tamil Kazhagam_Rank,Puthiya Tamilagam_Rank,All India Forward Bloc_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Margin_Percentage,Total_Independent_Votes
73,Manjalneerkayal,T.  N.  D.  T.  A.  Primary  School  Manjaneerkayal,"1.Manjalneerkayal  (R.V)  And  (P)  Colony  street  block  1  ,  2.ManjalNeerkayal (R.V)  And  (P)  North  Street  Block  1  ,  3.Manjalneerkayal  (R.V)  And  (P)  South Street  Block  2  ,  4.Manjalneerkayal  (R.V)  And  (P)  Rise  Mill  Street  Block  2  , 5.Manjalneerkayal  (R.V)  And  (P)  Chidambaranagar  Block  2  ,
6.Manjalneerkayal  (R.V)  And  (P)  Twad  Board  Block  2  ,  999.OVERSEAS
ELECTORS",All  Voters,134,50,252,268,0,0,1,0,0,7,0,1,0,1,0,714,0,5,719,0,18.76750700280112,7.002801120448179,35.29411764705883,37.53501400560224,0.0,0.0,0.1400560224089636,0.0,0.0,0.9803921568627451,0.0,Tamilaga Vettri Kazhagam,268,252,16,All India Anna Dravida Munnetra Kazhagam,4,3,9,9,2,6,9,1,9,5,9,6,9,6,9,2.240896358543417,2
74,Agaram,"T.  N.  D.  T.  A.  Middle  School  West  Building, Facing  East  Agaram","1.Agaram  (R.V)  And  (P)  Colony  Street  Block  1  ,  2.Agaram  (R.V)  And  (P) North  Street  Block  1  ,  3.Agaram  (R.V)  And  (P)  West  Street  Block  1  , 999.OVERSEAS  ELECTORS",All  Voters,75,53,242,243,1,0,0,1,0,0,1,0,0,0,0,616,0,1,617,0,12.17532467532468,8.603896103896105,39.28571428571428,39.44805194805195,0.1623376623376623,0.0,0.0,0.1623376623376623,0.0,0.0,0.1623376623376623,Tamilaga Vettri Kazhagam,243,242,1,All India Anna Dravida Munnetra Kazhagam,4,3,5,8,2,8,5,1,5,8,8,8,8,8,8,0.1623376623376623,0
75,Agaram,"T.N.D.T.A  Middle  School,  East  New  Building Facing  South  Agaram","1.Agaram  (R.V)  And  (P)  South  Street  Block  2  ,  2.Agaram  (R.V)  And  (P) Middle  Street  1st  Block  3  ,  3.Agaram  (R.V)  And  (P)  Middle  Street  2nd Block  4  ,  999.OVERSEAS  ELECTORS",All  Voters,96,31,243,177,0,0,0,0,0,1,1,0,1,0,1,551,0,1,552,0,17.42286751361161,5.626134301270418,44.1016333938294,32.12341197822142,0.0,0.0,0.0,0.0,0.0,0.1814882032667877,0.1814882032667877,All India Anna Dravida Munnetra Kazhagam,243,177,66,Tamilaga Vettri Kazhagam,4,3,9,9,1,9,5,2,9,5,9,9,5,9,5,11.97822141560798,2
76,Mukkani,"Punitha  Antoniyar  R.  C.  Middle  School
East  Side  Building  West  Portion,  Facing South  Mukkani","1.Mukkani  (R.V)  And  (P)  Melaparadhar  Street  Block  8  ,  2.Mukkani  (R.V) And  (P)  Arisana  Street  Block  8  ,  3.Mukkani  (R.V)  And  (P)  Main  Road  Block 9  ,  4.Mukkani  (R.V)  And  (P)  Vannar  Street  Block  9  ,  5.Mukkani  (R.V)  And
(P)  MelaNadar  Street  Block  9  ,  6.Mukkani  (R.V)  And  (P)  Pillaimar  Street
Block  9  ,  999.OVERSEAS  ELECTORS",All  Voters,76,47,228,314,3,1,1,1,0,5,0,0,1,1,1,679,0,2,681,0,11.19293078055965,6.921944035346097,33.57879234167893,46.24447717231222,0.4418262150220913,0.1472754050073638,0.1472754050073638,0.1472754050073638,0.0,0.7363770250368188,0.0,Tamilaga Vettri Kazhagam,314,228,86,All India Anna Dravida Munnetra Kazhagam,4,3,6,7,2,7,13,1,7,5,13,13,7,7,7,12.66568483063328,3
77,Mukkani,"Punitha  Antoniyar  R.  C.  Middle  School East  Side  Building  East  Portion,  Facing
South  Mukkani","1.Mukkani  (R.V)  And  (P)  Mudhaliar  Street  Block  10  ,  2.Mukkani  (R.V)  And
(P)  North  yadavar  Street  Block  10  ,  3.Mukkani  (R.V)  And  (P)  Jeyarama Chandhra  Puram  Block  11  ,  999.OVERSEAS  ELECTORS",All  Voters,60,47,337,277,1,0,0,0,0,2,0,0,3,0,0,727,0,1,728,0,8.253094910591471,6.464924346629987,46.35488308115544,38.10178817056396,0.1375515818431912,0.0,0.0,0.0,0.0,0.2751031636863824,0.0,All India Anna Dravida Munnetra Kazhagam,337,277,60,Tamilaga Vettri Kazhagam,4,3,7,8,1,8,8,2,8,6,8,8,5,8,8,8.253094910591471,3
78,Mukkani,"Panchayat  Union  Middle  School North  Building,  Mukkani","1.Mukkani  (R.V)  And  (P)  Kurividurai  Block  1  ,  2.Mukkani  (R.V)  And  (P) Kurividurai  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,75,75,352,450,7,1,1,0,12,1,0,3,3,2,2,984,0,4,988,0,7.621951219512195,7.621951219512195,35.77235772357724,45.73170731707317,0.7113821138211381,0.1016260162601626,0.1016260162601626,0.0,1.219512195121951,0.1016260162601626,0.0,Tamilaga Vettri Kazhagam,450,352,98,All India Anna Dravida Munnetra Kazhagam,3,3,6,11,2,11,14,1,14,11,5,7,7,9,9,9.959349593495935,10
79,Mukkani,"Panchayat  Union  Middle  School
West  Building  ,  Facing  East  Mukkani","1.Mukkani  (R.V)  And  (P)  Kurividurai  Block  3  ,  2.Mukkani  (R.V)  And  (P) KurividuraiBlock  4  ,  999.OVERSEAS  ELECTORS",All  Voters,89,60,352,254,0,2,1,0,0,0,0,1,3,1,1,764,0,4,768,0,11.64921465968586,7.853403141361256,46.07329842931937,33.24607329842932,0.0,0.2617801047120419,0.1308900523560209,0.0,0.0,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,352,254,98,Tamilaga Vettri Kazhagam,4,3,11,6,1,7,11,2,11,11,11,7,5,7,7,12.82722513089005,6
80,Mukkani,"Government  Hr.,  sec.,  School  South  Building Middle  Portion  Mukkani","1.Mukkani  (R.V)  And  (P)  Part  Kuruvidurai  Block  5  ,  2.Mukkani  (R.V)  And
(P)  Part  Mukkani  Block  7  ,  999.OVERSEAS  ELECTORS",All  Voters,125,102,364,241,2,0,0,0,0,0,0,1,1,0,1,837,0,2,839,0,14.93428912783752,12.18637992831541,43.48864994026284,28.79330943847073,0.2389486260454002,0.0,0.0,0.0,0.0,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,364,241,123,Tamilaga Vettri Kazhagam,4,3,5,9,1,9,9,2,9,9,9,6,6,9,6,14.69534050179212,3
81,Mukkani,"Government  Hr.,  sec.,  School  South  Building West  Portion  Mukkani","1.Mukkani  (R.V)  And  (P)  Part  Mukkani  Block  6  ,  999.OVERSEAS ELECTORS",All  Voters,85,60,174,306,4,1,0,1,0,9,0,1,1,0,2,644,0,0,644,0,13.19875776397516,9.316770186335404,27.01863354037267,47.51552795031056,0.6211180124223602,0.15527950310559,0.0,0.15527950310559,0.0,1.397515527950311,0.0,Tamilaga Vettri Kazhagam,306,174,132,All India Anna Dravida Munnetra Kazhagam,4,3,6,8,2,12,12,1,8,5,12,8,8,12,7,20.49689440993789,4
82,Korkai,St.Aloysius  Middle  School North  Building.  Korkai,"1.Korkai  (R.V)  And  (P)  Akkasalai  block  1  ,  2.Korkai  (R.V)  And  (P)  Korkai Harijana  Colony  Block  2  ,  3.Korkai  (R.V)  And  (P)  Korkai  Parathavar  Street Block  2  ,  4.Korkai  (R.V)  And  (P)  Korkai  Yadavar  Street  Block  3  ,  5.Korkai (R.V)  And  (P)  Korkai  Asarimar  Street  Block  3  ,  6.Korkai  (R.V)  And  (P)
Korkai  Pillaimar  Street  Block  3  ,  7.Korkai  (R.V)  And  (P)  Korkai  Main  Road Block  3  ,  8.Kodunkani  (R.V)  And  Korkai  (P)  Kodunkani  Block  4  ,
999.OVERSEAS  ELECTORS",All  Voters,123,56,247,285,0,1,0,0,3,1,0,14,0,0,1,731,0,0,731,0,16.82626538987688,7.660738714090288,33.78932968536252,38.98768809849521,0.0,0.1367989056087551,0.0,0.0,0.4103967168262654,0.1367989056087551,0.0,Tamilaga Vettri Kazhagam,285,247,38,All India Anna Dravida Munnetra Kazhagam,4,3,10,7,2,10,10,1,10,7,6,5,10,10,7,5.198358413132695,15
83,Umarikadu,"Govt  Hr,  Sec,  School,  New  Building  Facing South,  Umerikadu","1.Korkai  (R.V),  Umarikadu  (P)  Mutharamman  Kovil  Street  1  Block  1  ,
2.Korkai  (R.V),  Umarikadu  (P)  Mutharamman  Kovil  Street  3  Block  1  ,
3.Korkai  (R.V),  Umarikadu  (P)  Mutharamman  Kovil  Street  Block  1  ,
4.Korkai  (R.V),  Umarikadu  (P)  Prammasakthiamman  Kovil  Street  Block  1  ,
5.Korkai  (R.V),  Umarikadu  (P)  Arunachalasamy  Kovil  Street  Block  1  ,
6.Korkai  (R.V),  Umarikadu  (P)  Nateshwarar  Kovil  Street  Block  1  ,  7.Korkai (R.V),  Umarikadu  (P)  Mutharamman  Kovil  Street  Block  2  ,  8.Korkai  (R.V), Umarikadu  (P)  Sowendrapandian  Kovil  Street  Block  2  ,  9.Korkai  (R.V),
Umarikadu  (P)  Thiruvaluvar  Street  Block  2  ,  10.Korkai  (R.V),  Umarikadu
(P)  Kumaran  Street  Block  2  ,  11.Korkai  (R.V),  Umarikadu  (P) Chidamparamnar  Street  Block  2  ,  12.Korkai  (R.V),  Umarikadu  (P) Harikrishnan  Street  Block  2  ,  13.Korkai  (R.V),  Umarikadu  (P) Arumugamangalam  Road  Block  2  ,  14.Korkai  (R.V),  Umarikadu  (P) Mutharamman  Kovil  Street  Block  3  ,  15.Korkai  (R.V),  Umarikadu  (P) Thiruvaluvar  Street  1  Block  3  ,  16.Korkai  (R.V),  Umarikadu  (P) Thiruvaluvar  2  Street  Block  3  ,  17.Korkai  (R.V),  Umarikadu  (P)  Main  Road 1  Block  3  ,  18.Korkai  (R.V),  Umarikadu  (P)  Main  Road  2  Block  3  ,
19.Korkai  (R.V),  Umarikadu  (P)  Main  Road  3  Block  3  ,  20.Korkai  (R.V),
Umarikadu  (P)  Valliammai  Street  1  Block  3  ,  21.Korkai  (R.V),  Umarikadu
(P)  Valliammai  Street  2  Block  3  ,  22.Korkai  (R.V),  Umarikadu  (P)  Ganesan Street  Block  3  ,  23.Korkai  (R.V),  Umarikadu  (P)  Murugan  Street  Block  3  ,
24.Korkai  (R.V),  Umarikadu  (P)  Santhu  Street  Block  3  ,  25.Korkai  (R.V), Umarikadu  (P)  Kavadi  Street  Block  3  ,  26.Korkai  (R.V),  Umarikadu  (P) Chidamparanar  Street  Block  3  ,  27.Korkai  (R.V),  Umarikadu  (P) Dharmakartha  Street  Block  3  ,  28.Korkai  (R.V),  Umarikadu  (P)
Arumugamangalm  Road  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,66,44,341,186,1,0,0,0,1,0,0,0,2,1,0,642,0,4,646,0,10.2803738317757,6.853582554517133,53.11526479750779,28.97196261682243,0.1557632398753894,0.0,0.0,0.0,0.1557632398753894,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,341,186,155,Tamilaga Vettri Kazhagam,4,3,6,9,1,9,9,2,9,9,6,9,5,6,9,24.14330218068536,3
84,Umarikadu,"Govt  Hr,  Sec,  School  (West  Wing)  Umerikadu","1.Korkai  (R.V),  Umarikadu  (P)  Ambedkar  street  block  4  ,  2.Korkai  (R.V),
Umarikadu  (P)  Aatangkarai  Street  Block  4  ,  3.Korkai  (R.V),  Umarikadu  (P) Barathiyar  Street  Block  4  ,  4.Korkai  (R.V),  Umarikadu  (P)  Main  Road Block  4  ,  5.Korkai  (R.V),  Umarikadu  (P)  Main  Road  Block  5  ,  6.Korkai (R.V),  Umarikadu  (P)  Nadar  South  Street  Block  5  ,  7.Korkai  (R.V),
Umarikadu  (P)  Gulalar  North  Street  Block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,59,50,351,331,1,0,0,0,0,1,0,1,0,0,0,794,0,6,800,0,7.43073047858942,6.297229219143577,44.20654911838791,41.68765743073048,0.1259445843828715,0.0,0.0,0.0,0.0,0.1259445843828715,0.0,All India Anna Dravida Munnetra Kazhagam,351,331,20,Tamilaga Vettri Kazhagam,4,3,5,8,1,8,8,2,8,5,8,5,8,8,8,2.518891687657431,1
85,Edaiarkadu,T.  N.  D.  T.  A.  Primary  School  Centre  hall Edaiarkadu,"1.Maramangalam  (R.V),  Edaiarkadu  (P)  Pudukulam  Kadodiur  Block  1  , 2.Maramangalam  (R.V),  Edaiarkadu  (P)  Mela  sambadi  Block  1  , 3.Maramangalam  (R.V),  Edaiarkadu  (P)  Elumitchaiyadiyour  Block  2  , 4.Maramangalam  (R.V),  Edaiarkadu  (P)  Keela  Sambadi  Block  2  , 5.Maramangalam  (R.V),  Edaiarkadu  (P)  Sambadi  Colony  Block  2  , 6.Maramangalam  (R.V),  Edaiarkadu  (P)  KillasambadiStreet  2  Block  2  , 7.Maramangalam  (R.V),  Edaiarkadu  (P)  ThalavaaiPuram  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,132,55,225,344,0,1,1,0,1,9,2,1,1,0,3,775,0,2,777,0,17.03225806451613,7.096774193548387,29.03225806451613,44.38709677419354,0.0,0.1290322580645161,0.1290322580645161,0.0,0.1290322580645161,1.161290322580645,0.2580645161290323,Tamilaga Vettri Kazhagam,344,225,119,All India Anna Dravida Munnetra Kazhagam,4,3,13,8,2,8,7,1,13,5,8,8,8,13,6,15.35483870967742,5
86,Edaiarkadu,T.  N.  D.  T.  A.  Primary  School  Western  Hall Edaiarkadu,"1.Maramangalam  (R.V),  Edaiarkadu  (P)  Kavalkadu  Block  4  , 2.Maramangalam  (R.V),  Edaiarkadu  (P)  Kavalkadu  Annanagar  Block  4  , 3.Maramangalam  (R.V),  Edaiarkadu  (P)  Kavalkadu  Yadavar  Block  4  , 4.Maramangalam  (R.V),  Edaiarkadu  (P)  Edaiarkadu  Ammankovil  Street Block  4  ,  5.Maramangalam  (R.V),  Edaiarkadu  (P)  Edaiarkadu  North  Street Block  5  ,  6.Maramangalam  (R.V),  Edaiarkadu  (P)  Pettikadai  Street  Block  5
,  7.Maramangalam  (R.V),  Edaiarkadu  (P)  Edaiarkadu  Bungla  Street  Block
6  ,  8.Maramangalam  (R.V),  Edaiarkadu  (P)  Edaiarkadu  South  Street  Block
7  ,  999.OVERSEAS  ELECTORS",All  Voters,116,58,313,183,1,0,1,0,5,0,0,2,0,1,0,680,0,3,683,0,17.05882352941176,8.529411764705882,46.02941176470588,26.91176470588235,0.1470588235294118,0.0,0.1470588235294118,0.0,0.7352941176470588,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,313,183,130,Tamilaga Vettri Kazhagam,4,3,7,10,1,7,10,2,10,10,5,6,10,7,10,19.11764705882353,3
