Serial No. Of Polling Station,Locality,Polling  Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
112,Siruthondanallur,"1.Siruthondanallur  (R.V)  And  (P)  Acharymar  Street,  Poochivilai  Street Block  8,  2.Siruthondanallur  (R.V)  And  (P)  Siruthondanallur  Block  9  and 10  ,  3.Siruthondanallur  (R.V)  And  (P)  Kottaikaud  Block  11  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,27,3.082191780821918
121,Sivagalai,"1.Sivagalai  (R.V)  And  (P)  Sivagalai  parupu  block  10  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,22,4.166666666666666
129,Thirupuliangudi,"1.Thirupuliangudi  (R.V)  And  (P)  Thoppadiyour  Block  1  , 2.Thirupuliangudi  (R.V)  And  (P)  Payrinpapuram  Block  1  ,
3.Thirupuliangudi  (R.V)  And  (P)  Sundarapandiyapuram  Block  1  ,
4.Thirupuliangudi  (R.V)  And  (P)  Thiruppuliangudi  Block  2  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,0.7416563658838072
130,Srivaikuntam,"1.Srivaikundam  (SGTP)  Tepakulasteet  ward  13  ,  2.Srivaikundam  (SGTP) SakattukaraStreet  Ward  15  ,  3.Srivaikundam  (SGTP)  North  MadaStreet Ward  13  ,  4.Srivaikundam  (SGTP)  South  mada  Veethi  Ward  13  , 5.Srivaikundam  (SGTP)  Sanathi  West  Street  Ward  15  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,24,3.827751196172249
132,Srivaikuntam,"1.Srivaikundam  (SGTP)  Sakaratheradi  street  ward  15  ,  2.Srivaikundam
(SGTP)  OasakudiStreet  Ward  15  ,  3.Srivaikundam  (SGTP)  MahaDevarkovil Street  Ward  17,  4.Srivaikundam  (SGTP)  Sanathi  Center  Street  3
Ambalakarastreet  Ward  16  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,22,4.051565377532229
134,Srivaikuntam,"1.Srivaikundam  (SGTP)  Kammalastreet  ward  5  ,  2.Srivaikundam  (SGTP) North  Pandither  Street  Ward  5  ,  3.Srivaikundam  (SGTP)  Kuyavarcolony Ward  5  ,  4.Srivaikundam  (SGTP)  Perumpathu  Ward  5  ,  5.Srivaikundam
(SGTP)  Muneercolony  Ward  5  ,  6.Srivaikundam  (SGTP)  Melamathieswaran colony  Ward  5  ,  7.Srivaikundam  (SGTP)  Nagamcolony  West  Ward  5  , 8.Srivaikundam  (SGTP)  Nagam  Puducolony  Ward  5  ,  9.Srivaikundam
(SGTP)  Nagamcolony  Center  Ward  5  ,  10.Srivaikundam  (SGTP)  Nagam colony  East  Ward  5  ,  11.Srivaikundam  (SGTP)  Kadarian  colony  Ward  5  , 12.Srivaikundam  (SGTP)  Indhira  colony  Ward  5  ,  999.OVERSEAS
ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,0.8130081300813009
136,Srivaikuntam,"1.Srivaikundam  (SGTP)  Ananthi  ammankovil  Street  Ward  4  , 2.Srivaikundam  (SGTP)  Thirumalanaidu  Street  Ward  14  ,  3.Srivaikundam (SGTP)  North  yadavar  Street  Ward  14  ,  4.Srivaikundam  (SGTP)
Mutharammankovil  Street  Ward  14  ,  5.Srivaikundam  (SGTP)
KeelasanathiStreet  Ward  14  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,26,4.710144927536232
141,Srivaikuntam,"1.Srivaikundam  (SGTP)  Mutharammankovil  south  street  1  ward  7  , 2.Srivaikundam  (SGTP)  MachiSouth  Street  2  Ward  7  ,  3.Srivaikundam (SGTP)  Center  Street  3  Ward  7  ,  4.Srivaikundam  (SGTP)  SalaiStreet
(ThiruvalluvarStreet)  Street  4  Ward  9  ,  5.Srivaikundam  (SGTP)
SathavarStreet  5  Ward  9  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,2,0.4474272930648769
142,Petdurai samypuram,"1.Srivaikundam  (SGTP)  Nalarajapuram  Ward  6  ,  2.Srivaikundam  (SGTP) Ramanathapuram  Ward  6  ,  3.Srivaikundam  (SGTP)  Lakshmipuram  Ward 6  ,  4.Srivaikundam  (SGTP)  Petduraisamypuram  Ward  6  ,
5.Srivaikundam(SGTP)  Maruthuva  colony  Block  6  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,3,0.4098360655737705
144,Velur  Cusba,"1.Velur  Kasba  (R.V)  And  (P)  West  street  Block  4  ,  2.Velur  Kasba  (R.V)  And
(P)  PandarakudiStreet  Block  4  ,  3.Velur  Kasba  (R.V)  And  (P) KaniyanColony  Block  5  ,  4.Velur  Kasba  (R.V)  And  (P)  Mariammalpuram Block  5  ,  5.Velur  Kasba  (R.V)  And  (P)  Marukaldurai  Block  5  ,  6.Velur Kasba  (R.V)  And  (P)  Navaladiyoor  Block  6  ,  7.Velur  Kasba  (R.V)  And  (P) Thopadiyoor  Block  6  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,16,4.651162790697675
151,Thulaivilimangalam,"1.Keelpedakai  Kasbha  (R.V)  And  (P)  Sunganathapuram  Block  1,  , 2.Keelpedakai  Kasbha  (R.V)  And  (P)  Motachikudirupu  Block  2  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,3,1.265822784810127
161,Kadayanodai,"1.Kadaiyanodai  (R.V)  And  (P)  Kadaiyanodai  Kasbha  Block  1  ,
2.Kadaiyanodai  (R.V)  And  (P)  Thadiyancolony  Block  2  ,  3.Kadaiyanodai (R.V)  And  (P)  Murugan  colony  Block  3  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,2,0.5698005698005698
162,Kadayanodai,"1.Cambalapath  (R.V)  And  (P)  Kadaiyanodai  Block  4  ,  2.Kadaiyanodai  (R.V) And  (P)  Kulathukudiruppu  Block  4  ,  3.Kadaiyanodai  (R.V)  And  (P)
Kadaiyanodai  Block  5  ,  4.Kadaiyanodai  (R.V)  And  (P)  Kadaiyanodai
kasbha  Block  6  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,17,3.063063063063063
166,Sembur,"1.Alahiyamanavalapuram  (R.V)  And  (P)  Manattoor  block  no  3  , 2.Alahiyamanavalapuram  (R.V)  And  (P)  Subramaniyapuram, thattankulam  block  4  ,  3.Alagiamanavalapuram  (R.V)  And  (P) Gomanthanagar  Block  5  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,12,4.013377926421405
177,Athinathapuram,"1.Aathinathapuram  (R.V)  And  (P)  Aathinathapuram  Block  2  , 2.Aathinathapuram  (R.V)  And  (P)  Puducolony,  karadiuoor,  vannakkudi, Block  3  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,15,2.463054187192118
179,Malavarayanatham,"1.Malavarayanatham  (R.V)  And  (P)  Malavarayanatham  North  Street  Block 1  ,  2.Malarayanatham  (R.V)  And  (P)  MalarayanathamMelakcolony  Block  2
,  3.Malarayanatham  (R.V)  And  (P)  MalarayanathamKeelakcolony  Block  2  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,2,0.2906976744186047
181,Keelavellamadam,"1.Vellamadam  (R.V)  And  (P)  VellamadamKasbha  Block  1  ,  2.Vellamadam (R.V)  And  (P)  Velamadam  kasbha  Block  2  ,  3.Vellamadam  (R.V)  And  (P) East  Vellamadam  Kasbha  Block  3  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.100244498777506
183,Pillaiyanmanai,"1.Velamadam  (R.V)  And  (P)  Pillaiyanmanai  Block  6  ,  2.Velamadam  (R.V) And  (P)  Thiruvenkadam  Block  7  ,  3.Velamadam  (R.V)  And  (P)  Vedapuram Block  7  ,  4.Vellamadam  (R.V)  And  (P)  Kovil  Kudiyeruppu  Block  7  , 5.Vellamadam  (R.V)  And  (P)  Walasubramaniapuram  Block  8  ,
6.Vellamadam(R.V)  And  (P)  Vaithilingapuram  Block  8  ,  999.OVERSEAS
ELECTORS",Indian National Congress,Tamilaga Vettri Kazhagam,1,0.1449275362318841
184,Pillaiyanmanai,"1.Velamadam(R.V)  And  (P)  Pillaianmanai  Block  5  ,  2.Vellamadam  (R.V), Themankulam  (P)  Mudalaimoli  Block  7  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,20,4.640371229698376
191,Asirvathapuram,"1.Srivenkateshwarapuram  (R.V)  And  (p)  Asirwathapuram  block  1  , 2.Srivenkateshwarapuram  (R.V)  And  (P)  Kurukkal  Block  1  , 3.Srivenkateswarapuram  (R.V)  And  (P)  Salaipudur  Block  2  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,10,2.012072434607646
195,Palaniappapuram,"1.Karungkadal  (R.V)  And  (p)  Palaniappapuram  block  1  ,  2.Karunkadal (R.V)  And  (P)  Palaniappapuram  Block  2  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,42,4.929577464788732
196,Virakkulam,"1.Karungkadal  (R.V)  And  (p)  Virakkulam  block  10  ,  2.Karungadal  (R.V) And  (P)  Prandakulam  Block  10  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,1,0.3389830508474576
198,Puliankulam,"1.Karungkadal  (R.V)  And  (P)  MelaPuleyangkulam  Block  4  ,  2.Karungkadal (R.V)  And  (p)  KeelaPuleyangkulam  Block  5  ,  3.Karungkadal  (R.V)  And  (p) Ilamalkulam  Nadar  Street  Block  6  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,15,2.636203866432338
204,Kattarimangalam,"1.Kattarimangalam  (R.V)  And  (p)  Kattarimangalam  block  5  , 2.Kattarimangalam  (R.V)  And  (P)  Kattarimangalam  Block  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,14,2.118003025718608
208,Pillaivilai,"1.Eluvaraimokki  (R.V)  And  (P)  Vadakarai,  Meluor.  Pillaivilai  Block  5  ,
2.Eluvaraimokki  (R.V)  And  (P)  Vollyvillai  Block  6  ,  3.Eluvaraimokki  (R.V) And  (P)  Thaivilai  Block  6  ,  999.OVERSEAS  ELECTORS",Indian National Congress,Tamilaga Vettri Kazhagam,2,0.3311258278145696
212,Karuvelampadu,"1.Palangulam  (R.V),  Karuvelampadu  (P)  Karuvelampadu  Block  1  , 2.Palangulam  (R.V),  Karuvelampadu  (P)  Karuvelampadu  Block  2  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,15,4.373177842565598
215,Palankulam,"1.Palangkulam  (R.V)  And  (p)  Palangkulam  north  street  block  1  , 2.Palangkulam  (R.V)  And  (P)  Ananathapuram  South  Street  Block  3  , 3.Palangkulam  (R.V)  And  (P)  Sadaiyankenaru  Block  5  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,2,0.4149377593360996
219,Kalunguvilai,"1.Komaneri  (R.V)  And  (p)  Madathuvilai  block  1  ,  2.Gomaneri  (R.V)  And  (P)
Gomaneri  Road  Street  ,  Pillaimar  Street  Block  2  ,  3.Gomaneri  (R.V)  And
(P)  Kalunguvilai  Block  3  ,  4.Gomaneri  (R.V)  And  (P)  Coovaikenaru  Block  4
,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,31,4.378531073446328
220,Kombankulam,"1.Kombankulam  (R.V)  And  (P)  Kombankulam  Block  4  ,  2.Kombankulam (R.V)  And  (P)  Elaiyaneri  Block  6  ,  3.Kombankulam  (R.V)  And  (P)
Irataikkenaru  Block  7  ,  4.Kombankulam  (R.V)  And  (P)  Vettarasankulam Block  5  ,  5.Kombankulam  (R.V)  And  (P)  Edaivettankudieruppu  Block  5  , 6.Kombankulam  (R.V)  And  (P)  Kotthankulam  Block  5  ,  999.OVERSEAS
ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,21,2.974504249291785
221,Thuvarkulam,"1.Kombankulam  (R.V)  And  (p)  Duvarkkulam  block  1  ,  2.Kombankulam (R.V)  And  (P)  Varibelonkulam  Block  2  ,  3.Kombankulam  (R.V)  And  (P) Mettukkudiruppu  Block  3  ,  999.OVERSEAS  ELECTORS",Indian National Congress,Tamilaga Vettri Kazhagam,13,4.529616724738676
222,Pudukulam,"1.Pudukkulam  (R.V)  And  (p)  Pudkkulam  kasbha  block  1  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,28,4.810996563573884
223,Pudukulam,"1.Pudukkulam  (R.V)  And  (P)  Chokkalingapuram  Block  2  ,  2.Pudukkulam (R.V)  And  (P)  Valliammalpuram  Block  3  ,  3.Pudukulam  (R.V)  And  (P) Chidathambarapuram  Block  3  ,  999.OVERSEAS  ELECTORS",Indian National Congress,Tamilaga Vettri Kazhagam,20,3.929273084479371
228,Sathyanagaram,"1.Pudhukulam  (R.V),  pandarapuram  (P)  Pandarapuram  Block  4  , 2.Pudhukulam  (R.V)  Pandarapuram  (P)  Krubapuram  Block  4  , 3.Pudhukulam  (R.V),  (Pandarapuram  (P)  Pandarapuram  Block  5  , 4.Pudhukulam  (R.V),  Pandarapuram  (P)  Kirubapuram  Block  5  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,1,0.1930501930501931
231,Sattankulam,"1.Sathankulam  (SGTP)  Krishanankovil  Street  ,  2.Sathankulam  (SGTP) MelaSathankulam  ,  3.Sathankulam  (SGTP)  Bunglastreet  ,  4.Sathankulam (SGTP)  Melarathaveethai  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,22,3.654485049833887
232,Sattankulam,"1.Sathankulam  (SGTP)  Mohamedar  MelaStreet  ,  2.Sathankulam  (SGTP) Pandarapuram  Rastha  Ward11  ,  3.Sathankulam  (SGTP)  Selvavinayagar Kovil  Street  ,  4.Sathankulam  (SGTP)  Veerakumar  Pillai  Street  , 5.Sathankulam  (SGTP)  Keelarathaveethi  ,  6.Sathankulam  (SGTP)
Mathakovil  Street  Ward  11  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,12,2.123893805309734
