Locality,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
Palankulam,2,Indian National Congress,1
Palayakayal,5,Tamilaga Vettri Kazhagam,4
Palkulam,2,All India Anna Dravida Munnetra Kazhagam,1
Pandaravilai,3,All India Anna Dravida Munnetra Kazhagam,3
Pannaivilai,3,All India Anna Dravida Munnetra Kazhagam,3
Pannamparai,1,Tamilaga Vettri Kazhagam,1
Pannamparai.,1,All India Anna Dravida Munnetra Kazhagam,1
Parakiramapandi,2,All India Anna Dravida Munnetra Kazhagam,2
Pathmanaba mangalam,2,All India Anna Dravida Munnetra Kazhagam,2
Peikulam,3,All India Anna Dravida Munnetra Kazhagam,3
Periathalai,5,Tamilaga Vettri Kazhagam,5
Perumalkulam,1,All India Anna Dravida Munnetra Kazhagam,1
Perunkulam,2,All India Anna Dravida Munnetra Kazhagam,2
Perur,2,All India Anna Dravida Munnetra Kazhagam,2
Petdurai samypuram,1,Tamilaga Vettri Kazhagam,1
Petmanagaram,3,Indian National Congress,3
Pillaivilai,1,Indian National Congress,1
Pillaiyanmanai,2,Indian National Congress,1
Pitchivillai,1,All India Anna Dravida Munnetra Kazhagam,1
Polairpuram,1,Indian National Congress,1
Ponnankurichi,1,Tamilaga Vettri Kazhagam,1
Poochikadu,3,All India Anna Dravida Munnetra Kazhagam,2
Pothakalanvillai,2,Tamilaga Vettri Kazhagam,2
Pudukulam,2,Indian National Congress,1
Puliankulam,2,Tamilaga Vettri Kazhagam,2
Pulvavilai,1,Tamilaga Vettri Kazhagam,1
Puthantharvai,2,All India Anna Dravida Munnetra Kazhagam,1
Puthu subramaniapuram,1,All India Anna Dravida Munnetra Kazhagam,1
Ramanujampudur,2,All India Anna Dravida Munnetra Kazhagam,2
Salaipudur,1,All India Anna Dravida Munnetra Kazhagam,1
"Samathanapuram, Sakkammalpuram",1,All India Anna Dravida Munnetra Kazhagam,1
Sathyanagaram,2,All India Anna Dravida Munnetra Kazhagam,1
Sattankulam,15,Tamilaga Vettri Kazhagam,8
Saveriapuram,1,Tamilaga Vettri Kazhagam,1
Sawyerpuram,2,Indian National Congress,2
Sebatthaiyapuram,5,All India Anna Dravida Munnetra Kazhagam,5
Seidunganallur,6,Tamilaga Vettri Kazhagam,3
Selvamaninagar,1,Tamilaga Vettri Kazhagam,1
Sembur,2,All India Anna Dravida Munnetra Kazhagam,1
"Semman
Kudieruppu",1,Tamilaga Vettri Kazhagam,1
Serakulam,2,Tamilaga Vettri Kazhagam,2
Sinnamadan kudieruppu,1,Tamilaga Vettri Kazhagam,1
Siruthondanallur,3,Tamilaga Vettri Kazhagam,3
Sivagalai,4,All India Anna Dravida Munnetra Kazhagam,4
Sivarama  mangalam,1,Tamilaga Vettri Kazhagam,1
Soolaivaikal,2,Indian National Congress,1
Sri  moolakarai,1,All India Anna Dravida Munnetra Kazhagam,1
Srivaikuntam,12,Tamilaga Vettri Kazhagam,8
Subburayapuram,1,All India Anna Dravida Munnetra Kazhagam,1
Subramaniapuram,1,Indian National Congress,1
Sundankottai,2,All India Anna Dravida Munnetra Kazhagam,2
Teepachi,1,All India Anna Dravida Munnetra Kazhagam,1
Thachanvillai,2,All India Anna Dravida Munnetra Kazhagam,2
Thailapuram,1,Tamilaga Vettri Kazhagam,1
Thamraimozhi,1,Tamilaga Vettri Kazhagam,1
Thathankulam,1,All India Anna Dravida Munnetra Kazhagam,1
Thattarmadam,2,All India Anna Dravida Munnetra Kazhagam,1
Themangulam,2,All India Anna Dravida Munnetra Kazhagam,1
Theripanai,1,All India Anna Dravida Munnetra Kazhagam,1
Therkkankulam,1,All India Anna Dravida Munnetra Kazhagam,1
"Therku
amuthunnakudi",2,All India Anna Dravida Munnetra Kazhagam,1
Therukkukaracherr y,1,All India Anna Dravida Munnetra Kazhagam,1
Thirupuliangudi,1,All India Anna Dravida Munnetra Kazhagam,1
Thiruvaluthi nadarvilai,1,Tamilaga Vettri Kazhagam,1
Thiruvarangapatti,1,All India Anna Dravida Munnetra Kazhagam,1
Tholappanpannai,2,All India Anna Dravida Munnetra Kazhagam,2
