Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
99,"MURUGADASA PRIMARY SCHOOL, WESTERN PORTION KEELA ERMALPURAM","Manimuthar (T.P), Eruammalppuram",All India Anna Dravida Munnetra Kazhagam,37.29792147806005
102,HINDU PRIMARY SCHOOL WESTERN PORTION ALADIYUR,"Manimuthar (T.P), Block No 13",All India Anna Dravida Munnetra Kazhagam,25.925925925925924
104,"HINDU PRIMARY SCHOOL, EASTERN PORTION, ALADIYUR","1 - Manimutharu (M), Block no 14 Aladiyoor",All India Anna Dravida Munnetra Kazhagam,13.436692506459949
109,"KING GEORGE PRIMARY SCHOOL, MAIN BUILDING, SOUTHERN PORTION, ZAMIN SINGAMPATTI","1 - Zamin Singampatti (R.V), Zamin Singampatti (P), Block No 1 Zamin Singampatti",All India Anna Dravida Munnetra Kazhagam,15.641711229946523
111,"COMMUNITY HALL, SAMATHUVAPURAM , EASTERN PORTION, AYAN SINGAMPATTI","1 - Ayan Singampatti (R.V), Ayan Singampatti (P), Block No 1 Ayan Singampatti",All India Anna Dravida Munnetra Kazhagam,25.27777777777778
112,"PANCHAYAT UNION PRIMARY SCHOOL, WESTERN BUILDING, NORTH SIDE, (SSA BUILDING) AYAN SINGAMPATTI","1 - Ayan Singampatti (R.V), Ayan Singampatti (P), Block No 2",All India Anna Dravida Munnetra Kazhagam,23.558282208588956
116,"R.C. MARAVAR SPECIAL MIDDLE SCHOOL, EASTERN PORTION, VAIRAVIKULAM","1 - Vairavikulam (R.V), Vairavikulam (P), Block No 2 Vairavikulam",All India Anna Dravida Munnetra Kazhagam,23.007518796992482
129,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, NORTHERN BUILDING, SOUTH PORTION AMBASAMUDRAM","1 - Ambasamudram (M), Subramaniapuram Pothai door no265 Si.No.447 above",All India Anna Dravida Munnetra Kazhagam,12.310286677908937
130,"MOHEIDEEN FATHIMA MIDDLE SCHOOL, NEW BUILDING, GOLDEN JUBLIE SPORTS GROUND, SOUTHERN PORTION AMBASAMUDRAM","1 - Ambasamudram (M), Santhai Madam Street",All India Anna Dravida Munnetra Kazhagam,15.756302521008402
136,"SIVASUBRAMANIYN PRIMARY SCHOOL, AMBASAMUDRAM","1 - Ambasamudram (M), Melapalayam Thevamar Street",All India Anna Dravida Munnetra Kazhagam,17.77777777777778
137,"COMMUNITY HALL, 10th WARD, MELAPALAYAM STREET, AMBASAMUDRAM.","1 - Ambasamudram (M), Melapalayam North Car Street",All India Anna Dravida Munnetra Kazhagam,12.521739130434783
138,MUNICIPALITY MIDDLE SCHOOL SOUTH PORTION AMBASAMUDRAM,"1 - Ambasamudram (M), Sengunther South Street",All India Anna Dravida Munnetra Kazhagam,16.615384615384617
140,"MUNICIPALITY MIDDLE SCHOOL, CONCRETE BUILDING
,WESTERN CONCRETE BUILDING, AMBASAMUDRAM","1 - Ambasamudram (M), Adaviyar Street",All India Anna Dravida Munnetra Kazhagam,13.121546961325967
142,"ST.JOSEPH HIGH SCHOOL, WESTERN PORTION, NORTHERN BUILDING, AMBASAMUDRAM","1 - Ambasamudram (M), Kelaputhu Street",All India Anna Dravida Munnetra Kazhagam,17.177914110429448
147,"MUNCIPALITY MARRIAGE HALL MAIN BULIDING, MIDDLE PORTION MAIN ROAD, AMBASAMUDRAM","1 - Ambasamudram (M), Mela Radha Veethi",All India Anna Dravida Munnetra Kazhagam,14.56953642384106
148,"MUNCIPALITY MARRIAGE HALL MAIN BULIDING , EAST PORTION MAIN ROAD, AMBASAMUDRAM","1 - Ambasamudram (M), Kacheri Street",All India Anna Dravida Munnetra Kazhagam,14.171656686626747
