Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
71,"HINDU MIDDLE SCHOOL, EASTERN CENTRAL PORTION, V","1 - Vagaikulam (R.V), Vagaikulam (P), Block No 3",All India Anna Dravida Munnetra Kazhagam,4.318936877076411
73,"ANGANWADI BUILDING, ADAYAKARUNKULAM","1 - Adaiyakarunkulam (R.V), Adaiyakarunkulam (P), Block No 1 Adaiyakarunkulam",All India Anna Dravida Munnetra Kazhagam,13.359528487229863
74,"LIBRARY NEW BUILDING, ADAIYAKARUNKULAM","1 - Adaiyakarunkulam (R.V), Adaiyakarunkulam (P), Block No3 Arumugampatti, Agasthiyarpatti",Indian National Congress,5.720338983050848
76,"VILLAGE PANCHAYAT SERVICE CENTRE, EASTERN BUILDING, ADAIYAKARUNGKULAM.","1 - AdaIyakarunkulam (R.V), AdaIyakarunkulam (P), Block No 2",All India Anna Dravida Munnetra Kazhagam,3.939393939393939
77,"VILLAGE PANCHAYAT SERVICE CENTRE, WESTERN BUILDING, ADAIYAKARUNGKULAM.","1 - AdaIyakarunkulam (R.V), AdaIyakarunkulam (P), Block No 2",All India Anna Dravida Munnetra Kazhagam,7.945736434108527
82,"T.D.T.A.MIDDLE SCHOOL, GOLDEN JUBLEE BUILDING EAST PORTION KEELA SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 5 Uthiramuthanpatti",Tamilaga Vettri Kazhagam,1.8211920529801324
83,"T.D.T.A.MIDDLE SCHOOL ,GOLDEN JUBLEE BUILDING WEST PORTION , KEELA SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 5 Uthiramuthanpatti",Tamilaga Vettri Kazhagam,3.322259136212625
85,"GOPALAN PRIMARY SCHOOL, NORTHERN BUILDING, EAST BLOCK, ARUMUGAMPSTTI, SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 2 Arumugampatti",All India Anna Dravida Munnetra Kazhagam,0.646551724137931
86,"GOPALAN PRIMARY SCHOOL,NORTH BLOCK WESTERN BUILDING ARUMGAMPATTI, SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 2 Arumugampatti",Indian National Congress,11.76470588235294
87,"GOPALAN PRIMARY SCHOOL, WEST BLOCK, NORTHERN BUILDING, ARUM GAMPATTI, SIVANTHIPURAM","1 - Sivanthipuram (R.V),Sivanthipuram (P), Block No 3 Gopalan Palli Street, Sivathipuram",Indian National Congress,1.5414258188824663
88,"KAMARAJAR MIDDLE SCHOOL, WESTERN PORTION, SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 4 Uthiramuthanpatti",All India Anna Dravida Munnetra Kazhagam,2.3297491039426523
93,TDTA PRIMARY SCHOOL KELLA SIVANTHIPURAM HALL NO;1,"1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 10 Veilumuthanpatti",Indian National Congress,15.757575757575756
94,TDTA PRIMARY SCHOOL KELLA SIVANTHIPURAM HALL NO;2,"1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 12 Pulavanpatti",Indian National Congress,9.647779479326186
98,"MURUGADASA PRIMARY SCHOOL, EAST BLOCK, KEELA ERMALPURAM","1 - Manimuthar (T.P), Mela Eruammalpuram",All India Anna Dravida Munnetra Kazhagam,4.128440366972478
103,"GANDHI PRIMARY SCHOOL , CHETTIMETTU","1Manimuthar (T.P), Block no 12 Chettimettu Street",All India Anna Dravida Munnetra Kazhagam,3.4246575342465753
110,"KING GEORGE PRIMARY SCHOOL, EAST BUILDING, ZAMIN SINGAMPATTI","1 - Jamin Singampatti (R.V), Jamin Singampatti (P), Block No 2 Asarimar Street",All India Anna Dravida Munnetra Kazhagam,9.96309963099631
113,"COMMUNITY HALL, SAMATHUVAPURAM , WESTERN PORTION, AYAN SINGAMPATTI","1 - Ayan Singampatti (R.V), Ayan Singampatti (P), Samathuvapuram",All India Anna Dravida Munnetra Kazhagam,8.16326530612245
120,"VILLAGE PANCHAYAT OFFICE ,THERKKU PAPPANKULAM","1 - Therkku Pappankulam (R.V), Therkku Pappankulam (P), Block No 1 Therkku Pappankulam",All India Anna Dravida Munnetra Kazhagam,5.218617771509168
122,"T.D.T.A PRIMARY SCHOOL , SOUTH BUDILING WEST PORTION, THERKKU PAPPANKULAM","1 - Therkku Pappankulam (R.V), Therkku Pappankulam (P), Block No 2",Indian National Congress,4.696132596685083
168,"GOVT.HR.SEC.SCHOOL, NORTHERN BUILDING, KALLIDAIKURICHI CENTER PORTATION","1 - Kallidaikurichi (T.P), Ward No 8 Railway Line",Indian National Congress,3.4602076124567476
175,"T.D.T.A PRIMARY SCHOOL, NORTHERN BUILDING , KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 7 Melmugam Nadar Street",Indian National Congress,15.96153846153846
190,"GOVERNMENT PRIMARY SCHOOL, NORTHERN BUILDING, MOOLACHI, KALLIDAIKURICHI","1 - Therkku Kallidaikurichi (R.V), Moolachi (P), Block No 1 Therkku Karambai",All India Anna Dravida Munnetra Kazhagam,0.5660377358490566
191,"GOVERNMENT PRIMARY SCHOOL, SOUTHER PORTION MOOLACHI KALLIDAIKURICHI","1 - Therkku Veeravanallur (R.V), Moolachi (P), Block No 8 Moolachi",Indian National Congress,4.534005037783375
194,"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN BUILDING NESAVALLER COLONY THERKKU KALLIDAIKURICHI","2 - Therkku Veeravanallur (R.V), Moolachi (P), Block No 9 Ponmanagar Pudhu Colony",Tamilaga Vettri Kazhagam,1.288244766505636
196,"PUNCHAYAT UNION PRIMARY SCHOOL, SOUTH PORTION POTTAL THERKKU KALLIDAIKURICHI","1 - Therkku Kallidaikurichi (R.V),Pottal (P), Block No 1 Keelapottal North Street",Indian National Congress,0.8968609865470852
197,"PUNCHAYAT UNION PRIMARY SCHOOL, SOUTH WESTERN PORTION, POTTAL THERKKU KALLIDAIKURICHI","1 - Therkku Kallidaikurichi (R.V), Pottal (P), Block No 2 Keela Street",All India Anna Dravida Munnetra Kazhagam,3.0874785591766725
198,"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING POTTAL, THERKKU KALLIDAIKURCHI","1 - Therkku Kallidaikurichi (R.V), Pottal (P), Block No 3 Melapottal",All India Anna Dravida Munnetra Kazhagam,3.7537537537537538
199,"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING, WESTERN SIDE, MALAYANKULAM","1 - Malayankulam (R.V), Malayankulam (P), Block No 1 Malayankulam",All India Anna Dravida Munnetra Kazhagam,11.136363636363637
200,"PANCHAYAT UNION PRIMARY SCHOOLWEST BUILDING, MATHUDAIYARKULAM","2 - Malayankulam (R.V), Malayankulam (P), Block No 2 Padapuram",All India Anna Dravida Munnetra Kazhagam,19.50078003120125
203,"ST.JOHNS PRIMARY SCHOOL, NEW BUILDING, WESTERN PORTION, VELLANGULI","1 - Vellankuli (R.V)Vellankuli (P), Block No 10",Tamilaga Vettri Kazhagam,3.338391502276176
215,"LIBRARY BUILDING, RAJAKUTHALAPERI, ATHALANALLUR","1 - Athalanallur (R.V), Athalanallur (P), Block No 7 Kottarakurichi",All India Anna Dravida Munnetra Kazhagam,7.164634146341463
216,"BARATHIYAR GOVT.HR.SEC. SCHOOL, ROOM NO.8 EAST BUILDING, NORTH BLOCK, WEST PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 2 Thambiran Colony South Street",Indian National Congress,5.0
235,"T.D.T.A PRIMARY SCHOOL, REDDIYARPURAM THERKKU VEERAVANALLUR","1 - Therkku Veeravanallur (R.V), Therkku Veeravanallur (P), Block No 4 Rediyarpuram",All India Anna Dravida Munnetra Kazhagam,4.0358744394618835
238,"PANCHAYAT UNION PRIMARY SCHOOL, WESTERN BULIDING NORTHERN PORTION ALAGAPPAPURAM THERKKU VEERAVANALLUR","1 - Therkku Veeravanallur (R.V), Therkku Veeravanallur (P), Block No 1 Alagappapuram",All India Anna Dravida Munnetra Kazhagam,17.02127659574468
