Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
67,"SRIPUTHAR PRIMARY SCHOOL, NORTHERN PORTION, GOWTHAMAPURI.","1 - Brahmadesam (R.V), Brahmadesam (P), Block No 7 Gowthamapuri",Tamilaga Vettri Kazhagam,14.335664335664337
75,"COMMUNITY HALL , ADAIYAKARUNGKULAM","1 - Adaiyakarunkulam (R.V), Adaiyakarunkulam (P), Block No 3, Middle Thirattu Colony Adaiyakarunkulam",All India Anna Dravida Munnetra Kazhagam,1.5768725361366622
78,"CAMBRIDGE MATRICULATION HIGHER SECONDRY SCHOOL, SOUTHERN PORTION, AGASTHIYARPATTI","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 3 Agasthiyarpatti Door No 1- 400",Tamilaga Vettri Kazhagam,4.827586206896552
79,CAMBRIDGE MATRICULATION HIGHER SECONDRY SCHO,"1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 3 Agasthiyarpatti Door No 401-",Tamilaga Vettri Kazhagam,4.132231404958678
80,"CAMBRIDGE MATRICULATION HIGHER SECONDRY SCHOOL, WESTERN BLOCK, AGASTHIYARPATTI","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 3 Agasthiyarpatti door no 816 above",All India Anna Dravida Munnetra Kazhagam,3.3271719038817005
81,"T.D.T.A.MIDDLE SCHOOL, GOLDEN JUBLEE BUILDING WEST PORTION KEELA SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Sivanthipuram",Tamilaga Vettri Kazhagam,0.5747126436781609
84,"ANGANWADI BUILDING, ROOOM NO 35 UTHIRAMUTHAPATTI, SIVANTHIPURAM ( NEAR VAO OFFICE)","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 4 Uthiramuthanpatti",All India Anna Dravida Munnetra Kazhagam,4.181818181818182
90,"T.D.T.A MIDDLE SCHOOL, WEST BLOCK, NORTHERN BUILDING, SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 6 Kamarajar Street",All India Anna Dravida Munnetra Kazhagam,8.088235294117647
97,"PANCHAYAT UNION MIDDLE SCHOOL, VEBBANKULAM, KODARANKULAM.","1 - Kodarankulam (R.V), Kodarankulam (P), Block No 4",All India Anna Dravida Munnetra Kazhagam,6.099815157116451
100,"SARASWATHI ISAC PRIMARY SCHOOL, SOUTH BUILDING, CASHKEEPER THOPPU, ALADIYUR","Manimutharu (M), Block No 8 Adivaram Cash Keeper Thoppu",Tamilaga Vettri Kazhagam,3.2835820895522385
101,"SARASWATHI ISAC PRIMARY SCHOOL, SOUTH BUILDING WESTERN PORTION, CASHKEEPER THOPPU, ALADIYUR","Manimutharu (M), Block No 10 Adiyamadai Thirupathiyapuram",All India Anna Dravida Munnetra Kazhagam,3.792415169660679
105,"PANCHAYAT UNION PRIMARY SCHOOL, MANIMUTHAR","1 - Manimuthar (T.P), Block No 1 Manimuthar",Tamilaga Vettri Kazhagam,1.7892644135188867
106,"B.B.T.C.PRIMARY SCHOOL, EAST PORTION WEST SIDE
MANJOLAI","1 - Manimutharu (M), Block No 4 Manjolai",Tamilaga Vettri Kazhagam,33.33333333333333
107,"B.B.T.C PRIMARY SCHOOL, WESTERN PORTION NALUMUKKU","1 - Manimuthar (T.P), Block No 5 Kakkachi",Tamilaga Vettri Kazhagam,67.03296703296702
108,"B.B.T.C.PRIMARY SCHOOL, OOTHU","1 - Manimuthar (T.P), Block No 7 Utthu",Tamilaga Vettri Kazhagam,72.63157894736842
114,"PANCHAYAT UNION PRIMARY SCHOOL, WESTERN BUILDING, SOUTH SIDE, (SSA BUILDING) AYAN SINGAMPATTI","1 - Ayan Singampatti (R.V), Ayan Singampatti (P), Block No 3 Ayan Singampatti",Indian National Congress,9.01803607214429
115,"BHARATHI HARIJAN PRIMARY SCHOOL, NEW BUILDING, WESTERN PORTION, AYAN SINGAMPATTI","1 - Ayan Singampatti (R.V), Ayan Singampatti (P), Block No 4",Indian National Congress,5.178571428571429
117,"R.C. MARAVAR SPECIAL MIDDLE SCHOOL, WEST PORTION VAIRAVIKULAM","1 - Vairavikulam (R.V), Vairavikulam (P), Block No 3",Indian National Congress,7.672634271099745
118,"GRAMA SEVAI CENTRE, NORTHERN PORTION VAIRAVIKULAM","1 - Vairavikulam (R.V),Vairavikulam (P), Block No 5 Door No. 1 to 288",Tamilaga Vettri Kazhagam,14.13427561837456
119,"GRAMA SEVAI CENTRE, WESTERN PORTION DOOR NO.289 ABOVE VAIRAVIKULAM","1 - Vairavikulam (R.V),Vairavikulam (P), Block No 5 Door No. 289 above",Indian National Congress,0.7366482504604052
121,"T.D.T.A PRIMARY SCHOOL , SOUTHERN PORTION, THERKKU PAPPANKULAM","2 - Therkku Pappankulam (R.V),Therkku  Pappankulam (P), Block No 3",Tamilaga Vettri Kazhagam,11.956521739130435
123,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, GOLDEN JUBLIE BUILDING, ROOM NO. 29, EASTERN PORTION, AMBASAMUDRAM","1 - Ambasamudram (M), R.S. New Colony",All India Anna Dravida Munnetra Kazhagam,0.5597014925373134
124,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, S.S.A BUILDING BLOCK NO.1 CENTRAL PORTION AMBASAMUDRAM","1 - Ambasamudram (M), Subramaniapuram",Tamilaga Vettri Kazhagam,9.543010752688172
125,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, GOLDEN JUBLIE BUILDING, ROOM NO. 31, WESTERN PORTION, AMBASAMUDRAM","1 - Ambasamudram (M), Railway feeder Road",Tamilaga Vettri Kazhagam,5.0113895216400905
126,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, NORTHERN BUILDING EAST PORTION AMBASAMUDRAM","1 - Ambasamudram (M), Papanasam Road, New Colony",Tamilaga Vettri Kazhagam,0.7763975155279503
127,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, OLD NABORAD BUDILING, HALL NO. 1 AMBASAMUDRAM.","1 - Ambasamudram (M), Subramaniapuram Pothai door no 1-200",All India Anna Dravida Munnetra Kazhagam,1.6417910447761193
128,"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, OLD NABORAD BUDILING, HALL NO. 3 AMBASAMUDRAM.","1 - Ambasamudram (M), Subramaniapuram Pothai door no 200 to 269",All India Anna Dravida Munnetra Kazhagam,2.514792899408284
132,"ST.JOSEPHS HIGH SCHOOL, EASTERN BUILDING, NORTHERN PORTION, (IV STD) MELA AMBASAMUDRAM","1 - Ambasamudram (M), Santhaimadam North Street",All India Anna Dravida Munnetra Kazhagam,5.851063829787234
133,"ST.JOSEPHS HIGH SCHOOL, NORTHERN BUILDING, CENTRE PORTION HALL NO.4 MELA AMBASAMUDRAM","1 - Ambasamuthiram (M), Periyakulam Colony North Street",Tamilaga Vettri Kazhagam,6.756756756756757
134,"ST.JOSEPH NURSERY & PRIMARY SCHOOL, EASTERN BUILDING, NORTHERN HALL (STD IV) MELA AMBASAMUDRAM","2 - Ambasamudram (M), Santhai Bazaar",Indian National Congress,8.290816326530612
135,"ST.JOSEPHS HIGH SCHOOL, EASTRN BUILDING, SOUTH PORTION HALL NO.4 MELA AMBASAMUDRAM","5 - Ambasamuthiram (M), Illathar North Street,  Keela Puthu Street.",Tamilaga Vettri Kazhagam,9.492635024549918
139,"MUNICIPALITY MIDDLE SCHOOL, MIDDLE PORTION, CENTRAL BUILDING, AMBASAMUDRAM","1 - Ambasamudram (M), Adappu Mudukku Street",All India Anna Dravida Munnetra Kazhagam,3.6458333333333335
141,"ST.JOSEPH HIGH SCHOOL, NORTHERN BUILDING, EASTERN PORTION, AMBASAMUDRAM","1 - Ambasamudram (M), Nettapuli North Street",All India Anna Dravida Munnetra Kazhagam,6.860158311345646
143,"S.T.C BRANCH MIDDLE SCHOOL, SOUTHERN BUILDING, WEST PORTION, AMBASAMUDRAM.","1 - Ambasamudram (M), Ramalinger Street",All India Anna Dravida Munnetra Kazhagam,2.1248339973439574
