Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
211,Lions  Town,"Karapettai  Nadar  Boys  Hr.  Sec.  School, Golden  Jubilee  Year  Block,  3rd  room  from West,  Room  No.  40  Lionstown","1.Thoothukudi  Corporation  Lions  Town  -  Ward  31  (Door  No.  After  367B), 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.16017316017316
212,Lions  Town,"Karapettai  Nadar  Boys  Hr.  Sec.  School, North  Building,  3rd  room  from  East,  Room No.  3,  Lionstown","1.Thoothukudi  Corporation  Lions  Town  -  Ward  31  ,  2.Thoothukudi Corporation  Annai  Theresa  Colony  -  Ward  31  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,38.64915572232646
213,Lions  Town,"Karapettai  Nadar  Boys  Hr.  Sec.  School, North  Building,  2nd  room  from  East,  Room No.  4,  Lionstown","1.Thoothukudi  Corporation  George  Road  -  Ward  24  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,34.29158110882957
217,George  Road,"P.M.  Ornales  Lasal  Hr.  Sec.  School,  Lasalle Block,  3rd  room  from  South,  George  Road","1.  Thoothukudi  Corporation  Manal  Street  -  Ward  32,  2.Thoothukudi Corporation  Fisheries  Colony  (Inigo  Nagar)  -  Ward  24  ,  3.Thoothukudi Corporation  Piramuthu  Sandhu  -  Ward  23  ,  4.Thoothukudi  Corporation St.Peter  Kovil  Gurusadi  Sandhu  -  Ward  24  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,33.43108504398827
219,George  Road,"P.M.  Ornales  Lasal  Hr.  Sec.  School,  Lasalle Block,  2nd  room  from  North,  George  Road","1.Thoothukudi  Corporation  Gandhi  Nagar  -  Ward  31  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,36.02811950790861
220,George  Road,"Dasnevis  Matha  Girls  Hr.  Sec.  School,  Main building,  STD:  XII  A  (Near  to  office  room), George  Road.","1.  Thoothukudi  Corporation  Beach  Road  -  Ward  24  ,  2.Thoothukudi Corporation  South  Beach  Road  -  Ward  24  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,42.51824817518249
222,George  Road,"Gandhi  Nagar  Primary  School,  North  room, George  Road,  Thoothukudi","1.Thoothukudi  Corporation  Fathima  Nagar  1st  Street  -  Ward  31  , 2.Thoothukudi  Corporation  Fathima  Nagar  2nd  Street  -  Ward  31  , 3.Thoothukudi  Corporation  Fathima  Nagar  3rd  Street  -  Ward  31  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,43.64303178484107
223,George  Road,"Gandhi  Nagar  Primary  School,  Middle  Room, George  Road,  Thoothukudi","1.Thoothukudi  Corporation  George  Road  -  Ward  33  ,  2.  Thoothukudi Corporation  George  Road  Extension  -  Ward  33,  3.Thoothukudi Corporation  Fathima  Nagar  street  4,  5,  6  -  Ward  33  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,56.47279549718574
224,George  Road,"Gandhi  Nagar  Primary  School,  2nd  room from  South,  George  Road,  Thoothukudi","1.Thoothukudi  Corporation  George  Road  Street  4  -  Ward  33  , 2.Thoothukudi  Corporation  George  Road  Street  5  -  Ward  33  , 3.Thoothukudi  Corporation  George  Road  Street  6  -  Ward  33  ,
4.Thoothukudi  Corporation  Fisheries  Colony  George  Road  -  Ward  33,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,32.93172690763052
230,VE  Road,"Holy  Cross  Girls  Higher  Secondary  School, St.  Joseph  Block,  2nd  room  from  East,  V.E. Road,  Thoothukudi","1.Thoothukudi  Corporation  Telephone  Colony  -  Ward  49  , 2.Thoothukudi  Corporation  P.V.R.  Puram  -  Ward  49
3.  Thoothukudi  Corporation  Pul  Thottam  (Telephone  Colony)  -  ward  49  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,34.12112259970458
248,Tiruchendur  Road,"Kamaraj  College,  Main  Building,  Hall  No.3, Tiruchendur  Road,  Thoothukudi","1.Thoothukudi  Corporation  George  road  -  ward  31  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,30.29100529100529
249,Tiruchendur  Road,"Kamaraj  College,Main  Building,  Hall No.5,Tiruchendur  Road,Thoothukudi","1.Thoothukudi  Corporation  George  road  -  ward  31  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,28.39059674502712
250,Tiruchendur  Road,"Kamaraj  College,  Main  Building,  Hall  No.7, Tiruchendur  Road,Thoothukudi","1.Thoothukudi  Corporation  Indira  Nagar  -  ward  31  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,46.10091743119266
