Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
174,North Pathirakaliammank oil  street,"Corporation  Middle  School,  North  Building,
1st  room  from  East,  North  Pathirakaliamman Kovil  Street","1.Thoothukudi  Corporation  Davispuram  Road  -  Ward  23  ,  2.Thoothukudi Corporation  Piramuthuvilai  -  Ward  23  ,  3.Thoothukudi  Corporation Pandarasivan  vilai  street  -  Ward  23  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.94295900178253
176,North Pathirakaliammank oil  street,"Corporation  Middle  School,  South  Middle Building,  North  Pathirakaliamman  Kovil Street","1.Thoothukudi  Corporation  Vadakku  Patthirakaliamman  Koil  street  - Ward  16  ,  2.Thoothukudi  Corporation  Nainarvillai  Vadakku  -  Ward  16  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,9.375
177,North Pathirakaliammank oil  street,"Corporation  Middle  School,  South  Building, 1st  room  from  West,  North Pathirakaliamman  Kovil  Street","1.Thoothukudi  Corporation  Nainarvillai  West  -  Ward  16  ,  2.Thoothukudi Corporation  Nainarvillai  South  -  Ward  16  ,  3.Thoothukudi  Corporation St.John  Street  -  Ward  16  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.21052631578947
178,North Pathirakaliammank oil  street,"Corporation  Middle  School,  West  Building (Near  Staircase),  North  Pathirakaliamman Kovil  Street","1.Thoothukudi  Corporation  Vaniyanvillai  South  -  Ward  16  ,
2.Thoothukudi  Corporation  Vaniyanvilai  Vadakku  -  Ward  16  ,
3.Thoothukudi  Corporation  S.S.Pillai  Street  -  Ward  16  ,  4.Thoothukudi Corporation  Subbah  Naicker  Street  -  Ward  16  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,18.06020066889632
183,Pandurengan  street,"Corporation  Middle  School,  East  building  1st room  from  North,  Melur  Pandurengan  Street","1.Thoothukudi  Corporation  Alagesapuram  main  -  Ward  8  ,  2.Thoothukudi Corporation  Alagesapuram  1st  Sandhu  -  Ward  9  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,17.68202080237742
187,Chatram  street,"S.A.V.  Hr.  Sec.  School,  Centenary  Hall,  1st room  from  West,  Chatram  Street","1.Thoothukudi  Corporation  Muthu  street  -  Ward  15  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.58278145695364
197,Melarathaveethi,"Victoria  Girls  Hr.  Sec  School,  South  building, 2nd  room  from  East,  (STD  VIII  B),  Mela Ratha  Veethi,  Thoothukudi","1.Thoothukudi  Corporation  Vadakku  Ratha  veethi  Extension  -  Ward  25  , 2.Thoothukudi  Corporation  Varadharajapuram  -  Ward  26  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,17.37451737451737
203,T.R.  Naidu  Street,"C.M.  High  School,  Main  Building  5th  room from  East,  T.R.  Naidu  Street,  Thoothukudi","1.Thoothukudi  Corporation  Theppakulam  1st  Sandhu  -  Ward  26  ,
2.Thoothukudi  Corporation  Sivan  Koil  Street  -  Ward  26  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,8.212560386473431
225,SPG  Kovil  1st  Street,"T.N.D.T.A  Middle  School,  Centenary Building,  1st  room  from  South,  S.P.G.  Kovil 1st  Street,  Thoothukudi","1.Thoothukudi  Corporation  Shanmugapuram  street  1  -  Ward  28  , 2.Thoothukudi  Corporation  Shanmugapuram  Street  2  -  Ward  28  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.18110236220472
227,SPG  Kovil  1st  street,"T.N.D.T.A  Middle  School,  New  South Building,  3rd  room  from  East  (3rd  Door),
S.P.G.  Kovil  1st  Street,  Thoothukudi","1.Thoothukudi  Corporation  Shanmugapuram  pirapper  street  -  Ward  28 (Door  No.  1  to  195)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.61061946902655
228,SPG  Kovil  1st  street,"T.N.D.T.A  Middle  School,  New  South Building,  5th  room  from  East  (5th  Door),
S.P.G.  Kovil  1st  Street,  Thoothukudi","1.Thoothukudi  Corporation  Shanmugapuram  pirapper  street  -  Ward  28 (Door  No.  After  195)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.58273381294964
233,VE  Road,"Holy  Cross  Primary  School,  East  Building, 2nd  room  from  South,  (STD  I  A),  V.E.  Road, Thoothukudi","1.Thoothukudi  Corporation  Kumarar  street  -  Ward  25  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,17.33576642335766
234,VE  Road,"Holy  Cross  Primary  School,  North  Building, 2nd  room  from  West,  (STD  III  A),  V.E.  Road, Thoothukudi","1.Thoothukudi  Corporation  Sivanthakulam  Road  1  -  Ward  29  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.09307875894988
235,VE  Road,"Holy  Cross  Primary  School,  West  Building, 3rd  room  from  North,  (STD  I  C),  V.E.  Road, Thoothukudi","1.Thoothukudi  Corporation  Sivanthakulam  Road  2  -  Ward  29  , 2.Thoothukudi  Corporation  Sivanthakulam  Road  3  -  Ward  29  ,
3.Thoothukudi  Corporation  Sivanthakulam  1st  Street  -  Ward  30  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.41359773371105
240,South  New  Street,"Corporation  Middle  School,  South  Facing Room,  (School  Back  Side),  South  New  Street, Thoothukudi","1.Thoothukudi  Corporation  Telegram  Office  Road  -  ward  26  , 2.Thoothukudi  Corporation  Railway  Station  road  -  ward  26  , 3.Thoothukudi  Corporation  Peria  Cotton  Road  -  ward  27
4.Thoothukudi  Corporation  South  Sampanthamoorthy  Street  -  ward  26  , 5.Thoothukudi  Corporation  Mela  peria  cotton  Road  -  ward  26  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.00656455142232
241,Gin  Factory  Road,"Corporation  Middle  School,  South  building, 1st  room  from  West,  Gin  Factory  Road,
Thoothukudi","1.Thoothukudi  Corporation  Melur  Bangalow  Street  -  ward  25  ,
2.Thoothukudi  Corporation  Gin  Factory  road  -  ward  25  ,  3.Thoothukudi Corporation  Subramaniapuram  -  ward  40  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.09744214372716
243,Vannar  3rd  Street,"Corporation  Middle  School,  Main  Building, North  Portion,  (2nd  Door),  Vannar  3rd  Street, Thoothukudi","1.Thoothukudi  Corporation  Vannar  3rd  street  -  ward  30  (Door  No.  1  to 39F)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,24.74645030425964
244,Vannar  3rd  Street,"Corporation  Middle  School,  Main  Building, North  Portion,  (3rd  Door),  Vannar  3rd  Street, Thoothukudi","1.Thoothukudi  Corporation  Vannar  3rd  street  -  ward  30  (Door  No.  After 39F)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.58974358974359
245,Vannar  3rd  Street,"Corporation  Middle  School,  Main  Building, North  Portion,  (4th  Door),  Vannar  3rd  Street, Thoothukudi","1.Thoothukudi  Corporation  Perumal  street  -  ward  29  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,15.71969696969697
246,Vannar  3rd  Street,"Corporation  Middle  School,  New  Main Building,  2nd  room  from  South,  Vannar  3rd Street,  Thoothukudi","1.Thoothukudi  Corporation  Vannar1st  Street  -  ward  30  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,18.24686940966011
247,Vannar  3rd  Street,"Corporation  Middle  School,  New  Main Building,  1st  room  from  South,  Vannar  3rd Street,  Thoothukudi","1.Thoothukudi  Corporation  Vannar  2nd  street  -  ward  30  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,13.24324324324324
251,Tiruchendur  Road,"Kamaraj  College,  Main  Building  Hall  No.8, Tiruchendur  Road,Thoothukudi","1.Thoothukudi  Corporation  Sivanthakulam  Road  -  ward  29  , 2.Thoothukudi  Corporation  Ganesa  Nagar  -  ward  48  ,
3.Thoothukudi  Corporation  Karunanithi  Nagar  -  ward  49  ,  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.60072595281307
254,Tiruchendur  Road,"Annammal  College  of  Education  for  Women,
D.  Shenbagamurthi  Hall,  East  Portion,  Room No.GF-4,  Tiruchendur  Road  Thoothukudi","1.Thoothukudi  Corporation  Selseeni  Colony  -  ward  50  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,26.99579831932773
255,Tiruchendur  Road,"Annammal  College  of  Education  for  Women, South  building,  Room  No.GF-10,Tiruchendur Road,  Thoothukudi","1.Thoothukudi  Corporation  Santhi  Nagar  -  ward  48  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,23.61516034985423
263,Caldwell  Colony  4th Street,"Thiru  Kudumbam  Tamil  Middle  School, North  Building,  West  to  Auditorium,  Caldwell Colony  4th  Street","1.Thoothukudi  Corporation  Ganesan  Colony  -  Ward  49  (Door  No.  1  to 3B-220)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.93802345058626
264,Caldwell  Colony  4th Street,"Thiru  Kudumbam  Tamil  Middle  School, North  Building,  East  to  Auditorium,  Caldwell Colony  4th  Street","1.Thoothukudi  Corporation  Ganesan  Colony  -  Ward  49  (Door  No.  After 3B-220)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.03061224489796
265,Caldwell  Colony  4th Street,"Thiru  Kudumbam  Tamil  Middle  School,  East Building,  1st  room  from  North,  (STD  III)
Caldwell  Colony  4th  Street","1.Thoothukudi  Corporation  Vallinayagapuram  Block  4  -  ward  49  (Door No.  1  to  3C-150),  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.14946619217082
268,Caldwell  Colony  4th Street,"Thiru  Kudumbam  Tamil  Middle  School,  East Building,  1st  room  from  South,  (STD  I)
Caldwell  Colony  4th  Street","1.Thoothukudi  Corporation  Amutha  Nagar  -  ward  48  (Door  No.  After 5D-250)  ,  2.Thoothukudi  Corporation  Kowsalyapuram  -  Ward  35  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.76923076923077
272,Tiruchendur  Road,"Bharat  Ratna  Kamarajar  Matriculation  Hr. Sec.  School,  Main  Block,  Room  No.  107, Tiruchendur  Road,  Thoothukudi","1.Thoothukudi  Corporation  Pakkilpuram  -  Ward  46  ,  2.Thoothukudi Corporation  Sivanthakulam  First  Street  -  Ward  47  ,  3.Thoothukudi Corporation  Sivanthakulam  Middle  Street  -  Ward  49  ,  4.Thoothukudi Corporation  Sivanthakulam  Middle  Street  -  Ward  49  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,13.48314606741573
277,Devarpuram  Road,"Ceena  Vana  Govt  Hr.  Sec.  School,  Main Building,  West  portion,  Room  No.  3, Devarpuram  Road,  Thoothukkudi","1.Thoothukudi  Corporation  V.E.Road  -  Ward  27  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,18.5031185031185
281,Devarpuram  Road,"Subbiah  Vidhyalayam  Girls  Hr.  Sec.  School, Annammal  Subbiah  Nadar  Building,  1st room  from  West,  (STD  IX  G),  Devarpuram Road","1.Thoothukudi  Corporation  Devarpuram  road  -  Ward  40  ,  2.Thoothukudi Corporation  Brahmin  colony  -  Ward  40  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.2540192926045
282,Devarpuram  Road,"Subbiah  Vidhyalayam  Girls  Hr.  Sec.  School, Annammal  Subbiah  Nadar  Building,  2nd room  from  West,  (STD  IX  H),  Devarpuram Road","1.Thoothukudi  Corporation  Thamothara  nagar  -  Ward  45  (Door  No.  After 66)  ,  2.Thoothukudi  Corporation  Bagampriyal  Street  -  Ward  25  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,15.39338654503991
283,Devarpuram  Road,"Subbiah  Vidhyalayam  Girls  Hr.  Sec.  School, Annammal  Subbiah  Nadar  Building,  3rd room  from  West,  (STD  VI  E),  Devarpuram Road","1.Thoothukudi  Corporation  Thamothara  Nagar  -  Ward  45  (Door  No.  1  to 66)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.76935749588138
284,Devarpuram,"Bharathiyar  Vidhyalayam  Hr.  Sec.  School, Main  Building  (STD  X),  Devarpuram","1.Thoothukudi  Corporation  Ramasamypuram  -  ward  44  ,  2.Thoothukudi Corporation  Ramasamypuram  1st  Street  -  ward  44  ,  3.Thoothukudi Corporation  Ramasamypuram  2nd  Street  -  ward  44  ,  4.Thoothukudi Corporation  Ramasamypuram  3rd  Street  -  ward  44  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,24.43324937027708
285,Devarpuram,"Bharathiyar  Vidhyalayam  Hr.  Sec.  School, Main  Building  (STD  XI  A),  Devarpuram","1.Thoothukudi  Corporation  Sankarapuram  -  ward  40  ,  2.Thoothukudi Corporation  Sankarapuram  1st  Lane  -  ward  40  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,14.74201474201474
287,Devarpuram,"Bharathiyar  Vidhyalayam  Hr.  Sec.  School, North  Building,  East  portion,  1st  room, Devarpuram","1.Thoothukudi  Corporation  Perumalpuram  -  ward  45  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,19.83606557377049
293,Doovipuram  4th Street,"Bell  Matric.  Hr.  Sec.  School,  North  Building, 2nd  room  from  West,  Doovipuram  4th  Street Thoothukudi","1.Thoothukudi  Corporation  Doovipuram  Main  Road  -  Ward  41 2.Thoothukudi  Corporation  Mangalapuram-Ward  3
3.Thoothukudi  Corporation  Mahilchipuram-Ward  3
,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.88020833333334
295,Doovipuram  11th Street,"Corporation  Primary  School,  North  Building, Middle  portion  room,  Doovipuram  11th
Street  Thoothukudi","1.Thoothukudi  Corporation  Meenatchipuram  East  -  Ward  40  , 2.Thoothukudi  Corporation  Meenatchipuram  West  -  Ward  40  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.26912928759894
296,Doovipuram  11th Street,"Corporation  Primary  School,  South  Building, 1st  room  (Near  Staircase),  Doovipuram  11th Street,  Thoothukudi","1.Thoothukudi  Corporation  Ettayapuram  Road  -  Ward  40  ,
2.Thoothukudi  Corporation  Doovipuram  4th  Street  -  Ward  38  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,15.62913907284768
