Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
112,Innasiarpuram,"St.  Ignatious  Hr.  Sec.  School,  South  Building (Room  next  to  Gents  Staff  Room), Innasiarpuram","1.Thoothukudi  Corporation  Innasiyarpuram-Ward  9
2.Thoothukudi  Corporation  Innasiyarpuram  1  -  Ward  9  , 3.Thoothukudi  Corporation  Innasiyarpuram  2  -  Ward  9  , 4.Thoothukudi  Corporation  Innasiyarpuram  3  -  Ward  9  ,
5.Thoothukudi  Corporation  Muthukrishnapuram  2nd  Sandhu  -  Ward  12 6.Thoothukudi  Corporation  Muthukrishnapuram  7th  Street  -  Ward  12  , 7.Thoothukudi  Corporation  Muthukrishnapuram  8th  street  -  Ward  12  , 8.Thoothukudi  Corporation  Muthukrishnapuram  9th  street  -  Ward  12  , 9.Thoothukudi  Corporation  Muthukrishnapuram  10th  street  -  Ward  12  ,
999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,8.274894810659186
123,Alangarathattu,"R.C.  Primary  School,  Main  Building,  1st room  from  East,  STD  V,  Alangarathattu","1.Thoothukudi  Corporation  Saint  Marys  Colony  -  Ward  17  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.37113402061856
130,Krishnarajapuram,"Infant  Matric.  Hr.  Sec.  School,South Building,  4th  room  from  East, Krishnarajapuram","1.Thoothukudi  Corporation  Krishnarajapuram  -  Ward  18  (Door  No.  After 7-30A)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.1025641025641
150,Boopalrayerpuram (RV  Puram),"Johnson  Nursery  and  primary  School,  East Building,  1st  room  from  South, Boopalrayerpuram  (RV  Puram)","1.Thoothukudi  Corporation  Boobalarayarpuram  8th  Street  -  Ward  20  , 2.Thoothukudi  Corporation  Boobalarayarpuram  9th  Street  -  Ward  20  , 3.Thoothukudi  Corporation  Boobalarayarpuram  10th  Street  -  Ward  20  , 4.Thoothukudi  Corporation  Boobalarayarpuram  11th  Street  -  Ward  20  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,5.152671755725191
161,Beach  Road,"Caldwell  Primary  School  New  Building,  2nd room  from  North,Vadi  Street","1.Thoothukudi  Corporation  Thattar  street  -  Ward  21  ,  2.Thoothukudi Corporation  Thattar  Sandhu  -  Ward  21,  3.Thoothukudi  Corporation
Kaliappapillai  Sandhu  -  Ward  24  ,  4.Thoothukudi  Corporation  St.Peter
Koil  Sannathi  Street  -  Ward  24  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,5.520169851380043
163,North  Gopalsamy Street,"Thatchar  Street  Middle  School,  Main Building,  East  Portion,  North  Gopalsamy Street","1.Thoothukudi  Corporation  North  raja  street  -  Ward  24  ,  2.Thoothukudi Corporation  Vadakku  Raja  Sandhu  -  Ward  24  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,13.51351351351351
164,North  Gopalsamy Street,"Thatchar  Street  Middle  School,  Main Building,  West  Portion,  North  Gopalsamy Street","1.Thoothukudi  Corporation  Kaliappar  Street  -  Ward  24  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,7.017543859649122
166,North  Gopalsamy Street,"S.A.V.  Primary  School,  West  Building  Central Portion,North  Gopalsamy  Street","1.Thoothukudi  Corporation  Chinnakadai  street  -  Ward  24  ,
2.Thoothukudi  Corporation  Chinnakadai  Sandhu  -  Ward  24  , 3.Thoothukudi  Corporation  Parthasarathi  Street  -  Ward  24  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,4.772727272727273
167,North  Gopalsamy Street,"S.A.V.  Primary  School,  West  Building,  South Portion,  North  Gopalsamy  Street","1.Thoothukudi  Corporation  Gopalsamy  Street  -  Ward  24  ,  2.Thoothukudi Corporation  Vadi  Street  -  Ward  24  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,17.10526315789474
168,Cruzpuram,"R.C.  Primary  School,  North  Building,  East Portion  (STD  I  A),  Cruzpuram","1.Thoothukudi  Corporation  Cruzpuram  -  Ward  22  (Door  No.  From  1  to  152)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.32608695652174
169,Cruzpuram,"R.C.  Primary  School,  North  Building,  (STD-II C),  Cruzpuram","1.Thoothukudi  Corporation  Cruzpuram  -
Ward  22  (Door  No.  From  153  to  last)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.19620253164557
170,Cruzpuram,"R.C.  Primary  School,West  Building,  2nd room  from  South  (STD  V  A),  Cruzpuram","1.Thoothukudi  Corporation  Santhanamariamman  koil  street  -  Ward  22  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,17.81701444622793
172,Kovil  Street,"T.N.D.T.A.  Middle  School,  South  Building West  Portion,  Kovil  Street,  Thoothukudi","1.Thoothukudi  Corporation  Muthusamy  street  -  Ward  23  ,  2.Thoothukudi Corporation  Utchimakaliamman  Koil  Street  -  Ward  23  ,  3.Thoothukudi Corporation  Carpenter  Street  -  Ward  16  ,  4.Thoothukudi  Corporation Ratchanyapuram  East  -  Ward  16  ,  5.Thoothukudi  Corporation Ratchanyapuram  West  -  Ward  16  ,  6.Thoothukudi  Corporation  Nadar
Street  Vadakku  -  Ward  16  ,  7.Thoothukudi  Corporation  Nadar  Street
South  -  Ward  16  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,5.138339920948617
173,Kovil  Street,"T.N.D.T.A  Middle  School  South  Building Middle  Portion,  Kovil  Street,  Thoothukudi","1.Thoothukudi  Corporation  Raman  villai  street  -  Ward  16  ,
2.Thoothukudi  Corporation  Koil  Street  -  Ward  16  ,  3.Thoothukudi Corporation  Simon  Street  -  Ward  16  ,  4.Thoothukudi  Corporation Vathiyar  Street  -  Ward  16  ,  5.Thoothukudi  Corporation  Manakavalen Street  -  Ward  23  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,5.936675461741425
175,North Pathirakaliammank oil  street,"Corporation  Middle  School,  East  Building, 1st  room  from  North,  North Pathirakaliamman  Kovil  Street","1.Thoothukudi  Corporation  Mohammed  Sadhalipuram  -  Ward  14  ,
2.Thoothukudi  Corporation  Yadhavar  Street  -  Ward  16  ,  3.Thoothukudi Corporation  Valaiyananthaswami  Koil  Street  -  Ward  16  ,  4.Thoothukudi Corporation  Nambikkai  roach  Vilai  -  Ward  16  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,4.24597364568082
180,Rathinapuram,"R.C.  Primary  School,  East  New  Building, South  portion,  Rathnapuram","1.Thoothukudi  Corporation  Rathinapuram  street  -  Ward  14  ,
2.Thoothukudi  Corporation  Yathavar  Street  -  Ward  16  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,10.8256880733945
182,Rathinapuram,"R.C.  High  School,  North  New  Building,  4th room  from  West,  Rathnapuram","1.Thoothukudi  Corporation  Muniasamy  koil  street  -  Ward  14  ,
2.Thoothukudi  Corporation  Sudalaimadasamy  Koil  Street  -  Ward  14  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,16.99134199134199
185,Melur  Chathram Street,"Corporation  Middle  School,  East  Building, 2nd  room  from  North,  (STD  VI  A),  Melur, Chathram  Street","1.Thoothukudi  Corporation  Vandimarichamman  koil  street  -  Ward  15  , 2.Thoothukudi  Corporation  Santhi  Vinayagar  Koil  Street  -  Ward  15  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.16309012875537
186,Melur  Chathram Street,"Corporation  Middle  School,  South  Building, 5th  room  from  West,  (STD  VIII  B),  Melur, Chathram  Street","1.Thoothukudi  Corporation  Santh  Vinayagar  Koil  Sandhu  -  Ward  15  , 2.Thoothukudi  Corporation  Kamatchiamman  Koil  Street  -  Ward  15  , 3.Thoothukudi  Corporation  Mohammed  Sadhalipuram  -  Ward  14  ,
4.Thoothukudi  Corporation  Muniasamy  Kovil  Street  -  Ward  14  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,8.816120906801007
188,Chatram  street,"S.A.V.  Hr.  Sec.  School,  Centenary  Hall,  2nd room  from  West,  Chatram  Street","1.Thoothukudi  Corporation  Karuppasamy  Koil  Street  -  Ward  15  ,
2.Thoothukudi  Corporation  Subbiah  Street  -  Ward  15  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,14.41241685144124
193,Renganathapuram,"C.M.  Hr.  Sec.  School,  West  Building, Renganathapuram","1.Thoothukudi  Corporation  Ragamathullapuram  East  -  Ward  40  , 2.Thoothukudi  Corporation  Ragamathullapuram  West  -  Ward  39  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,18.37748344370861
199,Melarathaveethi,"Victoria  Girls  Hr.  Sec  School,  South  building, 4th  room  from  East,  (STD  VIII  D),  Mela  Ratha  Veethi,  Thoothukudi","1.Thoothukudi  Corporation  Renganathapuram  East  -  Ward  25  ,
2.Thoothukudi  Corporation  Mela  Rathaveethi  -  Ward  25  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,4.522613065326634
200,T.R.  Naidu  Street,"C.M.  High  School,  Main  Building  1st  room from  East  (STD  VII  A),  T.R.  Naidu  Street, Thoothukudi","1.Thoothukudi  Corporation  Vadakku  cotton  road  -  Ward  26  ,
2.Thoothukudi  Corporation  Ramasamy  Street  -  Ward  26  ,  3.Thoothukudi Corporation  Railway  Station  Road  -  Ward  26  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,6.68103448275862
201,T.R.  Naidu  Street,"C.M.  High  School,  Main  Building  3rd  room from  East  (STD  X  B),  T.R.  Naidu  Street,
Thoothukudi","1.Thoothukudi  Corporation  Railway  Colony  -  Ward  26  ,  2.Thoothukudi Corporation  Selvizer  1st  Street  -  Ward  26  ,  3.Thoothukudi  Corporation Selvizer  2nd  Street  -  Ward  26  ,  4.Thoothukudi  Corporation  Selvizer  3rd Street  -  Ward  26  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,4.009433962264151
205,Periya  Cotton  Road,"Karapettai  Nadar  Girls  Higher  Secondary School,  East  Building,  4th  room  form  North
(STD  XI  G),  Periya  Cotton  Road,  Thoothukudi","1.Thoothukudi  Corporation  South  Cotton  Road  -  Ward  24  (Door  No.  1  to 150)  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.92281303602058
206,Periya  Cotton  Road,"Karapettai  Nadar  Girls  Higher  Secondary School,  East  Building,  5th  room  form  North (STD  XII  G),  Periya  Cotton  Road,
Thoothukudi","1.Thoothukudi  Corporation  South  Cotton  Road  -  Ward  24  (Door  No.  After 151)  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.34548944337812
207,Periya  Cotton  Road,"Karapettai  Nadar  Girls  Higher  Secondary School,  East  Building,  6th  room  form  North (STD  X  A),  Periya  Cotton  Road,  Thoothukudi","1.Thoothukudi  Corporation  South  Cotton  Road  -  Ward  24  (Door  No.  1  to 300)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.98076923076923
208,Periya  Cotton  Road,"Karapettai  Nadar  Girls  Higher  Secondary School,  East  Building,  7th  room  form  North (STD  X  A1),  Periya  Cotton  Road,
Thoothukudi","1.Thoothukudi  Corporation  South  Cotton  Road  -  Ward  24  (Door  No.  After 301)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,17.2
209,Periya  Cotton  Road,"Karapettai  Nadar  Girls  Higher  Secondary School,  West  Building,  2nd  room  form  South (STD  X  C),  Periya  Cotton  Road,  Thoothukudi","1.Thoothukudi  Corporation  South  Cotton  Road  -  Ward  24  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.41258741258741
214,George  Road,"P.M.  Ornales  Lasal  Hr.  Sec.  School,  Martin Building  (STD  X  A),  George  Road","1.Thoothukudi  Corporation  Narayanan  Sandhu  -  Ward  24  ,
2.Thoothukudi  Corporation  Emperor  Street  -  Ward  32  ,  3.Thoothukudi Corporation  South  Emperor  Street  -  Ward  32  ,  4.Thoothukudi Corporation  Vaikundam  Street  -  Ward  24  ,  5.Thoothukudi  Corporation Peria  kovil  Street  -  Ward  24  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.57323688969259
215,George  Road,"P.M.  Ornales  Lasal  Hr.  Sec.  School,  Martin Building  (STD  IX  A),  George  Road","1.Thoothukudi  Corporation  Marakudi  Street  -  Ward  24  ,  2.Thoothukudi Corporation  Manuel  Jacob  lane  -  Ward  32  ,  3.Thoothukudi  Corporation St.Peter  kovil  Street  -  Ward  24  ,  4.Thoothukudi  Corporation  St.  Peter
Kovil  Lane  -  Ward  24  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.58864027538726
216,George  Road,"P.M.  Ornales  Lasal  Hr.  Sec.  School,  Lasalle Block,  2nd  room  from  South,  George  Road","1.Thoothukudi  Corporation  Santhapper  Lane  -  Ward  24  ,  2.Thoothukudi Corporation  Meiyappar  Lane  -  Ward  24  ,  3.Thoothukudi  Corporation
Thandal  Lane  -  Ward  24  ,  4.Thoothukudi  Corporation  Saveria  Pitchai Lane  -  Ward  32  ,  5.Thoothukudi  Corporation  South  Raja  Street  -  Ward  32
,  6.Thoothukudi  Corporation  Gurusadi  Lane  -  Ward  24  ,  7.Thoothukudi Corporation  Grahop  Street  -  Ward  32  ,  8.Thoothukudi  Corporation Anthoniyar  Sandhu  -  Ward  24  ,  9.Thoothukudi  Corporation  Pachek
Sandhu  -  Ward  24  ,  10.Thoothukudi  Corporation  Japjak  Sandhu  -  Ward 24  ,  11.Thoothukudi  Corporation  Theerappar  Sandhu  -  Ward  32  ,
12.Thoothukudi  Corporation  Rosario  Sandhu  -  Ward  32  ,  13.Thoothukudi Corporation  Keyithan  Sorees  Sandhu  -  Ward  24,  14.Thoothukudi Corporation  St.Pavul  Sandhu  -  Ward  32  ,  15.Thoothukudi  Corporation Beach  Road  -  Ward  24  ,  16.Thoothukudi  Corporation  Malaiappar  Sandhu
-  Ward  24  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,1.229508196721312
