Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
68,Annanagar  10th street,"Thangam  Middle  School,  South  Building,  1st room  from  East  (STD  I),  Annanagar  10th
street","1.Thoothukudi  Corporation  Anna  Nagar  3rd  Street  -  Ward  36  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,16.33605600933489
72,Polpettai,"Thangammal  Memorial  Hr.  Sec.School,  Main Building,  1st  room  from  East,  Polpettai","1.Thoothukudi  Corporation  Sakthivinayagarpuram  -  Ward  6  (Door  No.  1 to  111-66-30)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,31.53013910355487
73,Polpettai,"Thangammal  Memorial  Hr.  Sec.School,  Main Building,  2nd  room  from  East,  Polpettai","1.Thoothukudi  Corporation  Sakthivinayagarpuram  -  Ward  6  (Door  No. After  111-66-30)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.91220556745182
86,Kandasamypuram,"R.C.  Bethani  Primary  School,  North  Building, 1st  room  from  East,  Kanthasamypuram","1.Thoothukudi  Corporation  Nanthagopalapuram  West  -  Ward  7  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,13.76811594202899
87,Kandasamypuram,"R.C.  Bethani  Primary  School,  North  Building, 2nd  room  from  East,  Kanthasamypuram","1.Thoothukudi  Corporation  Kandhasamypuram  -  Ward  9  ,  2.Thoothukudi Corporation  Innasiyapuram  Block  4  -  Ward  9  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,26.72998643147897
88,Kandasamypuram,"R.C.  Bethani  Primary  School,  North  Building, Middle  Portion,  Kanthasamypuram","1.Thoothukudi  Corporation  Selvanayagapuram  Street  1  -  Ward  7  , 2.Thoothukudi  Corporation  Selvanayagapuram  Street  2  -  Ward  7  , 3.Thoothukudi  Corporation  Selvanayagapuram  Street  3  -  Ward  7  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.68428781204112
89,Kandasamypuram,"R.C.  Bethani  Primary  School,  North  Building, 3rd  room  from  West,  Kanthasamypuram","1.Thoothukudi  Corporation  Nandagopalapuram  East  Block  3  -  Ward  8  , 2.Thoothukudi  Corporation  Selvanayagapuram  T.M.C.  Colony  Block  2  - Ward  7  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.9672131147541
90,Kandasamypuram,"R.C.  Bethani  Primary  School,  West  Building, 1st  room  from  south,  Kanthasamypuram","1.Thoothukudi  Corporation  Selvanayagapuram  Street  1  -  Ward  7  , 2.Thoothukudi  Corporation  Selvanayagapuram  street  2  -  Ward  7, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.67505241090147
92,Sundaramapuram,"Tagore  Memorial  middle  School,  Main Building,  1st  room  from  North, Sundararamapuram","1.Thoothukudi  Corporation  Natrajapuram  1st  street  -  Ward  8  ,
2.Thoothukudi  Corporation  Sundaravelpuram  -  Ward  6  ,  3.Thoothukudi Corporation  Ambedhkar  Nagar  -  Ward  6  ,  4.Thoothukudi  Corporation Sathya  Nagar  -  Ward  6  ,  5.Thoothukudi  Corporation  Natrajapuram  2nd Street  -  Ward  8  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.60273972602739
93,Sundaramapuram,"Tagore  Memorial  middle  School,  Main Building,  2nd  room  from  North, Sundararamapuram","1.Thoothukudi  Corporation  Sundararamapuram-Block  3  -  Ward  8  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.98136645962733
98,Innasiarpuram,"St.  Thomas  Matricultion  Hr  Sec,  School,  B.P. Peters  Block,  2nd  room  from  North,  Room No.  2,  Innasiarpuram","1.Thoothukudi  Corporation  krishnarajapuram  7th  street  -  Ward  11  , 3.Thoothukudi  Corporation  krishnarajapuram  9th  street  -  Ward  11  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.92130518234165
99,Innasiarpuram,"St.  Thomas  Matricultion  Hr  Sec,  School,  B.P. Peters  Block,  3rd  room  from  South,  Room No.  5,  Innasiarpuram","2.Thoothukudi  Corporation  Krishnarajapuram  8th  street  -  Ward  11  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,39.58944281524926
104,Innasiarpuram,"St.  Thomas  CBSC  School,  Main  Building  4th room  from  west,  Innasiarpuram","1.Thoothukudi  Corporation  Sundravelpuram  3rd  Street  -  Ward  10  ,
2.Thoothukudi  Corporation  Sundravelpuram  3rd  Street  West  -  Ward  10  , 3.Thoothukudi  Corporation  Sundravelpuram  4th  Street  -  Ward  10  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,28.15934065934066
105,Innasiarpuram,"St.  Ignatious  Primary  School,  North  Portion, Innasiarpuram","1.Thoothukudi  Corporation  Sundaravelpuram  Block  5  -  Ward  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.84510250569476
107,Innasiarpuram,"St.  Ignatious  Primary  School,  South  Portion, Innasiarpuram","1.Thoothukudi  Corporation  Ambedhkar  Nagar  Street  2  -  Ward  6  , 2.Thoothukudi  Corporation  Ambedhkar  Nagar  Street  3  -  Ward  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.21644498186215
108,Innasiarpuram,"St.  Ignatious  Hr.Sec.  School,  St.Marys  Hall (STD  XII  A),  Innasiarpuram","1.Thoothukudi  Corporation  Muthukrishnapuram  3rd  Lane  -  Ward  12  , 2.Thoothukudi  Corporation  Muthukrishnapuram  4th  Lane  -  Ward  12  , 3.Thoothukudi  Corporation  MuthuKrishnapuram  5th  Lane  -  Ward  12  , 4.Thoothukudi  Corporation  Krishnarajapuram  3rd  Street  -  Ward  10  , 5.Thoothukudi  Corporation  Krishnarajapuram  4th  Street  -  Ward  10  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,16.21951219512195
113,Alagesapuram,"Malar  Nursery  and  Primary  School,  Main Building,  1st  room  from  West, Alagesapuram,  Thoothukudi","1.Thoothukudi  Corporation  Ponnagaram  (Door  No.  from  1  to  70B)  -  Ward 13  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.39737991266376
114,Alagesapuram,"Malar  Nursery  and  Primary  School,  Main Building,  2nd  room  from  West, Alagesapuram,  Thoothukudi","1.Thoothukudi  Corporation  Ponnagaram  (Door  No.  after  70B)  -  Ward  13  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.1419878296146
115,Thiraviapuram,"T.N.D.T.A  Middle  School,  South  Building,  1st room  from  west,  Thiraviapuram","1.Thoothukudi  Corporation  Muthukrishnapuram  2nd  Sandhu  -  Ward  12  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.42934782608696
116,Thiraviapuram,"T.N.D.T.A  Middle  School,  East  Building,  2nd room  from  North,  Thiraviapuram","1.Thoothukudi  Corporation  Thiraviapuram  4th  Sandhu  -  Ward  13  , 2.Thoothukudi  Corporation  Thiraviapuram  5th  Sandhu  -  Ward  13  , 3.Thoothukudi  Corporation  Thiraviapuram  6th  Sandhu  -  Ward  13  , 4.Thoothukudi  Corporation  Thiraviapuram  2nd  Street  -  Ward  13  , 5.Thoothukudi  Corporation  Thiraviapuram  3rd  Street  -  Ward  13  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.15789473684211
117,Thiraviapuram,"T.N.D.T.A  Middle  School,  East  Building,  1st room  from  North,  Thiraviapuram","1.Thoothukudi  Corporation  Boobalarayarpuram  10th  Street  -  Ward  12  , 2.Thoothukudi  Corporation  Boobalarayarpuram  9th  Street  -  Ward  12  , 3.Thoothukudi  Corporation  Boobalarayarpuram  8th  Street  -  Ward  12  , 4.Thoothukudi  Corporation  Boobalarayarpuram  7th  Street  -  Ward  12  , 5.Thoothukudi  Corporation  Boobalarayarpuram  6th  Street  -  Ward  12  , 6.Thoothukudi  Corporation  Boobalarayarpuram  5th  Street  -  Ward  12  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.7492795389049
