Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
36,"south building west
portion Keelakuilkudi-625019",1.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi,dravida munnetra kazhagam,tamilaga vettri kazhagam,33,4.621848739495799
38,Keelakuilkudi-625019,1.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi ward 1,tamilaga vettri kazhagam,dravida munnetra kazhagam,13,1.63727959697733
40,East building Melakuilkudi-625019,"1.Melakuilkudi (R.V) Melakuilkudi (P) Melakuilkudi East street 2.Melakuilkudi (R.V) Melakuilkudi (P) Melakuilkudi Mela street 3.Melakuilkudi (R.V) Melakuilkudi (P) Melakuilkudi
4.Melakuilkudi (R.V) Melakuilkudi (P) Parambumalai Melakuilkudi 2nd Ward",dravida munnetra kazhagam,tamilaga vettri kazhagam,25,2.410800385728062
43,Chinnasakkilipatti-625021,1.Sakkilipatti (R.V) Sakkilipatti (P) Chinnasakkilipatti Ward 2,tamilaga vettri kazhagam,dravida munnetra kazhagam,5,1.05708245243129
44,Thenpalanji-625021,1.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Colony 2.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji East Street 3.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Nadu Street 4.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji North Street,dravida munnetra kazhagam,tamilaga vettri kazhagam,10,1.572327044025157
46,Thoppur-625008,"Thoppur (R.V) Thoppur (P) Thoppur Ward 1,",tamilaga vettri kazhagam,dravida munnetra kazhagam,47,4.952581664910432
47,Thoppur-625008,"1.Thoppur (R.V) Thoppur (P) Thoppur Ward 2,",tamilaga vettri kazhagam,dravida munnetra kazhagam,24,4.15944540727903
50,Vedarpuliyankulam-625006,1.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Harijan Street Downside 2.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Nadu Street 3.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Bharathi Nagar 4.Vedarpuliankulam (R.V) Vedarpuliankulam (P) North Street 5.Vedarpuliankulam (R.V) Vedarpuliankulam (P) East Street,dravida munnetra kazhagam,tamilaga vettri kazhagam,31,3.232533889468196
51,Vedarpuliyankulam-625006,1.Vedarpuliankulam (R.V) Vedarpuliankulam (P) West Street 2.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Vedarpuliankulam 3.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Thottam 4.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Mutharaiyar Colony,tamilaga vettri kazhagam,dravida munnetra kazhagam,19,2.294685990338164
53,Thanakkankulam-625006,"1.Thanakankulam (R.V) Thanakkankulam (P) Perumal Kovil Street
2.Thanakankulam (R.V) Thanakkankulam (P) Iyyanar Colony",tamilaga vettri kazhagam,dravida munnetra kazhagam,15,1.891551071878941
