Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
79,"Thirunagar-
625006",tamilaga vettri kazhagam,326,130
80,Thirunagar-625006,tamilaga vettri kazhagam,237,49
81,Thirunagar-625006,tamilaga vettri kazhagam,285,116
82,Thirunagar-625006,tamilaga vettri kazhagam,309,134
83,"Thirunagar-
625006",tamilaga vettri kazhagam,356,181
84,"Thirunagar-
625006",tamilaga vettri kazhagam,380,219
85,Thirunagar-625006,tamilaga vettri kazhagam,317,117
86,Western Portion Thiyagarajar colony-625004,tamilaga vettri kazhagam,436,250
87,East  Portion Thiyagarajar colony-625004,tamilaga vettri kazhagam,296,116
88,"Near
H.M. Room Pasumalai-625004",tamilaga vettri kazhagam,299,176
89,Near Correspondent Room Pasumalai-625004,tamilaga vettri kazhagam,308,124
90,Near A.H.M Room Pasumalai-625004,tamilaga vettri kazhagam,240,113
91,Pasumalai-625004,tamilaga vettri kazhagam,293,98
92,Room No  5 Pasumalai-625004,tamilaga vettri kazhagam,342,121
93,Western Portion Thiruparankundram-625005,tamilaga vettri kazhagam,269,60
94,CentrePortion Thiruparankundram-625005,tamilaga vettri kazhagam,224,78
95,Thiruparankundram-625005,tamilaga vettri kazhagam,214,69
96,East Building Northern  Portion Thiruparankundram-625005,tamilaga vettri kazhagam,362,103
97,Room No.3 Thiruparankundram-625005,tamilaga vettri kazhagam,392,151
98,Thiruparankundram-625005,tamilaga vettri kazhagam,414,222
99,Thiruparankundram-625005,tamilaga vettri kazhagam,337,169
100,Near Staff Room No.1 Thiruparankundram-625005,tamilaga vettri kazhagam,371,160
101,Thiruparankundram-625005,tamilaga vettri kazhagam,341,104
102,HM Room Thiruparankundram-625005,tamilaga vettri kazhagam,265,11
103,Tiruparankundram-625005,dravida munnetra kazhagam,269,8
104,Tiruparankundram-625005,tamilaga vettri kazhagam,322,78
105,Tiruparankundram-625005,dravida munnetra kazhagam,277,30
106,Tiruparankundram -625005,tamilaga vettri kazhagam,233,29
107,Western portion Tiruparankundram -625005,tamilaga vettri kazhagam,243,56
108,Tiruparankundram - 625005,tamilaga vettri kazhagam,351,172
109,Tiruparankundram 625005,tamilaga vettri kazhagam,382,143
110,"Tiruparankundram
-625005",tamilaga vettri kazhagam,312,105
111,Tiruparankundram -625005,tamilaga vettri kazhagam,307,116
112,Tiruparankundram -625005,tamilaga vettri kazhagam,413,252
113,Tiruparankundram -625005,tamilaga vettri kazhagam,340,117
114,Tiruparankundram -625005,tamilaga vettri kazhagam,451,224
115,Thiruparankundram-625005,tamilaga vettri kazhagam,313,24
116,Thiruparankundram-625005,tamilaga vettri kazhagam,339,47
117,Harveypatti-625005,tamilaga vettri kazhagam,409,184
118,Harveypatti-625005,tamilaga vettri kazhagam,494,241
119,Harveypatti-625005,tamilaga vettri kazhagam,192,1
120,Harveypatti-625005,tamilaga vettri kazhagam,243,50
121,Harveypatti-625005,tamilaga vettri kazhagam,322,181
122,Room No 7 Harveypatti-625005,tamilaga vettri kazhagam,412,187
123,Harveypatti-625005,tamilaga vettri kazhagam,438,245
124,Harveypatti-625005,tamilaga vettri kazhagam,355,106
125,Room No 4 Harveypatti-625005,tamilaga vettri kazhagam,364,72
126,Nilaiyur I Bit-625005,tamilaga vettri kazhagam,391,144
127,"(West)
Nilaiyur I Bit-625005",tamilaga vettri kazhagam,462,218
128,Nilaiyur-625005,tamilaga vettri kazhagam,265,31
129,Nilaiyur-625005,tamilaga vettri kazhagam,447,180
130,Nilaiyur-625005,tamilaga vettri kazhagam,303,156
131,Nilaiyur-625005,tamilaga vettri kazhagam,212,51
132,"Nilaiyur-
625005",tamilaga vettri kazhagam,359,104
133,Nilaiyur-625005,tamilaga vettri kazhagam,378,129
134,Nilaiyur-625005,tamilaga vettri kazhagam,413,119
135,"Nilaiyur-
625005",dravida munnetra kazhagam,338,47
136,Koothiyarkundu-625008,dravida munnetra kazhagam,311,0
137,Koothiyarkundu-625008,tamilaga vettri kazhagam,386,182
138,Southern Portion Koothiyarkundu-625008,tamilaga vettri kazhagam,280,82
139,Koothiyarkundu-625008,tamilaga vettri kazhagam,366,137
140,"Karuvelampatti.-
625008",tamilaga vettri kazhagam,337,127
141,"Karuvelampatti.-
625008",tamilaga vettri kazhagam,343,150
142,Soorakulam-625008,tamilaga vettri kazhagam,340,154
143,Western Portion Perungudi-625022,tamilaga vettri kazhagam,402,169
144,Perungudi-625022,tamilaga vettri kazhagam,298,88
145,"Perungudi-
625022",tamilaga vettri kazhagam,416,179
146,Perungudi-625022,tamilaga vettri kazhagam,453,206
147,Northern Portion Perungudi-625022,tamilaga vettri kazhagam,350,84
148,Perungudi-625022,tamilaga vettri kazhagam,398,237
149,North Side Ayanpappakudi.-625012,tamilaga vettri kazhagam,445,340
150,Ayanpappakudi.-625012,tamilaga vettri kazhagam,500,329
151,Avaniyapuram-625012,tamilaga vettri kazhagam,421,271
152,Avaniyapuram.-625012,tamilaga vettri kazhagam,477,295
153,,tamilaga vettri kazhagam,407,185
154,Villapuram.-625012,tamilaga vettri kazhagam,558,386
155,South Portion Room No 1 Karpagam Nagar Avaniyapuram-625012,tamilaga vettri kazhagam,496,281
156,Karpagam Nagar Avaniyapuram-625012,tamilaga vettri kazhagam,556,416
157,Villapuram.-625012,dravida munnetra kazhagam,324,87
158,(Near Avaniyapuram Out Post Police Station).-625012,tamilaga vettri kazhagam,228,60
159,(Near Avaniyapuram Out Post Police Station).-625012,tamilaga vettri kazhagam,354,60
160,south side portion Room No. 2 villapuram.-625012,dravida munnetra kazhagam,186,4
161,M M C Colony Avaniyapuram-625012,dravida munnetra kazhagam,306,17
162,north side western side portion villapuram.-625012,tamilaga vettri kazhagam,212,38
163,Villapuram.-625012,tamilaga vettri kazhagam,250,75
164,North Portion M M C Colony Avaniyapuram-625012,tamilaga vettri kazhagam,198,11
165,west Portion,dravida munnetra kazhagam,330,40
166,Avaniyapuram-625012,tamilaga vettri kazhagam,384,195
167,MMC Colony Avaniyapuram-625012,tamilaga vettri kazhagam,275,105
168,Avaniyapuram-625012,tamilaga vettri kazhagam,396,239
169,Avaniyapuram-625012,tamilaga vettri kazhagam,391,188
170,Muthu Nagar (Karpaga Nagar) Avaniyapuram-625012,tamilaga vettri kazhagam,358,142
171,Avaniyapuram.-625012,tamilaga vettri kazhagam,329,98
172,Avanipuram.-625012,tamilaga vettri kazhagam,438,233
173,Avaniapuram-625012,tamilaga vettri kazhagam,501,289
174,Avaniapuram-625012.,tamilaga vettri kazhagam,455,249
175,Avaniapuram.-625012,tamilaga vettri kazhagam,322,175
176,Avaniapuram-625012.,tamilaga vettri kazhagam,293,114
177,Avaniapuram-625012.,tamilaga vettri kazhagam,243,131
178,Avaniapuram-625012.,tamilaga vettri kazhagam,235,101
179,(North) Avaniapuram-625012.,tamilaga vettri kazhagam,337,146
180,Avaniapuram-625012.,tamilaga vettri kazhagam,364,102
181,Avaniapuram-625012.,tamilaga vettri kazhagam,336,138
182,South side South Portion Avaniyapuram,tamilaga vettri kazhagam,270,116
183,Avaniyapuram - 625012,tamilaga vettri kazhagam,355,160
184,Avaniapuram-625012.,tamilaga vettri kazhagam,316,98
185,Middle Building North Side Avaniyapuram-625012,tamilaga vettri kazhagam,409,187
186,Avaniapuram-625012.,tamilaga vettri kazhagam,328,88
187,Avaniyapuram.-625012,tamilaga vettri kazhagam,262,120
188,Avaniyapuram.-625012,tamilaga vettri kazhagam,391,184
189,Avaniyapuram.-625012,tamilaga vettri kazhagam,337,118
190,Avaniapuram-625012.,tamilaga vettri kazhagam,294,100
191,Avaniyapuram.-625012,tamilaga vettri kazhagam,304,50
192,Avaniapuram-625012.,tamilaga vettri kazhagam,279,109
193,Avaniapuram-625012.,tamilaga vettri kazhagam,346,113
