Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
26,Nagamalai Pudukottai - 625019.,523,2,dravida munnetra kazhagam,50,0.3824091778202677,No
194,Avaniapuram-625012.,529,2,tamilaga vettri kazhagam,87,0.3780718336483932,No
124,Harveypatti-625005,796,3,tamilaga vettri kazhagam,106,0.3768844221105527,No
289,Parapathi-625022,797,3,tamilaga vettri kazhagam,310,0.3764115432873275,No
132,"Nilaiyur-
625005",801,3,tamilaga vettri kazhagam,104,0.3745318352059925,No
209,Avaniapuram.-625012,810,3,tamilaga vettri kazhagam,252,0.3703703703703704,No
279,"Valayankulam-
625022",823,3,tamilaga vettri kazhagam,281,0.3645200486026731,No
272,Solankuruni - 625022,551,2,tamilaga vettri kazhagam,221,0.3629764065335753,No
51,Thanakkankulam-625006,828,3,tamilaga vettri kazhagam,19,0.3623188405797101,No
74,Thirunagar-625006,828,3,tamilaga vettri kazhagam,8,0.3623188405797101,No
101,Thiruparankundram-625005,834,3,tamilaga vettri kazhagam,104,0.3597122302158274,No
291,Nallur-625022,869,3,tamilaga vettri kazhagam,76,0.3452243958573072,No
157,Villapuram.-625012,877,3,dravida munnetra kazhagam,87,0.3420752565564424,No
274,"Parambupattii-
625022",881,3,tamilaga vettri kazhagam,284,0.340522133938706,No
120,Harveypatti-625005,591,2,tamilaga vettri kazhagam,50,0.338409475465313,No
229,Mela Anuppanadi-625012-625009,592,2,tamilaga vettri kazhagam,74,0.3378378378378378,No
281,Valayapatti - 625022,904,3,tamilaga vettri kazhagam,230,0.331858407079646,No
220,"Chinthamani
Road -625009.",610,2,tamilaga vettri kazhagam,147,0.3278688524590164,No
155,South Portion Room No 1 Karpagam Nagar Avaniyapuram-625012,917,3,tamilaga vettri kazhagam,281,0.3271537622682661,No
107,Western portion Tiruparankundram -625005,613,2,tamilaga vettri kazhagam,56,0.3262642740619902,No
254,Silaiman-625201,617,2,tamilaga vettri kazhagam,115,0.3241491085899514,No
173,Avaniapuram-625012,927,3,tamilaga vettri kazhagam,289,0.3236245954692557,No
225,Mela Anuppanadi.-625009,635,2,tamilaga vettri kazhagam,116,0.3149606299212598,No
44,Thanakkankulam-625006,636,2,dravida munnetra kazhagam,10,0.3144654088050315,No
175,Avaniapuram.-625012,644,2,tamilaga vettri kazhagam,175,0.3105590062111801,No
70,West Building Middle Portion Thirunagar-625006,648,2,dravida munnetra kazhagam,2,0.308641975308642,No
128,Nilaiyur-625005,649,2,tamilaga vettri kazhagam,31,0.3081664098613252,No
28,Vadivelkarai-625019.,652,2,tamilaga vettri kazhagam,22,0.3067484662576687,No
58,Vilacheri-625006,656,2,tamilaga vettri kazhagam,79,0.3048780487804878,No
214,Chinna Anuppanadi-625009.,659,2,tamilaga vettri kazhagam,204,0.3034901365705615,No
17,Nagamalai Pudukottai.-625019,671,2,all india anna dravida munnetra kazhagam,18,0.2980625931445604,No
241,Iravthanallur-625009,681,2,tamilaga vettri kazhagam,48,0.2936857562408223,No
208,625012.,683,2,tamilaga vettri kazhagam,255,0.2928257686676428,No
148,Perungudi-625022,686,2,tamilaga vettri kazhagam,237,0.2915451895043732,No
103,Tiruparankundram-625005,686,2,dravida munnetra kazhagam,8,0.2915451895043732,No
141,"Karuvelampatti.-
625008",691,2,tamilaga vettri kazhagam,150,0.2894356005788712,No
40,Thoppur-625008,1037,3,dravida munnetra kazhagam,25,0.2892960462873674,No
259,East Side Panaiyur-625009,717,2,tamilaga vettri kazhagam,141,0.2789400278940028,No
92,Room No  5 Pasumalai-625004,720,2,tamilaga vettri kazhagam,121,0.2777777777777778,No
84,"Thirunagar-
625006",725,2,tamilaga vettri kazhagam,219,0.2758620689655172,No
85,Thirunagar-625006,726,2,tamilaga vettri kazhagam,117,0.2754820936639119,No
166,Avaniyapuram-625012,728,2,tamilaga vettri kazhagam,195,0.2747252747252747,No
204,Avaniapuram - 625012.,738,2,tamilaga vettri kazhagam,202,0.2710027100271002,No
183,Avaniyapuram - 625012,741,2,tamilaga vettri kazhagam,160,0.2699055330634278,No
104,Tiruparankundram-625005,742,2,tamilaga vettri kazhagam,78,0.2695417789757413,No
65,Thirunagar-625006,748,2,tamilaga vettri kazhagam,201,0.267379679144385,No
188,Avaniyapuram.-625012,759,2,tamilaga vettri kazhagam,184,0.2635046113306983,No
283,central building Periyaalangulam-625022,759,2,tamilaga vettri kazhagam,190,0.2635046113306983,No
180,Avaniapuram-625012.,764,2,tamilaga vettri kazhagam,102,0.2617801047120419,No
5,Muthupatti-625019,387,1,tamilaga vettri kazhagam,18,0.2583979328165375,No
96,East Building Northern  Portion Thiruparankundram-625005,785,2,tamilaga vettri kazhagam,103,0.2547770700636943,No
123,Harveypatti-625005,785,2,tamilaga vettri kazhagam,245,0.2547770700636943,No
86,Western Portion Thiyagarajar colony-625004,793,2,tamilaga vettri kazhagam,250,0.2522068095838588,No
38,Thoppur-625008,794,2,tamilaga vettri kazhagam,13,0.2518891687657431,No
62,Vilacheri-625006,794,2,tamilaga vettri kazhagam,145,0.2518891687657431,No
15,Nagamalai Pudhukkottai.-625019,397,1,tamilaga vettri kazhagam,26,0.2518891687657431,No
201,Avaniapuram-625012.,801,2,tamilaga vettri kazhagam,233,0.2496878901373283,No
