Serial No. Of Polling Station,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
204,Tamilaga Vettri Kazhagam,278,266,1.509433962264151
206,Tamilaga Vettri Kazhagam,215,196,3.04
207,Tamilaga Vettri Kazhagam,209,180,4.940374787052811
208,Tamilaga Vettri Kazhagam,196,187,1.4851485148514851
210,Dravida Munnetra Kazhagam,197,187,1.6286644951140066
211,Dravida Munnetra Kazhagam,315,271,5.583756345177665
214,Tamilaga Vettri Kazhagam,334,290,5.0691244239631335
224,Tamilaga Vettri Kazhagam,226,219,1.0115606936416186
227,Tamilaga Vettri Kazhagam,250,226,3.247631935047361
228,Tamilaga Vettri Kazhagam,391,317,8.495981630309988
244,Dravida Munnetra Kazhagam,211,160,9.22242314647378
247,Tamilaga Vettri Kazhagam,158,121,9.511568123393316
248,Tamilaga Vettri Kazhagam,315,204,15.205479452054796
249,Tamilaga Vettri Kazhagam,171,124,10.398230088495575
253,Tamilaga Vettri Kazhagam,182,177,0.8726003490401396
254,Tamilaga Vettri Kazhagam,243,225,2.3195876288659796
257,Tamilaga Vettri Kazhagam,321,239,9.903381642512077
261,Tamilaga Vettri Kazhagam,239,205,5.501618122977346
264,Tamilaga Vettri Kazhagam,255,238,2.361111111111111
269,All India Anna Dravida Munnetra Kazhagam,206,169,6.197654941373535
271,Tamilaga Vettri Kazhagam,204,186,2.843601895734597
272,Tamilaga Vettri Kazhagam,410,305,12.138728323699421
273,Tamilaga Vettri Kazhagam,348,324,3.204272363150868
274,Tamilaga Vettri Kazhagam,385,241,21.207658321060382
