Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
57,Vilankudi-625018,"1.Madurai (C) Vilangudi (S.P) Nehruji Main Road Ward 1 ,
2.Madurai (C) Vilangudi (S.P) Nethaji Main Road Ward 1 ,
3.Madurai (C) Vilangudi (S.P) Rajaji Street Ward 1 ,
4.Madurai (C) Vilangudi (S.P) Kaliyamman Kovil Street Ward 1 ,
5.Madurai (C) Vilangudi (S.P) Muthuramalinga Thevar Street Ward 1,
6.Madurai (C) Vilangudi (S.P) Manikavasagar Street Ward 1 ,
7.Madurai (C) Vilangudi (S.P) Panner Selvam Street Ward 1 ,
8.Madurai (C) Vilangudi (S.P) V.O.C Street Ward 1 ,
9.Madurai (C) Vilangudi (S.P) Bharathi Street Ward 1 ,
10.Madurai (C) Vilangudi (S.P) Thiruvalluvar Street Ward 1 ,
11.Madurai (C) Vilangudi (S.P) Sathyamoorthy Street Ward 1 ,
12.Madurai (C) Vilangudi (S.P) Jeevanandham Street Ward 1 ,
13.Madurai (C) Vilangudi (S.P) Union Bank Colony 1st Street Ward 1 ,
14.Madurai (C) Vilangudi (S.P) Union Bank Colony 2nd Street Ward 1 ,
15.Madurai (C) Vilangudi (S.P) Union Bank Colony 3rd Street Ward 1 ,
16.Madurai (C) Vilangudi (S.P) Dindugul Main Road Ward 1",tamilaga vettri kazhagam,dravida munnetra kazhagam,23,2.784503631961259
59,Vilangudi - 625018,"1.Madurai (C) Vilangudi (TP) Thamarai Veethi Ward 1 ,
2.Madurai (C) Vilangudi (TP) Shenbaga Veethi Ward 1 ,
3.Madurai (C) Vilangudi (TP) Surya Gandhi Veethi Ward 1
4.Madurai (C) Vilangudi (TP) Mullai Street Ward 1 ,
5.Madurai (C) Vilangudi (TP) Kurunji Veethi Ward 1 ,
6.Madurai (C) Vilangudi (TP) Parijadha Veethi Ward 1 ,
7.Madurai (C) Vilangudi (TP) Raja Veethi Ward 1 ,
8.Madurai (C) Vilangudi (TP) Sampangi Veethi Ward 1 ,
9.Madurai (C) Vilangudi (TP) Nandhavana Veethi Ward 1 ,
10.Madurai (C) Vilangudi (TP) Manoranjitha Veethi Ward 1
11.Madurai (C) Vilangudi (TP) Brindhavana Veethi Ward 1
12.Madurai (C) Vilangudi (TP) Alli Veethi Ward 1 ,
13.Madurai (C) Vilangudi (TP) Podhigai Thulasi Veethi Ward 1 ,
14.Madurai (C) Vilangudi (TP) Kumudham Veethi Ward 1 ,
15.Madurai (C) Vilangudi (TP) Malligai Veethi Ward 1 ,
16.Madurai (C) Vilangudi (TP) Thendral Nagar Ward 1",dravida munnetra kazhagam,tamilaga vettri kazhagam,25,3.311258278145695
60,Vilangudi - 625018,"1.Madurai (C) Vilangudi (TP) Visalatchi Nagar 1st Street Ward 1
2.Madurai (C) Vilangudi (TP) Visalatchi Nagar 2nd Street Ward 1
3.Madurai (C) Vilangudi (TP) Visalatchi Nagar 3rd Street Ward 1
4.Madurai (C) Vilangudi (TP) Visalatchi Nagar 4th Street Ward 1
5.Madurai (C) Vilangudi (TP) Kondamari Ward 1 ,
6.Madurai (C) Vilangudi (TP) Sembaruthi Nagar Ward 1
7. Madurai (C) Vilangudi (TP), Senthamarai Veethi Ward 1",tamilaga vettri kazhagam,dravida munnetra kazhagam,15,1.738122827346466
65,Pethaniyapuram-625016,"1.Madurai (C) Thomas Veethi Ward 64 ,
2.Madurai (C) Kambar Street Ward 64 ,
3.Madurai (C) Agathiyar Street Ward 64 ,
4.Madurai (C) Jeeva Street Ward 64 ,
5.Madurai (C) Nethaji Street Ward 64",dravida munnetra kazhagam,tamilaga vettri kazhagam,22,3.594771241830065
67,Pethaniyapuram-625016,"1.Madurai (C) Lasaras Street Ward 63 ,
2 - Madurai (C), Pandiarajapuram Mettu Street Main Veethi Pethaniyapuram Ward 64 (from door no. 191 till last)
3.Madurai (C) Mothilal Street Ward 64",tamilaga vettri kazhagam,dravida munnetra kazhagam,12,2.484472049689441
68,"1st
room South Facing Arappalayam-625016","1.Madurai (C) Nagu Nagar 1st Street Pethaniapuram Ward 63 ,",dravida munnetra kazhagam,tamilaga vettri kazhagam,12,2.123893805309734
72,"3rd
room North Facing Arappalayam-625018","1.Madurai (C) Nagu Nagar 2nd Street Ward 63 ,
2.Madurai (C) Chinnachami Pillai Street Ward 63",tamilaga vettri kazhagam,dravida munnetra kazhagam,30,5.0
77,Pethaniyapuram-625016,"1.Madurai (C) INTUC Colony Ward 65 ,",dravida munnetra kazhagam,tamilaga vettri kazhagam,16,2.97951582867784
86,"Melakkal Road
Madurai-10",1.Madurai (C) Indirani Nagar (Left Side) Ward 66,tamilaga vettri kazhagam,dravida munnetra kazhagam,6,1.260504201680672
88,Virattipathu.,"1.Madurai(C) Kokulappi Ponnakaram  Ward 67 ,
2.Madurai (C) T.P.M Nagar Ponnagaram Ward 67",dravida munnetra kazhagam,tamilaga vettri kazhagam,31,3.89937106918239
90,Additional Building West Side Thuvariman- 625010,"1.Thuvariman (R.V) Thuvariman (P) Ganesapuram Ward 4 2.Thuvariman (R.V) Thuvariman (P) Society Chambar Ward 4 ,
3.Thuvariman (R.V) Thuvariman (P) Pulvaikarai Ward 4",dravida munnetra kazhagam,tamilaga vettri kazhagam,8,1.694915254237288
92,Atchampathu,"1 - Thuvariman (R.V) Thuvariman (P), T.Pudukudi ward 5 (from door no. 5-160 till last)",dravida munnetra kazhagam,dravida munnetra kazhagam,0,0.0
96,Thuvariman-625010.,1.Duvariman (R.V) Duvariman (P) East Street Ward 1,dravida munnetra kazhagam,all india anna dravida munnetra kazhagam,26,4.529616724738676
98,Keelamathur-625010,"1.Keelamathur (R.V) Keelamathur (P) Harijan colony Ward 2 2.Keelamathur (R.V) Keelamathur (P) Harijan colony Keelamathur Ward 3 , 3.Keelamathur (R.V) Keelamathur (P) R.C.Street Ward 2
4.Keelamathur (R.V) Keelamathur (P) R.C.Street Ward 3 , 5.Keelamathur (R.V) Keelamathur (P) Valaiyar Street Ward 3
6.Keelamathur (R.V) Keelamathur (P) Kaliamman koil Street Ward 3",tamilaga vettri kazhagam,dravida munnetra kazhagam,4,0.4790419161676647
101,Kodimangalam-625010,"1.Kodimangalam (R.V) Kodimangalam (P) KilakuStreet ,kotimangulam Ward 1 , 2.Kodimangalam (R.V) Kodimangalam (P) Nadu Street Ward 2 , 3.Kodimangalam(P) Theyrku Street Ward 2 ,
4.Kodimangalam (R.V)Kodimangala (P)Agraharam Ward 2
5.Kodimangalam (R.V) Kodimangalam (P) Mela Street Ward 2",dravida munnetra kazhagam,all india anna dravida munnetra kazhagam,34,4.892086330935252
104,"Achampathu-
625019","1.Erkudi Achampathu (R.V) Madurai(c) Sivapuram,achampathu Ward 2",dravida munnetra kazhagam,tamilaga vettri kazhagam,24,3.034134007585335
