Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
41,South building Melakuilkudi-625019,918,4,tamilaga vettri kazhagam,184,0.4357298474945534,No
140,South Building North side Room No-1,697,3,tamilaga vettri kazhagam,127,0.430416068866571,No
273,Mela Anuppanadi -625009,702,3,tamilaga vettri kazhagam,154,0.4273504273504274,No
328,South Building Solankuruni - 625022,706,3,tamilaga vettri kazhagam,142,0.424929178470255,No
142,North Side,706,3,tamilaga vettri kazhagam,154,0.424929178470255,No
43,Chinnasakkilipatti-625021,473,2,tamilaga vettri kazhagam,5,0.4228329809725159,No
352,Nedunkulam-625009,710,3,dravida munnetra kazhagam,10,0.4225352112676056,No
255,Madurai-625012,711,3,tamilaga vettri kazhagam,17,0.4219409282700421,No
36,"south building west
portion Keelakuilkudi-625019",714,3,dravida munnetra kazhagam,33,0.4201680672268908,No
247,West Side Ayanpappakudi -625012,724,3,tamilaga vettri kazhagam,159,0.4143646408839779,No
33,Vadivelkarai-625019,997,4,tamilaga vettri kazhagam,126,0.4012036108324975,No
193,-625012,748,3,tamilaga vettri kazhagam,113,0.4010695187165776,No
338,"Near
Gate Periyaalangulam-625022",998,4,tamilaga vettri kazhagam,6,0.4008016032064128,No
1,Vadapalanji -625019,754,3,all india anna dravida munnetra kazhagam,12,0.3978779840848806,No
217,South side South Portion Avaniyapuram,760,3,tamilaga vettri kazhagam,246,0.3947368421052632,No
313,East Side Panaiyur-625009,763,3,tamilaga vettri kazhagam,27,0.3931847968545216,No
280,"Mela Anuppanadi-
625012-625009",767,3,tamilaga vettri kazhagam,252,0.3911342894393742,No
253,Avaniyapuram-625012,779,3,tamilaga vettri kazhagam,36,0.3851091142490373,No
315,West Facing Room No 1 Kallambal- 625009,782,3,all india anna dravida munnetra kazhagam,130,0.3836317135549872,No
26,Kilaneri-625019,523,2,dravida munnetra kazhagam,50,0.3824091778202677,No
194,"North Portion M M C
Colony Avaniyapuram-625012",529,2,tamilaga vettri kazhagam,87,0.3780718336483932,No
124,Tiruparankundram -625005,796,3,tamilaga vettri kazhagam,106,0.3768844221105527,No
289,Chinthamani-625009,797,3,tamilaga vettri kazhagam,310,0.3764115432873275,No
132,Tiruparankundram -625005,801,3,tamilaga vettri kazhagam,104,0.3745318352059925,No
209,Center Room Avaniapuram-625012,810,3,tamilaga vettri kazhagam,252,0.3703703703703704,No
279,Mela Anuppanadi-625012-625009,823,3,tamilaga vettri kazhagam,281,0.3645200486026731,No
308,Silaiman-625201,824,3,tamilaga vettri kazhagam,114,0.3640776699029126,No
272,Mela Anuppanadi -625009,551,2,tamilaga vettri kazhagam,221,0.3629764065335753,No
51,Vedarpuliyankulam-625006,828,3,tamilaga vettri kazhagam,19,0.3623188405797101,No
74,Vilacheri-625006,828,3,tamilaga vettri kazhagam,8,0.3623188405797101,No
101,"East Portion Thiyagarajar
colony-625004",834,3,tamilaga vettri kazhagam,104,0.3597122302158274,No
291,Iravthanallur-625009,869,3,tamilaga vettri kazhagam,76,0.3452243958573072,No
157,Koothiyarkundu-625008,877,3,dravida munnetra kazhagam,87,0.3420752565564424,No
274,Mela Anuppanadi -625009,881,3,tamilaga vettri kazhagam,284,0.340522133938706,No
319,Perumanendal-625012,883,3,tamilaga vettri kazhagam,14,0.3397508493771235,No
120,Tiruparankundram-625005,591,2,tamilaga vettri kazhagam,50,0.338409475465313,No
229,Avaniyapuram -625012,592,2,tamilaga vettri kazhagam,74,0.3378378378378378,No
314,Panaiyur -625009,888,3,tamilaga vettri kazhagam,103,0.3378378378378378,No
281,Mela Anuppanadi-625009,904,3,tamilaga vettri kazhagam,230,0.331858407079646,No
220,Avaniapuram-625012,610,2,tamilaga vettri kazhagam,147,0.3278688524590164,No
155,"Nilaiyur-
625005",917,3,tamilaga vettri kazhagam,281,0.3271537622682661,No
107,Room No 6 Pasumalai-625004,613,2,tamilaga vettri kazhagam,56,0.3262642740619902,No
254,Avaniapuram -625012,617,2,tamilaga vettri kazhagam,115,0.3241491085899514,No
173,Ayanpappakudi -625012,927,3,tamilaga vettri kazhagam,289,0.3236245954692557,No
225,Avaniyapuram -625012,635,2,tamilaga vettri kazhagam,116,0.3149606299212598,No
44,Thenpalanji-625021,636,2,dravida munnetra kazhagam,10,0.3144654088050315,No
175,Avaniapuram-625012,644,2,tamilaga vettri kazhagam,175,0.3105590062111801,No
70,625006,648,2,dravida munnetra kazhagam,2,0.308641975308642,No
128,Tiruparankundram -625005,649,2,tamilaga vettri kazhagam,31,0.3081664098613252,No
28,Nagamalai Pudukottai-625019,652,2,tamilaga vettri kazhagam,22,0.3067484662576687,No
58,Thanakkankulam-625006,656,2,tamilaga vettri kazhagam,79,0.3048780487804878,No
214,Avaniapuram- 625012,659,2,tamilaga vettri kazhagam,204,0.3034901365705615,No
17,Nagamalaipudukkottai -625019,671,2,all india anna dravida munnetra kazhagam,18,0.2980625931445604,No
329,Parambupattii-625022,675,2,tamilaga vettri kazhagam,108,0.2962962962962963,No
241,Avaniapuram-625012,681,2,tamilaga vettri kazhagam,48,0.2936857562408223,No
208,Avanipuram- 625012,683,2,tamilaga vettri kazhagam,255,0.2928257686676428,No
148,Nilaiyur-625005,686,2,tamilaga vettri kazhagam,237,0.2915451895043732,No
103,Near Correspondent Room Pasumalai-625004,686,2,dravida munnetra kazhagam,8,0.2915451895043732,No
141,North Building South side Room No-2,691,2,tamilaga vettri kazhagam,150,0.2894356005788712,No
40,East building Melakuilkudi-625019,1037,3,dravida munnetra kazhagam,25,0.2892960462873674,No
259,Avaniapuram -625012,717,2,tamilaga vettri kazhagam,141,0.2789400278940028,No
348,Nallur-625022,719,2,tamilaga vettri kazhagam,38,0.2781641168289291,No
