Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
145,South Side,tamilaga vettri kazhagam,416,179
146,Nilaiyur I Bit-625005,tamilaga vettri kazhagam,453,206
147,"(West)
Nilaiyur I Bit-625005",tamilaga vettri kazhagam,350,84
148,Nilaiyur-625005,tamilaga vettri kazhagam,398,237
149,Nilaiyur-625005,tamilaga vettri kazhagam,445,340
150,"Nilaiyur-
625005",tamilaga vettri kazhagam,500,329
151,Nilaiyur-625005,tamilaga vettri kazhagam,421,271
152,Nilaiyur-625005,tamilaga vettri kazhagam,477,295
153,Nilaiyur-625005,tamilaga vettri kazhagam,407,185
154,Nilaiyur-625005,tamilaga vettri kazhagam,558,386
155,"Nilaiyur-
625005",tamilaga vettri kazhagam,496,281
156,Nilaiyur-625005,tamilaga vettri kazhagam,556,416
157,Koothiyarkundu-625008,dravida munnetra kazhagam,324,87
158,Koothiyarkundu-625008,tamilaga vettri kazhagam,228,60
159,"Southern
Portion Koothiyarkundu-625008",tamilaga vettri kazhagam,354,60
160,Koothiyarkundu-625008,dravida munnetra kazhagam,186,4
161,Karuvelampatti -625008,dravida munnetra kazhagam,306,17
162,Karuvelampatti -625008,tamilaga vettri kazhagam,212,38
163,Soorakulam-625008,tamilaga vettri kazhagam,250,75
164,Soorakulam-625008,tamilaga vettri kazhagam,198,11
165,Western Portion Perungudi-625022,dravida munnetra kazhagam,330,40
166,Perungudi-625022,tamilaga vettri kazhagam,384,195
167,Perungudi-625022,tamilaga vettri kazhagam,275,105
168,"East Building North Portion
Perungudi -625022",tamilaga vettri kazhagam,396,239
169,"Northern
Portion Perungudi-625022",tamilaga vettri kazhagam,391,188
170,Perungudi-625022,tamilaga vettri kazhagam,358,142
171,"East Building South Portion.
Perungudi -6250222",tamilaga vettri kazhagam,329,98
172,"North Side
Ayanpappakudi -625012",tamilaga vettri kazhagam,438,233
173,Ayanpappakudi -625012,tamilaga vettri kazhagam,501,289
174,Ayanpappakudi- 625012,tamilaga vettri kazhagam,455,249
175,Avaniapuram-625012,tamilaga vettri kazhagam,322,175
176,625012,tamilaga vettri kazhagam,293,114
177,Avaniyapuram -625012,tamilaga vettri kazhagam,243,131
178,Avaniyapuram- 625012,tamilaga vettri kazhagam,235,101
179,625012,tamilaga vettri kazhagam,337,146
180,-625012,tamilaga vettri kazhagam,364,102
181,"4 std Class Room
Avaniyapuram-625012",tamilaga vettri kazhagam,336,138
182,Avaniyapuram - 625012,tamilaga vettri kazhagam,270,116
183,"South Portion Room No 1
Karpagam Nagar Avaniyapuram-625012",tamilaga vettri kazhagam,355,160
184,"West Center Portion
Karpagam Nagar Avaniyapuram-625012",tamilaga vettri kazhagam,316,98
185,Avaniyapuram - 625012,tamilaga vettri kazhagam,409,187
186,Villapuram -625012,tamilaga vettri kazhagam,328,88
187,(Near Avaniyapuram Out Post Police Station) -625012,tamilaga vettri kazhagam,262,120
188,(Near Avaniyapuram Out Post Police Station) -625012,tamilaga vettri kazhagam,391,184
189,Villapuram,tamilaga vettri kazhagam,337,118
190,"My Madurai Play School North Side Project Room
Avaniyapuram -625012",tamilaga vettri kazhagam,294,100
191,M M C Colony Avaniyapuram-625012,tamilaga vettri kazhagam,304,50
192,"My Madurai Play School Center UKG Room Avaniyapuram -
625012",tamilaga vettri kazhagam,279,109
193,-625012,tamilaga vettri kazhagam,346,113
194,"North Portion M M C
Colony Avaniyapuram-625012",tamilaga vettri kazhagam,250,87
195,west Portion Avaniyapuram-625012,tamilaga vettri kazhagam,344,111
196,Avaniyapuram-625012,tamilaga vettri kazhagam,271,91
197,"MMC Colony
Avaniyapuram-625012",tamilaga vettri kazhagam,341,146
198,Avaniyapuram-625012,tamilaga vettri kazhagam,383,197
199,Avaniyapuram-625012,tamilaga vettri kazhagam,346,61
200,Avaniyapuram - 625012,tamilaga vettri kazhagam,234,52
201,Karpagam Nagar Avaniyapuram,tamilaga vettri kazhagam,424,233
202,"Avaniyapuram -
625012",tamilaga vettri kazhagam,340,195
203,Avanipuram -625012,tamilaga vettri kazhagam,371,231
204,Avaniapuram-625012,tamilaga vettri kazhagam,374,202
205,Avaniapuram-625012,tamilaga vettri kazhagam,304,153
206,Avaniapuram -625012,tamilaga vettri kazhagam,311,94
207,Avaniapuram-625012,tamilaga vettri kazhagam,300,165
208,Avanipuram- 625012,tamilaga vettri kazhagam,385,255
209,Center Room Avaniapuram-625012,tamilaga vettri kazhagam,455,252
210,Avaniapuram-625012,tamilaga vettri kazhagam,384,246
211,"(North) Avaniapuram-
625012",tamilaga vettri kazhagam,543,353
212,Avaniapuram- 625012,tamilaga vettri kazhagam,457,290
213,"Avaniapuram-
625012",tamilaga vettri kazhagam,457,274
214,Avaniapuram- 625012,tamilaga vettri kazhagam,345,204
215,Avaniapuram-625012,tamilaga vettri kazhagam,271,141
216,Avaniapuram-625012,tamilaga vettri kazhagam,259,160
217,South side South Portion Avaniyapuram,tamilaga vettri kazhagam,411,246
218,Avaniyapuram - 625012,tamilaga vettri kazhagam,247,97
219,Avaniyapuram - 625012,tamilaga vettri kazhagam,182,81
220,Avaniapuram-625012,tamilaga vettri kazhagam,322,147
221,Middle Building North Side Avaniyapuram-625012,tamilaga vettri kazhagam,323,178
222,Avaniapuram-625012,tamilaga vettri kazhagam,477,297
223,Avaniapuram-625012,tamilaga vettri kazhagam,439,191
224,Avaniyapuram -625012,tamilaga vettri kazhagam,276,107
225,Avaniyapuram -625012,tamilaga vettri kazhagam,281,116
226,Avaniyapuram -625012,tamilaga vettri kazhagam,317,179
227,Avaniyapuram- 625012,tamilaga vettri kazhagam,322,188
228,Avaniapuram-625012,tamilaga vettri kazhagam,371,194
229,Avaniyapuram -625012,tamilaga vettri kazhagam,262,74
230,Avaniapuram-625012,tamilaga vettri kazhagam,302,4
231,Avaniapuram-625012,tamilaga vettri kazhagam,259,120
232,625012,tamilaga vettri kazhagam,292,119
233,Avaniapuram-625012,tamilaga vettri kazhagam,291,62
234,Avaniyapuram- 625012,tamilaga vettri kazhagam,321,180
235,Avaniapuram-625012,tamilaga vettri kazhagam,288,48
236,Avaniyapuram- 625012,dravida munnetra kazhagam,236,30
237,Avaniapuram-625012,tamilaga vettri kazhagam,298,25
238,Avaniapuram,tamilaga vettri kazhagam,356,164
239,Centre Building Avaniapuram-625012,tamilaga vettri kazhagam,188,48
240,Avaniapuram-625012,tamilaga vettri kazhagam,284,78
241,Avaniapuram-625012,tamilaga vettri kazhagam,278,48
242,East Side Ayanpappakudi -625012,tamilaga vettri kazhagam,379,149
243,"Govt High School Main Building North Side Ayanppakudi -
625012",tamilaga vettri kazhagam,237,118
244,Ayanpappakdui - 625012,dravida munnetra kazhagam,173,1
245,Avaniyapuram -625012,tamilaga vettri kazhagam,308,159
246,Avaniyapuram,tamilaga vettri kazhagam,244,81
247,West Side Ayanpappakudi -625012,tamilaga vettri kazhagam,371,159
248,Avaniapuram - 625012,tamilaga vettri kazhagam,438,199
249,Center Portion Ayanpappakudi -625012,tamilaga vettri kazhagam,364,162
250,Room No 3 Thiruparankundram Road Avaniyapuram-625012,tamilaga vettri kazhagam,417,247
251,625012,tamilaga vettri kazhagam,322,161
252,Madurai-625012,tamilaga vettri kazhagam,411,194
253,Avaniyapuram-625012,tamilaga vettri kazhagam,310,36
254,Avaniapuram -625012,tamilaga vettri kazhagam,295,115
255,Madurai-625012,tamilaga vettri kazhagam,251,17
256,Madurai-625012,tamilaga vettri kazhagam,365,171
257,West Portion Periyasamy Nagar Avaniyapuram-625012,tamilaga vettri kazhagam,247,90
258,Periyasamy Nagar Avaniyapuram,tamilaga vettri kazhagam,175,67
259,Avaniapuram -625012,tamilaga vettri kazhagam,317,141
260,East Portion Periyasamy Nagar Avaniyapuram-625012,tamilaga vettri kazhagam,409,157
261,Chinna Anuppanadi-625009,tamilaga vettri kazhagam,335,38
262,Chinna Anuppanadi-625009,tamilaga vettri kazhagam,428,208
263,625009,tamilaga vettri kazhagam,339,54
264,625009,tamilaga vettri kazhagam,340,107
265,Chinna Anuppanadi-625009,tamilaga vettri kazhagam,518,272
266,Chinthamani Road -625009,tamilaga vettri kazhagam,339,108
267,Chinthamani Road -625009,tamilaga vettri kazhagam,366,206
268,Chinthamani Road -625009,tamilaga vettri kazhagam,431,263
269,625009,tamilaga vettri kazhagam,433,246
270,Mela Anuppanadi -625009,tamilaga vettri kazhagam,341,155
271,Mela Anuppanadi -625009,tamilaga vettri kazhagam,255,149
272,Mela Anuppanadi -625009,tamilaga vettri kazhagam,321,221
273,Mela Anuppanadi -625009,tamilaga vettri kazhagam,325,154
274,Mela Anuppanadi -625009,tamilaga vettri kazhagam,465,284
275,Mela Anuppanadi -625009,tamilaga vettri kazhagam,330,178
276,Mela Anuppanadi -625009,tamilaga vettri kazhagam,354,192
277,Mela Anuppanadi-625009,tamilaga vettri kazhagam,388,214
278,Mela Anuppanadi-625009,tamilaga vettri kazhagam,479,292
279,Mela Anuppanadi-625012-625009,tamilaga vettri kazhagam,448,281
280,"Mela Anuppanadi-
625012-625009",tamilaga vettri kazhagam,404,252
281,Mela Anuppanadi-625009,tamilaga vettri kazhagam,455,230
282,(Near Anuppanadi Bus Stand)-625009,tamilaga vettri kazhagam,403,218
283,Chinthamani-625009,tamilaga vettri kazhagam,369,190
284,Chinthamani-625009,tamilaga vettri kazhagam,334,184
285,Chinthamani Road -625009,tamilaga vettri kazhagam,200,59
286,Chinthamani Road -625009,tamilaga vettri kazhagam,401,218
287,Anganwadi Centre west side new building Chinthamani 625009,tamilaga vettri kazhagam,425,188
288,Chinthamani-625009,tamilaga vettri kazhagam,423,192
289,Chinthamani-625009,tamilaga vettri kazhagam,466,310
290,Chinthamani-625009,tamilaga vettri kazhagam,368,19
291,Iravthanallur-625009,tamilaga vettri kazhagam,374,76
292,Iravthanallur-625009,tamilaga vettri kazhagam,333,70
293,Anganvadi Center Southern Side Iravthanallur-625009,tamilaga vettri kazhagam,315,48
294,Iravathanallur - 625009,tamilaga vettri kazhagam,495,295
295,Iravathanallur - 625009,tamilaga vettri kazhagam,360,90
296,Muniyandi Kovil Street Iravathanallur - 625009,tamilaga vettri kazhagam,464,255
297,"Eastern Building South portion 2nd
Room Iravthanallur-625009",tamilaga vettri kazhagam,403,192
298,Viraganoor -625009,tamilaga vettri kazhagam,302,100
299,Viraganoor -625009,tamilaga vettri kazhagam,344,179
