Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
87,"Devakani Primary School , West portion, Melaputhukudi","1.Melapudukudi (R.V) And (P) Melapudhukudi Sunaipudhur Block
1, 2.Melapudhukkudi (R.V) And (P) Melapudhukkudi Koorinthan Villai Block2, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,162,124,9.290953545232274
92,"Hindu Hr.Sec.School, Gandhi Hall, Poovarasur, Arumuganeri.","1.Arumuganeri (S.G.T.P) Subbramaniyasamy koil street ward 3,
2.Arumuganeri (S.G.T.P) Subbramaiaswamy kovil South Street Ward 3, 3.Arumuganeri (S.G.T.P) Jain nagar ward 3, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,313,209,13.684210526315791
93,"Hindu Hr.Sec.School, Sivanthi Aditanar
Hall, North Protion Room, Poovarasur, Arumuganeri.","1.Arumuganeri (S.G.T.P) Localfund road ward 3,
2.Arumuganeri(S.G.T.P) Local fund 2 street, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,243,147,17.235188509874327
94,"Panchayat Union Primary School, Valavilai, Arumuganeri.","1.Arumuganeri (S.G.T.P) Keela Navvaladivilai sandu ward 2,
2.Arumuganeri (S.G.T.P) Keelanavaladivillai north street ward 2,
3.Arumuganeri (S.G.T.P) Keelanowladivillai north street 1 sandu,
4.Arumuganeri (S.G.T.P) Keelanowladivilai North Street 2nd Sandu,
5.Arumuganeri (S.G.T.P) Keelanowladivilai North Street 3rd sandu,
6.Arumuganeri (S.G.T.P) Keelanowladivilai northstreet 4rh sandu,
7.Arumuganeri (S.G.T.P) Keelanowladi villai Center Street Ward 2,
8.Arumuganaeri (S.G.T.P) Saltline north street ganeshpuram, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,308,279,3.620474406991261
97,"Thiraviam Primery School,West Portion, Arumuganeri.","1.Arumuganaeri (S.G.T.P) KutthukalswamyKoil Street Ubachandhu Ward 17, 2.Arumuganeri (S.G.T.P) Gandhi street ward 17,
3.Arumuganeri (S.G.T.P) Center Street Ward 17, 4.Arumuganeri (S.G.T.P) Lakshmiammankovil street ward 17, 5.Arumuganeri (S.G.T.P) Mutharammankovil Street Ward 17, 6.Arumuganeri (S.G.T.P) Narayanaswamy Koil Street Ward 17, 7.Arumuganeri (S.G.T.P) ValavillaiMutharammankovil Ward 17, 8.Arumuganeri (S.G.T.P) Mela Navvaladi vilai Ward 17, 9.Arumuganeri (S.G.T.P) Elangathammankovil Street Ward 17, 10.Arumuganeri (S.G.T.P) Kuthukkal Swamy Kovil Street Ward 17, 11.Arumuganeri (S.G.T.P)
L.F.Road Sub Santhu Ward -17, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,328,203,17.31301939058172
98,"Kamaraj Somasundari Nursery &
Primary School, East Building East Portion, Somasundariamman Kovil street, Arumuganeri.","1.Arumuganeri (S.G.T.P) Logalpandu road Keelpagam Ward 1,
2.Arumuganeri (S.G.T.P) Localfund Road Melpakam Ward 1,
3.Arumuganeri (S.G.T.P) Melashanmugapuram Ward 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,86,72,6.334841628959276
100,"Kamaraj Somasundari Nursery & Primary School, New Building North West Portion, Somasundariamman Kovil Street, Arumuganeri","1.Arumuganeri (S.G.T.P) Somasundari amman kovil street ward 16,
2.Arumuganeri (S.G.T.P) L.f. road ward 16, 3.Arumuganeri (S.G.T.P) Vinayagar kovil street ward 16, 4.Arumuganeri (S.G.T.P) Vinayagar KovilStreet Ward 16, 5.Arumuganeri (S.G.T.P) Mela street ward 16, 6.Arumuganeri (S.G.T.P) Mutharamman Kovil Street Ward 16, 7.Arumuganeri (S.G.T.P) Uchinimahaliamman Kovil Street Ward 16, 8.Arumuganeri (S.G.T.P) Acharymar Street Ward 16, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,279,171,17.197452229299362
101,"T.N.D.T.A . Primary School, Poovarasur, Arumuganeri.","1.Arumuganeri (S.G.T.P) Mariamman koil street ward 14,
2.Arumuganeri (S.G.T.P) Lakshmi managaramsouth street ward 14,
3.Arumuganeri (S.G.T.P) Thesaykaval north street ward 14,
4.Arumuganeri (S.G.T.P) Thesaykaval Middle street ward 14, ,
5.Arumuganeri (S.G.T.P) Thesaykaval south street ward 14,
6.Arumuganeri (S.G.T.P) Gandhi Street Ward 14, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,285,262,2.941176470588235
102,"Hindu Saraswathi Middle School , West Building North portion, Arumuganeri.","1.Arumugaaneri (S.G.T.P) Gandhi street ward 14, 2.Arumuganeri (S.G.T.P) Chettier Street Ward 15, 3.Arumuganeri (S.G.T.P) Gandhi Street Ward 15, 4.Arumuganeri (S.G.T.P) Mariammankovil street ward 15, 5.Arumuganeri (S.G.T.P) Pachaiperumalnadar street ward 15, 6.Arumuganeri (S.G.T.P) Lakshmimanagaram north street ward 15, 7.Arumuganeri (S.G.T.P) Lakshmimanagaram center street ward 15, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,298,240,7.151664611590629
105,"KAHigher Secondary School, North
Building Western Side South Facing Class VIA Peiyanvillai Arumuganeri","1.Arumuganeri(S.G.T.P) Pudur north street ward 5,
2.Arumuganeri(S.G.T.P) Bharathi nagar ward 5, 3.Arumuganeri (S.G.T.P) Pudhur south street ward 5, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,202,123,17.400881057268723
