Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
75,"St. Lucia High School , South side building East side portion, Kurumbur.","1.Angamangalam (R.V) And (P) Kottarvilai block 5,
2.Angamangalam (R.V) And (P) Annanager block 5,
3.Angamangalam (R.V) And (P) Angamangalam block 5,
4.Angamangalam (R.V) And (P) Sundaramoorthyiapuram Block 6, , 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,262,155,18.706293706293707
76,"St. Lucia High School , South side west Portion, Kurumbur.","1.Angamangalam (R.V) And (P) North musleem block 4,
2.Angamangalam (R.V) And (P) Periya musulim street block 7, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,226,176,11.26126126126126
77,"T.N.D.T.A Primary School, North
Shunmugapuram,west portion, Kurumbur.","1.Nalumavadi (R.V) And (P) North shunmugapuram sundrarajapuram block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,218,198,3.802281368821293
79,"TN.D.T.A Middle School , Middle Room VIII Std, Nalumavadi.","1.Nalumavadi (R.V) And (P) Nalumavadi South Street Block 8,
2.Nalumavadi (R.V) And (P) Thevar street musleem street block 9,
3.Nalumavadi (R.V) And (P) Christenstreet (kovil street) block 10, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,237,172,11.443661971830986
82,"Sri Ganesar Hr, Sec School,VOC Block East portion, Panikkanadarkudieruppu.","1.Nalumavadi (R.V) And (P) Panikkanadar kudiruppu westside
block 7, 2.Nalumavadi (R.V) And (P) Lakshmipuram block 13, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,118,95,8.12720848056537
89,"Panchayat Union Primary School, Middle Building, North portion Ammanpuram","1) Ammanpuram (R.V) And (P) Main Road Block 1, 2)
Ammanpuram (R.V) And (P) Keelapudukudi Vadakkoor Block 2, 3) Ammanpuram (R.V) And (P) Thiruvalluvar Street West Block 2, 4) Ammanpuram (R.V) And (P) Keelapudhukudi Therkkuoor Block 2,
5) Ammanpuram (R.V) And (P) Kulakkarai South North Block 2 6) Ammanpuram (R.V) And (P) KuranganThattu Block 2, 7) Ammanpuram (R.V) And (P) Muthumaalai vilai Block 2,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,212,184,6.021505376344086
95,"Panchayat Union Middle School,
Selvarajapuram, West Side Building, Arumuganeri.","1.Arumuganeri (S.G.T.P) Selvarajapuram ward 18, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,192,136,12.612612612612612
117,"Panchayat Union Primary School (West portion), Vannimanagaram, Arumuganeri.","1.Arumuganeri(S.G.T.P) Koilvilai Ward 7, 2.Arumuganeri(S.G.T.P) Vannimanagaram South Street Ward 9, 3.Arumuganeri(S.G.T.P) Vannimanagaram North Street Ward 9, 4.Arumuganeri(S.G.T.P) Manakkadu Ward 9, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,262,210,8.137715179968701
119,"LK Matriculation Higher Secondary
School North Building Middle portion South Facing class room XI  A Kayalpattanam",1..Kayalpattinam(Municipality) North mutharamman kovil street wrad 18.999.OVERSEAS ELECTORS,Dravida Munnetra Kazhagam,427,241,23.93822393822394
122,"Municipality Middle school,North
Building,South Facing,East side,Thaikka street,Kayalpattinam","1.Kayalpattinam(Municipality) GulamSahib thambi thootam ward 18, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,130,110,7.547169811320755
127,"ArulRaj Primary School, Eastern Building, Rathinapuri, kayalpattinam.","1.Kayalpattinam (Municipality) Local fund road 2 ward 14,
2.Kayalpattinam (Municipality) Rethinapuri block 14, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,544,310,25.629791894852133
129,"National Primary School Eastern
Building, Arunachalapuram, kayalpattinam.","1.Kayalpattinam(Municipality) Arunachalapuram ward 1, , 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,289,278,1.687116564417178
130,"National Primary School New East
Building, North side West facing Arunachalapuram, kayalpattinam.","1.Kayalpattinam(Municipality) Kadayankudi block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,301,122,38.24786324786324
133,"Govt. Girls Hr. Sec School, North
Building East Portion, Theevu street, Kayalapattanam.","1.Kayalpattinam(Municipality) Karpudaiyar palli vattam singidurai ward 7, Door no 1 to 162, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,494,222,35.69553805774278
134,"Govt Girls Hr Sec School West Building North Side ,East Facing Theevu street, Kayalapattanam","1.Kayalpattinam(Municipality) Karpudaiyar palli vattam singidurai
ward 7, Above door No.162 , 2.kayalpattinam(Municipality) KeelaNaina street (mangarastreet) ward 7, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,277,247,5.30035335689046
