Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
252,Panchayat union primary school Kizhakandai South Facing East Side,"1.Kizhakkandai, Ward 1 1st st
2.Kizhakkandai, Ward 1, 2th St
3.Kizhakkandai, Ward 1, 3rd st
4.Kizhakkandai, Ward 1, 4th St
5.Kizhakkandai, Ward 1, 5th St
6.Kizhakkandai, Ward 1, 6th St
7.Kizhakkandai, Ward 1, 7th St
8.Kizhakkandai, Ward 1, 8th St
9.Kizhakkandai, Ward 1, 9th St
10.Kizhakkandai, Ward 1, 10 th st
11.Kizhakkandai, Ward 1, 11th St
12.Kizhakkandai, Ward 1, 12 th St
13.Kizhakkandai, Ward 1, 13th St
14.Kizhakkandai, Ward 1, 14th St
15.Kizhakkandai, Ward 1, 15th St
16.Kizhakkandai, Ward 1, 16th St
17.Kizhakkandai, Ward 2, 17th St
18.Kizhakkandai, Ward 2, 18th St
19.Kizhakkandai, Ward 2, 19th St
20.Kizhakkandai, Ward 2, 20th St
21.Kizhakkandai, Ward 2, 21st St
22.Kizhakkandai, Ward 2, 22th St
23.Kizhakkandai, Ward 2, 23th St
24.Kizhakkandai, Ward 2, 24 th St
25.Kizhakkandai, Ward 2, 25th St
26.Kizhakkandai, Ward 2, 26 th St
27.Kizhakkandai, Ward 2, 27th St
28.Kizhakkandai, Ward 2, 28 th St 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,25,3.467406380027739
253,Panchayat union primary school Melakandai North Facing East Side,"1.Kizhakkandai, Ward 3, Bharathidasan St
2.Kizhakkandai, Ward 3 Ellamman Koil St
3.Kizhakkandai, Ward 3 Karpagavinayagar Koil St
4.Kizhakkandai, Ward 3 Kulakkarai St
5.Kizhakkandai, Ward 3 Athivakkam Road
6.Kizhakkandai, Ward 3 Dr.Ambedkar St
7.Kizhakkandai, Ward 3 Rajaji St
8.Kizhakkandai, Ward 3 Kamarajar Cross St
9.Kizhakkandai, Ward 3 Gandhiji St
10.Kizhakkandai, Ward 3 Perarignar Anna St 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,21,3.338632750397456
257,Panchayat union Middle school Peruveli West Facing North Side,"1.Peruveli (P) And (R.V), Ward 1 Selliamman Koil St
2.Peruveli (P) And (R.V), Ward 1 Pillayar Koil St
3.Peruveli (P) And (R.V), Ward 1 Pillyar Koil Cross St
4.Peruveli (P) And (R.V), Ward 1 Amman Koil Ist St
5.Peruveli (P) And (R.V), Ward 1 Amman Koil 2th St
6.Peruveli (P) And (R.V), Ward 2 Peruveli Village Pillayar Koil St
7.Peruveli (P) And (R.V), Ward 2 Dharmaraja Koil St
8.Peruveli (P) And (R.V), Ward 2 Murugan Koil St
9.Peruveli (P) And (R.V), Ward 2,3 Vinayagar Koil St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,25,4.940711462450593
258,Panchayat union Middle school Peruveli South Facing East Side,"1.Peruveli (P) And (R.V), Ward 3 Ponniamman Koil St
2.Peruveli (P) And (R.V), Ward 2 Selliamman Koil St
3.Peruveli (P) And (R.V), Ward 3 Selliamman Cross St
4.Peruveli (P) And (R.V), Ward 3 Mariamman Koil Cross St
5.Peruveli (P) And (R.V), Ward 3 Mariamman Koil St
6.Peruveli (P) And (R.V), Ward 3 Ambedkar St
7.Peruveli (P) And (R.V), Ward 3 Muneeswaran Koil St
8.Peruveli (P) And (R.V), Ward 3 Madurai Veeran Koil St
9.Peruveli (P) And (R.V), Ward 3 Madurai Veeran Koil Cross St 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,5,0.9009009009009009
259,Panchayat Union Primary School South facingOzhavetti main building,"1.Zamin Endathur (P) And (R.V), Ward 3 Ozhavetti Kiraman 1st St
2.Zamin Endathur (P) And (R.V), Ward 3 Ozhavetti 2nd St
3.Zamin Endathur (P) And (R.V), Ward 3 Ozhavetti 3rd St
4.Zamin Endathur (P) And (R.V), Ward 3 Ozhavetti Kiramam 4th St
5.Zamin Endathur (P) And (R.V), Ward 3 Ozhavetti Kiramam 5th St
6.Zamin Endathur (P) And (R.V), Ward 3 Lakshmi Narayana Perumal St
7.Zamin Endathur (P) And (R.V), Ward 3 Kirama Cross St
8.Zamin Endathur (P) And (R.V), Ward 3 Reddiyar St
9.Zamin Endathur (P) And (R.V), Ward 3 Gongaiyamman Koil St
10.Zamin Endathur (P) And (R.V), Ward 3 Colony 1st St
11.Zamin Endathur (P) And (R.V), Ward 3 Colony Cross St
12.Zamin Endathur (P) And (R.V), Ward 3 Cross St
13.Zamin Endathur (P) And (R.V), Ward 3 Kullakkarai St
14.Zamin Endathur (P) And (R.V), Ward 3 Newcolony 1st St
15.Zamin Endathur (P) And (R.V), Ward 3 Newcolony 2nd St 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,1,0.1277139208173691
262,Adhithiravidar Nala Primary school Netrambakkam South Facing East Side,"1.Netrampakkam (P) And (R.V), Ward 1 anna nagar
2.Netrampakkam (P) And (R.V), Ward 1 Erikkarai St
3.Netrampakkam (P) And (R.V), Ward 1 Road St
4.Netrampakkam (P) And (R.V), Ward 1 Cross St
5.Netrampakkam (P) And (R.V), Ward 1 Bajanai Koil St
6.Netrampakkam (P) And (R.V), Ward 1 North Mada St
7.Netrampakkam (P) And (R.V), Ward 1 Mariamman Koil St
8.Netrampakkam (P) And (R.V), Ward 4, 8th St
9.Netrampakkam (P) And (R.V), Ward 4, 9thSt
10.Netrampakkam (P) And (R.V), Ward 4, 10th St
11.Netrampakkam (P) And (R.V), Ward 4, 11th St
12.Netrampakkam (P) And (R.V), Ward 4, 12th St
13.Netrampakkam (P) And (R.V), Ward 4, 13th St
14.Netrampakkam (P) And (R.V), Ward 4, 14th St
15.Netrampakkam (P) And (R.V), Ward 4, 15th St
16.Netrampakkam (P) And (R.V), Ward 4, 16th St
17.Netrampakkam (P) And (R.V), Ward 4 School St
18.Netrampakkam (P) And (R.V), Ward 4, 18th St
19.Netrampakkam (P) And (R.V), Ward 4,19th St
20.Netrampakkam (P) And (R.V), Ward 4, 20th St
21.Netrampakkam (P) And (R.V), Ward 4, 21th St
22.Netrampakkam (P) And (R.V), Ward 4, Arunthathiar St
23.Netrampakkam (P) And (R.V), Ward 4, Old St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,10,1.379310344827586
265,Panchayat Union Middle SchoolNallamur Additional Building West FacingSouth Side,"1.Saravambakkam, Ward 1, 16th St
2.Saravambakkam, Ward 1, 17th St
3.Saravambakkam, Ward 1, 18th St
4.Saravambakkam, Ward 1, 19th St
5.Saravambakkam, Ward 1, 20th St
6.Saravambakkam, Ward 1, 21th St
7.Saravambakkam, Ward 1, 22nd St
8.Saravambakkam, Ward 1, 23rd St
9.Saravambakkam, Ward 1, 24th St
10.Saravambakkam, Ward 1, 25th St
11.Saravambakkam, Ward 1, 26th St
12.Saravambakkam, Ward 2, Kolathur Village St
13.Saravambakkam, Ward 2, 27th St
14.Saravambakkam, Ward 2, 28th St
15.Saravambakkam, Ward 2, 29th St
16.Saravambakkam, Ward 2, 30 St
17.Saravambakkam, Ward 2, 31st St
18.Saravambakkam, Ward 2, 32th st
19.Saravambakkam, Ward 2, 33th St
20.Saravambakkam, Ward 2, 34th St
21.Saravambakkam, Ward 2, 35th St
22.Saravambakkam, Ward 2 bharathi st
23.Saravambakkam, Ward 1, Peruveli Pathai
24.Saravambakkam, Ward 1, 36th St
25.Saravambakkam, Ward 1 Reddiyar St
26.Saravambakkam, Ward 2, 37 St 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,26,3.27455919395466
266,Panchayat Union Middle School Nallamur Additional Building South Facing West Side,"1.Nallamoor, Ward 1 chithamoor & chayyar road
2.Nallamoor, Ward 3 Thannadu Road
3.Nallamoor, Ward 1 Nallamoor Yerikarai St
4.Nallamoor, Ward 1 NallaMoor 1st St
5.Nallamoor, Ward 1 Nallamoor 2nd St
6.Nallamoor, Ward 1 Nallamoor 3rd St
7.Nallamoor, Ward 2 Nallamoor 4th St
8.Nallamoor, Ward 2 Nallamoor 5th St
9.Nallamoor, Ward 2 Nallamoor 6th St
10.Nallamoor, Ward 2 Nallamoor 7th St
11.Nallamoor, Ward 2 Nallamoor 8th St
12.Nallamoor, Ward 2 Nallamoor 9th St
13.Nallamoor, Ward 2 Nallamoor 10th St
14.Nallamoor, Ward 2 Nallamoor 11th St
15.Nallamoor, Ward 2 Nallamoor 12th St
16.Nallamoor, Ward 1 Nallamoor 13th St
17.Nallamoor, Ward 2 Nallamoor 14th St
18.Nallamoor, Ward 1 Nallamoor 15th St
19.Nallamoor, Ward 2 Nallamoor 16th St
20.Nallamoor, Ward 2 Nallamoor 17th St
21.Nallamoor, Ward 2 Pillaiyar Koil St
22.Nallamoor, Ward 2 Nallamoor 18th St
23.Nallamoor, Ward 2 Nallamoor 19th St
24.Nallamoor, Ward 3 Chayyur Salai
25.Nallamoor, Ward 3 Nallamoor 20th St
26.Nallamoor, Ward 3 Nallamoor 21th St
27.Nallamoor, Ward 3 Nallamoor 22nd St
28.Nallamoor, Ward 3 Nallamoor 24th St 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,1.71919770773639
267,Adhithiravidar Nala Primary School West Facing Thonnadu,"1.Thannadu, Ward 1 irular colany
2.Thannadu, Ward 1 Vainniyar St
3.Thannadu, Ward 1 Vainniyar Mettu St
4.Thannadu, Ward 1 vainniyar east st
5.Thannadu, Ward 1 Pillaiyar Koil St
6.Thannadu, Ward 1 Mariyamman Koil St
7.Thannadu, Ward 2 kainkaiyamman koil st
8.Thannadu, Ward 2 Kanniyamman St
9.Thannadu, Ward 2 Palla Colany
10.Thannadu, Ward 2 Color St Colany
11.Thannadu, Ward 1 Arulpuram 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,30,3.663003663003663
268,"Panchayath union primary school, melvasalai South Facing","1.Neerper (P) And (R.V), Ward 1 Ratiyar St
2.Neerper (P) And (R.V), Ward Mettu St
3.Neerper (P) And (R.V), Ward 1 Ponniyamman Koil First St
4.Neerper (P) And (R.V), Ward 1 Poonniyamman Koil Secound St
5.Neerper (P) And (R.V), Ward 2 Madha Koil St
6.Neerper (P) And (R.V), Ward 2 Mariyamman Koil St
7.Neerper (P) And (R.V), Ward 2 Kainkaiyamman Koil St
8.Neerper (P) And (R.V), Ward 3 Vinayagar Koil St
9.Neerper (P) And (R.V), Ward 3 Mariyamman Koil St
10.Neerper (P) And (R.V), Ward 3 Selliyamman Koil St
11.Neerper (P) And (R.V), Ward 3 Malaimetu St
12.Neerper (P) And (R.V), Ward 3 T,V,S Nagar 2nd St 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,21,2.245989304812834
268,286_No_data,286_No_data,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,21,2.245989304812834
269,"Panchayath union primary school, melvasalai South Facing West Side","1.Neerper (P) And (R.V), Ward 1 kizhvasalai pradhanasalai
2.Neerper (P) And (R.V), Ward 3 kizhvasalai 1st st
3.Neerper (P) And (R.V), Ward 3 Reatiyar St
4.Neerper (P) And (R.V), Ward 3Kizhvasalai 2nd St
5.Neerper (P) And (R.V), Ward 3 Kizhvasalai 3rd St
6.Neerper (P) And (R.V), Ward 4 nelamangalam first st
7.Neerper (P) And (R.V), Ward 4 Nelamangalam 2nd St
8.Neerper (P) And (R.V), Ward 4 Nelamangalai 3rd St
9.Neerper (P) And (R.V), Ward 4 Vinayagar Koil St
10.Neerper (P) And (R.V), Ward 4 Muthumariyamman Koil St
11.Neerper (P) And (R.V), Ward 4 Muthumariyamman Koil St
12.Neerper (P) And (R.V), Ward 1 t,v,s nagar first st 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,25,4.23728813559322
271,Govt. high school onambakkam West facing,"1.Onnampakkam, Ward 1 Colony 1st Street
2.Onampakam, Ward 1 Colony 2nd St
3.Onampakam, Ward 1 Santhu Veethi
4.Onampakam, Ward 1 Cross St
5.Onampakkam, Ward 1 Colony 5th St
6.Onampakkam, Ward 2 Onampakkam 4th St
7.Onampakkam, Ward 2 Onampakkam 3rd St
8.Onampakkam, Ward 2 Onampakkam Hospital Road
9.Onampakkam, Ward 2 Post Office St
10.Onampakkam, Ward 2 School St
11.Onampakkam, Ward 3 onampakkam cheyyur chithamur salai 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,0,0.0
273,PANCHAYAT UNION MIDDLE SCHOOL KATTUDEVADHUR EAST FACING NORTH SIDE,"1.Kattudevadhur (P) And (R.V), Ward 1 kattudevadhur main road
2.Kattudevadhur (P) And (R.V), Orankavali
3.Kattudevadhur (P) And (R.V), Ward 1 Mariyamman Koil St
4.Kattudevadhur (P) And (R.V), Ward 1 School St
5.Kattudevadhur (P) And (R.V), Ward 2 Colony First St
6.Kattudevadhur (P) And (R.V), Ward 2 Colony Main Road
7.Kattudevadhur (P) And (R.V), Ward 2 Colony Secound St
8.Kattudevadhur (P) And (R.V), Ward 1 Kulakkarai St
9.Kattudevadhur (P) And (R.V), Ward 3 Third St
10.Kattudevadhur (P) And (R.V), Ward 3 Secound St
11.Kattudevadhur (P) And (R.V), Ward 3 First St
12.Kattudevadhur (P) And (R.V), Ward 1 Chatti St
13.Kattudevadhur (P) And (R.V), Ward 1 Vilanganur Main Road 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,12,1.520912547528517
282,"Panchayat Union Middle School, Periyavenmani north facing east side","1.Viraloor (P) And (R.V), Ward 1 malai st
2.Viraloor (P) And (R.V), Ward 1 Nagamalai
3.Viraloor (P) And (R.V), Ward 2 Pillayar Koil St
4.Viraloor (P) And (R.V), Ward 2 Colony
5.Viraloor (P) And (R.V), Ward 2 Vetkadu
6.Viraloor (P) And (R.V), Ward 3 Devanur Vanniyar St
7.Viraloor (P) And (R.V), Ward 3 Mariamman Koil St
8.Viraloor (P) And (R.V), Ward 3 Vellarai Bharathi Nagar 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,4,0.5291005291005291
285,"Welfare Higher Secondary School, Irumbedu, East facing south side 7th std","1.Irumpedu (P) And (R.V), Ward 2 yadavar St
2.Irumpedu (P) And (R.V), Ward 2 PallaColany Pogum St
3.Irumpedu (P) And (R.V), Ward 2 Pillaiyar Koil St
4.Irumpedu (P) And (R.V), Ward 2 Kulakkarai North St
5.Irumpedu (P) And (R.V), Ward 2 Kulakkari South St
6.Irumpedu (P) And (R.V), Ward 2 Sunampedu
7.Irumpedu (P) And (R.V), Ward 2 Pillaiyar Koil pathi
8.Irumpedu (P) And (R.V), Ward 2 pallacolany maniyamman koil st
9.Irumpedu (P) And (R.V), Ward 2 Pallacolany Cross St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,8,1.433691756272401
