Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
55,PANCHAYAT UNION PRIMARY SCHOOL THANDARAIPUDUCHERRY WEST FACING,"1.Thandaraipuducherry (P) And (R.V), Ward 1 Puducherry Udaiyar St
2.Thandaraipuducherry (P) And (R.V), Ward 1 Puducherry Rajiv Gandhi St
3.Thandaraipuducherry (P) And (R.V), Ward 1 Puducherry Villae Dr St
4.Thandaraipuducherry (P) And (R.V), Ward 1 Thiruvalluvar St
5.Thandaraipuducherry (P) And (R.V), Ward 1 Uthukottai St
6.Thandaraipuducherry (P) And (R.V), Ward 1 Kambar St
7.Thandaraipuducherry (P) And (R.V), Ward 1 M G R St
8.Thandaraipuducherry (P) And (R.V), Ward 1 Pillaiyar Koil St
9.Thandaraipuducherry (P) And (R.V), Ward 1 Annai indra St
10.Thandaraipuducherry (P) And (R.V), Ward 1 Puducerry then
11.Thandaraipuducherry (P) And (R.V), Ward 1 Puducherry North
12.Thandaraipuducherry (P) And (R.V), Ward 1 Thandarai village
13.Thandaraipuducherry (P) And (R.V), Ward 1 Thandarai Village Tharuma 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,15,2.021563342318059
57,Panchayat Union Middle School Puthupattu East Facing,"1.Puthupatu (P) Pillanthikuppam (P) And (R.V), Ward 1 pillanthikuppam village st
2.Puthupatu (P) Pillanthikuppam (R.V), Ward 1 Pillanthikuppam Colony St
3.Puthupatu (P) Sathamai and (R.V), Ward 2 Sathamai main Road
4.Puthupatu (P) Sathamai (R.V), Ward 2 East St
5.Puthupatu (P) Sathamai And (R.V), Ward 2 Sathamai Colony Main Road
6.Puthupatu (P) Sathamai (R.V), Ward 2 Sathamai 1st St
7.Puthupatu (P) Sathamai (R.V), Ward 2 Sathamai 2nd St
8.Pudupattu (P) Sathamai (R.V), Ward 2 Malai Mettu Colony St
9.Puthupattu (p) Sathamai (R.V), Ward 2 Village St
10.Puthupattu (P) Sathamai (R.V), Ward 2 Kulakkarai St
11.Puthupattu (P) Sathamai (R.V), Ward 2 Sathamai Mettu St
12.Puthupattu (P) And (R.V), Ward 3 Puthupattu Colony St
13.Puthupattu (P) And (R.V), Ward 3 Puthupattu Mettu Colony
14.Puthupattu (P) And (R.V), Ward 3 Puthupattu Malai Mettu Colony
15.Puthupattu (P) And (R.V), Ward 3 puthupattu old colony Street
16.Puthupattu (P) And (R.V), Ward 3 Millai Nagar St
17.Puthupattu (P) And (R.V), Ward 3 Rankadas Nagar 1st St
18.Puthupattu (P) And (R.V), Ward 3 Rangadas Nagar 2nd St
19.Puthupattu (P) And (R.V), Ward 3 Rangadas Nagar 3rd St 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,24,2.597402597402597
59,"Panchayat Union Primary School, Melavalampettai west facing North side","1.Melavallam village, Ward1 melavallam pettai china
2.Melavallam village, Ward1 Melavallam Pettai Perriya Street
3.Melavallam village, Ward1 kollu muthali street
4.Melavallam Village, Ward1 Thirukazukundram Bazar Street
5.Melavallam village, Ward2 Melavallam G.S.T. Salai 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,1,0.1745200698080279
60,"Panchayat Union Primary School, Melavalampettai North facing East side","1.Melavallam village, Ward1 malavi pettai
2.Melavallam Village, Ward14 Gannakirresvaran Pettai
3.Melavallam village, Ward15 palla pettai 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,17,2.294197031039137
62,Govt.Higher Secondary School Melavalam South Facing Room No 1,"1.Karukuzhi, Ward3 magalakshmi nagar
2.Karukuzhi, Ward3 Thirukazikundaram Arisi Aalai Street
3.Karukuzhi, Ward3 thirukazikundram salai
4.Karukuzhi, Ward3 amothagarpaga vinayagar koil street
5.Karunkuzhi, Ward 3 Melavalam Hr.Sec.School Salai
6.Karukuzhi, Ward5 nesavallar street
7.Karukuzhi, Ward3 Seshama Nagar 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,11,1.864406779661017
63,Govt Hr Sec School Melvalam South Facing Room No 2,"1.Karukuzhi, Ward3 pazaya colony street
2.Karukuzhi, Ward2 Bairavi Street
3.Karukuzhi, Ward2 Kuttai Street
4.Karukuzhi, Ward2 1st street
5.Karukuzhi, Ward2 Mayana Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,18,3.290676416819013
64,Govt.High School Malaipalayam West facing South side I St Standard (Room no.1),"1.Karukuzhi, Ward11 adisan thoppu
2.Karukuzhi, Ward11 Adisan Thoppu Kurukku Street
3.Karukuzhi, Ward11 anumantha kuppam
4.Karukuzhi, Ward11 Mettu Street Anamatha Kuttai
5.Karukuzhi, Ward11 Malaiyadivaram Anumantha Kuppam
6.Karukuzhi, Ward12 eari colony 1st street
7.Karukuzhi, Ward12 Bajanai Koil Kuruku Street
8.Karukuzhi, Ward12 bajanai koil street
9.Karukuzhi, Ward12 1st Quartares Street
10.Karukuzhi, Ward12 2nd Quarters Street
11.Karukuzhi, Ward12 Quarters Cross Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,26,3.303684879288437
65,Govt.High School Malaipalayam West facing South side II nd Standard (Room no.2),"1.Karukuzhi, Ward13 periya colony main road
2.Karukuzhi, Ward13 Periya Palaiyathamman Koil Street
3.Karukuzhi, Ward13 1st sandu Periya Colony
4.Karukuzhi, Ward T.V. Room Street
5.Karukuzhi, Ward13 T.V. Room Opposit Street
6.Karukuzhi, Ward13 2nd Sandu Periya Colony
7.Karukuzhi, Ward 3rd Street Cement Road
8.Karukuzhi, Ward13 Gannabigai Pettai
9.Karukuzhi, Ward11 Bangla Street
10.Karukuzhi, Ward13 theedir nagar 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,26,3.286978508217446
67,Govt.High School Malaipalayam West facing North Side,"1.Karungkuzhi, Ward9 Malaiyadivaram
2.Karungkuzhi, Ward10 valluvar street
3.Karungkuzhi, Ward10 Pallikuda Street
4.Karungkuzhi, Ward10 Ellammal Koil Street
5.Karungkuzhi, Ward10 Mettu Street Bangala Colony
6.Karungkuzhi, Ward10 Bangala Thoppu
7.Karungkuzhi, Ward10 Thedeel Nagar
8.Karungkuzhi, Ward10 Lane Street 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.3115264797507788
72,"Govt.High.School, Kallabiranpuram East facing building","1.Kallabiranpuram (P) And (R.V), Ward GST St
2.Kallabiranpuram (P) And (R.V), Ward 3 Mettu St
3.Kallabiranpuram (P) And (R.V), Ward3 Pillaiyar Koil Street
4.Kallabiranpuram (P) And (R.V), Ward3 Selliyamman Koil Street
5.Kallabiranpuram (P) And (R.V), Ward3 Aruthathiyar Street
6.Kallabiranpuram (P) And (R.V), Ward2 Pajanai Koil Street
7.Kallabiranpuram (P) And (R.V), Ward2 colony puthu street
8.Kallabiranpuram (P) And (R.V), Ward2 Colony Mettu Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,37,4.111111111111112
