Location and Name of Building in Which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Periya Kothuba PalliVasal Women Arabic Matharasa, Periya Kothuba Pallivasal North West Street, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Purachi Thalaivar M.G.R Memorial Primary School, North Portion Thiruvannathapuram",1,Tamilaga Vettri Kazhagam,1
"Purachi Thalaivar M.G.R Memorial Primary School, South Portion Thiruvannathapuram",1,Tamilaga Vettri Kazhagam,1
"Pushbalatha Matric Higher Secondary
School, 5th Std ‘C’ Class Room Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Pushbalatha Matric Higher Secondary School, Middle Portion Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Pushbalatha Matric Higher Secondary School, Northern Wing Eastern Portion Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Pushbalatha Matric Higher Secondary School, Northern Wing Western Portion Palayamkottai",1,Dravida Munnetra Kazhagam,1
"Pushbalatha Matric Higher Secondary School,Eastern Wing Northern Portion Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Pushpalatha Matric Higher Secondary School, East Part, South Portion, Thiyagarajanagar, Palayamkottai",1,Dravida Munnetra Kazhagam,1
"Quide Millath Corporation Higher Secondary School High School Block , Eastern Building, Eastern Portion Melapalayam",1,Dravida Munnetra Kazhagam,1
"Quide Millath Corporation Higher Secondary School High School Block ,New Building, Ground Floor Northern Block East Hall, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Quide Millath Corporation Higher Secondary School Highschool Block, New Building Northern Block, WestSide Room Melapalayam",1,Dravida Munnetra Kazhagam,1
"Quide Millath Corporation Higher Secondary School Primary School  South Block,Eastern Portion Melapalayam",1,Dravida Munnetra Kazhagam,1
"Quide Millath Corporation Higher Secondary School, Primary School Block 3rd Std Class Room West Portion, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Quide Millath Corporation Higher Secondary School, Southern Building, (Primary Section) Melapalayam",1,Dravida Munnetra Kazhagam,1
"Rahumania Higher Secondary School Eastern side middle block middle portion, Melapalayam",1,Dravida Munnetra Kazhagam,1
Rahumania Higher Secondary School Middle Block 9th A Section Melapalayam,1,Dravida Munnetra Kazhagam,1
Rahumania Higher Secondary School Middle Block 9th B Section Melapalayam,1,Dravida Munnetra Kazhagam,1
Rahumania Higher Secondary School Middle Block 9th C Section Melapalayam,1,Dravida Munnetra Kazhagam,1
Rahumania Higher Secondary School Middle Block 9th D Section Melapalayam,1,Tamilaga Vettri Kazhagam,1
Rahumania Higher Secondary School South Portion 9th Std Class Room Melapalayam,1,Tamilaga Vettri Kazhagam,1
"Rose Mary Marticulation School ,1std ‘A’ Section ,Ram Nagar, Thiyagarajanagar",1,Dravida Munnetra Kazhagam,1
"Rosemary Marticulation Higher Secondary School , First Standard, B Section, Ram Nagar, Thiyagaraja Nagar.",1,Tamilaga Vettri Kazhagam,1
"Rosemary Marticulation Higher Secondary School, East to West 5th Entrance, L.K.G C Section, Tuticorin Road, V.M. Chatram",1,Tamilaga Vettri Kazhagam,1
"Rosemary Marticulation Higher Secondary School, Ist A Section, Tuticorin Road, V.M. Chatram Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Rosemary Marticulation Higher Secondary School, Middle Portion 2nd room from west Tuticorin Road, V.M. Chatram Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Rosemary Marticulation Higher Secondary School, South Building East Portion, U.K.G B section Tuticorin Road, V.M. Chatram",1,Dravida Munnetra Kazhagam,1
"Rosemary Matriculation Higher Secondary School , West Portion 1t Room Tuticorin Road, V.M.Chatram.",1,Tamilaga Vettri Kazhagam,1
"Rosemary Matriculation Higher Secondary School , West Portion 3rd Room, Tuticorin Road, V.M.Chatram.",1,Tamilaga Vettri Kazhagam,1
"Rosemary Matriculation Higher Secondary School ,Pre .K.G. Section, Ram Nagar, Thiyagaraja Nagar.",1,Tamilaga Vettri Kazhagam,1
"Rosemary Matriculation Higher Secondary School ,U.K.G., A- Section, West to East 1st room, Ram nagar, Thiyagaraja Nagar",1,Dravida Munnetra Kazhagam,1
"Rosemary Matriculation Higher Secondary School,
South building middle portion, Tuticorin Road, V.M.Chatram.",1,Tamilaga Vettri Kazhagam,1
"Rosemary Matriculation Higher Secondary School, , East Portion, Forth Room Tuticorin Road, V.M.Chatram.",1,Tamilaga Vettri Kazhagam,1
"Rosemary Matriculation Higher Secondary School, , East Portion, Ist Room Tuticorin Road, V.M.Chatram.",1,Tamilaga Vettri Kazhagam,1
"Rosemary Matriculation Higher Secondary School, South side middle portion hall no. 17 Ram Nagar, Thiyagaraja Nagar.",1,Tamilaga Vettri Kazhagam,1
"Rosemary Matriculation School, ,U.K.G, B Section, Ramnagar, Thiyagarajanagar",1,Tamilaga Vettri Kazhagam,1
"Sarah Tucker Branch Elementary School , , Southern Building Chinnakoil Street Adaikalapuram",1,Tamilaga Vettri Kazhagam,1
"Sarah Tucker Branch Elementray School , (Northern Building) Chinnakoil Street., Adaikalapuram",1,Dravida Munnetra Kazhagam,1
"Sarah Tucker Girls Higher Secondary School,
,Eastern side East Block, Central Hall, New Building, III B Class Room, Palayamkottai,",1,Dravida Munnetra Kazhagam,1
"Sarah Tucker Girl’s Higher Secondary School, ,Howard Memorial Hall, Eastern Side, Last Room, Palayamkottai.",1,Dravida Munnetra Kazhagam,1
"Sarah Tucker Girl’s Higher Secondary School, ,Howard Memorial Hall,Middle Portion, Last Room, Palayamkottai.",1,Tamilaga Vettri Kazhagam,1
"Sarah Tucker Girl’s Higher Secondary School,North Building West Portion, I standard 'C' Section Palayamkottai.",1,Tamilaga Vettri Kazhagam,1
