Serial No. Of Polling Station,Location and name of Building in Which Polling Station Located,Polling Area,Winner_Party,Margin_Percentage
72,"Govt  High  School  Vadamalaikurichi, East  Side  New  Building  , Vadamalaikurichi","1.Vadamalaikurichi(R.V.)  ,Vadamalaikurichi
(P)  Ward  3  Vadamalaikurichi  , 2.Vadamalaikurichi(R.V),  Vadamalaikurichi
(P)  Ward  4  Vadamalaikurichi",Desiya Murpokku Dravida Kazhagam,12.6775956284153
123,"Senthikkumara  Nadar Meenakshiammal  Girls  Municipal Middle  School,  East  building  ,  South Room  ,12-  C.M.Girls  School  Street, Virudhunagar","1.Virudhunagar  (M)  Ward  8  A.P.Shanmugam street  ,
2.Virudhunagar  (M)  Ward  8  Samiyar nagappan  street  ,
3.Virudhunagar  (M)  Ward  10 Chinnapallivasal  street  ,
4.Virudhunagar  (M)  Ward  10  Alli  street",Desiya Murpokku Dravida Kazhagam,30.08
136,"Virudhunagar  Municipal  Muslim High  School,  New  Building  ,  North side  ,Middle  room  Pavali  Road, Virudhunagar","1.Virudhunagar  (m)  Ward  17  pavali  road  1st st.  parma  colony  ,  2.Virudhunagar  (M)  Ward 17  Pavali  Road  2nd  St.  Parma  Colony  , 3.Virudhunagar  (M)  Ward  17  Pavali  Road  3rd St.  Parma  Colony  ,  4.Virudhunagar  (M)  Ward 17  Pavali  Road  4th  street  Parama  Colony  , 5.Virudhunagar  (M)  Ward  17  Pavali  Road  5th St.  Parama  Colony  ,  6.Virudhunagar  (M)  Ward 17  Pavali  Road  6th  St.  Parma  Colony  , 7.Virudhunagar  (M)  Ward  17  Pavali  Road  7th
St.  Parma  colony",Desiya Murpokku Dravida Kazhagam,36.82469680264609
137,"Virudhunagar  Municipal  Muslim High  School,  West  New  Building  , South  Portion  ,Pavali  Road, Virudhunagar-  626001","1.Virudhunagar  (M)  Ward  17  Pavali  Road  8th St.  Parma  Colony  ,
2.Virudhunagar  (M)  Ward  17  Pavali  Road  9th st.  Parma  Colony  ,
3.Virudhunagar  (M)  Ward  17  Pavali  Road  1st Cross  St.  Parma  colony  ,  4.Virudhunagar  (M) Ward  17  Pavali  Road  2nd  Cross  St.  Parma colony  ,  5.Virudhunagar  (M)  Ward  18 Kalpallivasal  Street  ,
6.Virudhunagar  (M)  Ward  17  Monni  Street",Desiya Murpokku Dravida Kazhagam,35.73529411764706
139,"Virudhunagar  Municipal  Muslim High  School,  West  Side  ,  North Building  ,2nd  Room  Pavali  Road  , Virudhunagar-626001","1.Virudhunagar  (M)  Ward  16  Pavali  Road  7th street  (Ahmed  nagar)  ,  2.Virudhunagar  (M) Ward  16  Pavali  Road  8th  street  (Ahmed nagar)  ,  3.Virudhunagar  (M)  Ward  16  Pavali Road  9th  street  (Ahmed  nagar)  , 4.Virudhunagar  (M)  Ward  16  Pavali  Road 10th  street  (Bharathi  nagar)   5.Virudhunagar
(M)  Ward  16  Pavali  Road  11th  street (Bharathi  nagar)  ,
6.Virudhunagar  (M)  Ward  16  Tharkas  Street",Desiya Murpokku Dravida Kazhagam,20.52785923753666
140,"Hajee  P.Seyad  Mohamad  Middle School,  Mainbuilding,  East  Side  ,53-1  Paraipatti  Street,  Virudhunagar","1.Virudhunagar  (m)  Ward  18  seethakathi street  ,
2.Virudhunagar  (M)  Ward  18  Parapatti  Street",Desiya Murpokku Dravida Kazhagam,27.67624020887729
142,"Hajee  P.  Seyad  Mohamad  Hr.  Sec. School,  Mainbuilding  ,North  Portion Centre  Hall,  Krishnamachari  Road
,Virudhunagar","1.Virudhunagar  (m)  Ward  19  periyapallivasal street  ,
2.Virudhunagar  (M)  Ward  19  Melarathaveethi
,
3.Virudhunagar  (M)  Ward  19  Parapatti  Street  ,
4.Virudhunagar  (M)  Ward  15  Shanmugam Street",Desiya Murpokku Dravida Kazhagam,48.8857938718663
243,"Panchayat  Union  Primary  School, Eastern  Side  New  Building Inamreddiapatti  -626003","1.Enamreddiyapatti  (R.V),Enamreddiyapatti
(P)  Ward  1  Enamreddiyapatti  Naicker  Mela Street  , 2.Enamreddiyapatti(R.V),Enamreddiyapatti
(P)  Ward  2,  Enamreddiyapatti  Naicker
Middle,  kee",Desiya Murpokku Dravida Kazhagam,24.01960784313725
244,"Panchayat  Union  Primary  School, West  Side,  New  Building, Inamreddiyapatti","1.Enamreddiyapatti(R.V),Enamreddiyapatti
(P)  Ward  3  R.C.Church  Street,  Adhithiravidar colony,",Desiya Murpokku Dravida Kazhagam,8.609271523178808
248,"Panchayat  Union  Primary  School, P.Meenachipuram-626003","1.Pattamputhur(R.V),Pattamputhur  (P)  Ward 1  P.Meenakshiputam",Desiya Murpokku Dravida Kazhagam,19.75903614457831
