Polling Station No.,Building in which it will be located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
205,"Panchayat Union Middle School, Additional Building South Wing, Peramandur-604302","[1].Peramandur (R.V) & Peramandur (P), Arichandiran Koil Street,  [2].Peramandur (R.V) & Peramandur (P), Colony Othavadai Street, [3].Peramandur (R.V) & Peramandur (P), Selliyamman Koil Street,  [4].Peramandur (R.V) & Peramandur (P),
Gopalapuram,  [5].Peramandur (R.V) & Peramandur (P), New Quarters",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,41,4.413347685683531
213,"Adi Dravidar Welfare Primary School, Panthamangalam-604302","[1].T. Kenipattu (R.V) & (P), Tank Street, [2].Panthamangalam (R.V) & T.kenipattu(P), Amman Street,  [3].Panthamangalam (R.V) & T.Kenipattu (P), Anjaneyar Koil Street,  [4].Panthamangalam (R.V) & T.Kenipattu (P), Muthumariyamman Koil Street, [5].Panthamangalam (R.V) & T.Kenipattu (P), Colony
Gandhi Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,9,1.714285714285714
216,"Panchayat Union Primary School, Meeting Hall, Kootteripattu-604302","[1].Kooteripattu (R.V) & (P), Savadi Street, [2].Kooteripattu (R.V) & (P), Muthumariyamman Koil Street,  [3].Kooteripattu (R.V) & (P), Ellai Mariyamman Koil Street,  [4].Kooteripattu (R.V) & (P), Colony Mariyamman Koil Street,  [5].Kooteripattu (R.V) & (P),
Sarkar Kinaru Street",All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,1,0.1718213058419244
218,"Ganthi Kamala Nehru Govt High
School, East Wing, Kootteripattu-604302","[1].Kooteripattu (R.V) & (P), Kooteripattu Mailam
Salai,  [2].Kooteripattu (R.V) & (P), Convent Street, [3].Kooteripattu (R.V) & (p)P, Reddiar Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,6,0.7246376811594203
222,"Government Higher Secondary
School, East Building West Wing Room No 8, Alagramam-604302","[1].Alagramam (R.V) & (P), Pillaiyar Koil Street,
[2].Alagramam (R.V) & (P), Kanniamman Koil Street, [3].Alagramam (R.V) & (P), Om Sakthi Koil Street",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,22,3.760683760683761
223,"Government Higher Secondary School, East Building Middle Wing Room No 6, Alagramam-604302","[1].Alagramam (R.V) & (P), Matha Koil Street, [2].Alagramam (R.V) & (P), Muthalamman Koil Street, [3].Alagramam (R.V) & (P), Mariyamman Koil Street,
[4].Alagramam (R.V) & (P), Indira Nagar",Desiya Murpokku Dravida Kazhagam,Desiya Murpokku Dravida Kazhagam,0,0.0
229,"Panchayat Union Primary School, North Facing Building, Sendiyampakkam-604302","[1].Sendiyampakkam (R.V) & (P), Mettu Street, [2].Sendiyampakkam (R.V) & (P), Nainar Koil Street, [3].Sendiyampakkam (R.V) & (P), Mariamman Koil Street,  [4].Sendiyampakkam (R.V) & (P), School Street,  [5].Sendiyampakkam (R.V) & (P), Bajanai Koil Street,  [6].Sendiyampakkam (R.V) & (P), S.N.R Street,  [7].Sendiyampakkam (R.V) & (P), Subramaniyar Street,  [8].Sendiyampakkam (R.V) & (P), Palvadi Street,  [9].Sendiyampakkam (R.V) & (P), Mini Tank Street,  [10].Sendiyampakkam (R.V) & (P), Kulakkarai Street,  [11].Sendiyampakkam (R.V) & (P), Ambedkar Street,  [12].Sendiyampakkam (R.V) & (P), Tank Street,  [13].Sendiyampakkam (R.V) & (P), North Street,  [14].Sendiyampakkam (R.V) & (P), Middle Street,  [15].Sendiyampakkam (R.V) & (P), South Street,  [16].Sendiyampakkam (R.V) & (P), Valluvar Street,  [17].Sendiyampakkam (R.V) & (P), Old Colony
Street",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,37,4.755784061696658
237,"Government Higher Secondary School, East Building West Facing North Wing, Perani-605651","[1].Perani (R.V) & (P), Gingee Road Street, [2].Perani (R.V) & (P), Perumal Koil Street,  [3].Perani (R.V) & (P), Gopalakrishnar Koil Street,  [4].Perani (R.V) & (P), Palla Street,  [5].Perani (R.V) & (P),
Kaliyamman Koil Street",All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,18,3.441682600382409
240,"Panchayat Union Middle School, East Building, Chithani-605652","[1].Chithani  (R.V) & (P), Pillaiyar Koil Street, [2].Chithani (R.V) & (P), Pothiyamman Koil Street, [3].Chithani  (R.V) & (P), Vinayagar Koil Street, [4].Chithani  (R.V) & (P), Pothiyamman Koil Nedunth Street,  [5].Chithani  (R.V) & (P), Old Colony 1st Street,  [6].Chithani  (R.V) & (P), Old Colony 2nd Street,  [7].Chithani  (R.V) & (P), Group House 1st Street,  [8].Chithani  (R.V) & (P), Group House 2nd Street,  [9].Chithani  (R.V) & (P), Group House 3rd Street,  [10].Chithani  (R.V) & (P), Group House 4th
Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,1,0.1312335958005249
241,"Panchayat Union Primary School, Ezhaay-605652","[1].Ezhaay (R.V) & Chithani (P), Mariyamman Koil Street,  [2].Ezhaay (R.V) & Chithani (P), Mahatma Gandhiji Street,  [3].Ezhaay (R.V) & Chithani (P), Valluvar Street,  [4].Ezhaay (R.V) & Chithani (P), Vikravandi Main Road,  [5].Ezhaay (R.V) & Chithani (P), New Colony,  [6].Ezhaay (R.V) & Chithani (P), J.J
Nagar",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,1.257861635220126
246,"Panchayat Union Primary School, Edapalayam-604302","[1].Chinnanerkunam (R.V) & (P), Kaman Koil Street, [2].Chinnanerkunam (R.V) & (P), 1st Mettu Street, [3].Chinnanerkunam (R.V) & (P), Mariyamman Koil
Street,  [4].Chinnanerkunam (R.V) & (P), Colony Street",All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,17,2.216427640156454
250,"Panchayat Union Primary School, New Building North Side East Wing, Kolliyankunam-604304","[1].Kolliyangunam (R.V) & (P), Nallamoor Salai, [2].Kolliyangunam (R.V) & (P), Muthalamman Koil Street,  [3].Kolliyangunam (R.V) & (P), Gengaiyamman Koil Street,  [4].Kolliyangunam (R.V) & (P),
Mariyamman Koil Street",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,30,4.823151125401929
254,"Panchayat Union Middle School, North Wing Center Building, Mailam-604304","[1].Mailam (R.V) & (P), Palayam Street,  [2].Mailam (R.V) & (P), Udayar Street,  [3].Mailam (R.V) & (P), J.J
Nagar,  [4].Mailam (R.V) & (P), New Colony, [5].Mailam (R.V) & (P), Sannathi Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,41,4.975728155339806
256,"Panchayat Union Middle School, East Wing, Mailam-604304","[1].Mailam (R.V) & (P), Primary Health Centre Quarters,  [2].Mailam (R.V) & (P), Pondy Road, [3].Mailam (R.V) & (P), Sendur Salai,  [4].Mailam(R.V)
& (P), Rajiv Gandhi Nagar,  [5].Mailam (R.V) & (P), Gandhi Nagar,  [6].Mailam (R.V) & (P), Theerthakula
Street,  [7].Mailam (R.V) & (P), Poonthottam",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,7,0.8871989860583016
264,"Panchayat Union Middle School, East Wing, Thenalapakkam-604304","[1].Then Alapakkam (R.V) & (P), South Street, [2].Then Alapakkam (R.V) & (P), Colony Mettu Street,
[3].Then Alapakkam (R.V) & (P), Kulathankaraiyan Street",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,18,3.066439522998297
266,"Government Higher Secondary School, West Wing South Side, Pathirapuliyur-604304","[1].Pathirapuliyur (R.V) & (P), Mariyamman Koil Street,  [2].Pathirapuliyur (R.V) & (P), South Mada Veethi,  [3].Pathirapuliyur (R.V) & (P), Mailam Road, [4].Pathirapuliyur (R.V) & (P), Thenalapakkam Road, [5].Pathirapuliyur (R.V) & (P), Trowpathiyamman Koil Street,  [6].Pathirapuliyur (R.V) & (P), Thoppu Street,
[7].Pathirapuliyur (R.V) & (P), Irular Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.2724795640326975
267,"Panchayat Union Primary School, East Side North Building, Pathirapuliyur-604304","[1].Pathirapuliyur (R.V) & (P), New Colony, [2].Pathirapuliyur (R.V) & (P), Mettu Street, [3].Pathirapuliyur (R.V) & (P), Kattaiyan Street, [4].Pathirapuliyur (R.V) & (P), Eswaran Koil Street,
[5].Pathirapuliyur (R.V) & (P), Bethan Street",Desiya Murpokku Dravida Kazhagam,Tamilaga Vettri Kazhagam,8,0.91324200913242
268,"Government Higher Secondary School, West Wing North Side, Pathirapuliyur-604304","[1].Pathirapuliyur (R.V) & (P), Sarkar Well Street, [2].Pathirapuliyur (R.V) & (P), Mariyamman Koil Street,
[3].Pathirapuliyur (R.V) & (P), Thalaiyari Street, [4].Pathirapuliyur (R.V) & (P), Thenalapakkam Road",Desiya Murpokku Dravida Kazhagam,Tamilaga Vettri Kazhagam,23,3.633491311216429
277,"Panchayat Union Elementary School, S.Kadur-604305","[1].Olakkur (R.V) & (P), S. kadur Village Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,11,3.928571428571428
