Locality of Polling Station,Total_Booths_In_Locality,Dominant_Party_In_Sector,Booths_Won_By_Dominant_Party,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,Tamilaga Vettri Kazhagam
Konamangalam-604304,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kongarapattu-604306,3,All India Anna Dravida Munnetra Kazhagam,3,3,0,0
Kooteripattu-604302,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kootteripattu-604302,4,Tamilaga Vettri Kazhagam,3,1,0,3
Koralur-604304,1,Desiya Murpokku Dravida Kazhagam,1,0,1,0
Koravanandhal-604206,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kurinjipai-604205,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Mahadevimangalam-6042 10,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Mailam-604304,5,All India Anna Dravida Munnetra Kazhagam,3,3,0,2
Mampakkam-604406,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Mandagapattu-604302,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Maniyampattu-604206,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Marur-605651,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Maruthuvampadi-604210,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Melathanur-604207,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Melathipakkam-604207,2,Desiya Murpokku Dravida Kazhagam,2,0,2,0
Melkalavai-604208,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Melkudalur-605651,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Melmavilangai-604207,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Melolakkur-604203,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Melpakkam-604001,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Melperadikuppam-604206,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Melsevur-604306,3,All India Anna Dravida Munnetra Kazhagam,2,2,0,1
Melsithamur-604206,4,All India Anna Dravida Munnetra Kazhagam,2,2,0,2
Melsiviri-604207,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Modaiyur-604206,4,All India Anna Dravida Munnetra Kazhagam,3,3,0,1
Mukkunam-604203,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Mupuli-604302,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
