Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes,Core_Total_Votes,Dravida Munnetra Kazhagam_Share,All India Anna Dravida Munnetra Kazhagam_Share,Naam Tamilar Katchi_Share,Tamilaga Vettri Kazhagam_Share,Cluster_ID
47,59,538,24,0,0,11,2,80,0,1,0,2,0,1,4,1,0,2,0,0,0,725,0,3,728,0,Vellalankottai,"R.C.  Middle  School  ,  North  Side  , Vellalankottai.","1.Vellalankottai  (R.V)  And  (P)  Vellalankottai  East  street  Block  1  ,
2.Vellalankottai  (R.V)  And  (P)  Vellalankottai  Middle  Street  Block  2  ,
3.Vellalan  kottaiah  (R.V)  And  (P)  Vellalan  kottaiah  South  Street  Block  3  ,
4.Vellalan  kottai  (R.V)  And  (P)  Vellalan  kottai  West  Street  Block  4  , 999.OVERSEAS  ELECTORS",All  Voters,725,Dravida Munnetra Kazhagam,538,80,458,Tamilaga Vettri Kazhagam,1,3,4,2,13,13,5,7,13,10,13,7,13,10,6,10,13,7,13,13,13,63.17241379310344,11,701,0.7674750356633381,0.08416547788873038,0.034236804564907276,0.11412268188302425,1
48,97,237,56,3,0,5,0,81,0,8,0,0,0,1,1,1,1,2,3,0,0,496,0,0,496,0,Vellalankottai,"R.C.Middle  School,  South  Side  , Vellalankottai.","1.Vellalankottai  (R.V)  And  (P)  Suriyaminukkan  Middle  street  Block  5  , 2.Vellalankottai  (R.V)  And  (P)  Suriyamenukkan  South  Street  Block  6  , 3.Vellalankottai  (R.V)  And  (P)  Maruthappapuram  Block  7  ,  4.Vellalan kottai  (R.V)  And  (P)  Valasalpatti  Block  8  ,  999.OVERSEAS  ELECTORS",All  Voters,496,Dravida Munnetra Kazhagam,237,97,140,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,7,14,6,14,14,5,14,14,14,10,10,10,10,9,7,14,14,28.22580645161291,17,471,0.5031847133757962,0.2059447983014862,0.11889596602972399,0.17197452229299362,0
49,366,193,83,0,1,2,2,169,1,1,0,1,2,4,4,9,4,1,0,2,1,846,0,1,847,0,Vadakku llanthaikulam,"Panchayat  Union  Primary  School  ,  North Side  ,  Vadakku  llanthaikulam.","1.Vadakku  elanthaikulam  (p)  Block  1  ,  2.Vadakku  Elanthaikulam  (P) Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,846,All India Anna Dravida Munnetra Kazhagam,366,193,173,Dravida Munnetra Kazhagam,2,1,4,3,19,13,9,9,13,13,19,13,9,6,6,5,6,13,19,9,13,20.44917257683215,29,811,0.2379778051787916,0.45129469790382243,0.10234278668310727,0.20838471023427868,0
50,272,233,71,0,0,1,0,121,0,2,0,0,0,2,3,4,3,1,1,0,1,715,0,2,717,0,Vadakku Ilanthaikulam,"Panchayat  Union  Primery  School  ,  South Side  ,  Vadakku  Ilanthaikulam.","1.Vadakku  elanthaikulam  (p)  Block  3  ,  2.Vadakku  Elanthaikulam  (P) Block  4  ,  999.OVERSEAS  ELECTORS",All  Voters,715,All India Anna Dravida Munnetra Kazhagam,272,233,39,Dravida Munnetra Kazhagam,2,1,4,3,14,14,10,14,14,8,14,14,14,8,6,5,6,10,10,14,10,5.454545454545454,17,697,0.33428981348637016,0.3902439024390244,0.10186513629842181,0.17360114777618366,0
51,118,293,46,1,0,6,0,125,1,1,0,4,0,2,2,0,4,7,1,0,1,612,0,5,617,0,Panikkarkulam,"Panchayat  Union  primary  School,  East  Side  , Panikkarkulam.","1.Panikkarkulam  (R.V)  And  (P)  Panikkarkulam  Block  1  ,  2.Panikkarkulam (R.V)  And  (P)  Erandampuli  Ramanathepuram  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,612,Dravida Munnetra Kazhagam,293,125,168,Tamilaga Vettri Kazhagam,1,3,4,2,11,16,6,16,11,11,16,7,16,9,9,16,7,5,11,16,11,27.45098039215686,22,582,0.5034364261168385,0.2027491408934708,0.07903780068728522,0.21477663230240548,1
52,122,331,31,1,0,1,4,192,2,1,2,3,3,2,4,4,1,2,0,1,0,707,0,2,709,0,Nagalapuram,"Panchayat  Union  Middle  School,  West  Side  , Nagalapuram.","1.Panikkarkulam  (R.V)  And  (P)  Nagalapuram  Block  3  ,  999.OVERSEAS ELECTORS",All  Voters,707,Dravida Munnetra Kazhagam,331,192,139,Tamilaga Vettri Kazhagam,1,3,4,2,14,19,14,5,10,14,10,8,8,10,5,5,14,10,19,14,19,19.66053748231966,23,676,0.4896449704142012,0.1804733727810651,0.04585798816568047,0.28402366863905326,1
53,166,251,75,1,0,8,0,229,1,2,0,1,1,7,4,2,0,0,1,0,0,749,0,1,750,0,Ayyanaroothu,"Panchayat  Union  Primary  School  ,  North East  Side  ,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  North  street  Block  1  ,  999.OVERSEAS ELECTORS",All  Voters,749,Dravida Munnetra Kazhagam,251,229,22,Tamilaga Vettri Kazhagam,1,3,4,2,10,15,5,15,10,8,15,10,10,6,7,8,15,15,10,15,15,2.937249666221629,18,721,0.34812760055478503,0.2302357836338419,0.10402219140083217,0.31761442441054094,0
54,95,211,26,0,0,2,2,141,2,0,1,1,2,1,5,4,2,3,0,0,0,498,0,3,501,0,Ayyanaroothu,"Panchayat  Union  Primary  School  ,  Middle Portion  ,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  Sandhi  street  Block  2  ,  2.Ayyanaroothu (R.V)  And  (P)  South  Street  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,498,Dravida Munnetra Kazhagam,211,141,70,Tamilaga Vettri Kazhagam,1,3,4,2,16,16,8,8,8,16,13,13,8,13,5,6,8,7,16,16,16,14.05622489959839,19,473,0.44608879492600423,0.20084566596194503,0.05496828752642706,0.29809725158562367,1
55,88,335,35,0,0,5,0,104,0,0,0,1,1,2,3,3,2,4,0,0,3,586,0,1,587,0,Ayyanaroothu,"Panchayat  Union  Primary  School,  South Portion  ,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  Middle  street  Block  4  ,  2.Ayyanaroothu (R.V)  And  (P)  A.Kuppanapuram  Block  6  ,  999.OVERSEAS  ELECTORS",All  Voters,586,Dravida Munnetra Kazhagam,335,104,231,Tamilaga Vettri Kazhagam,1,3,4,2,14,14,5,14,14,14,14,12,12,10,7,7,10,6,14,14,7,39.419795221843,19,562,0.5960854092526691,0.15658362989323843,0.06227758007117438,0.18505338078291814,1
56,46,497,31,0,0,1,1,56,1,0,0,0,0,0,1,0,1,4,0,0,1,640,0,2,642,0,Ayyanaroothu,"Panchayat  Union  Primary  School,  South West  Portion,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  Pallivasal  Street  Block  5  ,  2.Ayyanaroothu (R.V)  And  (P)  Indhira  Nagar  Street  Block  7  ,  999.OVERSEAS  ELECTORS",All  Voters,640,Dravida Munnetra Kazhagam,497,56,441,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,6,6,6,12,12,12,12,12,6,12,6,5,12,12,6,68.90625,7,630,0.7888888888888889,0.07301587301587302,0.049206349206349205,0.08888888888888889,1
