Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Margin_Percentage
164,"Poosaripatti, Koosalipatti","Child  Welfare  Center,  Poosaripatti, Koosalipatti","1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3(Part)  ,  2.Elupaiyurani (R.V)  And  (P)  Poosaripatti  Block  4  ,  999.OVERSEAS  ELECTORS",4.65587044534413
23,South  Kalugumalai,"Library,  South  Kalugumalai","1.Southkulugumalai  (t)  Southkulugumalai  block  1  , 2.SouthKulugumalai  (T)  SouthKulugumalai  Block  2  ,  999.OVERSEAS ELECTORS",4.754601226993866
162,Koosalipatti,"Community  Hall,  Mettu  Street,  Koosalipatti","1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3  ,  999.OVERSEAS ELECTORS",4.815409309791333
315,Govindampatti,"Panchayat  Union  Primary  School,  South facing  Building,  Govindampatti","1.Thethampatti  (R.V)  And  (P)  Govindampatti  Block  3  ,  999.OVERSEAS ELECTORS",5.054945054945055
291,Pandavarmangalam Kovilpatti,"T.D.T.A.  Primary  School,  South  side,  East facing  Building  Pandavarmangalam","1.Pandavarmangalam  (R.V)  And  (P)  Melapandavarmangalam  block  1  , 999.OVERSEAS  ELECTORS",5.106382978723404
50,Vadakku Ilanthaikulam,"Panchayat  Union  Primery  School  ,  South Side  ,  Vadakku  Ilanthaikulam.","1.Vadakku  elanthaikulam  (p)  Block  3  ,  2.Vadakku  Elanthaikulam  (P) Block  4  ,  999.OVERSEAS  ELECTORS",5.454545454545454
5,Kalugumalai,"St.  Marys  Primary  School,  South  Building East  3rd  Room  Class  2B,  Kalugumalai","1.Kalugumalai  (s.p)  Griprabhakara  Keelaratha  Veethi  ward  2  , 2.Kalugumalai  (S.P)  Kovilpatti-Sankarankovil  road  ward  2  ,
3.Kalugumalai  (S.P)  Kannapper  Street  ward  1  ,  4.Kalugumalai  (S.P)
Sakelar  street  ward  2  ,  999.OVERSEAS  ELECTORS",5.475040257648954
176,Vadakku Thittankulam,"Panchayat  Union  Middle  School,  South Building,  Western  Portion,  Vadakku Thittankulam","1.Thittankulam(R.V)  And  (p)  Muthuramalingathevar  colony  block  1  , 999.OVERSEAS  ELECTORS",5.641025641025641
127,Alampatti,"Child  Welfare  Center  ,  Alampatti  .","1.Innam  maniachi  (R.V)  And  (P)  Alampatti  ,  999.OVERSEAS  ELECTORS",5.813953488372093
179,Therkku Thittankulam,"Community  Hall,  South  side  building,  East side,  Shunmuganagar,  South  Thittankulam","1.Thittankulam  (R.V)  And  (P)  Muthu  Nagar  Block  1  Door  No.  761  above (Sl.No.  740-1513)  2.Thittankulam  (R.V)  And  (P)  John  Nagar  Block  1, 999.OVERSEAS  ELECTORS",6.300813008130081
161,Koosalipatti,"T.D.T.A  Primary  School,  North  Side Koosalipatti","1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3  ,  999.OVERSEAS ELECTORS",6.915887850467289
90,Savalaperi,"T.D.T.A  Primary  School,  Savalaperi.","1.Savalaperi  (R.V)  And  (P)  Savalaperi  Block  1  ,  2.Savalaperi  (R.V)  And  (P) Savalaperi  Block  2  ,  3.Savalaperi  (R.V)  And  (P)  Nagampatti  Block  3  , 999.OVERSEAS  ELECTORS",7.246376811594203
71,Kayathar,"R.C  Fathima  Primary  School,  South  Room  , Kayathar.","1.Kayathar  (F.G.T.P)  Chedambaranar  Street  ,  2.Kayathar  (F.G.T.P) Kanthariamman  Kovil  Street  ,  3.Kayathar  (F.G.T.P)  Subramaniyaswamy Kovil  Street  ,  4.Kayathar  (F.G.T.P)  Santhikenntru  Street  ,  5.Kayathar
(F.G.T.P)  Pudhukenatru  Street  ,  6.Kayathar  (F.G.T.P)  Karupasamy  Kovil
Street  Ward  6  ,999.OVERSEAS  ELECTORS",7.537688442211055
83,Akilandapuram,"Mahalakshmi  Middle  School,  North  Block South  Side,  Akilandapuram.","1.Akilandapuram  (R.V)  And  (P)  Sathirapatti  5  ,  2.Akilandapuram  (R.V) And  (P)  Salaipudhur  Block  8  ,  999.OVERSEAS  ELECTORS",7.84
1,K.  Duraisamypuram,"Panchayat  Union  Primary  School,  South Building,  K.Duraisamypuram","1.K.Venkateswarapuram  (R.V),  K.  Duraisamypuram  (P)  K.  lakshmipuram Block  1  ,  2.K.Venkateswarapuram  (R.V),  K.  Duraisamypuram  (P)  K. Ramanathapuram  Block  2  ,  999.OVERSEAS  ELECTORS",9.060955518945637
