serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
298,Jaihindpuram - 625011,"Grace Matriculation Hr.Sec.School, North Block, South Facing,
Room.No.1","1 - Madurai (C), Bharathiyar Road Jaihindpuram Ward 81 (from door no. 1 to door no.250)",tamilaga vettri kazhagam,16.0655737704918
301,"North facing
Room No.5 - jaihindpuram","Neethirajan Bharathi Middle School , South Block","1 - Madurai (C), V.O.C.Street Ward 82",tamilaga vettri kazhagam,15.58641975308642
303,Jaihindupuram-625011,"Grace Matriculation Hr.Sec.School, Class Room No.9A","1.Madurai (C) Solaialagupuram 1st Cross Street Ward 83 ,
2.Madurai (C) Indra Nagar Solaialagupuram 3rd Street Ward 82",tamilaga vettri kazhagam,20.53445850914205
307,"Jaihindpuram Main
Road Madurai","Sethu Rajan Padma Matriculation Higher Sec School , East Block, West Facing , Tholkapiyar  Room","1.Madurai (C) Jaihindpuram 1st Street Ward 81 ,
2.Madurai (C) Jaihindpuram Main Road Ward 81",tamilaga vettri kazhagam,16.40316205533597
309,Jaihindpuram,"Corporation Middle School, South Side Building, West Facing-
Room.No.2","1.Madurai (C), Thiyaki Sankaralinganar Street Ward 80 (from door no. 50 till last)",tamilaga vettri kazhagam,23.80952380952381
312,,"Radasamy Primary School ,South Block, North Facing,
Room.No.6,Subramaniyapuram",1.Madurai (C) Solai Alagupuram 1st Street Ward 83,tamilaga vettri kazhagam,26.1101243339254
313,Solaialagupuram 1st street,"Sahaya Matha middle School, west side Room East facing- Room
No.2","1.Madurai (C) Indra Nagar Solai Alagupuram 1st Street Ward 82 ,
2.Madurai (C) Iyyappan Nagar Solai Alagupuram 1st Street Ward 82",tamilaga vettri kazhagam,13.16614420062696
314,subramaniyapuram,"Yadava Matric Hr. Sec. School , West side Block, East facing-
Room No.2","1.Madurai (C) Ramamoorthy Nagar Solai Alagupuram 1st Street Ward 83 ,",tamilaga vettri kazhagam,14.04494382022472
316,subramaniyapuram,"Yadava Matric Hr. Sec. School , West side Block, East facing-
Room No.4","1.Madurai (C) Solaialagupuram 2nd Street Ward 83 ,",tamilaga vettri kazhagam,25.26501766784452
319,Jaihindpuram-625011,"Grace Matriculation Hr.Sec.School, North  Block, South Facing,
Room.No.3","1.Madurai (C), Solaialagupuram 3rd Street-1 Ward 82 (from door no. 1 to door no. 140)",tamilaga vettri kazhagam,16.42969984202212
320,Jaihindpuram-625011,"Grace Matriculation Hr.Sec.School, North  Block, South Facing, Room.No.4","1.Madurai (C), Solaialagupuram 3rd Street-1 Ward 82 (from door no.141 till last.)""
2.Madurai (C) Ramamoorthy Nagar Solai Alagupuram 3rd Street Ward 82",tamilaga vettri kazhagam,25.4424778761062
321,Jaihindpuram - 625011,"Grace Matriculation Hr.Sec.School, Middle Block Room.No. 13",1.Madurai (C) Sholaialagupuram 3rd Street-2 Ward 82,tamilaga vettri kazhagam,24.96124031007752
322,Jaihindupuram-625011,"Neethirajan Bharathi Ele. School   , Kalai Arangam","1.Madurai (C) Aasari Street Ward 82 ,
2.Madurai (C) 3rd Cross Street Solaialagupuram Ward 82
3.Madurai (C) Solaialagupuram Mettu Cross Street Ward 82",tamilaga vettri kazhagam,14.22594142259414
324,"(Stage ) West
facing - jaihindpuram","Neethirajan Bharathi Middle School , East Block","1.Madurai (C) Bharathiyar Street Muniyandi Kovil Street Ward 82 ,",tamilaga vettri kazhagam,11.43654114365411
326,jaihindpuram,"Neethirajan Bharathi Middle School , East Block, West facing -
Waiting Hall -2","1.Madurai (C) Rajapavana Veethi Ward 82 ,
2.Madurai (C) Jawahar Street Ward 82 ,",tamilaga vettri kazhagam,26.30385487528345
327,jaihindpuram,"Neethirajan Bharathi Middle School , East Block, West facing -
Waiting Hall -2",1.Madurai (C) Solaialagupuram 4th Street Ward 82,tamilaga vettri kazhagam,22.33250620347394
