Serial No. Of Polling Station,Naam Tamilar Katchi,Dravida Munnetra Kazhagam,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,Puthiya Tamilagam,Amma Makkal Munnettra Kazagam,Naam Indiar Party,Tamizhaga Vaazhvurimai Katchi,Tamilaga Vettri Kazhagam,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Total of Valid Votes,Unnamed: 15,NOTA,Total,No. Of Tendered Votes,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Whether  for  all Voters  or  men  olny or  women  only,Naam Tamilar Katchi_Share_%,Dravida Munnetra Kazhagam_Share_%,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Share_%,Puthiya Tamilagam_Share_%,Amma Makkal Munnettra Kazagam_Share_%,Naam Indiar Party_Share_%,Tamizhaga Vaazhvurimai Katchi_Share_%,Tamilaga Vettri Kazhagam_Share_%,NOTA_Share_%,Total_Independent_Votes,Independent_Share_%,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Naam Tamilar Katchi_Rank,Dravida Munnetra Kazhagam_Rank,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank,Puthiya Tamilagam_Rank,Amma Makkal Munnettra Kazagam_Rank,Naam Indiar Party_Rank,Tamizhaga Vaazhvurimai Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Margin_Percentage,Runner_Up_Party,Naam Tamilar Katchi_Rank.1,Dravida Munnetra Kazhagam_Rank.1,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank.1,Puthiya Tamilagam_Rank.1,Amma Makkal Munnettra Kazagam_Rank.1,Naam Indiar Party_Rank.1,Tamizhaga Vaazhvurimai Katchi_Rank.1,Tamilaga Vettri Kazhagam_Rank.1,Independent_Rank.1,Independent.1_Rank.1,Independent.2_Rank.1,Independent.3_Rank.1,Independent.4_Rank.1
103,44,202,1,3,60,0,1,272,1,1,0,0,0,585,0,4,589,0,Muthammal  Colony,"Alagar  Public  School,  Main  Block  South Facing  Building  West  From  1st  room,  Main Gate  3rd  Street,  Muthammal  Colony,
Thoothukudi","1.(Thoothukudi  Corporation)  Muthammal  Colony  Street  1  Block  4  (Door  1 to  4/270)  ,
2.(Thoothukudi  Corporation)  Dhanasekara  Nagar
999.OVERSEAS  ELECTORS",All  Voters,7.521367521367521,34.52991452991453,0.1709401709401709,0.5128205128205128,10.25641025641026,0.0,0.1709401709401709,46.49572649572649,0.6837606837606838,2,0.3418803418803419,Tamilaga Vettri Kazhagam,272,202,70,4,2,6,5,3,10,6,1,6,6,10,10,10,11.96581196581197,Dravida Munnetra Kazhagam,4,2,6,5,3,10,6,1,6,6,10,10,10
104,26,162,2,0,79,0,2,200,1,0,0,1,1,474,0,1,475,0,Muthammal  Colony,"Alagar  Public  School,  Main  Block  North Facing  Building  West  From  1st  room,  Main Gate  3rd  Street,  Muthammal  Colony,
Thoothukudi","1.(Thoothukudi  Corporation)  Muthammal  Colony  Street  1  Block  4,(Door No:  Above  4/270)
999.OVERSEAS  ELECTORS",All  Voters,5.485232067510549,34.17721518987342,0.4219409282700421,0.0,16.66666666666666,0.0,0.4219409282700421,42.19409282700422,0.2109704641350211,3,0.6329113924050633,Tamilaga Vettri Kazhagam,200,162,38,4,2,5,10,3,10,5,1,7,10,10,7,7,8.016877637130802,Dravida Munnetra Kazhagam,4,2,5,10,3,10,5,1,7,10,10,7,7
105,41,191,1,14,88,0,0,244,0,0,0,0,0,579,0,3,582,0,Muthammal  colony,"Alagar  Public  School,  Main  Block  West Facing  Building  Opposite  to  Canteen,  Main Gate  3rd  Street,  Muthammal  Colony,
Thoothukudi","1.(Thoothukudi  Corporation)  Muthammal  Colony  Street  3  Block  4, 999.OVERSEAS  ELECTORS",All  Voters,7.081174438687392,32.98791018998273,0.1727115716753022,2.417962003454232,15.1986183074266,0.0,0.0,42.14162348877375,0.5181347150259068,0,0.0,Tamilaga Vettri Kazhagam,244,191,53,4,2,6,5,3,7,7,1,7,7,7,7,7,9.153713298791018,Dravida Munnetra Kazhagam,4,2,6,5,3,7,7,1,7,7,7,7,7
106,30,89,1,7,41,0,1,159,0,0,1,0,1,330,0,0,330,0,Muthammal  colony,"Alagar  Public  School,  Main  Block  East Facing  Building  Opposite  to  Canteen,  Main Gate  3rd  Street,  Muthammal  Colony,
Thoothukudi","1.(Thoothukudi  Corporation)  Muthammal  Colony  Street  4  Block  4, 999.OVERSEAS  ELECTORS",All  Voters,9.090909090909092,26.96969696969697,0.303030303030303,2.121212121212122,12.42424242424242,0.0,0.303030303030303,48.18181818181818,0.0,2,0.6060606060606061,Tamilaga Vettri Kazhagam,159,89,70,4,2,6,5,3,10,6,1,10,10,6,10,6,21.21212121212121,Dravida Munnetra Kazhagam,4,2,6,5,3,10,6,1,10,10,6,10,6
107,62,271,3,13,85,1,2,342,1,0,0,0,0,780,0,8,788,0,Muthammal  colony,"Alagar  Public  School,  Primary  Block  South Facing  Building  East  from  2nd  room,  Main Gate  3rd  Street,  Muthammal  Colony,
Thoothukudi","1.(Thoothukudi  Corporation)  Muthammal  Colony  Street  5  Block
4,2.(Thoothukudi  Corporation)  Muthammal  Colony  Street  6  Block  4, 3.(Thoothukudi  Corporation)  Muthammal  Colony  Street  7  Block  4,
4.(Thoothukudi  Corporation)  Muthammal  Colony  Street  8  Block  4, 5.(Thoothukudi  Corporation)  Muthammal  Colony  Street  9  Block  4,
6.(Thoothukudi  Corporation)  Muthammal  Colony  Street  10  Block  4,
999.OVERSEAS  ELECTORS",All  Voters,7.948717948717948,34.74358974358974,0.3846153846153846,1.666666666666667,10.8974358974359,0.1282051282051282,0.2564102564102564,43.84615384615385,1.025641025641026,1,0.1282051282051282,Tamilaga Vettri Kazhagam,342,271,71,4,2,6,5,3,8,7,1,8,10,10,10,10,9.102564102564102,Dravida Munnetra Kazhagam,4,2,6,5,3,8,7,1,8,10,10,10,10
108,35,154,0,6,113,0,2,321,1,0,0,1,0,633,0,2,635,0,Muthammal  colony,"Alagar  Public  School,  Primary  Block  South Facing  Building  East  from  5th  room,  Main Gate  3rd  Street,  Muthammal  Colony,
Thoothukudi","1.(Thoothukudi  Corporation)  Athiparasakthi  Nagar, 999.OVERSEAS  ELECTORS",All  Voters,5.529225908372828,24.32859399684044,0.0,0.9478672985781991,17.85150078988941,0.0,0.315955766192733,50.71090047393365,0.315955766192733,2,0.315955766192733,Tamilaga Vettri Kazhagam,321,154,167,4,2,9,5,3,9,6,1,7,9,9,7,9,26.38230647709321,Dravida Munnetra Kazhagam,4,2,9,5,3,9,6,1,7,9,9,7,9
109,15,75,0,0,31,0,1,181,0,0,0,0,0,303,0,3,306,0,Muthammal  colony,"Alagar  Public  School,  Primary  Block  South Facing  Building  East  from  7th  room,  Main Gate  3rd  Street,  Muthammal  Colony,
Thoothukudi","1.(Thoothukudi  Corporation)  Om  Santhi  Nagar,  KTC  Nagar,  Ram  nagar, 999.OVERSEAS  ELECTORS",All  Voters,4.95049504950495,24.75247524752475,0.0,0.0,10.23102310231023,0.0,0.33003300330033,59.73597359735974,0.9900990099009901,0,0.0,Tamilaga Vettri Kazhagam,181,75,106,4,2,6,6,3,6,5,1,6,6,6,6,6,34.98349834983499,Dravida Munnetra Kazhagam,4,2,6,6,3,6,5,1,6,6,6,6,6
110,46,179,2,6,78,2,1,348,0,1,0,0,1,664,0,6,670,0,Muthammal  colony,"Alagar  Public  School,  Primary  Block  South Facing  Building  East  from  6th  room,  Main Gate  3rd  Street,  Muthammal  Colony,
Thoothukudi","1.(Thoothukudi  Corporation)  Ayyappan  Nagar  Block  5,  2.(Thoothukudi Corporation)Kamaraj  Nagar,  999.OVERSEAS  ELECTORS",All  Voters,6.927710843373494,26.95783132530121,0.3012048192771085,0.9036144578313252,11.74698795180723,0.3012048192771085,0.1506024096385542,52.40963855421686,0.9036144578313252,2,0.3012048192771085,Tamilaga Vettri Kazhagam,348,179,169,4,2,6,5,3,6,8,1,11,8,11,11,8,25.45180722891566,Dravida Munnetra Kazhagam,4,2,6,5,3,6,8,1,11,8,11,11,8
111,32,166,0,3,48,0,0,239,0,1,1,1,0,491,0,4,495,0,State  Bank  colony,"St.Thomas  Matriculation  School,  Eon Ambores  Block  South  Portion  West  side  1st Room  North  Facing  Building,  State  bank colony.  Nadarajan  Nagar","1.(Thoothukudi  Corporation)  State  Bank  Colony  (Door  No:4/1  -  4/167F), 999.OVERSEAS  ELECTORS",All  Voters,6.517311608961303,33.80855397148676,0.0,0.6109979633401221,9.775967413441954,0.0,0.0,48.67617107942974,0.8146639511201629,3,0.6109979633401221,Tamilaga Vettri Kazhagam,239,166,73,4,2,9,5,3,9,9,1,9,6,6,6,9,14.86761710794297,Dravida Munnetra Kazhagam,4,2,9,5,3,9,9,1,9,6,6,6,9
112,39,160,1,5,67,1,1,284,1,1,0,0,0,560,0,3,563,0,State  Bank  colony,"St.Thomas  Matriculation  School,  Eon Ambores  Block  South  Portion  West  side  2nd Room  North  Facing  Building,  State  bank colony.  Nadarajan  Nagar","1.(Thoothukudi  Corporation)  State  Bank  Colony, 999.OVERSEAS  ELECTORS",All  Voters,6.964285714285714,28.57142857142857,0.1785714285714286,0.8928571428571428,11.96428571428572,0.1785714285714286,0.1785714285714286,50.71428571428571,0.5357142857142857,2,0.3571428571428572,Tamilaga Vettri Kazhagam,284,160,124,4,2,6,5,3,6,6,1,6,6,11,11,11,22.14285714285714,Dravida Munnetra Kazhagam,4,2,6,5,3,6,6,1,6,6,11,11,11
113,45,160,2,2,47,0,0,209,0,0,0,0,0,465,0,1,466,0,State  Bank  colony,"St.Thomas  Matriculation  School,  Eon Ambores  Block  West  side  Room  1,  State bank  colony.  Nadarajan  Nagar","1.(Thoothukudi  Corporation)  State  Bank  Colony  (Door  No:4/168  to  - 4/196),  Mullai  nagar
999.OVERSEAS  ELECTORS",All  Voters,9.67741935483871,34.40860215053764,0.4301075268817204,0.4301075268817204,10.10752688172043,0.0,0.0,44.94623655913978,0.2150537634408602,0,0.0,Tamilaga Vettri Kazhagam,209,160,49,4,2,5,5,3,7,7,1,7,7,7,7,7,10.53763440860215,Dravida Munnetra Kazhagam,4,2,5,5,3,7,7,1,7,7,7,7,7
114,88,185,5,3,141,2,2,402,0,0,1,0,1,830,0,2,832,0,Mappillaiurani,"Pathirakaliamman  Nadar  Middle  School
,South  Building  Mappillaiurani","1.Mappillaiurani  (R.V)  And  (P)  Mappillaiurani  Block  1, 2.Mappillaiurani  (R.V)  And  (P)  Mappillaiurani  Block  2, 3.Mappillaiurani  (R.V)  And  (P)  Jothi  Basu  Nagar, 999.OVERSEAS  ELECTORS",All  Voters,10.60240963855422,22.28915662650602,0.6024096385542169,0.3614457831325301,16.98795180722891,0.2409638554216868,0.2409638554216868,48.43373493975903,0.2409638554216868,2,0.2409638554216868,Tamilaga Vettri Kazhagam,402,185,217,4,2,5,6,3,7,7,1,11,11,9,11,9,26.14457831325301,Dravida Munnetra Kazhagam,4,2,5,6,3,7,7,1,11,11,9,11,9
115,62,133,0,2,73,2,1,193,0,0,0,0,0,466,0,2,468,0,Mappillaiurani,"Pathirakaliamman  Nadar  Middle  School  ,New Building  west  side  Mappillaiurani","1.Mappillaiurani  (R.V)  And  (P)  Mappillaiurani  Block  3, 999.OVERSEAS  ELECTORS",All  Voters,13.30472103004292,28.54077253218884,0.0,0.4291845493562232,15.66523605150215,0.4291845493562232,0.2145922746781116,41.41630901287554,0.4291845493562232,0,0.0,Tamilaga Vettri Kazhagam,193,133,60,4,2,8,5,3,5,7,1,8,8,8,8,8,12.87553648068669,Dravida Munnetra Kazhagam,4,2,8,5,3,5,7,1,8,8,8,8,8
116,79,132,2,2,55,2,2,239,0,1,0,1,1,516,0,1,517,0,Mappillaiurani,"Pathirakaliamman  Nadar  Middle  School
,South  Building  East  Portion  Mappillaiurani","1.Mappillaiurani  (R.V)  And  (P)  K.V.K.  Sami  Nagar, 999.OVERSEAS  ELECTORS",All  Voters,15.31007751937984,25.58139534883721,0.3875968992248062,0.3875968992248062,10.65891472868217,0.3875968992248062,0.3875968992248062,46.31782945736434,0.1937984496124031,3,0.5813953488372093,Tamilaga Vettri Kazhagam,239,132,107,3,2,5,5,4,5,5,1,12,9,12,9,9,20.73643410852713,Dravida Munnetra Kazhagam,3,2,5,5,4,5,5,1,12,9,12,9,9
117,69,146,4,9,43,0,7,557,2,2,1,0,0,840,0,0,840,1,Siluvaipatti,"R.  C.  High  School,  South  Building,  west portion,  Siluvaipatti","1.Mappillaiurani  (R.V)  And  (P)  Ganapathi  Nagar  Block  6, 2.Mappillaiurani  (R.V)  And  (P)  Siluvaipatti  Block  7,
Sunami  Colony  Siluvaipatti,  Sunami  Kudiyiruppu, Siluvaipatti,  ANTHONIYAR  KOVIL  STREET,
999.OVERSEAS  ELECTORS",All  Voters,8.214285714285714,17.38095238095238,0.4761904761904762,1.071428571428571,5.119047619047619,0.0,0.8333333333333334,66.30952380952381,0.0,5,0.5952380952380952,Tamilaga Vettri Kazhagam,557,146,411,3,2,7,5,4,11,6,1,8,8,10,11,11,48.92857142857142,Dravida Munnetra Kazhagam,3,2,7,5,4,11,6,1,8,8,10,11,11
118,67,148,0,1,27,0,3,392,1,0,0,0,0,639,0,4,643,0,Siluvaipatti,"R.  C.  High  School  New  Building,  South  west portion  Siluvaipatti","1.Mappillaiurani  (R.V)  And  (P)  Siluvaipatti  Block  5,
2.Mappillaiurani  (R.V)  And  (P)  Kothanar  Colony,  Davispuram  Block  4,
3.Mappillaiurani  (R.V)  And  (P)  Siluvaipatti,  Davispuram  Main  Road  Block 4,
ANNAI  VELANGKANNI  KOIL  STREET,
999.OVERSEAS  ELECTORS",All  Voters,10.48513302034429,23.16118935837246,0.0,0.1564945226917058,4.225352112676056,0.0,0.4694835680751174,61.34585289514867,0.6259780907668232,1,0.1564945226917058,Tamilaga Vettri Kazhagam,392,148,244,3,2,8,6,4,8,5,1,6,8,8,8,8,38.18466353677621,Dravida Munnetra Kazhagam,3,2,8,6,4,8,5,1,6,8,8,8,8
119,77,111,2,15,29,1,2,340,4,2,0,0,0,583,0,0,583,0,Siluvaipatti,"R.  C.  High  School  ,West  Building  North Portion,  Siluvaipatti","1.Mappillaiurani  (R.V)  And  (P)  Asaithambi  Nagar  Block  7A,
2.Mappillaiurani  (R.V)  And  (P)  Siluvaipatti  Block  6,  (Door  1  to  6/130) 999.OVERSEAS  ELECTORS",All  Voters,13.20754716981132,19.03945111492281,0.3430531732418525,2.572898799313894,4.974271012006861,0.1715265866209262,0.3430531732418525,58.31903945111492,0.0,6,1.029159519725558,Tamilaga Vettri Kazhagam,340,111,229,3,2,7,5,4,10,7,1,6,7,11,11,11,39.27958833619211,Dravida Munnetra Kazhagam,3,2,7,5,4,10,7,1,6,7,11,11,11
120,64,121,1,33,37,0,0,292,0,0,0,1,0,549,0,1,550,0,Siluvaipatti,"R.  C.  High  School  ,  West  Building  South Portion,  Siluvaipatti","1.Mappillaiurani  (R.V)  And  (P)  Siluvaipatti  Block  6  (Door  No:  6/130  Above
)  ,  999.OVERSEAS  ELECTORS",All  Voters,11.6575591985428,22.04007285974499,0.1821493624772313,6.010928961748633,6.739526411657559,0.0,0.0,53.18761384335154,0.1821493624772313,1,0.1821493624772313,Tamilaga Vettri Kazhagam,292,121,171,3,2,6,5,4,8,8,1,8,8,8,6,8,31.14754098360656,Dravida Munnetra Kazhagam,3,2,6,5,4,8,8,1,8,8,8,6,8
121,93,215,1,40,45,1,1,452,2,0,0,0,1,851,0,4,855,0,T.  Saveriyarpuram,"R.C.  St.Xavier  High  School,West  Building from  West  1st  room,  T.Saveriyarpuram","1.Mappillaiurani  (R.V)  And  (P)  Mala  Alagapurai  Block  7A, 2.Mappillaiurani  (R.V)  And  (P)  Ganesapuram  Block  4A, 3.Mappillaiurani  (R.V)  And  (P)  Rajapalayam  Block  8,
4.Mappillaiurani  (R.V)  And  (P)  Rajapalayam  Block  12A, 5.Mappillaiurani  (R.V)  And  (P)  Mela  Alagapuri  Block  7, 6.Mappillaiurani  (R.V)  And  (P)  Ganesapuram  Block  7,
999.OVERSEAS  ELECTORS",All  Voters,10.9283196239718,25.26439482961222,0.1175088131609871,4.700352526439483,5.287896592244419,0.1175088131609871,0.1175088131609871,53.11398354876615,0.4700352526439483,3,0.3525264394829613,Tamilaga Vettri Kazhagam,452,215,237,3,2,7,5,4,7,7,1,6,11,11,11,7,27.84958871915394,Dravida Munnetra Kazhagam,3,2,7,5,4,7,7,1,6,11,11,11,7
